Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30
12,32.0421,-0.126996,-0.114417,-0.284871,-0.170422,0.0367459,-0.328232,-0.281477,0.0395028,-0.099661,-0.132302,0.344657,-0.259952,-0.0298951,0.160585,0.0628433,0.222164,-0.257154,-0.0560516,0.179374,-0.0446316,-0.115218,0.047222,0.0381588,0.0208713,-0.323074,-0.165114,-0.172029,-0.00355422,0.187596,0.168166,-0.177118
13,-30.1924,-0.0849242,0.0953137,-0.0679427,-0.130682,0.0586482,0.194961,-0.092182,0.396199,-0.214328,-0.140433,0.0301202,0.0447406,-0.19209,-0.00561746,0.0679154,-0.0642234,-0.0806917,0.112372,-0.0792562,0.11693,-0.194655,-0.102075,-0.124053,-0.0206766,0.331842,0.321773,-0.510981,-0.230585,0.0668509,-0.0606005,-0.0395776
14,26.5625,-0.00845693,-0.10568,-0.195364,-0.137072,0.0612655,0.134392,-0.404339,0.295152,0.0868809,0.359774,-0.157107,-0.215239,0.290216,-0.158713,0.167013,0.216187,0.0331464,-0.203297,-0.0523483,0.0568457,0.164571,0.0552124,0.174995,0.0113263,0.10591,0.117123,-0.00975764,0.262002,-0.197369,-0.137949,0.0800041
15,-25.4473,-0.0742539,0.0341454,-0.102734,-0.030356,-0.363737,0.174725,0.105265,0.0190517,-0.212632,0.0588641,-0.0483859,-0.0109855,-0.147542,0.144324,0.442867,-0.123856,-0.135088,-0.160432,-0.253487,0.0254631,0.0211227,0.114214,0.0205377,0.186816,0.140427,-0.177986,0.115315,0.0765951,-0.0855164,0.514954,0.0400114
16,23.5255,0.235344,-0.0988492,-0.0266194,0.0057194,0.0223829,0.173584,0.0632635,0.0918663,-0.0403747,0.344818,0.174706,-0.104221,0.0580954,-0.0670442,0.106217,-0.292069,-0.230536,0.349857,-0.0807569,0.164522,0.186316,-0.0600807,0.0714736,-0.40674,-0.333667,0.072507,0.0597662,-0.238865,-0.0394515,0.101038,-0.132919
17,22.3249,0.00940386,-0.154186,0.146681,0.168894,0.233645,0.0165213,0.214402,-0.275536,0.276317,0.0980888,0.00130352,-0.0515301,-0.0807366,0.0464993,0.246812,0.473947,-0.0782661,0.00901619,-0.124912,0.119558,0.0548805,-0.276947,0.181211,-0.154131,0.25603,-0.0357264,-0.25372,0.00960645,0.106923,0.169474,-0.150456
18,-20.6751,-0.0159336,-0.0566182,-0.038826,-0.310233,-0.248934,0.218382,0.0302025,-0.148087,-0.17949,-0.194802,-0.125911,0.0883989,0.125323,-0.351612,-0.287415,0.196728,-0.20319,-0.184575,-0.103856,0.207464,-0.00367669,0.036169,-0.0841579,-0.404914,0.0688193,-0.281745,-0.000237204,0.0313656,0.14951,-0.0304066,-0.0434742
19,-18.5328,-0.0215875,0.307215,-0.0437304,-0.12489,0.244169,0.163629,0.207453,0.0738831,-0.235549,0.282284,0.436111,0.0989715,0.0918345,0.0504866,-0.0331068,0.0967303,0.0873389,-0.0540764,0.0449005,-0.263612,-0.30419,-0.215899,0.0177296,-0.163068,0.0901489,-0.244323,0.0775043,0.177201,-0.154158,-0.0192527,0.136719
20,17.2845,-0.283471,-0.0230609,0.380178,0.0268437,-0.119599,-0.187202,-0.0265851,0.137358,-0.0322345,0.130924,-0.0435669,-0.221797,-0.199048,-0.0729646,-0.148345,-0.136239,-0.075373,-0.0723183,-0.487218,-0.254828,-0.0120425,-0.0980723,0.272617,-0.0647844,-0.165819,-0.127098,-0.173088,0.0432071,0.120987,-0.156668,0.184341
21,-17.006,0.00802978,-0.0512162,-0.164815,-0.223119,0.266302,0.119702,-0.178599,-0.354225,0.116929,-0.178008,0.0176781,0.0948235,-0.360765,-0.11477,0.215147,-0.254571,0.160529,-0.0443276,-0.129879,0.0939785,0.0475766,-0.0741349,-0.0703438,-0.0486217,-0.241827,-0.143459,-0.237913,0.185039,-0.313701,-0.115421,0.13611
