Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63
10,69.725,0.101715,0.0556004,0.0367385,0.0653112,-0.229426,0.0249754,-0.267019,-0.107588,0.035108,0.222144,0.0861454,-0.0359055,-0.0771089,-0.153816,0.0967385,-0.134608,0.0528039,0.026884,0.261336,-0.0413736,0.082671,0.194226,-0.249738,0.090497,0.153488,-0.165517,0.119583,0.000486503,0.0129801,-0.07282,0.123455,0.175718,0.0872,0.0222606,-0.0635878,-0.150801,-0.0601097,-0.0844831,-0.0291354,-0.181517,-0.0845063,-0.0343511,0.131305,-0.186844,-0.0430431,-0.195222,-0.0124866,0.236663,0.0959359,-0.0561948,-0.115269,-0.00275759,0.169725,0.16251,-0.0472968,0.0995665,-0.0721341,0.0796204,0.131083,0.0583225,-0.148521,0.120877,0.0308122,-0.155425
11,-67.0878,-0.00607969,-0.00596088,0.124559,-0.0563465,-0.0125957,-0.0185565,0.0464193,-0.0159616,-0.0926685,0.254089,0.304289,0.146405,-0.0430741,0.223427,-0.0183944,-0.000134946,-0.0500503,-0.292634,0.123446,-0.0413536,-0.00441996,-0.0435621,0.0510393,-0.258916,-0.00740561,0.229289,-0.0363048,-0.0791749,-0.0459341,-0.117633,0.119886,-0.148399,0.204894,-0.0721809,-0.010468,0.32156,-0.0190958,-0.0782165,-0.0458385,0.0426412,0.0695903,0.111253,0.140457,0.16137,-0.0762904,-0.137175,0.0457889,-0.0496189,-0.122195,-0.0668214,-0.135896,0.161078,0.0261442,-0.0402829,-0.115619,0.135342,-0.128686,0.104383,0.0895496,0.152618,-0.101018,0.103281,0.0197858,0.136788
12,65.382,0.164047,0.0576259,0.207962,-0.205567,0.0896603,-0.258181,0.0469082,-0.0693609,-0.0501679,-0.0258794,-0.0773935,-0.125076,0.0268558,-0.0589352,-0.043543,-0.0862945,-0.0212841,0.170813,0.1002,0.0440697,0.043701,-0.122915,0.0337727,0.0433984,0.0547576,0.130687,-0.0825318,0.0107484,0.0362946,0.0970689,-0.0300425,0.164768,-0.197241,-0.0513229,0.0997097,0.10014,0.00248762,-0.0882812,-0.327118,0.272673,0.0385554,-0.00136909,-0.00214424,0.1633,-0.162528,-0.238134,-0.188541,0.165034,0.236793,0.0851604,-0.0126186,-0.0291271,-0.116197,-0.0335342,0.226476,0.214885,-0.0684106,0.115014,0.0314936,0.0106803,-0.0638587,-0.102855,0.0341434,-0.0274574
13,-64.4108,0.0996947,-0.302663,0.0536365,-0.0937323,0.121283,-0.0720516,-0.281707,-0.0525071,-0.00926562,0.0827687,-0.109788,-0.0252096,-0.189677,-0.134503,0.0830734,0.0187666,-0.0777599,-0.0410086,-0.0500638,0.25669,-0.0607186,0.013169,-0.178736,0.0450528,0.0805734,0.106245,-0.0186571,-0.0211791,-0.0542481,-0.0568238,-0.0072408,-0.00431122,0.094039,0.237553,-0.103269,0.146202,-0.0277232,0.203613,0.0507042,-0.0515423,-0.107471,-0.0614384,-0.0155891,0.173357,0.12297,0.125341,-0.0642116,-0.341459,0.0419279,0.0510098,-0.0372705,0.126125,0.0502353,0.00592345,0.0586761,-0.0175339,-0.0902193,0.278112,0.0576197,-0.150508,-0.0127666,-0.207077,0.147532,-0.137391
14,61.2189,0.21782,0.242494,-0.0947761,-0.0920882,0.109281,0.0485442,-0.182607,-0.0781653,-0.0851724,-0.0767203,0.0586602,0.0192786,0.0571088,0.110149,0.195492,-0.137281,-0.207504,-0.0701214,0.14817,0.0093316,-0.110341,0.0129029,-0.0517137,0.0911046,-0.101943,0.211415,0.066927,-0.0762135,0.0498335,0.236747,-0.20857,-0.0344427,0.156108,0.0125792,-0.0312608,-8.80079e-05,-0.0269679,0.124099,-0.141054,-0.00874538,0.0473004,-0.100663,-0.0105421,-0.0446158,-0.135557,0.218163,-0.0732405,0.0868982,0.0265546,-0.126606,0.13334,-0.0722045,-0.0524607,-0.17565,-0.178623,-0.111435,-0.115118,0.0444767,0.0193678,-0.249398,-0.00582144,0.241781,-0.240373,-0.0670663
15,59.2568,-0.205036,0.047063,0.0389432,0.00887543,0.109937,0.0734052,0.162001,0.116071,0.159565,0.123957,0.136118,0.0635794,0.0529918,-0.0701306,0.124762,-0.069811,-0.293908,-0.0591796,0.144514,0.220692,-0.135262,0.00823535,-0.058786,0.14119,-0.147948,-0.0808205,0.00720825,0.0671136,-0.0350214,0.0496315,0.216106,0.165452,0.0653592,-0.0546263,-0.0584469,0.000481454,0.183932,-6.04266e-06,0.136982,0.102052,0.10074,-0.109308,-0.237217,0.234758,0.103453,0.0286322,0.0459632,0.189161,0.139127,0.263626,-0.0350308,-0.176516,0.115263,0.0662189,-0.0385081,-0.0973131,-0.0385194,0.0139833,0.102041,-0.0976927,-0.097963,0.0104434,0.102444,0.212483
16,-59.2059,0.0908911,0.126742,0.0035744,-0.0505511,0.0230996,-0.198094,-0.0338914,0.0734703,0.0380657,-0.155788,0.227423,-0.0336017,-0.11204,0.199973,0.0211906,0.368281,-0.0795164,-0.0248841,-0.166987,0.137339,-0.0474904,-0.0521393,-0.115165,0.0684014,0.343845,0.0277862,-0.0681797,0.0521066,0.000837521,0.0818846,-0.074841,0.0276404,0.0178075,-0.0554403,-0.0614689,-0.0373738,-0.082069,0.00595436,0.00748272,-0.0882145,0.116818,0.149121,-0.123489,-0.0530912,0.126766,0.113272,0.0473832,0.149884,0.143487,0.00452911,0.00379215,0.163015,-0.109311,0.359863,0.0236302,0.0295207,-0.00473411,0.041699,-0.142381,0.0339771,0.0333583,0.257235,0.173432,0.0467972
17,-56.1321,0.0626233,-0.0224123,0.344229,0.0435334,0.0150739,0.0453655,0.0847897,-0.034912,-0.00799214,0.0232021,0.0540053,0.189551,0.233707,0.0620486,-0.270822,-0.19568,0.0303941,0.03423,0.117312,0.141936,0.0527487,0.126579,-0.0100175,0.0118666,0.0874886,-0.0609159,-0.081716,-0.00560597,0.223192,0.0122512,-0.133157,0.0528815,0.125126,-0.0608159,-0.0653345,0.00977529,-0.0685641,0.0403497,-0.0335151,0.0714603,-0.155013,-0.0739123,-0.257432,-0.183265,0.377619,0.139796,0.0281663,0.131369,-0.0955338,-0.0362002,-0.0155185,0.229698,-0.0806683,-0.113214,0.015637,-0.00823551,0.0430956,0.142429,-0.119397,0.0826872,-0.0881691,-0.123527,-0.127072,-0.00399223
18,54.7975,0.0854249,-0.103424,0.00612756,-0.0772834,0.00322353,0.142322,0.103449,0.225768,0.115895,-0.153033,0.222005,-0.0417242,-0.103502,0.214857,-0.09577,-0.140564,0.174971,-0.0068545,0.0427021,-0.163298,-0.202472,-0.111455,0.0294049,0.019407,-0.0296335,0.109789,-0.127996,0.227131,0.0805966,0.0675637,0.175808,0.167236,0.0852491,0.0953919,0.0673726,0.00871739,0.248195,-0.00545136,0.0531618,-0.223354,-0.210944,-0.186106,0.1529,-0.109464,-0.0520354,-0.0592323,-0.242132,-0.00431034,0.0773257,0.11995,0.0690514,0.225246,0.0697553,-0.0104897,0.122351,-0.00280546,0.0341609,0.0440024,-0.0340785,-0.1549,0.120258,0.0443944,-0.00744122,-0.0216788
19,-54.4134,0.135107,-0.219615,-0.102095,0.000994601,-0.199197,-0.0376375,0.106035,0.231912,-0.101367,0.0453658,0.0399993,-0.0046717,0.0689788,-0.11027,0.155111,0.0855801,0.116807,-0.100927,0.0344486,0.102831,0.0471748,-0.00431515,0.230569,0.0828278,0.0177093,-0.170776,0.00333456,-0.0815436,0.0591499,-0.120312,-0.0419508,0.0537278,0.0406168,-0.203758,-0.185346,-0.162941,0.190818,-0.026119,-0.0737897,0.0750779,0.133409,0.058186,-0.258079,0.0572775,-0.152657,-0.0770532,-0.0490383,-0.00196743,-0.271637,-0.0141943,0.20765,0.182453,-0.0732964,-0.0262936,-0.0317245,0.1186,-0.081465,0.175506,0.140051,-0.211744,0.0847886,0.0932454,0.0308151,-0.181321
