Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64
10,-67.1578,0.196808,-0.141957,-0.0372888,0.21467,0.121702,0.0800306,-0.0329241,-0.00819494,0.0234003,0.026499,-0.0318803,0.10592,-0.168345,0.00477876,0.0200563,-0.0320094,0.0848636,-0.0579648,0.0621647,-0.183728,0.0601362,-0.152526,0.126634,0.239855,-0.134479,-0.0529615,-0.103076,-0.102521,0.0695499,-0.102521,0.15439,0.00419301,0.182022,-0.00529957,0.0466574,0.308105,0.164566,0.109508,0.016746,-0.217975,-0.189774,0.141325,-0.167064,0.0466136,-0.0638225,0.0409623,0.0912712,0.0157343,-0.233523,0.0822719,0.0481145,-0.0233238,1.10994e-05,-0.171094,0.0123703,-0.0137398,-0.00623534,-0.018668,0.162645,0.070499,0.153488,0.0175553,0.237042,0.0124748,0.273519
11,66.4063,0.00377946,-0.158765,0.101261,-0.264252,0.106351,0.197402,-0.00110428,-0.0572994,0.0303652,-0.00868263,-0.0108867,-0.019565,-0.173836,0.220075,0.0139961,0.0974981,-0.0613155,0.160821,0.0191125,-0.0169948,-0.25542,-0.127178,-0.0625363,-0.129994,0.0115562,-0.102694,0.210706,0.140464,0.1018,-0.00242698,0.0919198,0.0810539,0.0184964,-0.114849,-0.0297124,-0.0849882,-0.0422533,-0.162675,0.0692892,-0.189649,-0.0617649,0.00401725,0.153175,0.196405,0.167547,-0.103921,0.100611,0.228756,0.0727431,-0.0124235,-0.153441,0.220606,0.121111,-0.150203,-0.0262961,-0.145223,0.0767389,0.0993635,-0.00995747,0.1631,-0.00987896,-0.238638,0.0402029,0.0179112,0.150427
12,-63.775,0.033356,-0.0459857,-0.0310034,-0.000165046,-0.153873,0.0235863,-0.0105657,-0.147592,-0.0318751,0.193737,0.121381,-0.153239,0.0342801,-0.0551942,0.153021,0.0254131,0.0235301,-0.0127843,0.02234,0.215809,-0.101628,-0.140033,0.178679,-0.00223653,0.245633,-0.32238,-0.0668469,-0.00634586,-0.178685,0.126315,0.108466,0.0300402,-0.0776351,0.186175,-0.0540089,0.234999,0.256621,0.0209381,-0.0472433,-0.233446,0.223425,-0.051999,-0.0472352,-0.00142795,-0.14592,0.120732,-0.0963222,-0.0487169,0.125552,0.0116639,-0.0590967,0.0580742,-0.171248,0.0802523,-0.199563,-0.0582159,-0.110307,0.0453649,-0.132642,0.0862452,-0.0923112,-0.163844,-0.0146355,-0.0624092,0.0307574
13,63.3282,0.0238082,0.0195223,0.19662,-0.127661,0.0413105,0.0357399,0.293911,0.011195,0.130787,-0.0353141,0.0149672,-0.00379038,-0.067017,-0.113182,0.0574625,0.0281806,-0.0310708,-0.113438,0.146574,-0.187524,0.0653583,0.0665797,0.0533909,-0.138145,-0.247622,-0.0846785,0.0826792,0.00204947,0.112438,-0.0814243,0.23949,0.0375111,0.133367,0.0092797,0.100509,-0.0296741,0.298202,-0.217335,0.12634,0.146353,0.270926,0.0910977,-0.103833,0.0615563,0.0101161,0.0959007,-0.103071,0.0143864,0.170008,0.11606,0.0183431,0.0856433,-0.102625,0.10628,0.151596,0.00179655,-0.204859,0.0305669,-0.0408822,-0.211632,0.0602883,0.0491555,-0.0253895,0.22401,-0.0155742
14,-61.6838,0.0232139,0.00470582,-0.276675,-0.0979043,0.0598336,0.0934724,-0.134073,0.0625614,0.00710571,-0.117414,-0.0410702,0.065154,0.135138,-0.0695838,0.0927357,0.0204591,-0.18762,-0.0165926,0.0429489,0.0746336,-0.0662752,0.0530774,-0.0474994,0.062316,-0.0417582,-0.292607,0.0690415,-0.104169,0.104504,0.074349,0.0729972,0.1032,-0.0508436,0.133286,0.369451,-0.0292339,0.00686038,0.0018557,-0.0790438,-0.13297,-0.160589,-0.165711,-0.0707504,0.30141,0.0133224,-0.0754922,-0.0304922,0.125263,-0.105659,0.0636854,0.142961,-0.0423153,-0.00929039,0.177015,0.0730189,0.194487,0.1377,-0.0829057,0.0530415,-0.332421,-0.0281791,-0.103082,-0.110125,-0.0638718,-0.0589595
15,60.3413,-0.111181,-0.140853,0.0588404,-0.0354162,0.0837831,-0.169741,-0.168143,0.0129844,-0.0270501,-0.0930739,-0.292888,-0.162623,-0.0554547,-0.0684997,0.169715,-0.0635298,0.0998949,0.0850234,0.0671458,0.117402,0.0114959,0.0326236,-0.0264258,-0.181557,-0.143319,0.161497,-0.129322,-0.0104943,0.00538459,-0.0852405,-0.0535811,-0.110567,-0.0161751,0.0302831,0.0597561,0.232128,0.0325622,0.0400279,0.0521866,0.055077,0.0874787,-0.0337258,-0.0643346,0.081697,0.000458748,-0.0497908,0.355011,-0.0771177,0.162837,0.0717406,0.0457238,-0.0673302,0.153901,-0.0865007,-0.161366,0.286032,-0.0410457,0.258536,-0.164124,-0.142415,-0.0414931,-0.147468,-0.104151,-0.0258285,0.176707
16,59.4636,-0.0671432,-0.0443118,-0.159014,-0.0590515,-0.199066,-0.214719,-0.0998129,0.119686,0.120813,0.199899,-0.00636816,-0.0219949,-0.0224385,0.0787407,-0.0661239,-0.129625,-0.0399527,0.111303,0.157469,-0.0475475,0.088584,-0.0503862,-0.105712,-0.0624434,-0.00490538,-0.0567292,0.1678,0.107968,0.0508484,-0.342503,0.0892583,-0.0847684,0.23037,-0.0305413,0.0311193,0.0663452,0.10353,0.0499861,-0.0834579,-0.0101797,-0.212101,-0.152089,0.153488,0.0492653,0.0687334,0.0400889,0.00117494,-0.0781419,-0.0163788,-0.239404,0.201448,0.057965,-0.0917139,0.0186738,-0.0953188,-0.138993,-0.210153,0.177095,-0.0586751,-0.0657893,-0.0864949,0.0264313,0.206939,-0.0656646,-0.25233
17,-57.8658,-0.145379,0.101596,-0.139292,0.100024,-0.0181272,-0.0574648,-0.00957339,-0.0805529,0.0898146,0.0510942,0.213461,-0.0585617,-0.104041,-0.299557,0.0724304,-0.0665944,-0.0101539,-0.0593484,-0.288645,0.219548,-0.0840872,-0.0368864,-0.168576,-0.0684517,-0.118273,0.140484,0.0997578,0.0625355,-0.0399686,-0.0749445,0.136072,0.152974,0.370907,0.0119159,0.0303137,-0.123046,-0.0840363,-0.127055,-0.105058,-0.134858,0.149013,0.181124,-0.166401,-0.000450354,-0.0897239,-0.127987,0.192129,-0.146454,-0.0842211,0.0378156,0.0691531,0.0927869,0.10672,0.0524758,0.0379704,-0.126569,0.00779166,-0.0658155,0.0894773,0.0453359,0.0223613,-0.121154,-0.0788867,-0.156545,-0.0064298
18,-56.7684,0.236166,0.0894831,-0.156342,-0.00154713,0.145644,0.158508,0.121837,0.0586337,0.237905,0.0808306,-0.127094,-0.143902,-0.096888,-0.12873,0.0165638,-0.207312,-0.160724,-0.0948332,0.0935892,-0.00335594,0.00198604,-0.119726,-0.100861,0.0223509,0.0947706,0.194943,-0.087331,0.0492432,-0.180047,0.0577118,0.0253647,-0.139226,0.129208,0.175624,-0.131482,0.0195001,-0.0302025,-0.146878,0.201342,0.0318889,-0.149255,-0.00933439,0.120688,0.0466054,-0.0376621,-0.00653427,0.029977,0.132034,-0.138156,0.0494502,0.0737512,0.0176857,-0.194639,0.0157894,0.00404941,0.0623481,0.105242,0.060496,-0.0701056,0.126176,-0.350934,0.0523024,-0.235817,0.148118,0.0077729
19,56.4336,-0.0533866,-0.0608148,-0.0707151,-6.10695e-05,-0.0111147,-0.020384,0.044627,0.0368431,0.119145,-0.243814,0.0151574,-0.0946491,-0.0147047,-0.206794,-0.0770503,-0.111054,-0.0494654,0.214413,0.168351,-0.05608,-0.154723,0.0268611,0.0540706,0.16244,0.168892,0.183439,-0.0715845,0.113221,-0.0788792,-0.204194,-0.0927423,0.0649564,-0.011429,-0.107805,0.0590873,0.0300694,0.0361189,0.112085,-0.174607,-0.126317,-0.0471625,0.00952811,0.00244679,0.18902,-0.0714027,0.09139,-0.0773158,-0.00502164,0.2867,0.133492,-0.174544,0.116715,-0.051399,0.268874,0.271966,0.0275559,0.0551927,0.104455,-0.043398,0.16942,0.143308,0.209453,-0.00317821,-0.14484,0.0899089
