Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87
10,-84.7804,0.0108444,0.0864722,-0.000895857,0.113894,0.00244199,0.0879364,-0.069212,-0.154764,0.165348,0.158483,-0.0200536,0.00523534,-0.0292322,0.0054349,-0.0537739,-0.33209,-0.0437395,-0.0392283,-0.0809167,-0.083481,0.0350112,0.0934019,-0.119761,0.173644,0.0193937,0.0657984,0.0473097,0.0013016,0.0584628,0.0120656,-0.199568,-0.0276494,-0.0546654,-0.175045,0.0966508,-0.125661,0.142194,-0.0299002,0.044912,-0.0483721,0.0925053,0.0945513,0.0420091,0.242508,-0.0168979,0.100323,-0.0170392,-0.211662,0.0252363,0.074355,-0.0211584,-0.0608154,0.0396264,0.074531,-0.127625,-0.0182549,-0.00355621,-0.192993,0.0570847,-0.014967,-0.182854,-0.0941321,-0.0335381,-0.0132617,0.149586,-0.0706427,-0.0951544,0.208944,-0.0440241,0.0279346,0.0998869,-0.00669588,0.0709401,0.0992887,0.215289,-0.189269,0.11688,-0.126646,-0.0637535,0.126715,0.0232098,0.11717,-0.113588,-0.113473,0.186091,-0.0516241,0.0106071,0.0139271
11,83.6452,-0.216444,-0.101842,-0.202786,0.0549419,-0.0089553,-0.0289885,-0.0685804,-0.00341739,0.0313176,0.0528777,-0.112211,0.0543643,-0.115008,-0.0599898,-0.108705,0.173326,-0.0899978,0.00619511,0.261141,-0.0575093,-0.192462,0.178455,-0.0151949,0.0896199,0.0905374,0.0267017,0.00880363,0.0767163,0.032543,0.0592377,-0.0369283,-0.00585664,-0.34007,0.0602066,0.189808,-0.0571123,0.218182,0.008215,0.0572003,-0.0523603,-0.0143684,0.0210259,0.00297533,-0.0294827,0.208829,0.0302594,0.0285811,0.19554,-0.0569534,0.126148,0.209085,0.0216312,0.0513464,0.0968781,0.033768,0.067106,0.0719633,0.101287,0.0827174,0.0221037,0.256895,-0.0808339,0.00389219,-0.0143539,-0.0752548,0.0631836,-0.0571561,0.0281218,0.0273997,-0.00728518,0.102933,-0.00181721,-0.0250386,0.0431532,0.0713542,0.0127869,0.120964,-0.0763284,-0.0769711,-0.17952,0.216086,-0.0623509,-0.0824637,0.0305938,0.00889241,-0.0410381,0.10223,-0.0386007
12,-82.9217,-0.0127331,0.0487996,0.160084,0.102646,0.0124936,0.136844,0.127433,-0.188287,-0.100853,0.113739,-0.0747277,0.0287284,-0.0204674,-0.112071,-0.107745,0.000210857,-0.0743354,0.0296158,0.00649085,-0.251388,-0.132654,-0.075911,-0.110547,0.127718,0.0988107,-0.120378,0.0845174,0.145431,0.203565,-0.0172624,0.0857135,-0.227147,-0.180306,-0.0869781,-0.0335078,0.0193176,0.00199604,0.156559,0.0132722,0.14188,-0.218161,-0.0825095,0.0792204,-0.0224124,-0.0571428,-0.1915,0.131538,-0.000122623,-0.121486,-0.13894,-0.030965,0.260475,0.0232524,-0.136799,-0.131382,-0.0491988,0.105905,-0.0207403,0.0677401,-0.0508149,-0.112135,-0.0754564,0.0516536,0.0386187,0.0658452,0.0596716,-0.0452683,-0.158641,0.0124073,0.062365,-0.040182,0.0996937,0.078092,-0.183178,-0.076391,-0.0293362,-0.169823,0.0362565,-0.00108611,0.0147491,-0.0112134,-0.00488968,0.036992,0.170838,0.118549,-0.0321676,-0.027021,0.00620546
13,79.479,0.00683611,-0.134498,-0.178874,0.132601,-0.114466,-0.00212469,0.0744061,0.100697,0.0294104,0.0101511,0.233434,0.150935,-0.100335,0.103801,0.0828393,-0.0110099,-0.0834711,-0.0539263,-0.12053,0.0258981,0.177578,0.0851605,0.0325051,-0.0221168,-0.0979578,-0.0561089,0.145479,-0.0598969,0.122794,0.139168,0.25062,-0.106908,-0.169236,0.133989,-0.0587346,0.162749,0.0822373,-0.129291,-0.00257321,-0.0462301,-0.0227279,-0.0292213,-0.0648537,0.0496419,-0.0367297,0.00506254,-0.12352,0.0853891,0.0474748,-0.163997,0.0156668,0.0429156,0.106966,-0.0461931,0.132543,0.0342723,0.0872142,0.16407,0.162572,-0.132715,-0.208644,-0.0838624,0.0625428,-2.76653e-05,-0.00716214,0.0903023,0.0564582,0.0767985,-0.0500986,0.245806,0.186534,-0.0662631,-0.153057,-0.0902416,0.0188402,-0.126173,0.0354412,0.0771586,-0.13127,0.219426,-0.0352176,0.00757707,0.0262576,-0.0827161,-0.0384281,-0.0125006,0.0512248,-0.0469513
14,78.0715,-0.0913305,0.206314,0.292243,0.055492,0.0178675,0.0919179,-0.073375,0.0360742,-0.0204484,-0.217825,0.0391957,-0.150961,-0.0239323,-0.00825458,-0.0490902,0.0374284,0.0364557,0.0768982,0.0880763,-0.0960902,0.0615316,-0.134442,0.0946652,-0.0860853,-0.0392906,-0.143817,0.152831,-0.107351,-0.0097874,-0.234898,0.0401164,-0.0262416,-0.157276,0.0739349,0.100285,-0.00668052,0.0103895,0.022639,-0.0283649,-0.0340995,0.178222,-0.125982,-0.0751419,0.170238,-0.0386413,0.0775391,0.106388,0.06054,-0.00887515,-0.0568498,0.0795513,0.108561,-0.106363,0.0217708,0.00577135,-0.0856036,0.0352925,0.117982,0.231475,-0.0156562,0.0675944,0.194987,0.094496,-0.00301952,0.165426,-0.000176561,0.0488427,0.220267,-0.00503799,0.0401936,-0.0605283,0.0275224,0.060943,0.0693185,-0.179619,-0.00490834,0.295758,0.0148379,-0.0592771,0.00700114,0.0407899,0.15521,-0.00998099,-0.0512088,-0.00938019,0.161012,-0.0822186,-0.0706426
15,-76.9628,-0.16045,-0.184874,0.0797858,0.0825651,-0.245519,-0.128964,0.035603,-0.0347653,0.0306412,0.0334382,-0.191666,-0.106383,-0.039834,-0.0652956,0.152102,0.0592842,0.0807825,0.0556959,0.0196049,0.0703217,0.186824,-0.170686,0.0594367,0.00457605,0.193536,0.0317699,-0.0492066,0.0519232,0.089356,-0.0644707,0.0151323,-0.141284,0.0287745,-0.0363037,-0.199138,-0.160614,-0.0540866,-0.0843772,-0.0511588,-0.0630406,0.180157,0.00352548,-0.0778829,0.0530846,0.0107574,-0.0295583,0.100324,0.116611,0.0350076,0.0883748,-0.0991533,0.235427,0.107604,0.0672394,0.0572006,0.0771908,0.0725965,-0.0360265,-0.0920075,0.128695,0.176361,-0.253438,0.0733445,0.0118115,-0.0528303,-0.250584,-0.0289851,-0.0532692,-0.129458,0.15333,-0.090144,0.0868207,0.111637,-0.0250393,0.0366341,-0.0525149,0.0672794,-0.0374183,-0.0206371,0.177275,-0.106769,-0.0056094,-0.0753471,-0.11873,-0.0732969,-0.0039369,0.082365,0.0241531
16,76.1182,-0.0337822,0.0831074,-0.157417,0.0502466,-0.172485,-0.0126644,-0.134792,0.063999,-0.107342,-0.204222,-0.0621837,0.0883052,0.0664153,-0.0888791,-0.24112,0.077187,-0.118363,0.186877,0.0264136,0.15284,0.13403,0.0145389,0.0539432,0.242723,0.0874848,-0.0274247,-0.0980283,-0.178113,0.0497458,0.0399618,0.0978744,0.0760088,0.130094,-0.114675,0.183334,0.0665852,0.0224581,0.0618562,-0.184018,-0.0640139,0.000586955,-0.0920554,-0.00308312,0.0525492,-0.202436,0.0987738,0.0210442,0.0529505,0.0748035,0.0567535,0.159339,0.021044,0.0210801,-0.173372,-0.102579,-0.134557,0.0405928,-0.0770287,-0.00634282,-0.00962177,-0.0100996,-0.10044,0.183735,0.0309907,0.110131,0.130004,-0.0512362,-0.0801518,-0.200819,-0.208148,0.0328165,-0.0242821,0.0377058,-0.0762786,0.144686,-0.142199,0.00337311,0.0511567,0.0541993,-0.00803064,-0.153348,-0.054894,0.0199493,0.0768849,-0.103457,0.0426927,0.0149655,0.0629082
17,-75.3215,0.0374366,-0.146345,-0.156216,-0.093246,0.0321806,-0.0218078,0.207153,-0.04158,-0.067011,0.0829528,-0.149347,-0.042991,-0.00855767,-0.216486,-0.11007,-0.140211,0.144107,-0.035758,0.0653151,0.0351353,-0.0517551,0.0871048,0.0685554,-0.0886602,0.0492844,-0.065889,-0.0594682,-0.194387,-0.056353,0.0137898,0.0390013,-0.119602,0.117733,-0.0432617,0.0768476,-0.238742,0.0880339,-0.0735037,-0.0991795,0.124369,0.0669697,-0.021861,-0.17074,0.127298,-0.0693274,0.00947548,-0.0763033,0.112288,0.0245666,-0.172216,-0.141193,0.0552701,-0.0413605,-0.00544967,0.0259102,-0.13661,0.110181,-0.0195777,-0.0228111,-0.0334123,0.085578,0.14889,-0.127054,-0.12704,-0.0135647,0.0742896,-0.0665873,-0.048264,-0.0110322,0.0399073,0.392564,-0.0191239,-0.0202431,0.0437782,-0.252719,-0.103285,-0.0592834,-0.148532,0.0668829,-0.0935375,-0.111964,0.0841236,-0.015265,0.00968959,0.0545774,0.0556237,-0.0685147,-0.100084
18,73.262,0.0940219,0.05149,-0.164868,0.21984,-0.0620659,0.0120196,-0.107794,0.114079,0.0994227,0.0101704,0.0335332,-0.181378,-0.0104604,-0.0955991,0.00869601,-0.0617672,0.0134835,-0.0468034,0.042934,0.027903,0.00447523,0.0473525,-0.120985,-0.111735,0.160064,0.182567,0.0663533,0.108928,0.00765559,-0.214249,0.131864,-0.0387303,-0.0328769,0.212767,0.0161692,0.0449565,-0.0357728,-0.0515347,0.0586473,0.0326494,-0.125642,0.0190425,-0.176876,-0.143789,-0.179622,-0.0320137,-0.160124,0.116324,0.146927,0.0854294,0.119966,0.133239,-0.103944,0.131171,-0.173386,0.0651204,-0.108921,-0.190352,-0.0967513,-0.00127175,-0.0581238,0.165446,-0.076911,0.01468,0.0995129,-0.122627,-0.0611216,-0.0547443,0.0115831,-0.0111507,-0.00416258,-0.200684,0.156223,-0.155529,-0.0842108,-0.172826,-0.00777119,0.0629951,0.0166763,-0.0692351,0.122879,0.00642002,0.146136,-0.0564162,0.0878813,0.0773291,0.115499,0.0619677
19,-72.7926,0.0609927,-0.155724,0.0824695,-0.151884,-0.0770016,0.0725283,0.104959,-0.0771972,-0.129155,-0.12094,-0.127276,-0.0107439,-0.134959,0.0552343,0.108769,-0.0041482,-0.181897,0.127818,-0.0254601,0.0103485,-0.131725,0.0701253,0.219813,0.0820657,-0.0171049,0.11667,0.00292488,0.00696186,-0.0304338,-0.0842854,0.0162339,-0.015116,-0.178312,-0.0118411,0.104076,-0.0775392,0.0650121,-0.167132,-0.066546,-0.118806,0.141931,0.275938,0.21265,-0.017729,0.0669482,0.0152487,-0.040911,-0.109783,0.134136,0.0889133,-0.105905,-0.11763,-0.0337289,-0.125721,-0.0566442,0.187286,0.0184679,-0.0150842,0.0177171,0.0560715,-0.050284,0.014313,0.0396753,0.073328,0.139509,0.0351176,-0.0126862,-0.0228115,-0.121712,0.0800045,-0.0669115,-0.176334,0.0599894,-0.0949474,-0.244001,-0.109639,-0.107523,0.163855,0.0908463,-0.015094,0.0376246,-0.158433,0.115966,-0.0565849,0.0964992,0.110156,-0.130541,-0.112976
