Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71
19,-60.3365,-0.277633,0.121575,-0.248772,0.215102,0.0337553,-0.10641,-0.115899,0.0953933,-0.0244289,0.0149598,-0.105297,0.151896,-0.0101101,0.0716395,0.0324811,-0.00686658,0.078171,0.264325,-0.0142898,0.0958458,0.0178416,-0.106844,-0.123817,0.00333822,-0.0523906,-0.0148496,-0.0600962,0.132044,0.0710781,-0.0389784,-0.0244412,-0.244014,0.0204604,-0.066614,0.26072,-0.132253,0.0732914,0.0288675,0.222182,0.0645637,-0.0506811,0.164724,0.0339304,-0.0733862,-0.0722014,-0.0828246,0.101797,0.145236,-0.170723,0.0578744,-0.0148559,0.0497288,0.109951,0.00245179,-0.0611491,0.198101,0.00996037,-0.0937588,-0.0188401,0.131059,0.137221,0.113565,0.127373,0.216575,0.171483,-0.0789426,0.0506879,-0.0992276,0.0746178,-0.0351068,0.05686,-0.145058
20,-58.0596,0.0257608,0.0620876,0.147052,0.0589764,0.0844338,-0.277919,0.099375,-0.20321,-0.305389,0.0414676,-0.0320777,-0.287996,-0.148809,0.0979567,0.0660529,0.0709443,-0.116008,0.0695117,-0.128384,-0.135861,0.133807,0.143815,0.0811059,0.176429,-0.0662343,0.00539566,0.0230479,-0.0385707,-0.246447,0.177068,-0.15417,0.115325,-0.144474,0.00424607,0.0717814,0.183696,0.147288,-0.0291235,0.178483,-0.108109,0.100307,0.121323,-0.0933878,0.0694644,0.0138691,0.0119339,0.0800957,0.0767264,0.00649043,0.0277843,-0.0499233,0.00356579,0.141564,-0.0580536,-0.248555,0.0971768,-0.0732561,-0.0632773,-0.111638,-0.0129188,-0.0108288,0.133885,0.0361779,0.0369079,-0.0160018,-0.0128576,-0.0394416,0.0447481,-0.0974099,-0.0580382,-0.123664,0.00184815
21,57.7294,0.189436,-0.193769,-0.0833941,0.0397058,0.145576,0.0299718,0.0104291,-0.0215751,0.0259021,-0.0476176,0.0881675,-0.0589334,0.0358602,-0.057606,0.00833643,-0.0144306,0.0625464,-0.0933731,-0.08504,-0.0147142,-0.117537,-0.000807949,-0.160578,-0.0979234,-0.295628,0.0884644,-0.0688602,-0.0503177,-0.22703,-0.0654712,-0.100655,-0.0490407,0.0372724,0.172478,0.162405,-0.15905,-0.00947602,-0.254891,0.0754567,0.00716719,0.0680988,-0.0465923,-0.0851502,-0.16053,-0.0561066,-0.0373999,-0.07683,0.0826386,-0.0991912,-0.154211,-0.100732,-0.100505,-0.0506195,0.0442987,0.120384,-0.0347881,-0.0854716,0.0689424,-0.224207,-0.285737,-0.19404,-0.0518504,-0.00766615,0.299486,-0.0297515,-0.0432527,-0.210647,-0.0080218,0.114766,-0.0775735,0.0129103,-0.10366
22,56.379,-0.141128,-0.170095,-0.058672,-0.0471269,0.0195759,0.0648068,0.120508,-0.055069,0.0603392,0.0470271,0.029092,-0.101135,0.136288,-0.0405681,-0.187729,-0.0320178,0.11142,0.275422,-0.0306061,0.0249745,-0.181733,-0.0927,0.0197779,0.0625071,-0.0213976,-0.0855272,-0.169568,-0.0406227,-0.2525,-0.080728,0.0347557,-0.0434155,0.0158299,-0.250485,-0.0661822,0.240711,-0.208925,0.0662008,-0.0802146,-0.0267551,-0.0735271,0.116472,0.0191631,0.00671664,-0.0879482,-0.0509823,-0.0802473,0.0710484,-0.0188433,0.0527657,-0.152662,0.0140227,-0.169689,0.0668617,-0.0458383,0.122278,0.0182925,-0.317644,0.109578,-0.0737082,-0.165983,0.00344246,0.0906985,-0.0827604,0.121908,0.0877045,-0.192752,0.129979,-0.00716527,-0.12844,-0.00168627,0.222521
23,-54.7816,0.152574,-0.130633,0.0559514,0.0484964,-0.145421,-0.0606742,0.14416,-0.0195387,-0.00365237,-0.0753805,-0.0260461,0.0388578,0.0462753,-0.00928792,0.0472784,0.000465539,0.0229855,0.0547487,-0.00888584,-0.0431047,-0.258299,-0.144945,0.125508,-0.135598,-0.0397054,-0.0726392,0.138647,-0.0379039,-0.200423,0.12798,-0.160614,-0.173795,0.279783,-0.174306,0.0994468,0.0182623,-0.0429061,0.134924,0.0925666,0.186052,0.0752826,-0.0709057,0.0951467,0.135994,-0.0124365,0.186889,-0.143916,-0.15654,0.205818,0.148553,-0.0668987,0.0680132,0.0710266,-0.0879793,-0.0868023,0.0311099,0.0521772,0.169429,0.0482119,-0.137679,0.0370313,0.163474,-0.0298677,0.0825197,-0.00532587,-0.178435,0.265862,0.0554887,-0.00732995,-0.0361154,0.162194,-0.105689
24,53.2711,0.00610502,-0.0616135,0.163669,-0.0817576,0.173936,-0.0763994,0.0577617,0.0813935,0.145808,-0.155668,0.160704,-0.00856153,-0.00455442,-0.019585,0.150656,-0.161262,-0.0176726,0.0240817,0.0547399,-0.274842,0.113289,-0.138697,-0.0966809,0.132477,-0.155614,0.0220432,0.248562,-0.00539216,0.188954,0.0190651,0.0437949,0.0362041,-0.00452231,-0.00825081,-0.165447,0.0246117,-0.137006,0.125855,-0.0190809,0.130048,0.0428978,-0.0144131,-0.167211,0.00185108,0.117311,-0.198284,-0.210133,0.227126,-0.00211298,0.100078,-0.113719,-0.0839586,-0.0222282,-0.164222,-0.0660384,-0.0152677,0.121018,-0.0726682,-0.117486,0.091598,0.0364693,-0.159762,0.20042,0.14365,0.135772,-0.044079,0.156271,-0.0127973,-0.0186084,-0.188883,0.0171305,0.00642057
25,-51.9634,0.0109019,-0.102981,0.111408,0.161954,-0.146933,0.0576849,0.0181211,0.305554,0.00515629,0.0431088,-0.00246515,-0.120206,-0.144383,-0.152972,-0.11402,-0.123217,-0.0927481,-0.172825,0.0610895,0.0892529,-0.0608283,-0.0196697,-0.10966,-0.121226,0.0625042,-0.0130455,0.0769603,0.109951,0.130555,-0.110578,-0.13116,0.0590841,-0.167558,-0.206322,0.192771,-0.0368107,0.11674,-0.181647,0.0213969,-0.148073,-0.00668284,-0.0573499,0.0338574,0.214181,-0.04095,-0.0939194,0.0760295,0.0327759,-0.107157,0.064941,-0.184824,-0.133677,-0.284198,-0.0852875,-0.148944,-0.0724997,0.0317117,-0.116195,-0.117969,-0.0195214,-0.0928259,0.126077,0.105488,-0.0829508,-0.00292917,-0.137686,0.111638,0.123792,-0.177727,0.103071,0.0159096,-0.024432
26,49.5196,-0.0402704,0.0302366,-0.043142,-0.0632079,-0.191599,0.0252783,0.0313546,0.0720864,0.0293273,-0.262006,-0.00126487,-0.147725,-0.0302598,0.00711048,-0.0595262,-0.034655,-0.0399347,0.132129,0.0316172,0.0454641,0.160552,0.0495011,-0.00884251,-0.00575623,-0.129736,0.109587,0.0946077,0.0114145,-0.123914,-0.137474,-0.00463325,0.258348,-0.0760712,-0.21299,0.00845368,-0.0072997,-0.161975,-0.10209,-0.0687027,0.108031,0.107021,-0.0363135,-0.0714368,-0.310053,0.00994728,0.203092,0.159699,0.0840568,-0.0758646,0.130554,-0.0280537,-0.0111758,0.110222,0.235521,-0.00631317,0.0844202,0.0184197,0.00247069,0.0967725,0.0730659,-0.194155,-0.0197828,-0.0173535,0.109337,-0.190021,0.15413,0.290732,-0.0892559,-0.0269255,0.161835,0.145396,-0.071342
27,48.4192,-0.0775094,0.027128,0.137383,0.130461,0.0397523,0.242452,0.0886473,0.10721,-0.0996158,-0.032639,0.144322,-0.0801587,-0.119551,0.10592,-0.0537621,0.0562168,-0.113455,0.198195,0.296595,-0.0232624,-0.146585,0.00947447,0.202184,0.00570661,-0.114038,-0.0157032,-0.114309,0.0468957,0.0156784,-0.0502603,0.181351,-0.0129995,0.0529577,0.132846,0.0204443,-0.106214,0.115744,-0.146699,-0.104114,0.120905,0.0313851,0.238652,-0.184631,0.12899,0.0948508,0.0569768,0.04835,-0.328828,-0.0379239,0.168936,0.0232099,-0.0476157,0.0238182,0.0126877,0.05639,0.0781282,0.0216893,-0.0745627,-0.161161,0.0391605,-0.0123949,-0.119062,-0.020047,-0.0120156,-0.0689952,0.0493007,0.073992,0.15077,0.151312,-0.184407,-0.120107,-0.136051
28,-48.1835,0.245831,-0.256727,-0.0220024,0.0644365,0.055955,0.106155,0.0250691,0.00123151,0.0414219,0.16823,-0.242167,0.0927706,0.123063,0.000936031,-0.178232,-0.0186778,0.0962715,0.284352,-0.0565392,-0.0798206,-0.0587242,-0.0875617,0.0935595,0.121703,-0.134282,0.0981509,-0.0385578,-0.0772471,0.0762792,0.11338,0.108949,0.0502917,-0.140278,0.118656,-0.0262151,0.0603171,-0.0103276,0.156831,-0.0386358,-0.0733838,0.192317,-0.0150079,0.0523195,-0.101176,0.0997495,0.0682627,0.0900141,0.0478243,-0.240449,0.148378,0.194868,-0.17128,-0.111162,-0.18236,-0.0294933,-0.0205394,0.0671694,0.0353858,-0.0620122,-0.0508626,0.121385,0.100195,0.086989,-0.0235709,-0.113348,-0.0496559,0.0431519,-0.0323953,-0.0249069,0.28096,-0.116751,-0.107231
29,47.0718,-0.0246258,0.0498126,-0.00012276,-0.0114179,-0.101864,-0.0500555,-0.0485178,-0.211411,-0.0259835,-0.143904,-0.161742,-0.169369,-0.0956838,0.177456,0.0339125,-0.163075,-0.0269885,-0.153433,0.0662473,-0.0404801,-0.308355,-0.329803,0.203601,-0.182996,-0.115704,0.0571927,-0.120878,0.0358012,0.132225,-0.0322074,-0.0977363,0.128953,-0.135136,0.16325,-0.131239,0.0365951,-0.106286,0.00873605,-0.0104199,-0.278155,-0.090494,-0.00399361,-0.0202628,-0.000537481,0.0457124,-0.0530219,0.000109297,-0.0370284,-0.207875,-0.0729967,-0.082724,-0.0658978,0.197764,-0.0188276,0.12595,-0.00463716,-0.0216687,-0.0684089,0.127056,-0.00464937,0.0543019,0.14691,0.0770137,-0.0232051,0.107174,0.00966505,0.0439692,-0.0452858,0.0552756,-0.0680454,0.21615,-0.0361938
30,-46.1934,-0.0774501,-0.103287,-0.0500669,0.0295652,0.064749,-0.138847,-0.0948473,0.236056,0.0331472,-0.0328167,0.246414,0.0335263,-0.101849,-0.0380805,-0.0024958,0.0770172,-0.0243389,-0.144111,0.159785,-0.143483,0.0252186,-0.0319877,-0.046894,0.0114978,-0.0366929,-0.102898,-0.163897,0.0919477,-0.0270846,0.138752,-0.0452901,0.290334,0.0626564,0.00582049,0.080154,0.101068,0.0151209,0.214948,0.0628447,0.0248025,0.0305392,0.0569272,-0.0412096,-0.193956,-0.165272,0.13368,0.0679506,-0.140959,-0.0792298,0.00699302,-0.107864,-0.00824492,-0.0110303,-0.124603,-0.128622,0.0419727,0.0622163,0.180603,0.2668,-0.131713,-0.0187783,-0.0889996,0.184941,-0.221035,0.0886027,-0.0609081,-0.206693,-0.0586728,0.196706,0.0879155,-0.00599025,-0.166304
31,-45.9144,0.249455,-0.0164717,-0.186173,-0.0193753,0.118013,0.086483,0.116599,0.0721916,0.0411198,0.10954,-0.0139748,-0.0939266,-0.168846,0.0468961,0.0252662,-0.0794532,-0.07749,0.0608586,0.00679755,0.291304,0.123822,-0.0962688,0.084602,-0.077109,0.161484,-0.0135901,0.145731,0.112285,-0.0513534,0.0167419,-0.0990039,0.090115,0.119258,-0.057687,-0.152221,-0.0394644,-0.0691052,0.11655,-0.0372887,-0.0020058,0.17335,-0.156042,-0.00265187,0.121075,-0.0128348,-0.0874857,-0.0181318,-0.143177,-0.13343,-0.28124,-0.134872,0.109277,0.0522102,-0.14738,-0.135483,0.21529,0.0751146,-0.175031,0.0295737,0.0866663,0.0530046,-0.0962447,-0.0958741,0.212174,-0.00378043,0.198487,-0.0980543,0.0114335,0.109536,0.0777556,-0.0930607,-0.160895
32,-42.8466,0.0149949,-0.207934,-0.138989,-0.30236,-0.00220624,0.0710022,-0.0738677,0.0223563,-0.149228,0.225431,-0.1257,-0.145185,-0.0416791,0.0363617,0.103222,0.0170517,0.0533357,-0.0861904,0.122871,0.0709712,0.186509,-0.124537,0.245719,0.0250584,-0.117445,-0.12071,0.0558825,0.185923,0.130993,0.0506827,0.00361489,0.000875377,0.035747,-0.151987,0.0189378,0.0356468,-0.0653886,-0.0458689,0.0410534,0.0692689,0.068466,0.224336,-0.12272,0.101286,-0.342481,0.018515,0.0548193,0.112749,0.254238,-0.00527832,0.142525,-0.16206,-0.0689632,0.0477284,0.182635,-0.146059,-0.0762207,0.0252518,-0.0676037,-0.0191121,-0.0324873,0.0904558,0.0813622,0.0677952,0.0818506,0.0556054,0.0231089,-0.10299,0.047628,-0.00592369,0.0114607,-0.0509368
33,42.7006,-0.0685504,-0.107322,0.0779034,-0.0028063,0.0424291,-0.217957,-0.028397,0.0282194,0.0262695,-0.0189246,-0.151338,-0.0294943,-0.0377076,0.250798,0.12169,0.0234532,-0.138023,-0.0216241,-0.0188192,0.150787,-0.250645,0.198195,-0.00988402,-0.0628722,-0.172077,0.186511,-0.110173,-0.00203027,0.065107,0.049191,-0.00952331,-0.0857999,-0.00961249,-0.119746,-0.110511,-0.237156,0.0104309,0.135589,-0.0223224,0.193038,-0.110123,-0.0136584,-0.13701,0.0417843,-0.0856694,-0.114573,0.191062,0.155273,0.0344278,0.066037,-0.0368476,0.0446341,-0.0543363,-0.222491,-0.0415098,-0.073384,-0.120086,-0.0508465,0.162169,-0.185527,-0.0485616,-0.210011,-0.148601,-0.00944885,0.0058399,0.107969,0.109484,0.0936329,0.0566975,0.203688,-0.136604,0.138567
34,41.743,-0.138363,0.250733,0.164393,-0.147139,0.0171173,0.0388714,0.133093,-0.0553976,0.0417787,-0.0448529,-0.00580252,0.186859,0.0574922,-0.0283512,0.0380701,-0.0246874,0.0521103,0.166144,-0.0752012,0.14901,-0.123456,-0.185613,0.0561465,0.276168,0.148225,0.00693826,0.0536554,0.0436961,0.0465263,-0.0346767,-0.18387,0.13533,-0.0349377,0.0983538,0.0176684,-0.110623,0.0875354,-0.0847479,0.0131795,-0.157346,0.29869,-0.00572918,0.019171,0.0804635,-0.0772623,-0.0665618,-0.00619701,-0.00824661,0.136923,0.085917,-0.0331092,0.0173301,-0.0466065,0.0725885,-0.0391448,-0.147807,-0.194275,-0.0879728,0.196246,-0.17292,-0.162631,-0.174046,0.136584,0.105636,-0.0632709,-0.216918,0.00603196,-0.0739286,0.168667,0.0913204,-0.0689944,-0.0744436
35,-41.0621,-0.210273,-0.121516,0.165392,0.142772,0.248673,-0.0580434,0.011178,0.0398711,-0.0378077,0.00668932,-0.123183,-0.0677291,0.104681,-0.100602,0.0334631,-0.0573938,0.2437,-0.171791,0.0258723,0.0185662,-0.0466111,0.238323,0.132249,0.0708302,0.232584,0.0960629,-0.0212217,0.10801,-0.0144562,0.204438,0.0240433,-0.0312715,0.112056,-0.0909979,-0.161212,0.144002,-0.0778474,-0.11797,0.0973982,-0.00511076,0.0754235,-0.0788386,0.0458407,-0.0120177,-0.0811038,-0.0977077,-0.000415777,-0.0960112,-0.264984,0.12553,0.0368035,-0.130371,-0.0141618,-0.00237495,0.179456,0.0664951,-0.11374,0.141472,0.11158,0.201045,-0.119945,-0.0742549,-0.0628813,0.204695,-0.0382083,-0.0510376,0.0210344,0.141327,-0.0226228,-0.0358863,0.151176,-0.104044
36,40.9139,-0.0233045,-0.0233518,0.239075,-0.0765746,-0.184614,0.113587,-0.146052,-0.0175755,0.0741752,-0.123572,-0.0853641,0.045279,0.089967,-0.0134794,0.111975,0.0682855,0.0657567,0.0139336,-0.0523159,0.0264703,-0.117632,0.019211,-0.06092,0.0719623,-0.0515583,-0.238453,0.0282338,-0.0400619,0.10499,0.118292,-0.112563,-0.0825867,0.0534024,-0.141554,0.0699138,0.0411727,-0.0370288,-0.225385,0.0437101,-0.142768,0.0569489,-0.0508781,-0.243161,-0.0919475,-0.207871,0.231821,-0.00965072,-0.0963296,-0.201771,-0.0594277,0.191189,0.113503,0.0633839,-0.151604,-0.180219,-0.064223,0.0984072,-0.135404,-0.085066,-0.0337633,0.219091,-0.242108,-0.0269041,0.0398232,0.0401554,0.187279,-0.122505,-0.0304187,-0.171609,-0.057202,0.0508169,-0.00110782
