Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72
10,75.4095,0.0843622,0.14878,0.0568946,0.101949,0.0867832,-0.0946795,0.0624236,-0.0929087,0.0819063,-0.123306,0.0762232,0.149241,0.0691685,-0.0174506,-0.0417963,-0.107565,-0.0995998,0.110594,0.280371,0.0394814,-0.0726835,0.195976,-0.0470344,-0.169208,-0.246275,0.141219,-0.0276868,-0.191387,0.169268,0.0915983,0.0888302,0.184668,0.0244942,-0.0754325,0.121099,-0.230623,-0.00561975,0.153619,0.192741,0.0264721,0.141197,0.0152201,-0.101286,0.106192,0.0263435,-0.0472595,0.0768823,-0.0759991,-0.151711,0.0731119,-0.177119,0.00742036,-0.0631544,0.117316,-0.193026,-0.158255,0.0252162,0.13841,0.0231672,0.0848828,-0.0881203,-0.0324699,0.0777795,0.00500883,-0.138012,-0.0508322,-0.0543346,0.180756,-0.1425,0.0974685,0.0579692,-0.0192793,0.144249
11,71.8363,0.162069,0.0281978,0.0560121,0.00555613,0.213144,-0.148793,-0.0574829,-0.216912,-0.0071429,0.0538706,-0.0447811,0.103765,0.079273,0.301551,-0.114195,0.001218,0.134218,0.237942,-0.146553,-0.147235,-0.0940181,0.112064,-0.112906,-0.0886664,-0.0369669,-0.111809,-0.00600181,-0.0572667,0.0674992,-0.0428209,-0.0849514,-0.0739612,0.154247,0.123643,0.0424043,0.0327689,-0.111046,-0.0608139,-0.069502,0.0473033,0.162615,-0.0839082,0.0499113,-0.156322,0.0771191,0.0984513,-0.0454644,0.078768,0.129617,-0.0530959,0.0625177,0.104774,0.178705,-0.0914752,0.0643407,0.087053,0.223503,0.0527734,0.143477,0.152562,0.0858997,-0.0426523,-0.113316,0.129371,0.220728,-0.185025,0.088455,0.0593509,-0.00386272,0.074956,-0.0752989,-0.0487258,0.22484
12,-70.9577,0.0126182,0.0765268,0.128504,-0.0478558,0.243513,-0.0848261,0.0430639,-0.174141,-0.12224,-0.00166664,-0.0318256,-0.0607402,-0.144187,-0.242137,0.02612,0.00522242,-0.0310492,-0.105065,0.153654,-0.0431239,-0.0135675,0.00354918,0.0825847,0.149233,0.0932076,-0.0929243,0.0483581,-0.183097,0.00154394,-0.0346993,0.0364428,0.0985699,-0.146777,0.075758,-0.0645569,-0.0869165,-0.16958,0.086139,-0.108968,0.149676,0.0298469,0.178551,-0.0134508,0.0979268,-0.0597988,-0.0442603,-0.185573,0.128529,-0.115688,-0.0901073,0.362076,0.135271,-0.107964,0.0571521,0.0267251,-0.0595957,0.0737178,-0.000658462,0.176743,-0.12093,-0.198301,0.0411684,0.0869523,0.106627,-0.00374305,-0.124646,0.19775,0.0285799,0.0498641,-0.16333,-0.172829,-0.134823,-0.0450049
13,-70.0414,-0.0917776,0.105685,0.114298,0.142186,0.0394042,-0.0110826,0.0270354,0.118914,0.0230124,0.19278,0.00696982,-0.0686489,-0.0640031,0.0526416,-0.00747289,-0.0377736,0.0379521,-0.198251,-0.270705,0.0692864,-0.014325,-0.00331604,-0.0318784,0.0105092,-0.237271,-0.0620609,0.226472,-0.105085,-0.116161,0.0610994,0.0551393,-0.160638,0.0475413,0.00663505,-0.0689178,-0.139802,-0.141918,-0.0205027,0.0502703,0.173306,-0.0751456,0.111011,0.14211,0.107277,0.0737103,0.186102,0.174323,0.0449125,0.105246,0.0767068,0.100418,-0.125669,0.113821,-0.0716506,-0.131211,0.0929022,0.0181045,0.211103,-0.26036,-0.0600071,-0.121701,0.036737,0.103425,-0.106419,0.00680807,0.117007,-0.0408975,0.243766,-0.0744754,-0.153138,-0.117503,-0.0490848,0.167042
14,69.1246,-0.221894,0.0766777,0.127823,0.170327,0.0737029,-0.209031,0.18519,0.0126575,-0.0233128,-0.0215587,-0.0474242,-0.299984,0.15868,-0.0488532,0.0235481,-0.0323828,-0.0366517,-0.0367685,-0.0588028,-0.104612,0.10875,0.111583,0.100998,0.0206191,0.0609341,0.056867,0.0183808,-0.124106,0.0586365,-0.0747202,0.0757114,0.137547,-0.202496,0.0635355,0.0291934,-0.120446,0.0275514,-0.0640878,-0.0411777,-0.0759024,-0.0100631,-0.104367,0.0401882,0.167313,-0.0595677,0.0710723,0.107355,-0.0944674,-0.022783,0.0571454,0.0238628,-0.291831,-0.0381752,-0.115929,0.172175,0.100834,0.335845,-0.0166053,0.0680171,-0.0550204,0.205328,-0.109679,-0.0148284,0.0085936,0.00528151,-0.0518714,-0.16104,-0.121661,0.18734,0.165834,0.122223,0.00435421,0.0485885
15,66.9216,-0.108633,-0.0251344,0.171425,-0.0500814,-0.123778,-0.20294,0.116878,-0.0907703,-0.0920734,-0.00756899,0.0752523,0.0573462,-0.0158405,-0.0228148,-0.0949441,0.139166,0.163873,-0.0615817,-0.0144084,0.175064,0.0631903,0.0958979,-0.126339,-0.0252026,0.0608952,0.153046,-0.00298861,-0.0340632,-0.185627,0.0794494,-0.0379544,0.150893,0.00346488,-0.106748,0.183528,-0.0385558,-0.122888,0.233377,-0.127964,0.0695138,-0.119592,0.0402532,-0.0596056,-0.125491,0.140415,-0.157423,-0.201552,0.112946,-0.0360085,0.17014,-0.125806,-0.0305648,0.0619887,-0.324477,0.0159734,-0.0355547,-0.0516103,-0.066376,-0.117471,0.00598692,0.248399,0.259028,-0.0425932,-0.171491,-0.0477456,-0.0777115,0.130307,-0.0168109,0.0264515,1.23676e-05,-0.0793403,-0.0399613,0.0534602
16,64.4158,-0.0319273,-0.119559,0.0575849,0.0951961,-0.0289692,-0.0145849,-0.146886,0.0113793,-0.111985,0.0790011,-0.0496385,0.168949,0.0977335,0.0889981,-0.0782468,0.100931,-0.239428,-0.262634,0.0697697,-0.00886867,-0.0276891,0.104061,0.0917289,0.027173,-0.0518522,-0.136068,-0.0814677,-0.153071,-0.015141,0.0450849,-0.135953,0.00407393,0.16189,0.170575,-0.132203,-0.00316168,0.149052,0.120597,-0.0773511,0.0210368,-0.105724,-0.139122,0.181205,0.116803,-0.0561156,-0.188005,-0.143143,-0.114466,0.0907949,0.168481,0.0826551,0.160997,0.0545631,0.0553207,0.125306,0.0147376,0.0221983,0.30932,-0.0506536,0.059645,0.142662,-0.0380061,0.0278885,-0.0541436,-0.0539774,-0.00381818,0.050223,0.0108517,-0.0555436,0.0937588,0.232226,-0.228607,-0.184665
17,-62.8504,-0.0701918,0.133994,-0.0738428,-0.0644535,0.0759784,0.028617,0.185833,-0.212101,0.208543,0.040215,0.150264,0.0539783,0.214576,0.182149,0.092901,0.0153782,0.0612167,-0.0321525,0.136229,0.0616026,0.0146618,-0.0786457,-0.00125369,0.245509,0.142606,0.0614959,0.0078767,-0.132931,0.0665009,0.114096,0.160385,-0.117325,0.0710196,-0.0505604,-0.0848619,0.0899224,0.0548801,0.0865918,0.0454301,-0.222809,0.0446963,0.0621752,0.144031,-0.0642959,-0.0328824,0.0118673,0.166004,0.048189,-0.0456594,-0.00512509,0.323138,0.077979,0.0164548,-0.146749,-0.189746,0.0441832,-0.00893537,0.0696586,-0.125223,0.0336971,-0.12444,0.176093,-0.171163,-0.130971,-0.0528805,0.0073984,-0.00371702,-0.211589,-0.0223015,0.203211,0.0750826,-0.00853748,-0.0311465
18,-60.3734,0.118294,-0.0528085,0.0325066,-0.0404755,-0.0689788,0.106172,-0.0231548,-0.118392,0.0817243,0.255193,-0.045963,0.0134874,-0.0260405,0.102892,0.0240887,-0.116648,0.121476,-0.0921027,-0.0281425,0.228223,0.034538,-0.106688,0.109062,0.0444833,0.0565362,0.248518,-0.104446,0.0313004,-0.12063,-0.0276069,-0.0264458,0.0195584,-0.0950736,0.0121357,-0.033888,0.098614,0.172479,0.044537,-0.101836,0.220832,0.0602058,0.121548,0.0462986,0.0596221,0.28421,-0.0750169,-0.00450821,-0.0553807,-0.142547,0.122189,0.068857,-0.153944,0.1577,0.013793,0.0121363,-0.125186,-0.00237382,0.0621122,0.111544,-0.0278311,-0.0553074,-0.13392,-0.154189,0.363707,-0.105268,-0.150023,-0.256395,0.132113,0.0558582,0.0983023,0.00864997,-0.0415784,-0.000872313
19,60.3795,-0.102584,0.0560316,0.0370907,-0.135832,-0.0325889,-0.140708,0.153971,0.157072,-0.074518,-0.130433,0.0600199,0.106716,0.0246351,0.00170301,-0.0571465,0.0385961,0.210459,0.196883,0.0837547,0.0889148,-0.00708811,-0.185419,0.122902,0.224778,-0.0582766,-0.203868,-0.117701,0.00323902,-0.110806,0.175271,-0.247594,0.0319165,0.0418735,-0.0800757,0.00211724,-0.130277,-0.0488185,-0.0346032,-0.0427088,0.21941,0.081282,0.0469558,0.161283,0.136437,-0.108364,-0.00478654,-0.0702111,-0.214822,0.054973,0.0974608,-0.0256978,-0.000989866,-0.0340632,0.0833491,-0.0726081,0.150651,0.0177415,0.107261,0.172963,0.074977,-0.058439,0.0721397,-0.171499,0.0690158,-0.012554,0.154372,0.000286066,0.00707547,0.109695,-0.0673935,0.147288,0.29488,0.0923665
