Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39
10,-44.7237,0.126087,-0.187669,-0.386184,0.015341,0.0809256,0.161235,0.0671348,-0.104453,0.0258977,-0.0535736,0.315097,-0.226123,0.203442,-0.0388734,-0.00853156,0.23126,-0.391465,-0.0192892,-0.03234,0.112861,-0.0195516,-0.0276611,-0.243756,0.0265518,0.0422952,0.185024,-0.132764,0.120798,0.0359471,-0.0435663,-0.217467,-0.195569,-0.06388,0.040305,0.0998155,0.169376,-0.096167,-0.0619544,-0.23788,0.0382554
11,43.5701,-0.111401,-0.0782956,0.0353626,0.214194,0.0375742,-0.0420154,0.0363076,-0.142724,-0.0257018,0.0577743,-0.285316,-0.363947,0.298934,-0.0689698,-0.142553,-0.334667,-0.0676724,0.14163,-0.0684004,-0.107712,-0.282237,-0.168892,0.0594418,-0.127606,-0.125039,-0.0852598,-0.0217187,0.12062,-0.00853406,-0.0802709,0.0245782,-0.161696,-0.0337145,-0.0234895,-0.291461,-0.115987,-0.28588,-0.206795,0.0204941,0.00718401
12,41.7952,0.251949,0.115122,0.192599,0.236174,-0.13593,-0.0255075,-0.172762,0.232154,-0.091595,-0.138601,-0.0572599,-0.106662,-0.0406057,-0.0224435,-0.0732893,0.058744,0.10339,-0.0418567,0.168394,-0.0174982,0.0771822,-0.322912,-0.408775,0.172212,0.0426444,-0.237709,0.146283,-0.0361632,0.0653111,0.00162929,-0.263105,0.0612901,-0.112742,0.260258,0.0745549,-0.0753238,-0.0278963,-0.225089,-0.0540136,0.147961
13,41.0216,-0.319023,0.0970622,-0.0725085,0.102057,-0.0646888,-0.056046,0.110631,0.0395907,-0.00996877,-0.149283,0.0134974,0.0616156,0.243249,0.0494684,-0.0138131,0.128765,-0.0236448,0.278967,0.0839887,0.209389,-0.105409,0.053053,-0.0747618,-0.016304,0.168017,-0.0888755,0.156558,-0.279839,0.0590707,-0.17496,0.172738,0.374105,-0.087031,0.240248,-0.195387,0.275,-0.114561,0.133106,-0.188306,-0.0997434
14,-40.196,0.22522,0.273328,0.0256444,-0.0290491,-0.0316357,0.283759,0.0136461,0.213477,0.336832,-0.0436398,-0.125561,-0.133686,-0.244505,-0.106572,-0.0262582,-0.0881864,-0.138094,0.322703,-0.117665,-0.0393403,-0.160881,0.0376405,-0.158761,-0.0291159,-0.0384542,-0.155057,-0.021574,0.0240581,-0.160974,0.225653,0.214683,-0.138938,0.126402,-0.0179013,0.049914,0.261344,-0.0742327,0.24393,-0.0609197,0.0250613
15,-37.1335,-0.288306,-0.0660864,0.173006,-0.0372184,0.155765,0.086139,0.174751,-0.114784,-0.00881791,0.0958154,0.0516842,0.0147233,0.0292706,0.0252844,0.0467481,0.161433,0.123375,0.0503235,0.0321526,-0.228671,-0.318229,-0.348435,0.0610943,-0.00868384,0.321416,0.0600744,0.00763082,-0.21435,-0.0648954,0.178321,-0.135193,-0.166835,-0.0147598,0.0482169,0.253314,0.0726109,-0.0176521,0.157821,0.11926,0.346239
16,-35.5485,-0.109375,-0.204129,-0.156623,-0.00258942,-0.0335906,0.0958543,0.0397074,0.148271,0.0245483,0.29675,-0.00296421,-0.0480015,-0.207864,0.287089,-0.18138,-0.190848,-0.0829029,0.191371,0.224596,-0.253006,0.275522,-0.227786,-0.0450247,0.106312,0.00614604,0.18331,-0.0464684,0.0224912,0.104606,0.0292607,-0.00748892,0.231812,-0.00472197,-0.0176235,0.105583,0.180392,-0.234342,-0.0314055,0.205477,-0.242706
17,35.2833,-0.0955419,-0.0686296,-0.075366,-0.185287,0.0117397,0.0407963,-0.150456,-0.0373297,0.396949,-0.148914,-0.2654,0.0939126,0.289471,0.104004,-0.123148,-0.291145,0.192825,-0.201797,0.0466706,-0.00319969,0.133887,-0.135347,-0.072284,0.169168,0.153416,0.0622415,-0.190303,0.138602,0.0496888,0.0387783,0.0697451,-0.0263273,-0.168956,-0.000241634,-0.0309355,0.215069,0.294284,0.0244046,-0.21268,0.126655
18,31.0401,0.0920493,0.22562,0.184298,0.0178398,-0.206874,0.0877908,0.0256339,0.0550275,-0.0181618,0.102533,0.100957,0.0725936,-0.0501688,0.0765753,0.194984,-0.0957327,0.0102015,-0.0558268,0.081893,-0.014441,-0.0449457,-0.224299,0.0472184,-0.227962,0.206451,0.260025,-0.210727,-0.0726379,-0.382959,-0.206957,-0.0615533,-0.1654,-0.227853,0.0491236,-0.12045,-0.0362774,0.0304917,-0.0402557,-0.224225,-0.387407
19,29.3493,0.0362107,-0.240696,0.00383482,-0.1252,0.195084,0.123817,0.0257049,0.112233,-0.148831,-0.22634,-0.235997,0.00313782,-0.0197852,-0.0126982,0.436262,0.194857,0.055464,0.103899,-0.247896,-0.276485,0.14159,-0.0526166,-0.197976,-0.0424103,0.0665923,-0.0755416,-0.125206,0.142161,-0.143933,-0.153178,-0.0776866,0.21561,-0.114298,-0.181398,-0.270276,0.0526514,-0.0530788,0.063594,0.10779,0.043689
