Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89
65,24.8533,0.109781,0.00800266,0.00675413,0.0779147,0.0904063,-0.00418325,-0.0340467,-0.0962491,0.108573,-0.146367,-0.063375,-0.0957914,-0.117536,-0.147135,-0.122494,0.139635,-0.163632,0.0521511,-0.00286303,-0.0259664,-0.0466544,-0.0803299,0.114629,-0.0181837,-0.0823328,-0.10779,0.0599836,-0.169492,0.00281603,-0.106822,0.0116329,-0.217125,-0.0332442,0.0355171,-0.117711,-0.132102,-0.0974876,-0.0908742,-0.0370651,-0.0174705,0.0560357,-0.0961561,0.0292677,0.183398,-0.0127441,-0.0547845,-0.11331,-0.102018,0.234145,0.090113,-0.0563915,0.170012,-0.0221827,-0.195791,0.0613109,0.206706,0.0910649,0.122644,0.0944583,-0.151538,-0.0478693,0.0965869,-0.0338952,0.137751,-0.0361484,0.00946845,-0.0424917,-0.0910172,0.025521,0.0785152,-0.047186,0.0777313,0.0804659,0.0946664,-0.0209965,-0.26211,-0.111167,0.110645,-0.0520717,-0.0792874,-0.0626311,0.0959237,0.124192,0.0391997,0.0808723,-0.157329,-0.267367,-0.011215,0.0354923,0.111271
66,-24.0649,-0.0728434,-0.0405066,-0.0765356,-0.191536,-0.076048,-0.136318,0.0937544,-0.000439742,-0.0814519,-0.243525,-0.00498846,-0.0429314,0.0500653,0.0946558,0.0520314,-0.0209682,0.121895,0.118988,0.147365,0.0486801,0.0340672,-0.262043,-0.119336,-0.242319,-0.0533299,-0.131476,0.0566629,-0.151537,0.148987,0.123667,-0.00194403,-0.0408099,-0.109718,0.011694,0.0759542,0.128612,-0.0785369,0.0907586,0.0360975,0.0536959,0.0156562,0.102135,-0.151346,-0.0716919,0.202962,-0.0625111,-0.0245788,0.132985,-0.0286996,-0.10994,-0.0804434,0.0340875,-0.0685508,-0.0475436,0.0593281,0.071948,-0.0740593,0.0278402,0.297716,0.105257,-0.0385482,0.0951623,0.111945,0.0213008,-0.0982902,-0.0560699,-0.0601337,-0.118594,0.0984109,-0.194052,0.0913735,-0.133607,0.108859,0.0120768,0.000405508,-0.015402,0.00957115,-0.0674241,-0.238236,0.058743,0.0200917,-0.0728163,0.0576808,0.132523,-0.00714548,0.0691382,-0.0167361,-0.0923592,0.068505,0.0815861
67,22.6758,0.0609365,0.245438,0.0170212,0.00917996,-0.00207532,0.0653028,-0.00666511,0.000941784,0.156358,0.15052,0.0706494,0.0384833,-0.0480047,-0.120508,0.0588678,-0.0782656,0.212867,-0.0392451,-0.0136062,-0.076115,-0.11598,-0.0973927,0.0249854,0.0449606,0.0134205,0.0164693,-0.00286523,0.07221,0.0676431,-0.121855,0.119435,-0.00614504,-0.124592,0.178312,-0.129208,-0.0580294,0.110536,0.152632,-0.0914344,0.110642,0.0844323,0.203286,-0.10551,0.100076,0.0242204,-0.00923134,0.117755,-0.0106837,0.132864,-0.0464591,0.160364,-0.0128027,-0.154203,-0.175781,-0.115451,0.00579597,-0.0631682,-0.100401,-0.0124753,-0.0591251,0.141966,-0.107058,-0.146931,-0.224647,-0.0080143,-0.164222,-0.000360135,-0.0670029,0.240979,-0.0160407,0.0280898,-0.00184372,0.0239877,-0.0384789,0.0406242,-0.0883803,-0.0340352,-0.127555,0.00172687,-0.143212,0.074811,0.00177379,0.147355,-0.0656144,-0.242674,0.129864,-0.00356093,-0.0605356,0.109546,0.165896
68,-19.5276,-0.0788731,0.160876,0.0413144,-0.171919,0.0572028,0.0130018,-0.120566,0.00451814,-0.127729,-0.0188572,0.099063,0.0203774,0.0429396,-0.0856131,0.0770152,-0.0161197,-0.0600443,0.0474896,0.0755219,-0.0655203,-0.034679,-0.114008,0.295523,-0.0308217,0.224354,0.0107012,0.0598909,0.0514085,0.111569,0.0528276,0.0229589,-0.0317866,-0.061254,-0.123657,-0.107409,-0.0887702,-0.0634479,-0.0665878,-0.0157841,-0.0183755,0.148903,0.00515801,-0.00032173,-0.14786,0.0516523,0.0670627,-0.103786,-0.0328892,-0.0870799,0.143602,0.0647113,-0.235182,0.0682653,-0.0325708,0.128401,0.0723286,0.0365954,0.100445,0.0269729,0.0370112,0.0663322,-0.0955198,-0.103672,-0.0488202,-0.0433617,-0.114479,-0.143029,-0.0736058,-0.156922,0.114741,-0.142305,-0.282834,-0.203152,0.0654683,-0.156304,-0.19014,-0.0759191,-0.0892458,0.106282,0.00404256,-0.00851248,-0.174666,-0.11751,0.0172483,0.170019,0.111955,0.0539637,0.104963,0.0627554,0.0677892
69,19.405,0.0149796,-0.0566355,-0.0103051,0.0384289,-0.0405256,0.10946,0.0776815,-0.00636614,0.119846,0.00139923,0.00652045,-0.310908,0.0401556,-0.010738,-0.0181457,-0.083149,0.137562,-0.177168,-0.112036,0.065381,-0.0159639,0.00299856,0.0130042,-0.15292,0.141637,0.132203,-0.149882,0.0711929,0.047309,0.18803,-0.104339,-0.19741,-0.179204,-0.103329,-0.00140104,0.170925,0.0787978,-0.0323001,0.00821281,-0.126934,0.0569361,0.18493,-0.0912971,0.166093,-0.154628,0.156245,0.0426529,0.0475169,0.0404364,0.10159,-0.0256428,-0.0453504,0.122207,0.0245242,0.00129896,-0.124934,-0.0934977,0.177418,-0.0742199,-0.149433,-0.0885029,0.0947869,0.143385,-0.203973,-0.0881453,-0.0216227,-0.0341617,-0.0668812,-0.0108877,0.155093,0.202959,0.0117461,0.117869,0.0985344,0.0451312,-0.0502275,-0.0403612,0.0497855,0.0822539,0.0342945,0.0627415,-0.1078,-0.0278834,0.152167,0.0714413,0.00726506,-0.100474,0.0460096,-0.144922,0.0160098
70,-17.9882,-0.110241,-0.0871333,-0.0650307,0.0138835,0.0783471,0.0391737,-0.0270044,0.141021,0.123492,-7.40564e-05,0.0969259,0.0946291,0.292254,-0.0873735,-0.0618434,0.011228,0.0566637,-0.169462,-0.0995455,-0.0769449,-0.0460569,-0.0846606,0.130276,-0.0302352,-0.1157,0.00734389,-0.0603903,-0.184852,0.146815,0.0135406,0.202703,0.0624952,-0.0874628,-0.165528,-0.105097,0.162143,-0.00896385,0.0902123,0.0673107,-0.118993,-0.0429608,-0.147055,0.104538,0.208528,-0.00826647,-0.0123796,-0.0786881,0.0840618,-0.12484,-0.0336809,0.0466116,0.0483392,-0.130579,0.174516,-0.0216652,-0.125708,0.00121646,-0.0109406,-0.056445,-0.0976782,-0.0894582,0.0959625,-0.122632,0.164524,0.177566,-0.0195785,-0.129026,-0.0271984,-0.0232651,-0.153877,-0.081626,0.125866,0.00438701,-0.0548823,0.0841398,-0.0123381,-0.0944593,0.0446844,0.06822,0.0174068,0.0179079,-0.0223686,0.119785,0.0159425,0.131938,0.106526,0.173136,0.0340053,0.11526,0.255802
71,17.603,-0.0478254,-0.0110698,0.167924,0.00759157,0.0982346,-0.137187,0.0823743,-0.135467,0.0842055,-0.0693182,-0.071004,-0.00154308,0.0685769,0.0217346,-0.0432804,0.028886,0.0808897,0.136179,-0.103006,-0.111947,0.109632,0.0970552,0.180925,0.0209747,-0.0189928,-0.0814172,-0.201089,-0.287122,-0.0809964,0.0466633,-0.10111,-0.0356606,0.049026,-0.0874793,0.165404,0.0421878,-0.00414462,0.0780163,-0.0775792,-0.0512645,0.0884427,-0.145286,-0.0933594,0.0297535,0.287138,0.00341635,0.0368748,-0.008531,0.142582,-0.135624,-0.234111,-0.0505123,-0.0522045,0.053609,-0.0596886,-0.100866,-0.0345466,0.115689,0.0505891,-0.022036,0.0114579,-0.0671332,0.0513351,-0.166111,-0.041215,0.10795,0.0670611,0.0608868,0.0377101,0.124629,-0.0703251,0.111816,-0.141707,0.0265958,-0.114107,-0.0562335,-0.0807482,-0.148413,0.219662,-0.116429,0.0812493,0.0237505,-0.149987,-0.091287,-0.152271,0.088438,0.0949012,-0.147496,-0.0587402,0.0847868
72,15.9926,-0.0823598,0.0904979,0.00387173,0.274403,0.0111149,0.0421939,-0.0982642,-0.0875737,0.0269805,-0.046662,0.0756685,-0.00184683,-0.0904404,-0.0930546,0.10793,-0.0768406,0.0431008,0.0252422,-0.120753,0.0699372,-0.0566324,0.229525,0.0690223,0.0853456,0.00655785,-0.00944212,0.0670116,-0.00703062,0.0909534,-0.027691,0.210184,0.0303278,-0.0223568,0.106961,-0.235132,0.112938,-0.180568,-0.00180762,0.266676,0.00613277,-0.0971338,0.0221097,-0.0250742,-0.0885517,0.148094,0.100979,-0.115594,0.147457,0.160763,0.0407155,-0.117466,-0.0517799,-0.0670053,0.101519,-0.0561092,0.0591792,0.206405,0.0450304,-0.0582196,0.221429,-0.0867321,0.0720525,0.122447,-0.192289,-0.0569978,0.0633498,-0.00293879,0.000178177,-0.0188717,-0.0862441,0.0135677,0.0788974,-0.0126673,-0.0337376,0.0993901,-0.0448391,-0.063936,-0.117459,-0.179617,-0.122953,0.0455597,-0.00315815,-0.0265937,0.0788665,0.182369,0.128449,-0.0217086,-0.0622538,-0.0576074,-0.189348
73,-15.8461,-0.0745125,0.0122422,-0.0469858,0.25205,-0.2425,0.0737691,-0.0559473,0.0713372,0.0700649,0.0629155,0.0459207,0.107702,-0.0190421,0.110167,0.0494866,0.027692,0.129308,0.107068,0.12111,-0.0372289,0.00107168,-0.0930826,0.0636157,0.0266431,-0.13585,0.0463211,-0.0764249,-0.123912,0.154244,-0.0694484,0.00383444,-0.0960538,0.0600466,-0.0486407,-0.107241,-0.130347,0.08206,0.0855857,0.179976,0.0129757,0.140503,-0.0298035,-0.0857346,-0.00883695,0.0534631,0.21479,-0.00681759,-0.154134,-0.0411885,-0.0953722,0.0931052,0.0897011,0.24632,-0.130649,-0.0952944,-0.0192502,0.0770793,0.130714,-0.042854,0.0914473,0.0810002,0.0749917,0.0714857,0.0893797,0.00507399,-0.00476536,0.0695692,-0.217091,-0.0305312,0.0216101,-0.150206,0.00613089,0.00046952,0.0547503,-0.146133,0.0510941,0.0783418,0.110312,0.0915539,0.188884,-0.105803,-0.0168906,0.0979223,0.162928,-0.124694,-0.00945341,0.169863,-0.118877,-0.227919,-0.0426084
74,-14.7528,0.176373,-0.0491453,-0.0865126,-0.101223,0.0649655,-0.0565505,0.0512105,-0.0923669,-0.0840014,-0.0744105,0.12607,-0.0611028,-0.0680321,-0.0767542,0.166614,0.11666,0.152477,0.144617,0.0774478,-0.0428594,0.0684101,0.153138,-0.155306,0.13111,-0.19273,0.236409,-0.16181,0.0186637,-0.0309442,0.0364701,0.052623,-0.0428652,0.00202265,-0.0791335,-0.0601668,0.243826,0.0120638,-0.0131952,0.113833,-0.0403693,0.196337,-0.049605,-0.088927,-0.0268267,-0.0432506,0.0921527,-0.121018,0.0238939,0.046083,-0.236254,0.169496,-0.165608,-0.00100101,-0.143388,-0.0336297,-0.0508695,-0.023918,-0.125281,0.134467,0.075263,0.0582536,0.0229793,-0.0414889,-0.101141,0.0187149,0.0240021,-0.120071,0.0450098,-0.028944,0.0718096,-0.143709,0.0234514,0.000440349,0.0476291,0.0852679,-0.0627976,-0.070389,0.250222,-0.0597631,0.0238186,-0.0477411,0.112736,-0.0929141,-0.178283,0.0939754,-0.121589,-0.0232649,0.154105,0.052931,0.0926226
75,13.714,-0.0109506,-0.00252535,-0.186379,0.206322,-0.0044506,-0.0128284,-0.134372,0.0762434,-0.0472492,0.143336,0.00205634,-0.177295,-0.141216,-0.0162911,-0.064687,-0.112877,0.115933,-0.0148065,-0.0141724,0.19776,0.0874819,0.0175923,0.0114362,0.0191378,0.0153925,-0.058701,0.205943,-0.00710119,0.0325377,0.0742424,-0.0919873,0.154135,0.188111,-0.107256,-0.0306802,0.0897711,0.0511046,0.091074,-0.121174,0.0584867,0.078114,0.142187,-0.101806,-0.0236358,0.0298501,0.212715,0.0358381,0.0719129,0.00599163,-0.150839,0.00354081,0.00839336,0.0851728,-0.121088,0.0155757,0.161475,-0.0978876,-0.0435976,0.00474968,-0.0619047,-0.115605,0.0319505,-0.0606601,0.313789,-0.120147,0.0466555,-0.0200842,0.147184,-0.0805793,-0.0880157,0.00247392,0.15208,-0.150305,0.140525,-0.0816908,0.0308207,-0.0353134,-0.129884,0.0893515,-0.0654687,0.0721803,0.0901041,-0.106292,-0.0564057,0.0855108,0.144431,-0.12758,-0.00447708,0.0706177,0.222326
76,-13.5396,0.00859034,0.00494882,-0.0277217,-0.0583792,0.157518,-0.0864228,0.185434,0.0256025,-0.0190587,0.057405,-0.0937289,0.134778,-0.00833827,0.0783683,0.0206341,0.0630449,0.0269532,-0.0510524,-0.138144,0.0984353,-0.176722,0.0722619,0.0200421,0.028484,-0.0584701,0.0393553,0.0999889,-0.0101788,-0.205782,-0.0909831,-0.233311,-0.0689998,-0.058603,0.102472,-0.131276,-0.0121235,-0.0711256,-0.20075,-0.140148,-0.105401,-0.182732,0.106909,0.00731728,-0.0888977,0.0260871,0.118679,-0.0684864,0.0725311,-0.0280472,-0.0772709,0.0574448,-0.180209,-0.0954867,0.0307996,-0.117435,-0.09463,0.0256653,0.16259,0.0139024,-0.0416041,0.0232475,0.201836,-0.0641277,0.108796,-0.216695,-0.102868,0.0526303,-0.0719788,0.114996,-0.0743911,-0.0639941,-0.0039038,-0.175672,0.064439,0.0142371,-0.120256,-0.0262267,-0.0541134,-0.13147,0.184949,-0.0071486,0.132363,0.0879832,0.0470777,-0.0514111,0.0283554,0.188335,0.125962,-0.228257,0.135865
