Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43
10,-50.2987,0.201453,-0.102389,-0.101348,-0.0332623,0.0756399,0.00567855,-0.143504,0.317833,-0.0248919,0.0377984,-0.135159,0.163439,-0.16361,-0.111904,0.113751,0.189567,0.173417,0.111868,0.0317601,0.0787592,0.0809528,0.0273981,0.154389,-0.145764,-0.0520385,-0.223676,0.136095,-0.0147195,0.238408,-0.0847526,0.183875,-0.0371457,-0.265947,-0.0482583,0.235667,0.0507647,0.0971559,0.0974016,-0.193152,-0.41122,-0.171237,0.0644601,-0.0967445,0.0526857
11,48.1513,-0.114846,-0.0750574,0.12067,-0.163554,0.245035,0.152354,-0.00239146,0.232144,-0.0954383,-0.0582121,0.167931,-0.0333146,-0.327977,0.13111,-0.0592102,0.00710076,-0.185725,-0.0394626,-0.175572,-0.0957437,-0.355782,0.0815682,0.00755552,-0.0322332,-0.00966682,-0.148741,0.272569,0.0368093,0.119647,0.0163639,-0.2756,0.343837,0.0114163,0.0800639,0.00492963,-0.0461171,0.0371218,-0.113618,-0.000485925,-0.0677654,0.25256,-0.151644,0.0159521,0.0313586
12,-47.4133,-0.30977,-0.135201,0.191851,0.022065,-0.114306,-0.0644518,-0.20166,0.0287711,-0.133404,0.0503118,-0.190696,0.0641347,-0.0352945,0.208871,-0.247899,-0.0269099,0.0384853,0.0524863,-0.0541538,0.0141957,0.153616,0.324642,-0.132666,-0.206159,-0.136127,0.13737,0.205925,-0.219715,-0.196732,0.290886,0.15069,-0.0351556,-0.0517404,-0.0969193,0.131542,-0.043548,-0.0540123,-0.0719422,-0.109597,0.00927047,0.163088,0.262071,0.0286891,0.0503105
13,-45.9124,0.341816,-0.510035,-0.0027531,0.0389937,-0.154914,-0.0550212,0.0160473,-0.129677,-0.0956076,-0.0633901,0.179843,0.0472825,-0.330718,-0.0093659,-0.192784,-0.000202096,0.0490143,-0.183463,-0.357119,0.0281334,0.247207,-0.146478,-0.0255477,-0.101342,-0.0608612,-0.0460871,-0.128375,0.134529,-0.0640153,0.117788,-0.0771813,-0.07678,0.0292179,0.0536213,-0.051143,-0.0233988,-0.156749,-0.0166574,-0.0314758,0.055072,-0.0618628,-0.0745095,-0.0195763,0.096951
14,-43.3212,0.178379,-0.0525521,0.137387,-0.0507517,0.230543,-0.123293,0.137548,0.136639,-0.405055,-0.17478,-0.162776,0.164285,0.260464,0.0343638,0.00100605,-0.107418,-0.22293,-0.109466,-0.0695197,-0.152902,0.296014,-0.0246035,0.103146,-0.0375713,0.140806,-0.0291466,0.0761013,-0.15148,-0.0851133,-0.235693,-0.0715366,-0.00140821,0.139166,-0.0416919,0.165339,0.129008,0.2086,0.154607,-0.0949512,0.163448,0.0510619,-0.0709226,0.159468,-0.0236753
15,42.0302,0.00658945,-0.0879447,-0.083386,0.196433,0.204231,0.319346,0.0993748,-0.100345,0.0393424,-0.105584,-0.0840618,0.173037,-0.104807,-0.136947,0.0933733,-0.0278163,0.0556571,0.0385984,0.0269007,-0.165878,-0.103018,-0.131976,-0.0574502,-0.212068,-0.409712,0.400939,0.0994136,-0.110802,-0.0204304,-0.129296,-0.0161516,-0.0843006,0.0193463,0.287411,0.105045,-0.0946142,0.0783244,0.0703883,0.198749,0.00332848,-0.0610785,0.0984978,0.185755,0.0905442
16,-39.3319,0.0360827,0.144157,0.0274959,-0.157964,0.135537,-0.128545,0.158928,-0.12674,-0.062386,-0.0262619,0.133546,0.0856009,-0.142136,-0.0925717,0.166136,0.116152,0.134198,0.148455,-0.216496,-0.0383341,-0.136375,0.143726,0.244451,-0.050723,0.144943,0.187465,0.150057,-0.258418,0.0209043,0.181857,-0.067376,-0.053524,0.104766,-0.169269,0.147377,0.0957691,-0.166064,-0.175525,0.0356798,0.253959,-0.420073,0.0313195,-0.167109,0.002997
17,39.1906,-0.0229243,-0.25627,-0.168163,-0.163585,0.0200826,-0.175023,0.251118,-0.101117,0.0530245,-0.0314267,0.229212,0.122014,0.0526628,-0.123672,-0.159755,-0.187858,0.351729,0.148366,0.144337,0.0437842,-0.129038,-0.00391192,-0.192976,0.200042,0.0619903,-0.0792497,0.290446,-0.0571245,-0.0668807,-0.161435,0.169953,0.255824,0.012936,-0.0262332,-0.0294423,-0.0207516,0.0128665,0.246597,-0.12539,0.111706,0.0456715,0.160678,0.0736662,0.121107
18,37.2157,-0.109489,0.0872392,0.112647,0.181373,-0.0100907,0.0208046,0.0629984,0.268719,0.006726,-0.0424728,0.0730622,0.403551,-0.0514137,-0.256689,-0.104381,0.0907323,0.057066,-0.132681,0.183713,0.0238005,0.0600989,0.174474,-0.00579426,-0.0812519,-0.108972,0.116902,0.00908387,0.426195,0.0675463,-0.0640691,-0.0705011,-0.0339899,0.179328,-0.167547,-0.115006,0.0506032,-0.000364971,0.0125202,-0.0784733,0.255258,0.0933567,0.0126394,-0.352961,0.0391186
19,-33.8761,0.0116016,0.242822,-0.225989,-0.0815252,-0.0502744,0.125501,0.0134539,0.0428037,-0.0735447,0.187936,0.0950435,-0.0416458,-0.093022,0.0304293,-0.134413,0.231393,-0.00986025,-0.10506,0.00708812,0.146788,0.284035,-0.0235338,0.0168485,-0.0794191,-0.0387246,-0.124895,-0.127858,-0.126898,-0.0626883,-0.185552,0.175905,0.382686,0.324329,0.0551388,0.189861,-0.191419,0.0663359,-0.186615,0.206006,0.0769706,-0.0208763,0.138717,-0.0270723,0.235456
20,32.7133,0.219025,-0.0529912,0.317111,-0.0557498,-0.194956,0.0695846,-0.0308155,-0.0398736,0.180647,0.0565367,-0.158692,0.147017,0.0268665,0.0292387,0.137364,0.111132,-0.0212844,0.065248,0.148095,-0.223605,0.0568848,-0.0205728,-0.104068,0.0724406,-0.251221,-0.0962373,0.0635265,-0.188053,-0.00400844,0.136121,0.198309,0.359924,0.09867,0.13928,-0.147442,-0.0160081,0.0433806,-0.0655544,-0.201103,0.162349,-0.15616,-0.330177,-0.0820398,-0.157894
21,29.7455,0.0378774,-0.128796,-0.00942897,-0.0404385,-0.164177,0.0544484,0.275757,-0.0579448,0.114726,0.0791765,0.114576,-0.0932148,0.282473,-0.209137,0.124138,0.0316536,-0.0333903,-0.293293,0.033654,0.0796481,0.022818,0.480154,0.125121,0.0283019,-0.0817507,-0.0423905,0.0941422,-0.0563922,0.017271,0.0180106,-0.213954,-0.139918,0.00623661,0.175198,0.0718532,-0.212865,0.10432,-0.210599,-0.233581,-0.145361,-0.00550671,-0.054838,0.121443,0.17661
22,-29.5734,0.0925293,-0.136322,0.0689914,0.32266,0.14008,0.338416,-0.0123663,-0.0583423,0.00938547,-0.204677,0.163555,-0.00680526,0.179825,-0.0805146,-0.053054,0.0218066,-0.03947,-0.229619,0.0477852,-0.167658,-0.145033,0.0184537,-0.0319983,-0.103588,0.245625,-0.0957815,-0.148784,-0.150926,0.161403,0.212678,0.222892,0.178192,-0.0215318,-0.387041,-0.0919369,-0.07891,0.0456215,-0.0425551,-0.0008149,-0.0566913,-0.0777085,0.215938,0.0754704,0.00614997
23,29.5262,0.145296,0.0633956,0.28272,0.0189691,0.099352,-0.108597,0.215869,0.0552025,0.0249749,0.0204032,-0.237628,-0.0303353,-0.0372243,-0.215471,-0.215689,0.108321,0.131749,-0.0944742,0.215576,0.344951,-0.0300175,-0.187865,0.0479094,-0.107125,-0.041484,-0.193225,0.0674578,-0.278929,-0.0839177,0.177679,-0.326919,0.00100461,0.000163372,-0.0100526,-0.183566,-0.0815984,-0.059691,0.0936962,0.256173,-0.0833653,0.0495272,0.112261,0.00391125,-0.0985854
24,-28.171,-0.0615852,-0.0959482,-0.214587,-0.092721,-0.284987,-0.263056,-0.0238939,0.268305,0.0432,-0.155879,0.184147,0.210738,0.100935,-0.0452286,0.0929108,0.0794674,-0.219503,0.0598768,0.0363301,-0.0493366,-0.000879284,-0.161882,0.0514,-0.100028,-0.185751,-0.039054,0.100581,-0.00564322,-0.0184982,-0.0304779,-0.0593374,0.0325409,-0.0869412,-0.157744,-0.156445,-0.0378016,-0.00540926,-0.338433,0.159395,0.0308157,-0.0754432,0.193191,0.340261,-0.270654
25,25.4527,0.0099521,0.147408,0.096972,-0.0363883,0.0111831,-0.181445,-0.0602632,-0.0280839,0.134189,-0.242806,0.0853708,-0.116919,-0.187832,0.000784319,0.170496,0.103574,0.32004,-0.0130523,-0.0419062,-0.304132,0.0527054,0.297153,0.175393,-0.219732,-0.095779,-0.100995,-0.256732,-0.0895171,-0.168387,-0.248686,-0.00452474,0.0347402,0.0951748,-0.0887355,-0.190798,-0.0169577,-0.131583,0.199885,-0.00686368,-0.0953873,0.228566,0.00828587,0.1776,-0.0373199
26,-23.0534,-0.138227,-0.105848,0.114893,0.319499,0.063619,-0.166167,-0.152181,0.209884,0.227911,0.109253,-0.00409285,0.177619,0.0161998,-0.104198,0.193472,-0.125166,-0.147382,-0.11305,-0.0332357,-0.0193471,0.034749,0.0475845,-0.019893,0.127426,0.210641,-0.138251,-0.0178382,-0.111729,-0.0514909,-0.0846047,-0.00860819,0.115741,-0.0769362,0.242117,0.213935,-0.0725952,-0.502445,0.0981526,0.163558,0.0928921,-0.0792227,0.00993378,0.060985,0.130734
27,-22.0074,-0.0535666,-0.0951334,0.0893526,0.164918,-0.125935,-0.108419,0.0139571,0.203641,-0.225305,-0.118118,-0.151342,-0.33803,-0.1232,-0.160136,0.216273,-0.0346008,0.165284,-0.0982347,-0.0434402,0.12285,0.032218,0.0163045,-0.145854,0.0266694,0.154435,0.185357,0.234357,-0.07454,0.165427,-0.156379,0.283046,-0.022517,0.0805976,0.0420159,-0.308014,0.112106,0.0548689,-0.246624,0.182344,0.000578574,0.0206941,-0.157265,0.015659,0.162435
28,19.9526,0.186949,0.123627,0.00925278,0.0975998,-0.0431357,-0.026784,-0.104552,-0.00639456,-0.332166,0.156103,0.174497,-0.0670117,0.103248,-0.142749,-0.123487,-0.126996,-0.0244741,0.19988,0.242743,-0.188839,-0.149426,-0.188694,0.133642,-0.0127808,-0.227422,-0.0947777,0.0153187,-0.133394,0.0751732,0.00799714,0.035282,-0.175443,0.0814098,-0.0766058,0.0347829,0.015245,-0.37297,-0.186866,-0.169614,-0.0229894,0.232309,-0.106746,0.0194687,0.289795
