Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40
27,20.1523,0.062159,0.141271,0.0636967,0.194752,0.150219,-0.150058,-0.109381,0.107626,-0.041004,-0.083986,0.206626,-0.0354196,-0.146982,-0.101702,0.160837,-0.262058,-0.206945,0.139642,-0.0205099,-0.113257,-0.107114,-0.231244,0.179731,0.362979,-0.00307084,-0.165595,-0.11265,-0.00123758,0.14734,-0.303098,0.0499839,0.283913,-0.0105571,-0.0431366,-0.277549,-0.213242,-0.0695978,-0.0927981,0.0142637,-0.0755105,-0.0341519
28,18.2491,0.0154609,-0.0153299,-0.00544248,-0.0395054,-0.124209,0.119859,0.126312,0.141905,-0.0450584,-0.33553,0.138028,0.186068,0.112236,-0.056053,0.158936,0.0740335,-0.00901366,0.214992,0.383285,0.347313,0.0656361,0.222442,0.140062,-0.158321,0.00117188,-0.00511613,-0.173005,0.110715,0.0373541,-0.190292,-0.162207,0.160702,0.0449137,-0.206851,-0.0127006,0.065955,0.24276,-0.138582,0.10108,0.185731,-0.0291909
29,14.7021,-0.0659515,-0.275339,0.242274,-0.20204,-0.136952,0.0789035,-0.0856483,0.184812,0.199896,-0.122678,-0.323192,0.254246,-0.133235,-0.0246917,0.204297,-0.111157,0.0161768,0.00027694,-0.106935,0.166652,0.0790319,-0.113888,-0.108609,0.340476,0.191957,-0.0310778,0.124041,0.149238,-0.201938,0.152172,-0.0205846,-0.0098928,0.0116029,0.0218874,-0.0644636,-0.0691735,-0.12677,-0.239642,-0.127345,0.177678,0.0108849
30,-14.416,-0.0993197,0.187639,0.319108,-0.158622,0.181158,0.257551,0.121526,0.108627,0.087095,-0.0903724,-0.0790903,-0.126576,0.0470573,0.0573069,-0.199978,0.0431862,0.00526185,-0.139951,0.0485115,-0.094371,0.0646322,-0.126417,0.177366,0.157132,0.0448245,0.315917,-0.307679,-0.0251989,0.10772,0.104041,-0.263606,0.0829138,0.148646,0.163597,-0.164567,0.249711,-0.0144395,0.0744082,-0.0182461,-0.0479812,-0.258979
31,-14.0052,-0.293138,0.052989,-0.117026,0.19819,0.0972234,0.231171,-0.0179962,0.30514,0.10638,0.169328,-0.00210237,0.0403139,0.165607,-0.231875,-0.156788,0.0211792,0.0214629,0.1856,0.0328417,-0.0101579,0.236989,-0.0680317,-0.164093,0.169928,-0.323895,0.00134489,-0.0454079,0.112693,-0.164182,0.0253834,-0.13284,0.0424125,-0.229024,-0.0387479,0.000706645,0.0632906,-0.0454558,0.0128783,0.141856,-0.147477,0.364219
32,10.9713,0.308686,0.259083,-0.139599,-0.0815833,-0.0213732,-0.0145982,0.0647543,0.256679,0.341252,-0.0166308,0.0103485,-0.208294,-0.101654,-0.123871,0.077342,0.147036,0.0756522,0.130102,0.00314995,-0.0234936,0.275088,-0.122785,-0.0997923,-0.147667,-0.0152456,0.0379682,-0.197306,0.0722712,0.0908512,0.127223,0.312889,-0.271452,0.108906,-0.220149,-0.152501,-0.149488,-0.121702,-0.0340898,-0.0572796,0.0898079,-0.0798123
33,-10.4969,0.0402986,0.0604334,-0.104342,-0.0389082,0.159055,-0.303882,0.298116,-0.0719853,0.329041,0.168592,0.0543651,0.171436,0.124064,0.0178209,-0.0657623,-0.174087,-0.00796059,-0.179204,-0.077578,0.388416,-0.0491299,-0.0205342,0.241871,0.133852,-0.00756818,-0.0870913,-0.0413385,-0.0898508,0.035421,-0.0216447,-0.184547,-0.201098,0.00318381,-0.251458,0.121086,0.147503,-0.120673,-0.125592,-0.082817,-0.226479,0.0337547
34,-9.73951,0.281185,0.307917,0.130717,0.259769,-0.111652,-0.0369337,0.0510046,0.0203865,0.0149532,0.04211,-0.272064,0.352253,-0.0156507,-0.0579946,-0.262223,-0.135626,0.0641582,0.0145688,0.232528,-0.0202713,-0.147044,0.0759062,0.0773653,-0.133602,-0.0129975,-0.200616,0.047329,0.02444,-0.0931934,0.308587,-0.148502,0.0783682,0.0408189,0.0849953,-0.201545,-0.23111,-0.0200201,0.204804,-0.0364875,0.0124158,0.0413237
35,7.91266,0.0622875,-0.0336113,-0.154644,-0.0380611,-0.0265522,-0.0362957,-0.0458644,-0.0990379,-0.159856,0.0037743,0.0945474,0.171808,-0.097965,-0.285491,0.190988,-0.215802,0.297935,-0.0266868,-0.0155997,-0.0197237,0.0861721,-0.272051,-0.149415,0.0233127,-0.2681,-0.18555,-0.0594055,0.066647,-0.0543637,0.0243906,-0.153401,-0.18822,0.370092,0.193142,0.00212473,0.230849,0.145414,0.0390639,0.182666,-0.0336668,-0.248146
36,5.97407,-0.0414294,-0.0998819,-0.112629,0.316893,-0.180004,-0.0574079,0.00172243,-0.0300499,0.109992,0.0673564,-0.181777,0.0183528,-0.164916,-0.383713,0.140849,0.340984,-0.0550353,-0.131109,0.103722,-0.141404,0.00945898,0.0923759,0.118202,0.129268,0.1024,-0.0136222,-0.226503,-0.252106,-0.154499,0.0395665,0.0234176,0.22878,0.00257257,-0.0936228,0.285069,0.0976944,-0.112267,0.0135726,-0.0215268,-0.0630477,-0.259039
