Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89,Eigenvector_90,Eigenvector_91,Eigenvector_92,Eigenvector_93,Eigenvector_94,Eigenvector_95,Eigenvector_96,Eigenvector_97
10,-89.6594,0.0976057,0.0626227,-0.0692517,0.0529617,0.0900909,0.000435088,-0.113994,0.0850171,-0.065856,-0.0360727,-0.0516854,-0.128958,-0.162204,0.0437055,-0.0445372,0.0319295,0.0267923,0.0614785,-0.0757319,-0.00765499,-0.143144,-0.173247,-0.0689921,0.10502,-0.118415,-0.0868726,-0.0591956,-0.00105458,-0.00471504,-0.257317,-0.0449215,0.0308261,-0.121123,-0.217598,0.0317488,-0.0192874,-0.180289,0.0211283,0.0616145,-0.0148268,0.0266955,0.0807455,0.0221514,-0.0120477,-0.0719823,0.0531532,-0.129912,0.0664559,-0.166121,-0.0342304,0.145332,-0.0143531,-0.181116,-0.0773705,0.0589262,0.0865569,0.0890649,-0.119006,-0.089569,0.10474,0.00540867,-0.0386419,-0.14537,0.0843212,0.0136936,-0.0815578,0.0512122,-0.193998,0.131741,-0.036286,-0.0595716,-0.0169135,0.187961,-0.0108235,-0.10926,0.0210126,-0.00336544,-0.0939513,0.132332,0.0182507,0.246339,-0.115374,0.0890643,-0.0620122,0.0643454,-0.129717,-0.0637764,0.0317665,-0.132559,0.016852,0.072726,0.0263471,0.0653749,0.158823,-0.247445,0.102326,0.177099,-0.054948
11,88.6081,0.159287,0.139474,-0.0483628,-0.124256,0.0556748,0.101359,-0.063482,0.157395,0.126964,-0.0430827,0.0661697,0.0565964,0.187136,-0.0810355,-0.0893407,-0.205961,0.0341073,0.0347688,0.14996,0.172049,-0.224659,-0.0536668,-0.216259,-0.0789772,-0.0462844,0.106588,0.054396,0.0303646,0.0599779,-0.117277,-0.0976435,0.039638,0.039866,-0.0778311,-0.00213735,-0.0417221,0.0243487,-0.0571054,-0.0866916,-0.0559725,-0.0226527,-0.0914764,0.0854754,-0.059356,0.112343,0.10335,0.0870274,0.158028,-0.122111,0.0597388,0.0494887,-0.0225395,-0.0542587,-0.0444019,-0.185264,0.176067,0.0322313,0.210295,-0.0428877,-0.0564517,0.0418547,-0.0261276,0.0224843,0.0073668,-0.0565017,-0.0751867,-0.0658597,0.00536214,0.0881311,0.0769575,0.0984497,0.0344723,-0.0847819,-0.0525051,0.0732067,-0.0818588,-0.130478,0.0323915,0.0843829,-0.104903,0.0390301,0.0545062,-0.0696528,-0.112293,-0.211942,0.127773,0.254686,-0.0950297,-0.00830041,0.0180487,-0.0421815,0.104712,-0.00291615,0.0277883,-0.0928647,0.0179587,-0.197721,0.10753
12,87.5791,-0.11108,-0.0850812,-0.147406,-0.0347625,0.158166,-0.274969,-0.177069,-0.0544982,-0.13227,-0.116907,-0.0144639,-0.0800431,0.0690399,-0.0625298,-0.00327235,0.061928,-0.0181563,-0.0700162,0.0299029,-0.0304864,-0.0103783,-0.122594,-0.0540779,-0.059972,-0.155237,0.122345,0.0168208,-0.0348636,0.130908,0.0147026,0.0462732,-0.0330933,0.173312,-0.0645443,0.111836,-0.0791169,0.0326247,-0.0522826,0.13106,-0.0357076,-0.124083,-0.0305961,0.124482,-0.120304,0.0953094,-0.136676,-0.045771,-0.0773558,0.0216786,-0.00190216,-0.0912079,0.0750137,0.0556019,-0.0238652,-0.150207,-0.0822195,-0.146624,0.00276463,0.153559,0.00420878,-0.0876022,0.0765409,-0.0318537,0.000166955,0.0976063,-0.00111392,0.0689104,0.00112278,-0.0986782,-0.130063,-0.0269017,-0.0135837,-0.138414,0.118587,0.0436244,-0.327909,-0.035737,0.0167014,0.12616,-0.0522228,0.203035,-0.00709639,-0.240574,0.0630858,-0.046372,-0.202321,-0.121612,0.0992167,-0.0994764,-0.102285,-0.00925392,0.091149,0.0195272,-0.00852767,0.0359201,0.0734619,-0.0274543,0.0759394
13,-86.8153,-0.0869484,-0.0975888,0.0741061,0.0513801,-0.115096,0.0200279,-0.10462,0.194797,0.00299323,-0.0537254,-0.160422,0.0739567,0.134759,0.0604594,-0.101133,-0.0884227,0.0214919,0.107098,-0.060802,-0.00303027,-0.036395,-0.0393773,0.235714,-0.0781462,0.075179,-0.0693502,0.0138407,-0.0346972,-0.0712263,0.0261587,-0.160285,0.303628,0.0720124,0.0817261,0.0935051,-0.000531787,0.0665602,-0.0393915,0.118004,-0.0492954,0.187395,0.10039,0.14011,-0.0300112,-0.00956599,-0.110036,-0.20704,0.023104,0.0286221,-0.144521,-0.0577785,0.112849,-0.0508077,-0.12798,0.0290178,0.0605438,-0.0198686,0.0134416,-0.0625023,0.0111078,-0.145223,-0.058947,0.0511463,0.00223856,-0.0724326,0.0266451,0.109097,-0.0094412,-0.0937464,0.00494697,0.0872754,-0.140862,-0.0321683,0.151482,-0.08553,-0.0252649,0.240796,-0.0476579,0.0778809,0.121933,0.126669,0.0355383,0.0407999,-0.145622,0.0295492,0.0535674,0.102492,-0.0370467,-0.0504617,0.0313221,0.0301224,-0.145912,0.117326,0.116829,0.0789411,-0.128004,-0.240809,0.0917253
14,-86.0205,-0.0124033,-0.0849593,0.129593,0.0195948,-0.0510983,-0.101064,0.0482738,0.00877946,0.077214,-0.0582513,-0.106055,-0.0638206,0.0590513,0.115955,0.101413,0.103183,-0.0203553,-0.0102991,-0.161802,0.0283974,0.139254,-0.00587329,-0.160787,0.0664824,0.00333237,0.100233,-0.0724948,0.02123,0.249282,0.0108233,-0.0682212,-0.148796,-0.186774,0.127424,0.0131403,-0.0564898,-0.000894576,-0.0728946,-0.0991829,0.0200315,-0.142555,0.209651,-0.0220758,0.00718028,-0.0126841,0.202549,0.0375469,-0.0299291,-0.0691158,0.143385,0.0593778,0.136979,-0.136135,0.0400903,-0.124473,-0.0391164,-0.0220757,0.0236303,-0.199983,-0.0544212,0.108023,-0.0252239,0.0129912,-0.151666,0.0569248,0.0919462,-0.112336,-0.0280748,0.106155,0.0364929,0.0391411,0.138589,-0.0886025,0.0950081,-0.249821,-0.0255673,0.198369,0.00241482,0.0760276,0.152924,-0.0755375,0.122585,-0.0327517,-0.0404417,0.122622,-0.0705892,0.0695532,0.176447,-0.0752404,-0.0493915,-0.0375265,0.0945328,0.119108,0.0584375,-0.00728994,0.010776,-0.200937,0.100574
15,85.3713,0.138178,0.169026,-0.0247222,0.159053,-0.0729264,-0.0094007,0.0265547,0.0445465,0.125869,-0.0652233,0.0180311,0.153375,-0.185937,0.0638693,0.089283,-0.0185413,-0.0222526,-0.210758,0.0357187,0.190441,0.0569265,0.195988,-0.029651,-0.10205,0.119836,0.0110736,0.0295885,0.127635,0.108792,-0.0232113,0.00883971,0.00219033,-0.0820301,0.0965521,0.0877981,-0.103601,-0.0665073,-0.178725,0.185644,-0.030874,0.0274064,-0.0335724,0.056596,-0.0533245,-0.0471947,-0.054092,-0.0282225,0.129202,-0.0759925,-0.00746055,-0.187791,-0.0819472,0.000839242,0.0324062,0.032571,-0.0248849,-0.139473,-0.0508537,-0.00225032,0.0517956,0.055448,-0.0564267,-0.197089,-0.0572709,0.0482298,0.223314,-0.00183743,0.140389,-0.178002,0.00484487,-0.0519167,0.00569029,-0.0327026,0.0129795,0.0863116,-0.0237599,0.00484555,-0.165796,-0.10741,-0.0157625,0.0896284,-0.158167,-0.0139833,-0.137514,0.102557,-0.0541143,0.0608996,-0.0982826,0.0133043,-0.197204,0.0774594,0.166214,0.0706945,-0.0294303,-0.191195,-0.187546,0.0515741,0.0245885
16,84.7634,0.0159006,-0.0493961,0.0283839,0.0099318,-0.071846,-0.0672135,0.130617,0.0879049,-0.0262134,0.0212613,-0.175963,0.0393304,-0.0796131,-0.0226057,0.0135681,0.092119,0.0503594,0.0590977,0.177597,0.00112865,-0.00230934,0.153657,-0.0489328,0.204804,0.0826531,0.000711955,-0.101245,-0.201496,-0.215683,0.00345615,0.0606355,-0.121569,-0.0932178,-0.0490182,-0.00170583,-0.162726,0.142832,-0.0622875,-0.0196744,-0.0473635,0.0178491,0.0423688,0.162217,-0.195752,-0.217549,0.0995693,-0.192644,-0.035183,-0.108408,0.0157373,-0.0108988,-0.129704,-0.103879,-0.0662566,-0.121172,-0.0737512,-0.101474,0.0626083,0.0719439,-0.0925503,0.118105,0.00875991,-0.00400474,-0.0888706,0.0516381,-0.149823,0.011895,-0.071796,0.0869671,0.131669,-0.0345853,-0.0837474,0.083755,0.192031,0.166475,-0.0920035,-0.0736885,-0.117897,-0.0501059,0.0271524,-0.0349121,0.0260776,-0.0545574,0.109205,-0.0764817,0.0769554,-0.0874377,-0.185808,0.107619,-0.0778648,-0.0914776,0.037702,0.0804118,0.201772,0.171642,0.0426457,0.0171773,0.0225645
17,-81.5202,-0.0133931,0.177967,0.0852664,-0.0155654,0.0502128,0.0974546,0.160133,-0.0647516,0.00250849,0.0903673,-0.00430854,-0.0347311,0.121356,0.0742824,-0.0594524,0.0912432,-0.151436,-0.0135147,0.0926684,0.225161,-0.15898,-0.178681,0.102081,0.103889,-0.118971,-0.00731807,-0.113192,-0.118435,-0.0398726,0.0175169,-0.0267654,0.0131005,0.0770514,-0.0849438,0.210464,0.0166655,-0.140859,-0.0229375,0.00564571,0.0255239,-0.0865005,-0.0582916,0.00700966,0.0777056,-0.0166958,0.078259,0.0538932,-0.179666,-0.0857345,-0.189272,-0.016927,-0.122823,0.034216,-0.0130871,0.186467,0.136059,-0.0288802,0.181018,-0.127835,-0.00956843,0.0741139,0.130645,0.0441711,-0.0489172,0.193055,0.0390351,0.0986257,-0.150138,-0.0587398,-0.0698316,-0.0191551,-0.0243781,-0.0923514,-0.0392776,-0.125611,0.0177477,0.0383573,0.0911983,-0.0867322,0.103033,0.0516443,0.0731565,-0.0206045,0.0516874,0.1311,0.0335119,-0.0661797,-0.084309,0.0738328,-0.225608,0.158168,0.15098,-0.0309487,-0.090023,0.180039,-0.112964,-0.0125077,0.106208
18,80.9626,0.100516,-0.0490877,-0.00975977,-0.0434642,0.0602282,-0.0518613,-0.00395838,0.147527,-0.0441532,0.0198705,0.0701542,0.0508995,-0.205343,0.103514,-0.108282,0.00633083,0.0406303,-0.0690586,-0.0690665,0.0888538,-0.336173,0.0365516,0.19823,0.121208,0.105372,0.209434,-0.169646,0.00571889,0.00464464,0.133372,-0.0161314,-0.0265233,0.0175126,0.085275,0.156175,0.128457,0.0230832,0.0691044,0.0216889,-0.0860573,0.0759438,0.0124989,-0.17198,-0.190948,-0.0502858,-0.013731,-0.22977,-0.0144765,0.022977,0.15002,0.10779,0.158962,-0.00963596,0.0366514,0.0126676,0.148108,0.0941703,-0.108177,0.0103609,-0.0162339,0.113638,-0.0652529,-0.090395,-0.0105787,0.0739358,0.189134,-0.0391445,-0.0198089,-0.0655466,0.037666,0.0622142,0.0759875,-0.0912633,-0.0451467,0.120775,-0.122145,-0.096213,0.0280477,0.13074,0.0455736,-0.0589571,0.120819,0.0402968,-0.0410197,0.0471681,0.0280203,-0.0393849,0.0517511,0.08583,0.0334091,-0.0184641,-0.0236774,-0.0791949,-0.228727,0.0488063,0.20125,-0.0379813,-0.0722243
19,-78.9593,-0.109712,-0.136458,0.139771,0.0213879,0.113429,0.150352,-0.177967,-0.204094,-0.0887352,-0.182576,-0.0183137,0.0213348,-0.109344,0.0661815,-0.0495067,0.0439297,-0.134095,0.0795182,0.0525472,0.0280601,-0.0695049,0.0926379,-0.0234014,0.134929,-0.05393,0.274189,-0.076612,0.121917,-0.120585,0.0557213,0.0805663,0.0899376,0.0670501,0.0923816,0.102982,0.0215408,0.0567692,-0.109693,0.0122698,0.00678898,-0.164806,-0.0773323,0.0226857,0.118183,-0.0740513,-0.135861,-0.0395539,0.0547857,-0.0634806,0.0507644,0.0906899,0.0998084,0.108363,-0.0648882,0.0891687,-0.0512741,0.149419,0.239261,-0.173948,0.02649,0.125796,0.14212,0.0712218,0.0248065,0.0368385,-0.0656779,-0.0432197,0.1854,0.0626941,-0.154265,0.0510942,-0.0959,0.200762,0.0896606,0.0975971,0.0936351,-0.00572639,-0.195796,0.00902597,-0.0623555,-0.114531,-0.0944258,-0.0890249,-0.0243219,0.00392722,-0.00215537,0.10158,0.0713474,-0.0207177,-0.00352546,0.048907,0.00252002,0.0997605,0.0639151,-0.114924,-0.0180393,-0.0223713,-0.0143523
