Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53
10,57.635,-0.160702,0.0623906,0.224055,-0.115568,-0.234966,0.130751,-0.217101,-0.0977497,0.289672,-0.16428,-0.0195289,0.165282,0.209466,-0.0822986,-0.0224644,0.328817,-0.043643,-0.00947452,0.0272477,0.13837,-0.0412498,-0.0901731,0.114145,-0.117917,0.0768467,0.0247178,0.00410007,0.138404,-0.0552062,0.192649,-0.119278,0.0427146,0.152136,0.194752,-0.112258,-0.196255,0.0347727,-0.0794472,0.217554,0.0907814,-0.075439,0.0377046,-0.0379594,-0.0858258,-0.169954,0.0437399,0.0130788,-0.0923972,-0.208931,0.0303788,-0.0230813,0.0631802,-0.163913,-0.180648
11,-57.4303,-0.234624,0.0498064,0.045718,-0.0915944,0.108131,-0.00402886,0.0600877,-0.238711,-0.0517228,-0.176725,-0.175742,-0.168798,-0.0778396,0.0587471,0.103668,0.0490176,-0.0770851,0.0783757,0.164383,0.223791,0.243418,0.119298,0.241788,0.104641,-0.0776691,0.0300574,-0.0699287,-0.142279,-0.347023,0.0739751,-0.184995,0.0433519,0.038059,0.0468075,0.0443306,-0.0445341,-0.0328331,0.102371,-0.34302,0.00324226,-0.0662304,-0.00297908,0.103339,-0.065267,0.123441,0.00496884,-0.124184,-0.0743124,0.0886931,-0.0741638,-0.254756,-0.0479955,0.159362,-0.138792
12,-55.6362,0.0551698,0.154018,0.128935,0.056968,0.00294556,0.0921189,-0.150387,-0.218969,-0.171764,0.0544087,0.175183,-0.158503,0.0389532,-0.0366657,-0.0384649,0.0195548,-0.164518,0.0445934,0.0336385,-0.020722,-0.162115,0.193852,0.0827618,-0.00236836,-0.0508293,-0.298638,0.0236222,0.0375249,-0.0642745,-0.137953,0.0449294,-0.0912535,0.0310664,0.076852,0.158074,0.116385,-0.0748322,0.125843,0.257033,-0.113203,-0.20457,0.121437,-0.157447,0.0650419,0.254951,-0.0925346,0.140171,-0.215774,0.226607,0.284166,0.0267336,0.0742114,-0.0413708,-0.203945
13,-53.854,0.0374976,0.211624,-0.0986898,-0.0207117,-0.128787,0.0996798,0.127112,-0.00858714,0.0312389,0.166026,-0.0919536,0.0264363,0.280871,0.311987,0.182417,0.132425,0.0228831,0.126076,0.0466668,-0.0615288,0.0450531,0.0585712,-0.092078,0.322233,-0.163958,0.167514,0.219023,0.140241,0.106404,-0.0431699,0.00391727,-0.0547038,0.0409143,0.0291196,-0.132442,0.0889794,0.0291783,-0.148861,0.204728,-0.0790851,-0.0378258,0.00813171,0.0127891,-0.15773,0.0839622,-0.141513,-0.288475,0.179472,0.150648,-0.0398213,-0.0499292,0.0351191,0.182644,-0.166304
14,52.5442,0.24065,0.0331894,-0.0672539,-0.0365779,0.187887,0.107091,-0.066121,0.102493,0.0213358,0.0217267,-0.0270088,-0.0689743,0.1553,0.19811,0.0349409,-0.0803694,-0.068154,0.107805,-0.111419,-0.232417,0.105207,-0.0250745,0.0767104,0.106009,-0.178335,-0.127145,-0.192296,-0.140232,0.0570168,0.19767,-0.113264,0.0800349,0.131436,0.225121,0.118571,-0.262747,-0.089383,0.190396,0.146873,-0.229093,-0.0594696,-0.0616615,0.237816,-0.00419943,-0.245185,0.035383,0.0198741,-0.118561,0.0690571,-0.0568881,0.0032614,-0.264179,-0.148261,0.0972819
15,51.8531,0.128576,-0.0211714,-0.17002,0.185705,-0.160049,-0.0108452,-0.0961015,-0.0953128,0.295901,0.0223397,0.028816,-0.137736,-0.158519,0.067893,0.0091212,-0.0103803,0.225284,-0.0216324,-0.132056,0.201291,0.0985672,0.048681,0.00294129,-0.166838,-0.127121,0.130291,0.00263084,-0.0502293,0.109756,-0.0971357,-0.112897,0.21048,0.0385104,0.0923388,-0.242333,0.00891773,0.0283545,0.0597182,0.015483,0.117954,-0.369162,0.0106063,0.0323578,0.117771,0.0781989,-0.215034,0.252896,-0.0693306,0.183178,-0.203607,0.130797,-0.0832713,0.124742,0.0103619
16,-49.9505,-0.203948,0.108823,0.047909,0.217377,-0.28927,0.0957221,-0.0413274,0.165568,-0.0110284,0.0492582,-0.0183375,-0.130193,-0.173022,-0.177028,-0.276608,0.129944,0.0624105,-0.0588684,-0.0409016,-0.0509653,0.143931,0.1951,0.0145051,0.186208,0.0578166,0.0194619,0.133126,-0.0727761,-0.0185198,0.243186,0.114249,-0.0106918,-0.103087,0.0548248,0.123473,0.11517,-0.146013,-0.0655261,0.0591352,-0.030789,-0.0424668,-0.358264,0.195705,0.13274,0.0341426,-0.0130731,-0.060397,0.128814,0.154093,-0.0602983,-0.0748628,-0.0347462,-0.285955,0.00667798
17,47.8515,-0.0058638,0.0716025,-0.22358,-0.0615323,0.0748948,-0.0334287,-0.228584,0.0497539,-0.046507,-0.117391,-0.0935572,-0.132861,-0.194909,-0.0103978,-0.1648,0.193111,-0.0544719,-0.00854831,-0.219601,0.0418392,-0.0768857,0.0289204,0.0117723,-0.201703,-0.134347,-0.0283303,0.133938,0.23009,-0.112266,0.00791659,-0.189361,0.0508546,0.0622793,0.157048,-0.0108433,0.12935,0.190061,-0.0538394,-0.00257139,-0.23202,0.274605,-0.0132383,-0.0917746,-0.144187,-0.137237,0.0369611,-0.17354,-0.0570654,0.284251,-0.00236157,0.0519235,0.196794,0.0730007,0.262882
18,-45.3836,-0.0290606,0.10214,-0.138991,0.0868742,0.227296,-0.129571,-0.0912156,-0.262313,0.00616566,-0.0608997,0.215282,0.072396,0.200688,-0.0934233,-0.0169211,-0.0909526,-0.00161312,-0.000506958,-0.0164407,-0.172462,0.176021,0.0847883,-0.012713,-0.0351386,-0.225443,0.156426,0.31041,0.0141113,-0.0597604,-0.140179,0.0618457,-0.0945913,-0.14177,0.143353,0.0392142,-0.014074,0.165108,0.0750675,-0.0189964,0.211666,-0.0246984,-0.102998,0.154869,-0.0480861,-0.116736,-0.188657,0.119021,-0.0130477,-0.18712,0.0443919,-0.256242,0.201069,-0.203619,0.141089
19,-44.3229,0.0228503,0.255917,-0.0286902,0.136835,0.0448651,0.000554364,0.0682387,-0.094009,-0.130473,-0.041374,-0.193459,0.0617573,0.0180319,-0.0606239,-0.354187,-0.00872478,0.0431521,0.145002,-0.0308951,-0.0252877,0.0748724,0.00971324,0.00272611,0.0754554,-0.0395942,-0.246761,0.00528875,-0.154931,0.133745,-0.0162296,-0.163203,0.0534356,-0.0361028,-0.123881,-0.206596,0.0210341,-0.142418,-0.160799,0.0311587,0.111139,-0.24647,0.164772,0.184232,0.0809977,-0.174526,0.240093,-0.117144,-0.0727092,-0.175539,0.135583,0.0756942,0.259202,0.222547,0.114137
