Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42
10,48.928,0.294831,-0.110612,-0.00937242,-0.169646,0.162924,0.0413172,-0.0338282,0.0837377,-0.188195,-0.206507,0.0394255,-0.113942,0.0912909,-0.189422,-0.19928,0.113146,0.0884388,-0.162473,-0.272773,-0.0857484,-0.0191791,-0.196474,-0.229454,-0.168365,-0.197746,0.157968,-0.139496,-0.206661,-0.128813,-0.0320052,0.173626,-0.0114003,0.14064,0.0100505,0.052538,-0.152348,0.127318,-0.0473274,0.15438,-0.195799,-0.120875,-0.186714,0.245419
11,45.1864,-0.0117275,-0.0988064,0.300643,-0.19399,-0.137237,-0.273623,-0.114255,-0.294457,0.0911821,0.320139,0.172882,-0.10473,-0.122374,-0.0112632,0.00718151,0.139334,0.216996,-0.131079,0.00826313,0.187241,0.0162948,0.0516944,-0.0338122,-0.0798323,-0.161849,0.0349275,-0.0402894,0.00931036,0.105279,-0.188441,-0.0100795,-0.0983716,0.152671,0.0965234,-0.0818927,0.119187,-0.24366,0.192294,-0.0577885,0.0118763,0.0918709,-0.352812,0.0275822
12,-44.6702,-0.0708151,0.220063,0.00385061,-0.00501312,0.186447,-0.00142202,0.225602,-0.137844,-0.044959,0.160046,-0.161261,-0.047362,0.390276,0.0671351,0.318676,0.126804,-0.327394,0.0754525,0.0380991,0.0226162,-0.00289814,0.154029,-0.255676,-0.0633288,-0.0497194,0.308901,-0.0379285,-0.0722599,0.0309033,0.0167411,0.0760847,-0.0303298,0.00661338,0.368481,-0.0800884,0.126031,-0.00360874,6.17875e-05,0.118886,-0.101022,0.0905497,-0.0197823,-0.000217673
13,-44.1536,-0.182279,-0.0286986,0.111833,-0.109743,-0.261032,-0.0348498,0.180617,0.0026915,-0.0563518,-0.376436,-0.00693127,-0.213218,-0.086996,-0.140386,0.135008,0.0449693,-0.223921,0.0258925,0.0170938,-0.0238532,-0.141828,-0.0474173,-0.0272426,-0.188176,0.0571026,-0.00823146,0.360339,-0.171643,0.01611,-0.146564,-0.139323,0.187054,0.00689254,0.14758,0.290831,-0.154629,-0.141452,0.00794178,-0.139913,0.0558323,-0.154448,-0.17163,-0.161693
14,41.3275,0.269906,0.223661,0.0983298,0.0246391,-0.257767,-0.0273284,0.0354206,0.136353,-0.00889968,0.0129794,-0.232838,0.254669,-0.0626727,-0.233531,-0.0955963,0.300157,-0.0462919,0.0689532,0.276979,-0.144108,0.0863765,0.0828874,0.174284,-0.0803768,-0.0756706,0.186603,-0.021988,-0.0708056,0.0436862,0.371813,-0.13947,0.0351602,0.153323,-0.105213,-0.123561,-0.13936,-0.0261728,0.161877,-0.033011,-0.0933262,0.0662607,-0.145925,-0.0934097
15,-39.4635,0.000270675,0.209778,0.267153,-0.0801772,0.123272,-0.0375739,0.188037,0.0243022,0.265248,-0.166949,0.198587,0.0297566,-0.34489,-0.178895,0.043763,-0.119076,-0.195898,-0.0681422,-0.100775,-0.097285,-0.103641,-0.0234133,0.0522511,-0.212278,0.0265771,0.0343062,-0.160262,0.293994,-0.0448633,-0.0172301,-0.0125396,0.174876,0.0293662,0.0482924,-0.23545,0.271637,0.101631,0.0616147,-0.0572004,-0.216428,-0.0892972,0.172751,0.129609
16,-38.8278,-0.256449,-0.0284427,0.12139,-0.0799837,-0.0428836,-0.0789355,-0.189874,-0.15559,-0.158874,-0.221285,-0.137407,0.0957345,0.159279,-0.0101876,-0.014288,-0.0869863,0.115147,0.12095,0.071076,0.0853642,-0.311874,-0.182769,-0.0807968,-0.0700013,0.0437941,0.0161307,-0.177084,0.00876744,0.0640454,0.282266,-0.0936851,-0.179273,-0.475353,-0.0362645,-0.0730113,0.0687445,0.0542013,0.152345,-0.185352,-0.190271,-0.0437829,-0.122965,0.129457
17,36.7901,-0.140139,-0.0220675,0.0120931,0.0817927,-0.0272665,0.317902,-0.153899,-0.123585,0.0562289,-0.300036,0.295209,0.0726597,0.0678992,0.0201465,-0.0592633,-0.0442804,0.135654,0.0227209,0.278422,-0.194269,0.119072,0.193714,0.105908,0.129811,-0.11222,0.360369,0.174593,-0.086368,0.118946,-0.199658,-0.0333059,0.0581814,-0.0286553,-0.0722644,-0.00809898,0.191546,-0.00510599,-0.136765,0.0829538,-0.199914,0.178772,-0.1167,0.171359
18,36.2594,-0.144114,0.222207,-0.4346,-0.222791,-0.216267,-0.0828286,0.0861929,-0.0187104,0.182327,0.110855,0.104942,-0.196931,0.0398284,-0.211857,-0.292102,0.00970923,-0.206836,0.112511,-0.118375,0.0459238,0.0539311,-0.155762,-0.0234798,0.238519,0.0947813,-0.0668913,-0.0031083,-0.22986,0.237583,0.0690231,0.132202,0.0320223,0.00506506,-0.115571,-0.0766996,0.221446,0.00481026,0.00778342,-0.072549,-0.111002,0.044784,-0.085136,0.0728022
19,-36.19,0.0322687,-0.115669,0.154594,-0.250573,-0.0616962,-0.118937,0.0405415,-0.0915511,-0.0869256,0.0261437,-0.223814,-0.0751942,-0.0233319,0.0180562,0.0261276,-0.092746,-0.00295101,-0.0655312,-0.0253739,-0.201347,0.156223,0.129667,-0.260224,0.261199,-0.0925452,0.018955,-0.0762732,0.0551571,0.166771,-0.108793,-0.105125,0.0808114,-0.10332,-0.290964,-0.0635833,-0.0770318,-0.184431,-0.15607,0.0813638,-0.387973,-0.174745,0.226194,-0.310781
