Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50
20,-37.6785,-0.199984,-0.105441,-0.17128,0.197393,-0.0110129,-0.0264428,-0.144197,-0.069799,0.0487485,-0.00311987,0.101899,-0.187211,0.0156079,-0.217088,0.221637,0.0685803,-0.0100567,-0.0150635,-0.0881713,0.056459,0.185611,0.0893407,0.154193,-0.0657005,-0.301018,-0.202524,-0.0948432,-0.0289688,-0.131872,-0.0657192,0.150163,-0.00411083,-0.178771,0.0974789,0.0159969,0.0588366,0.064455,0.186568,0.15031,-0.139272,-0.12978,-0.00222756,0.039016,-0.144664,-0.291906,-0.165813,0.195046,-0.253746,-0.158247,0.17862,0.00529624
21,37.1555,0.0495814,0.073745,0.118077,-0.142592,0.311993,-0.116721,0.0570993,-0.126731,-0.0251107,-0.0539124,0.096387,0.136448,-0.0687286,-0.147735,0.05966,0.1336,0.045802,0.0986589,0.107663,0.290482,-0.348373,-0.0359185,0.103206,-0.0708148,0.0179659,-0.0232154,-0.0153323,0.00931755,-0.20665,-0.217491,-0.12596,0.189412,-0.0389656,0.00410014,0.0753897,0.282372,-0.0822772,0.172113,-0.029609,-0.174362,-0.0861985,0.278537,-0.23645,-0.0213909,0.103463,-0.103462,0.125307,0.029231,0.0184347,-0.157406,0.00048058
22,-36.6174,-0.071818,-0.0741554,-0.108794,-0.194123,-0.197326,0.0989706,-0.0126904,-0.0307452,0.0628197,-0.11971,0.0923443,0.292663,-0.0148525,0.0290906,-0.124481,-0.110763,0.198548,-0.0544416,0.150052,-0.190642,0.0947452,-0.105375,0.202361,-0.201901,-0.0641529,-0.0952212,-0.0746728,-0.0084757,-0.172267,-0.287617,0.0857598,0.071675,0.168011,-0.0637332,0.0157659,0.0295176,-0.0309666,-0.168063,0.0113903,-0.367474,0.0928259,-0.12671,0.0412039,0.0478485,-0.275457,0.245056,0.0137079,0.0675719,0.0956609,-0.157663,-0.0283536
23,36.4867,-0.184111,0.0847703,-0.280723,-0.025942,0.130428,0.114879,-0.117138,-0.00103941,0.219706,-0.211403,-0.229501,-0.1569,-0.111989,-0.140114,0.0676115,0.170733,-0.150855,0.0952459,0.0869529,-0.0786289,-0.00677971,-0.0179859,-0.299759,-0.147351,-0.0740417,-0.0459503,0.199831,0.226912,-0.178354,0.221283,-0.00283092,0.256882,0.122096,0.0646604,0.235985,0.00898849,-0.0525951,0.0297564,-0.0230715,0.0959832,0.0168352,3.28234e-05,-0.0449019,0.11445,-0.0953612,0.224881,-0.0722773,0.148256,0.0101197,-0.0489143,-0.0552159
24,-33.3363,-0.121546,-0.287237,-0.0237985,-0.0207814,0.0321074,-0.229374,-0.164832,-0.0220269,-0.24967,-0.156578,-0.0506374,0.119844,0.32607,-0.0467082,0.0397947,-0.203455,0.194976,-0.173022,0.113706,0.0348977,-0.155025,-0.27317,-0.0687123,0.172699,0.0398014,-0.14782,0.0635958,0.0907351,-0.0142272,0.0427113,0.0342253,0.215011,-0.182443,-0.031738,0.101845,0.0779055,0.0413222,-0.0214913,0.167501,0.245327,-0.0254139,-0.128246,-0.0191107,0.00019719,-0.0212604,0.00447102,-0.25265,-0.16582,0.052203,-0.0232091,-0.105154
25,32.7116,0.120238,-0.184618,-0.0973385,0.406732,-0.0671557,-0.0133474,0.0379811,0.123348,-0.105761,-0.00981025,0.0785788,0.128588,-0.227929,-0.157676,-0.00981031,-0.000957003,0.368504,0.133249,-0.178149,0.0632667,-0.256512,0.161582,0.00767594,-0.2278,0.0631014,-0.142144,0.086872,0.0786405,0.00772964,0.228833,0.0207232,-0.172038,-0.0116157,-0.144499,0.025197,-0.0649716,-0.164859,0.0934206,0.0420512,-0.112698,0.0804015,-0.122367,-0.0487363,0.0983105,0.115641,0.129732,-0.0825061,0.00455366,-0.182176,-0.0740959,-0.0731725
26,-31.9008,-0.0751569,0.0036906,0.105101,0.211282,0.11106,0.0359323,-0.027012,0.125969,-0.0471718,-0.0215041,-0.130575,-0.0352999,0.0379461,-0.108483,0.0246247,-0.132486,-0.148992,-0.0198897,-0.138296,-0.041829,0.152946,-0.233194,0.175185,-0.0844844,0.212402,0.111875,0.0204317,-0.0430368,-0.254295,-0.158027,0.00438909,-0.011248,0.0494012,-0.0212822,0.244251,-0.198057,0.270154,-0.0394342,0.0866806,-0.0504671,0.107982,-0.0642368,-0.0817304,-0.249088,0.24736,-0.0491138,0.108793,0.196222,-0.194997,-0.105387,-0.3367
27,31.7596,-0.0699362,-0.100935,-0.0901741,-0.117975,0.0716472,0.195284,0.0705766,-0.196037,-0.0882736,0.0718055,0.210145,0.0529822,0.110415,0.0492754,-0.320206,-0.216514,0.181225,0.124225,0.00471462,-0.0266694,0.114284,0.102708,-0.244828,-0.0482,-0.0332155,-0.163224,0.325149,-0.0710528,0.112216,-0.117291,-0.0105128,0.224621,-0.0049007,0.18953,-0.0489054,-0.144878,0.0507703,0.23686,0.00188891,0.067899,0.0195532,0.06493,0.0865545,0.00812116,0.142916,-0.0695573,0.268453,0.141265,-0.202936,0.0707275,-0.0607
28,30.6004,0.135604,0.116155,-0.0838678,0.0221449,-0.0473604,0.0587272,-0.109328,0.174597,0.276784,0.0158639,0.0578961,-0.291522,0.0521808,-0.0846171,-0.202028,-0.132208,0.341114,-0.0940754,0.111549,0.0479251,-0.0283029,0.0270079,-0.179971,0.015025,-0.000155282,-0.114638,-0.0874763,0.0391661,-0.0753245,0.0909141,0.152331,0.0744808,0.0978311,-0.227635,0.0202458,0.0582365,0.264794,-0.269546,0.124926,-0.099483,-0.0923692,0.117664,-0.124096,-0.0819272,0.166563,-0.292416,0.0434259,0.0122469,0.104755,-0.0517332,0.181902
29,28.1064,-0.105634,0.169266,0.0761851,0.145858,0.160621,0.132948,0.0839275,0.0628355,-0.0746488,-0.0333951,-0.153958,0.0125368,0.0746856,-0.212969,-0.118835,-0.143584,0.0398382,-0.0808288,-0.0570215,-0.0076899,-0.169296,-0.0283513,0.107089,-0.380397,0.0539307,-0.0174592,0.0394659,-0.101173,0.113671,-0.0470845,-0.0571564,-0.108453,-0.107192,0.380498,-0.0726906,-0.116268,-0.0265403,-0.192157,0.131345,0.121364,-0.208403,0.0622838,0.0424842,0.122844,-0.277226,-0.195264,-0.115337,0.182295,0.184334,-0.0371952,0.120085
