Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45
10,50.006,-0.073081,0.018871,-0.299309,0.0754217,-0.320742,-0.102376,0.0518877,-0.0636266,0.0954801,-0.14855,-0.233755,0.0250934,0.105065,0.0304263,-0.0845899,0.0265815,0.188479,-0.342865,-0.184441,0.275134,0.0141533,-0.0272362,-0.0808506,-0.333611,-0.0809831,-0.11283,-0.0953465,0.0698762,0.221184,-0.112273,-0.129224,-0.0543657,-0.130359,0.193498,0.132984,0.12503,-0.189675,-0.0263345,-0.0850896,-0.0116236,0.163183,0.000691128,0.074232,-0.0593703,-0.0937303,-0.0196242
11,-49.8184,0.117068,-0.310326,0.0357006,0.0746901,-0.144568,0.140323,-0.0812786,-0.143623,0.0525589,-0.0265064,-0.00269802,0.114061,-0.0270535,0.15972,-0.17783,-0.0485287,0.0685605,-0.0482067,0.0334966,0.0232465,0.04723,-0.315004,0.10025,0.128672,-0.0102655,-0.102993,-0.157647,-0.187578,-0.10349,-0.0640688,-0.162873,0.325995,0.116423,-0.0603464,0.144124,0.137091,-0.0334765,-0.0221533,0.220953,0.316219,-0.0880067,-0.00379083,-0.0779714,-0.20955,0.275467,-0.20658
12,-48.5571,0.263857,-0.00353163,0.0162923,0.412193,0.151622,0.00280861,0.0404036,-0.0895858,0.0317555,-0.0283592,-0.015317,-0.160707,-0.104126,0.0176459,-0.369925,-0.173427,-0.259898,0.0115793,-0.276934,-0.207622,0.185449,-0.0321718,0.149076,-0.207886,-0.00405009,0.00906993,0.060516,0.0542808,-0.102538,0.0468878,-0.00852441,-0.0603992,-0.0496723,-0.0667583,-0.0699491,0.198653,-0.143232,0.207506,-0.0666454,-0.0364967,0.0867651,0.0870641,-0.0169832,0.0381658,0.0733397,0.25932
13,-46.4248,-0.156062,0.234595,0.0792995,0.152749,0.0949519,-0.101381,-0.0812252,-0.121373,-0.106468,0.108828,0.180258,-0.119829,-0.190179,-0.0453714,0.175318,0.174083,0.267466,0.091402,-0.0607768,-0.182263,0.360554,-0.195241,0.13437,-0.125869,0.0903356,0.104146,-0.0674459,0.247085,0.0657599,-0.217952,0.0999694,-0.00889455,-0.129841,0.0692651,0.0401673,-0.0507965,-0.0547597,-0.104835,0.0680015,0.106715,0.215633,-0.19499,-0.0820886,-0.116613,0.128816,-0.196057
14,46.3837,0.0226944,-0.162028,0.012723,-0.317009,-0.00969982,-0.0820232,0.114702,0.0394296,0.0555877,-0.029219,-0.195547,0.0102509,0.114448,-0.00228714,0.107864,-0.134516,0.0732259,0.0254335,0.119016,-0.141836,0.278449,-0.0818941,-0.127781,-0.0243805,0.0314596,0.195809,-0.122227,0.0302562,0.156764,0.301888,0.320339,-0.0836333,0.0272435,-0.0330755,-0.141299,0.248581,-0.34454,-0.132421,0.0934759,-0.00170835,-0.0130044,0.031653,0.0978505,-0.033174,0.283578,0.152045
15,42.3951,-0.015828,-0.15025,0.163912,-0.0862562,-0.0318669,-0.358297,-0.077401,-0.0375617,-0.0268646,-0.189229,-0.161924,0.0602871,-0.118299,-0.00778118,-0.167956,-0.132925,-0.159675,0.134185,-0.176204,-0.130556,-0.0596818,0.0534095,-0.191153,0.0388508,0.0953392,-0.0353785,0.306212,0.0838039,0.210701,0.0998283,-0.172428,-0.0963947,0.0516076,-0.151574,0.0850594,-0.226117,0.079232,-0.298595,-0.0415282,0.232838,0.238513,-0.101506,0.0102971,-0.179296,-0.00355344,-0.0659549
16,-41.7176,0.00868038,0.180716,-0.126199,-0.20006,0.133385,-0.239043,-0.0681179,-0.171655,0.234859,-0.0365657,-0.0908282,-0.205056,-0.103321,0.192782,-0.262744,0.132368,0.153321,0.0121073,-0.0995769,-0.0893284,-0.0516948,0.0605124,-0.0470325,0.440842,-0.191017,-0.241969,-0.0545215,-0.185779,-0.0949119,-0.0399201,0.25295,0.0404993,-0.222956,0.0339862,-0.0732698,-0.00530516,-0.123039,0.0424527,-0.115497,-0.0187197,0.0766828,0.0174639,-0.0728972,0.0339875,0.00104168,-0.0914115
17,-39.8914,-0.230769,0.219366,0.0527079,0.191834,-0.184013,0.0281592,0.232499,-0.0827484,0.180605,0.217659,0.117489,-0.122212,-0.0143946,-0.0637196,-0.0269151,0.0544075,-0.269977,-0.0869582,-0.00982897,-0.0849801,-0.288469,-0.0840422,-0.0527581,0.0539759,-0.157028,0.00375375,0.148839,-0.119369,0.140125,-0.0206212,0.186035,-0.0403401,0.16724,0.228874,0.122292,0.0245261,0.0345043,-0.216257,0.262192,0.0443943,0.088897,0.091584,0.126762,0.061559,0.292801,0.0960636
18,39.6468,0.0813287,-0.0481552,-0.246148,-0.078058,0.192795,0.219705,-0.12906,-0.0462649,0.0494664,0.32507,0.053796,0.228138,0.0307734,0.131478,-0.103379,0.14808,0.0759045,-0.0595062,-0.0775729,0.0203523,0.0894213,0.0617288,-0.110818,0.234586,0.330119,0.0629783,0.181198,0.132162,0.114929,-0.0764182,-0.0733404,-0.317079,0.0461891,0.100207,0.260463,-0.0374658,-0.0776155,0.122674,-0.0797767,0.177759,0.0059958,0.193312,0.130533,0.0302613,0.136445,0.093517
19,36.3994,-0.148053,0.0595357,0.132374,-0.0728191,0.0406155,-0.0966592,0.049971,-0.135191,-0.203659,0.235841,0.215784,0.0293915,-0.228943,0.000134117,-0.155839,-0.437666,0.243714,-0.149794,0.125442,0.0352081,-0.0431862,0.159808,-0.107497,-0.021808,-0.0012871,-0.000359036,0.0376075,0.126076,-0.0655747,0.26096,-0.0809101,0.298318,-0.0635238,0.165256,0.0520336,0.171616,-0.0059603,0.0506877,-0.07029,0.13015,0.0888408,0.109309,0.183192,0.171304,-0.0967252,-0.0598405
