Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69
10,69.6165,-0.0352625,-0.0845706,-0.00687061,0.152786,0.231002,0.0958566,0.0402394,0.039128,0.0127571,0.0634776,-0.140058,0.0724496,-0.132162,-0.0884303,-0.117774,0.133538,-0.214346,-0.0136949,0.00519393,-0.246232,-0.0203227,-0.0428565,0.0956377,0.0992239,-0.132719,-0.0945325,-0.0482783,0.086769,-0.146917,-0.109613,-0.151883,-0.0407637,0.114885,0.221179,0.0842226,0.0285806,-0.108343,-0.101232,0.126027,-0.259301,-0.138941,-0.00604943,-0.00733359,0.146565,0.0921001,0.0120225,-0.0350483,0.0242483,-0.110283,0.171236,-0.145566,-0.201984,0.0946011,0.222929,-0.0107843,-0.123717,0.0011206,0.138628,-0.0314274,-0.0669677,-0.0576652,0.194523,0.0381113,-0.252796,0.0897966,-0.0931653,-0.0748623,0.142425,-0.124574,0.0182959
11,-68.6157,0.0368995,0.0704466,-0.044249,0.0579618,0.0457252,-0.162169,-0.0466927,-0.104288,-0.122939,-0.00119566,0.00477781,0.0872613,0.0863102,-0.0596084,0.139619,-0.024384,0.0577245,-0.0786619,-0.0811612,-0.136189,-0.0139066,0.00632295,0.0545798,-0.104085,0.00577333,-0.12641,0.224818,0.0565587,-0.0378538,-0.226328,0.0484098,-0.280492,-0.0701827,0.00491496,-0.213454,0.0758214,-0.291044,0.210679,-0.00473355,-0.0502245,0.245687,-0.0429464,-0.00442366,0.291515,0.160115,0.038954,0.078546,-0.186047,-0.043824,0.127059,0.268038,-0.0586978,0.0944734,0.0034132,-0.106578,0.0867182,-0.22955,-0.0815381,-0.0192217,0.0701471,0.106787,-0.0704813,0.0737863,-0.0100559,-0.0429658,0.0111139,0.104972,0.0233363,-0.00151871,-0.128997
12,67.4265,-0.0589379,0.279257,-0.019799,-0.0305674,0.0730148,0.0776188,0.0424934,-0.161286,0.0481375,0.069635,-0.0644701,0.00885059,0.142333,0.0598058,0.0390314,0.0695835,0.069055,-0.175293,0.312795,0.116284,-0.0758679,-0.0242383,-0.0870415,0.0427552,-0.075253,-0.198457,-0.044898,-0.130821,-0.0371274,0.117922,-0.0704028,-0.0834462,-0.059709,-0.187261,0.0246691,0.251441,-0.165415,-0.00944189,0.187773,-0.0596062,-0.0958796,0.102916,-0.244903,-0.00822042,0.11475,-0.0924751,0.0650842,0.0916256,-0.0388947,-0.111036,-0.0385066,-0.022649,0.105857,0.111051,-0.00917872,-0.244291,-0.0304352,0.0190369,0.00603518,0.0987207,0.221549,0.147701,-0.157542,0.181426,-0.038531,0.00998561,-0.0874068,-0.120469,0.180752,0.0655233
13,-66.048,0.1578,0.0146202,0.00910078,0.0185463,0.0618158,-0.0332666,-0.096286,0.259338,0.216445,0.0143607,0.0679728,0.0120775,-0.154641,0.243957,0.0139035,-0.129657,-0.0757748,0.0534562,-0.210706,0.131571,-0.050376,-0.0308069,-0.221544,-0.141451,0.0853911,0.0543188,0.0876088,-0.0807023,-0.0959791,-0.178786,-0.00929484,0.0756408,-0.162041,-0.121615,0.0721575,0.160246,-0.105089,0.0724109,0.160984,-0.0208571,0.0042847,0.00280729,-0.139204,-0.11461,0.149114,-0.0808745,0.0686368,-0.109194,0.0525684,0.177291,-0.0376817,-0.190039,0.0188333,-0.132008,0.116313,-0.15437,0.0459413,0.153848,0.119789,-0.0954825,-0.153489,-0.0857909,-0.229504,-0.0800612,-0.182721,-0.110422,0.144583,-0.00800336,-0.0328247,-0.0137034
14,63.3497,0.00764518,-0.0858419,-0.079824,0.118366,0.105347,0.130538,-0.130964,-0.199998,0.00724218,-0.000701281,0.0293615,0.0689269,-0.0694411,0.096149,0.124071,-0.183388,-0.199662,-0.0370227,-0.179001,-0.0572378,-0.0068429,-0.026168,0.223461,0.218531,0.157659,-0.0607176,-0.0783072,-0.219804,-0.144747,-0.0168116,0.0433455,-0.0536156,-0.0384099,-0.210541,-0.129661,-0.0170298,0.0226494,0.066934,-0.0238222,-0.0101964,0.264663,0.052013,0.0148525,0.0155708,-0.175694,0.289405,-0.247735,0.1879,-0.1206,-0.100405,-0.174878,-0.131948,0.119114,-0.0276975,0.101331,0.00390472,0.0706554,-0.0389489,0.0290416,-0.0391595,0.0602788,-0.0339906,-0.0785009,0.152593,-0.0556792,-0.127674,-0.0752519,-0.0942719,-0.0781569,0.00822014
15,-62.5155,0.0218866,0.0148953,0.0609706,0.10655,0.142812,-0.0413419,-0.0166411,0.143522,-0.0902821,-0.120337,0.067058,-0.0548923,0.0403515,0.0392963,0.203753,0.0100397,0.190025,-0.301796,0.0728921,-0.203332,0.198668,0.00696922,-0.0719594,-0.007527,0.0262475,0.108949,-0.0226437,0.11655,0.0445733,0.052483,-0.401791,0.0765862,0.0756321,-0.0732196,0.000794839,0.0589132,-0.00663948,-0.072052,-0.216307,0.142032,0.092059,-0.0231434,-0.026175,-0.00117804,0.167825,0.151322,-0.158798,-0.130158,0.076108,-0.128062,-0.107517,-0.244923,-0.0450705,-0.153543,0.0347954,-0.0517702,-0.103904,-0.0460213,0.040063,-0.127074,-0.111345,0.15489,0.0350281,-0.00750151,-0.0235843,0.173692,-0.00793411,-0.0752205,0.0159583,0.17628
16,-61.3016,-0.040802,0.0208075,0.0119425,-0.19096,0.038586,0.0214741,0.104789,0.19703,-0.0355605,0.0494205,-0.161168,0.241164,-0.0457552,-0.0775412,-0.201953,0.017661,0.0652122,-0.232002,0.0124722,0.0620901,-0.0787809,-0.192553,0.171971,-0.108101,0.0453129,-0.0461212,-0.0452006,-0.0482833,0.0123983,-0.00484889,-0.104379,0.0963197,-0.273328,-0.0170785,-0.00524363,-0.0659071,-0.0263432,-0.249875,0.0862142,0.00933571,0.0862332,0.185386,0.0553525,0.0486823,0.0249995,0.0771193,-0.176835,0.108493,0.127043,-0.0577678,0.0603517,-0.00643732,-0.104415,-0.078903,0.129149,0.0269451,0.035878,-0.0218562,0.180458,0.0558247,0.216286,0.0328016,0.228658,-0.0628196,-0.140487,-0.0463375,0.280203,0.0921507,-0.00785587,-0.204718
17,59.0477,-0.162854,0.101103,0.0683682,-0.0116093,0.0568835,-0.0915043,0.0386139,-0.0646028,-0.123766,0.159177,-0.0917912,-0.0183466,0.0766848,-0.0471147,-0.000614241,0.206189,-0.0482006,-0.0839581,-0.00510765,0.188504,-0.0798889,-0.00600248,-0.0242599,0.0154478,0.242649,0.112231,-0.00930477,0.106034,-0.108721,-0.102409,0.058576,0.0330098,-0.16762,0.0999262,-0.372146,0.000402214,0.0432733,-0.00480453,0.00366033,0.066046,-0.0799934,-0.247366,-0.147304,-0.252436,0.0404264,0.0743335,-0.094603,-0.134325,-0.0794741,-0.0502843,-0.00654288,0.00178181,-0.0790562,-0.0133459,0.0184274,-0.117161,-0.0669925,-0.123722,0.225344,-0.0972182,-0.00644393,-0.0995729,0.0464438,-0.152804,0.11426,-0.248479,-0.265265,0.0914919,-0.0131652,0.103645
18,-59.0071,0.0521868,0.00303546,0.121872,-0.118719,-0.0187028,0.0942664,-0.222061,-0.115243,-0.0226266,-0.0974006,-0.278702,0.0665751,-0.0905166,-0.109971,-0.119587,-0.193974,-0.139238,0.0145877,0.270949,-0.133773,0.0106077,0.0532217,-0.0487363,-0.0977091,0.0963714,0.0663321,0.0556246,-0.172158,0.10692,-0.00519303,-0.179138,-0.0154244,-0.151468,-0.00584691,0.0602144,0.00116553,-0.128155,0.232548,-0.158504,-0.162228,-0.155137,-0.105454,-0.138218,-0.139061,-0.158275,0.0957482,0.119353,-0.0679261,-0.0403593,-0.038267,0.149154,-0.0122025,0.0786709,0.0233343,0.105383,0.0267028,0.137865,-0.0618844,0.143467,-0.202007,-0.107653,-0.0169967,0.114297,0.000943787,0.0923303,0.202529,-0.017823,-0.0800019,-0.0502731,-0.170103
19,-57.9327,-0.127648,-0.0345982,-0.279565,0.11233,-0.205575,-0.237474,0.127534,-0.0580081,0.0663083,-0.138668,0.0679402,-0.0831645,0.141155,0.0515774,-0.0186856,-0.181767,0.0141791,0.0498671,0.0363176,0.018888,-0.0277445,0.128172,-0.118746,-0.00627364,0.0416446,0.0337429,-0.0776018,0.182941,0.109348,-0.0857345,-0.144152,-0.105153,-0.152409,0.118924,0.0903972,0.173845,0.0567859,0.00456662,0.107315,-0.0906604,0.0452576,0.0385862,0.00189966,-0.0116625,-0.122883,0.193392,-0.064959,0.0789944,-0.0842994,0.0334446,0.0936498,-0.0226376,-0.106758,0.313622,0.241335,0.0906129,0.00406874,0.208672,0.10285,-0.178164,0.145897,-0.0481027,0.119784,-0.00236438,-0.0823333,-0.0129995,0.0534706,0.0198312,0.0670104,0.235551
