Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61
10,-65.9246,-0.0057317,0.037869,0.0871689,0.196468,0.023838,-0.010412,0.0541181,-0.0595396,0.00599849,0.0327887,0.0616006,0.213677,-0.134284,0.0240466,0.0255221,0.127175,0.223032,-0.102378,0.132896,0.228263,0.0214242,-0.152399,-0.131766,-0.0670107,-0.132971,-0.247236,0.146505,-0.0440367,0.0811869,-0.130977,0.103344,0.185645,-0.0802211,-0.0237256,-0.0649993,0.115049,0.0252571,-0.0695144,-0.0639418,0.249501,0.156727,0.00464705,0.00318034,-0.0843326,-0.221764,0.117372,-0.127766,0.135006,0.0461722,0.249915,0.028522,-0.306409,0.303647,0.134699,0.00348344,-0.0179765,-0.0356735,-0.099752,0.0314971,-0.0316179,-0.0276304,0.0559222
11,65.8918,-0.0249995,0.0739459,-0.212957,0.120847,-0.0456316,-0.089697,0.0093758,-0.0363516,-0.222435,0.192302,-0.101742,-0.225507,-0.190782,-0.139463,0.0812642,0.00448825,0.0802911,-0.116118,0.0534115,-0.0743088,0.0211773,0.114467,0.0545525,-0.0218924,0.0399536,-0.0662672,0.1167,0.0289465,0.210111,0.0141098,0.0207203,0.105284,-0.130175,0.232062,-0.234897,-0.0323358,-0.0590161,0.0329123,0.107592,-0.137072,0.0918057,0.0809105,0.122232,0.058124,-0.213596,-0.0630291,0.156692,-0.0338389,-0.233355,-0.172472,0.120024,0.0294049,-0.0707281,-0.018444,0.20898,-0.169723,-0.128205,-0.0451593,0.18262,-0.179671,-0.149555,0.190684
12,62.205,0.145174,-0.0874818,-0.0544102,-0.106703,0.00950953,-0.348684,-0.160621,0.102033,0.023338,-0.162683,-0.130902,-0.0391772,0.0531661,0.0779067,0.127052,-0.0171258,0.0082828,0.0391494,-0.120913,-0.207047,-0.102708,0.0233864,-0.104776,0.0768297,0.0266899,0.106609,-0.0361706,-0.0148949,-0.207684,-0.142369,-0.0617118,0.216194,-0.0309687,0.113003,-0.0623012,0.188444,0.0578785,-0.145221,0.0323818,-0.0508118,-0.229718,0.0650802,0.00999263,0.0799601,-0.0668965,0.0142883,0.0322513,0.122033,0.167231,0.0380123,0.145611,-0.304444,-0.0393351,0.203216,0.302367,-0.0716802,0.171584,0.0124017,-0.0306255,-0.0850152,-0.0519694,-0.157915
13,60.3479,-0.136838,0.0574676,0.173269,-0.0238399,-0.172445,0.0100475,0.11022,0.0991102,-0.098897,-0.0519518,0.0604649,-0.062858,-0.0161523,0.268584,0.0163102,0.142723,-0.063269,-0.037315,-0.153702,0.25736,0.0388189,-0.230341,-0.019534,-0.0410189,0.0527381,0.0655037,0.027698,0.0492136,0.0297075,0.0852743,0.0598782,0.0979622,-0.243975,-0.0728186,0.0386805,0.0584395,-0.0809364,0.0185047,-0.183935,-0.112768,0.110379,0.206303,-0.169903,0.166422,0.0747241,-0.0988817,0.0590459,-0.0959134,0.00662372,-0.178579,0.387522,-0.119744,-0.19297,0.0044027,-0.034748,0.0148773,-0.144151,-0.136849,-0.0666698,-0.0800937,0.167743,-0.151001
14,-59.7837,0.104376,-0.147542,-0.00783802,-0.124626,0.139142,-0.189792,0.256594,-0.211414,0.0272391,0.0552542,0.113781,-0.15229,0.15402,-0.160206,-0.0254956,0.0942234,0.118575,-0.101374,-0.0951336,0.0571638,0.178453,-0.163485,0.0312887,0.0206286,0.000447598,0.171844,0.23328,0.0572192,-0.0563713,0.103519,-0.033348,-0.0323944,0.0254356,-0.13409,-0.339512,0.0438228,-0.265463,-0.0169339,-0.187116,0.0382682,-0.11125,-0.0158089,0.215674,0.140135,-0.0158696,0.0399282,0.0642012,-0.179218,-0.0641225,0.0151033,-0.0942754,-0.127354,0.0671018,-0.0569181,0.0232113,0.084213,0.0691023,0.122385,0.0208547,0.223153,0.108263,-0.0249211
15,-59.3164,-0.373186,-0.271496,-0.0339316,-0.0214395,0.100045,-0.00610086,0.000814255,0.114877,-0.0722512,0.206278,-0.0792323,0.00297763,0.0659945,0.0114917,-0.209337,-0.100706,-0.0244354,0.0877336,-0.142767,0.0122705,-0.192462,-0.0406376,-0.24176,-0.00974443,-0.0781865,0.0389269,-0.241285,0.0695769,0.0127368,0.176954,0.090309,0.268634,-0.0185889,-0.171663,-0.0455824,0.0343436,-0.0679633,-0.197197,-0.15337,-0.093218,0.0567757,-0.0349748,0.165374,-0.013614,-0.136936,0.0411725,-0.165454,0.121008,-0.15411,-0.0467303,-0.0923593,0.0959508,-0.0953113,0.123043,-0.0901728,-0.0307127,0.183728,-0.0778629,0.0133061,0.0193091,-0.035621,0.138828
16,58.5931,0.185653,0.0663597,-0.0249036,0.185538,0.0885529,-0.157692,-0.139537,0.0270443,0.0950073,-0.140661,0.24752,-0.157773,-0.0452109,0.192313,-0.182386,0.111743,-0.148064,-0.176748,-0.116003,0.196031,-0.132611,-0.0990001,0.0388702,-0.115555,-0.165569,-0.0448553,-0.178909,-0.130637,0.122876,-0.00364004,-0.0562239,-0.00809471,-0.00629264,0.103685,-0.16846,-0.0614257,0.137152,-0.252243,0.161602,-0.0445016,-0.119944,-0.074815,0.140116,0.0356027,0.189423,-0.201122,0.0482539,0.0109239,-0.0509825,-0.0482975,-0.159121,-0.0774992,-0.0440303,0.080166,-0.214362,-0.0770237,-0.0848266,-0.065858,0.16867,0.125883,-0.0448346,0.0424887
17,-54.1,-0.0131891,-0.129628,-0.243616,0.189391,-0.30309,0.113871,-0.0155989,-0.00733611,-0.00261647,-0.0389429,0.106837,-0.178017,0.035156,0.0722527,0.131852,0.122007,-0.0229435,-0.138002,0.216831,-0.0149838,-0.102706,-0.159021,-0.0846867,0.050894,-0.0495541,-0.12215,-0.146547,-0.00504646,0.018649,-0.0255736,0.12478,-0.16658,-0.0760418,-0.0509624,-0.0170798,0.0592563,-0.0814097,-0.0533324,-0.0392817,0.0396915,-0.07586,-0.0503644,0.0914467,-0.0871015,0.0941732,0.0721487,0.00401719,0.0836842,0.0980113,-0.0334313,0.193727,-0.0396155,-0.116644,-0.251547,0.153835,0.187195,0.245915,0.116966,-0.239832,0.182619,-0.210377,0.197265
18,-52.8404,0.111109,-0.103481,0.0464656,-0.0352861,-0.0284729,-0.097701,0.126209,0.0706422,-0.0600357,0.13933,0.243812,0.204861,0.0774001,-0.0239119,-0.052966,0.112921,0.0147223,-0.301323,-0.198732,-0.214759,0.0412798,0.0817228,0.111279,0.133717,0.0408304,-0.00960762,-0.104441,0.144592,0.131553,-0.171782,0.237646,-0.00674589,0.172998,-0.0278963,0.217099,0.09051,0.0717038,-0.19351,0.0254313,0.0317035,0.24561,-0.133207,-0.0336047,0.041514,-0.0597985,-0.112334,0.054088,0.113624,-0.256131,-0.0449956,-0.038359,-0.026119,-0.0701949,-0.0683414,0.19058,0.0793299,-0.139043,0.0466303,-0.0998746,0.0754432,-0.0247283,-0.201331
19,52.4235,0.0706179,-0.0524917,-0.0366219,-0.0997789,-0.0986046,0.0392503,-0.186317,0.0186524,-0.0276058,-0.0504518,-0.163748,-0.206424,0.177754,0.23121,-0.119194,0.26454,-0.0108067,-0.0374422,0.143729,-0.0750948,-0.00924866,-0.0827847,-0.134731,-0.201853,-0.128821,0.0829383,-0.00940677,0.196761,-0.0248794,0.167122,-0.0872064,-0.101522,0.10662,-0.0242068,0.239871,-0.106879,0.000696869,-0.0449302,0.041815,0.0148242,0.123801,0.112061,0.0773712,-0.00228254,-0.345234,0.0227583,0.292423,0.0644168,-0.0698255,-0.0041467,-0.0550083,-0.0484675,0.280196,-0.0934994,-0.0691083,-0.0605828,-0.0075258,0.167056,0.0629713,-0.0645383,0.104355,-0.0957999
