Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56
15,53.2748,-0.386609,-0.00339744,0.170007,-0.14296,0.103174,0.0714867,-0.151726,0.170756,0.0626755,-0.078286,0.0938099,0.170514,0.0731523,0.122095,-0.0823139,0.0120451,-0.0901479,0.050676,-0.128012,0.0667474,0.0867545,-0.143718,0.0639034,-0.0212701,0.10046,0.263113,0.0361156,0.0982111,0.132619,0.0746839,-0.0436529,-0.0107075,-0.109381,0.266126,-0.0200784,0.00178863,-0.0477592,0.0149536,-0.0723536,0.137377,-0.218543,-0.0463712,-0.153906,0.00593259,0.102611,0.133465,0.0197794,-0.0758979,-0.000942578,-0.248455,-0.0391652,0.198376,-0.269865,0.125643,0.191851,-0.177143,-0.032796
16,-51.858,-0.00206788,-0.200988,0.168317,0.254917,-0.0174969,0.261458,-0.0870374,0.168671,-0.0998562,0.0773407,-0.142349,0.0184439,-0.192232,-0.196716,0.0828173,0.0139441,-0.1651,0.0596769,0.0752703,-0.000508626,-0.135618,-0.0198216,0.034535,-0.0516806,-0.0240453,0.238439,-0.165781,0.12409,-0.00302713,-0.139999,-0.00112973,0.143757,-0.0351937,0.153926,0.0253686,-0.148305,-0.190163,0.201917,0.174743,-0.0931284,0.211951,-0.13738,-0.0655154,0.0920517,0.067865,0.0384538,0.0468462,0.149541,0.323064,0.121212,-0.0694519,-0.0790917,0.0381054,-0.010605,-0.102371,-0.170455,0.0213883
17,47.7353,-0.120847,0.153735,0.117615,0.0636338,-0.217328,-0.0184802,-0.110241,0.1498,0.35514,-0.0211932,-0.0716502,0.00503073,-0.0400886,-0.0259637,-0.0369646,0.281875,-0.0953753,-0.11901,0.240349,-0.0870275,-0.232166,-0.152358,0.115776,0.119761,-0.0189558,-0.127121,0.0108965,0.0723255,0.0847592,0.0239524,-0.16361,-0.0846855,0.062666,-0.093345,-0.117971,-0.256162,0.0433453,-0.198016,0.107038,0.0088578,-0.0086119,0.0780767,0.0895435,-0.289991,0.0832026,0.00151705,0.207687,0.060727,0.0444939,-0.0487977,0.0148701,0.171062,0.125578,-0.0692215,0.0389103,0.0794943,0.175443
18,-46.2281,0.110687,0.011178,-0.0463432,-0.0679852,-0.0221838,-0.139238,0.125262,0.191482,-0.00694932,0.128866,-0.0807566,0.178596,0.0930169,0.0303819,-0.0597793,0.143812,-0.0411183,0.237095,0.156582,-0.0577041,-0.0290094,-0.109992,-0.101686,0.140115,0.242128,-0.037739,0.0560043,0.0910928,-0.237742,-0.170146,0.108024,-0.217515,0.28623,-0.179152,-0.0505772,0.0271447,-0.0687657,-0.046092,0.108328,-0.0391023,-0.0733333,0.00051838,-0.158701,0.339299,0.0455936,0.0737833,-0.0827816,-0.165439,0.151993,0.00169805,-0.151931,-0.0475206,-0.206171,0.0390066,0.0657944,0.02998,0.229224
19,45.7821,-0.13372,0.115542,-0.0915219,0.15976,-0.0438318,-0.0833807,0.0654139,-0.0222955,-0.168129,-0.0905891,-0.263145,0.0816619,0.0259214,0.088262,0.092665,0.0853796,0.050158,-0.363317,0.0634739,-0.057964,0.0894935,-0.0977854,-0.139955,-0.082999,-0.0292418,0.00220751,-0.0858314,-0.0456506,0.140021,-0.0320997,-0.0315928,0.247499,0.0744266,-0.175739,-0.0256123,-0.020729,-0.0516869,0.0256586,-0.273446,0.19357,0.155595,-0.21044,-0.00909037,0.117934,0.14414,0.0455038,0.134758,-0.220173,0.0493152,0.0630746,0.308127,-0.054849,-0.207189,-0.0187298,0.0543321,-0.0124203,0.171891
20,44.0665,-0.169476,0.016496,0.0202017,0.203081,0.0215781,0.125988,-0.0262958,-0.190477,0.0166132,0.197291,0.0881941,-0.140162,-0.0486066,0.0429671,0.166083,-0.0185464,0.189344,0.0622582,-0.0533364,-0.208063,0.0742242,-0.101496,0.102247,0.136522,0.262496,-0.0622317,0.0155566,0.228933,-0.055084,-0.0115274,-0.0492662,-0.231549,-0.178951,0.103866,0.174817,-0.0640374,-0.0131033,0.0895904,-0.144616,-0.0818403,0.193604,0.068014,0.0983063,0.0490327,0.100879,0.0857573,-0.217571,0.0058684,-0.226633,0.206661,0.115951,0.169785,-0.0340999,0.0158361,0.029552,0.000122022,0.301476
21,-43.4243,-0.0790956,-0.00177631,-0.129434,0.062946,-0.146874,-0.0898013,-0.262844,-0.0112152,-0.151268,0.152395,-0.336984,-0.0658202,-0.0655041,-0.0818623,-0.0383637,0.0298352,-0.0431384,0.143765,0.0605982,-0.091619,-0.0248263,-0.00829615,-0.0468497,-0.215377,0.0852756,0.0547226,0.00785611,0.0267625,0.0265128,0.113918,-0.101312,0.0243223,0.117335,-0.0905187,-0.0417974,-0.0503522,0.0211256,-0.0260823,-0.13637,0.158131,0.0125217,-0.0702188,0.0874574,-0.050728,-0.343339,0.143416,-0.234303,0.127907,-0.174916,-0.0811136,-0.27759,0.184999,-0.192497,-0.245324,-0.112564,0.0177973,-0.150701
22,42.7818,0.0576614,0.105376,-0.0844199,0.0951792,0.0894243,0.070746,0.0883535,-0.173841,0.00708029,0.0692948,-0.123584,0.0129313,0.371299,0.144745,-0.00461402,0.106742,-0.0308119,-0.301732,-0.0971979,-0.233514,0.00451241,0.157397,0.130862,0.0755098,-0.111354,-0.03966,0.0936988,0.0869809,-0.12834,-0.0965166,-0.041443,0.140247,0.083853,0.345443,-0.10746,0.142214,0.0460844,-0.0545609,0.274448,0.108166,0.179364,-0.0320839,0.044214,-0.0513134,-0.00297057,0.136148,-0.0626938,0.0454766,0.0330433,-0.0762285,-0.316717,-0.0327657,-0.0319892,-0.0101957,0.14116,-0.0499964,0.0482533
23,-40.1757,0.0622173,-0.035115,0.262661,-0.156188,0.0946058,-0.0364295,0.176711,-0.250188,-0.126991,-0.309524,-0.131395,0.128005,0.010961,0.079582,0.0296913,-0.0188866,-0.0173594,0.142873,0.359136,-0.229764,0.0419614,0.0533943,-0.0660802,0.0392206,-0.0313231,-0.140874,-0.114409,-0.00485541,0.0559648,0.0352144,-0.0137448,0.0437547,-0.00359216,0.124794,0.08676,-0.163564,-0.128605,0.190859,0.0846082,-0.00148957,-0.0742743,-0.174069,0.0653814,0.0435885,0.0895899,-0.218558,-0.176347,0.0619041,-0.0571201,-0.258165,0.0086025,0.237651,0.0518217,-0.0467805,-0.0415896,0.115771,0.0392937
24,40.0113,0.0447155,0.13573,0.0971298,-0.256942,-0.0478601,0.0222398,-0.0123035,0.0640378,-0.214845,0.0713961,0.105232,-0.407972,0.0759977,-0.00134042,-0.0446711,0.12457,0.137599,0.0138704,0.122474,-0.0881898,-0.0043635,-0.148794,-0.0507292,0.0223238,-0.186811,0.257693,-0.102436,0.156295,0.211512,-0.0240621,0.065,-0.0563958,0.105912,-0.0973276,0.247111,-0.0476383,0.067502,-0.0753265,0.149458,-0.0611304,0.220116,0.00844499,-0.0384227,-0.078803,-0.0467798,-0.126713,0.0305074,-0.0335748,-0.176596,-0.207528,-0.0352917,-0.25024,-0.147032,0.0681663,0.0314506,-0.150072,0.0648887
