Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89,Eigenvector_90,Eigenvector_91
10,87.5449,-0.129566,0.083037,-0.149624,0.0098928,0.0327787,-0.118166,0.268359,-0.142748,-0.0409628,-0.0130656,0.067536,0.106276,0.0991474,-0.0809266,-0.217213,-0.107337,0.0841788,0.0791794,0.00185319,0.0243636,0.00652908,-0.247745,-0.073706,-0.121881,0.14452,0.116887,0.0481607,0.0337062,-0.0245045,-0.0104399,-0.0698367,-0.0324516,0.00516086,0.0398143,-0.0366348,0.130449,-0.0105579,0.131748,0.0651102,-0.117333,-0.0636721,-0.184689,0.192818,0.0469943,-0.146671,0.0746651,-0.160788,0.0893672,0.207416,-0.0402909,0.0655484,0.126905,0.00969907,-0.120179,0.0297002,0.0415461,-0.0193437,0.0503944,0.00535472,-0.141745,0.129646,-0.0418472,-0.109107,-0.0630567,0.0273888,-0.122206,0.0773702,-0.0201049,0.181474,-0.0228651,0.0110328,0.111397,-0.166134,-0.133182,-0.166002,0.034751,-0.0316758,0.0435876,-0.121898,0.0921598,-0.0155883,-0.0112466,-0.0102983,-0.240363,-0.056759,-0.0198665,-0.104857,-0.0387787,-0.00379541,0.0810016,-0.164632,-0.0570769
11,-87.1394,0.060837,0.0343339,0.0859231,-0.0140459,-0.0104372,0.0494962,-0.0999464,0.047189,0.0574111,0.168912,0.143172,-0.211456,-0.155369,0.151558,-0.060664,-0.0227783,0.123557,-0.023708,0.0499686,0.102504,-0.111357,-0.00506812,-0.0934638,-0.047106,0.0329679,0.0671284,0.0459366,0.0380077,0.0128198,-0.0165229,0.059296,0.130967,0.0452088,0.0604841,-0.0251972,0.0576989,-0.084809,-0.056135,0.117961,-0.0892974,0.0300829,-0.0105279,-0.0152415,0.0043913,-0.0243926,0.0784905,-0.20916,0.204717,-0.0356912,0.155519,0.0427016,0.110689,0.306312,-0.101801,0.0468753,0.0237472,-0.00345093,0.0432302,-0.162976,0.0606633,0.0828438,0.0172874,-0.16013,0.0817121,-0.115697,-0.0414899,0.0708798,-0.169297,0.0159406,-0.236952,-0.0760399,0.0271646,0.180937,0.147327,0.10126,-0.15541,-0.0422974,0.21602,-0.0914183,0.00627924,-0.21616,-0.150466,-0.0621986,0.114839,-0.0387796,0.174293,0.0230048,0.0393393,-0.00910206,0.019417,0.0739519,-0.067531
12,-85.2439,0.117237,0.14791,0.0682516,0.0470259,0.00726827,-0.0802065,0.167133,0.0450213,0.0898821,-0.159875,-0.124471,-0.131557,0.00438622,0.187065,0.070096,-0.0588648,0.0447438,0.0451885,0.0214606,-0.142587,0.00099797,0.216202,-0.0974331,-0.189154,-0.114785,0.0633448,0.0793254,0.0914104,-0.0597617,0.021978,-0.0584254,-0.150129,-0.0865007,-0.0104077,0.163992,-0.121305,-0.0152867,-0.0204668,0.0996039,-0.0684174,-0.0973532,0.105294,0.20903,0.172788,0.0272285,0.047868,0.0343916,-0.0134779,0.0842022,0.108493,0.0436418,0.116369,-0.00430136,-0.137003,-0.0808759,-0.182904,-0.0294355,0.0415135,0.0900523,0.0185968,0.147543,0.130979,-0.0154863,0.0997006,0.0112924,0.0133857,-0.172031,-0.107998,0.0880781,0.0425561,0.0982614,-0.218454,-0.0278206,0.00317917,0.267976,-0.00843447,0.055437,-0.151676,-0.0383277,-0.103491,0.0306575,0.019202,0.0300348,-0.0836427,-0.00687853,-0.0310845,0.115422,-0.0651329,0.0417983,-0.0129318,-0.0634594,-0.251336
13,83.9843,-0.111469,-0.0513866,0.0886995,-0.172947,-0.0226262,0.117214,-0.0760626,0.00857142,0.0969629,-0.187011,-0.162995,-0.113099,-0.081788,-0.0387668,-0.175082,0.0335096,0.0843833,-0.0514527,-0.00288156,0.140494,-0.0685731,-0.00851978,-0.0539484,0.100299,0.027653,0.0889671,-0.0237043,0.139594,0.0268716,0.0944594,-0.00816786,0.0351137,-0.15152,0.195647,-0.0844856,-0.135279,0.0557458,-0.0807558,-0.134133,0.0120779,-0.0707238,0.123948,0.0550155,0.0520203,-0.11754,-0.174805,0.245172,0.0380156,0.0502688,-0.195994,0.14723,-0.0683734,-0.0609454,-0.0592846,-0.179085,0.0758411,-0.109749,-0.0658171,-0.164322,-0.163929,0.0912854,-0.0910534,0.00227231,0.176763,0.00130743,-0.0409885,0.0326551,-0.0882814,-0.0995388,-0.0763494,-0.0853077,0.149553,-0.015524,-0.0994964,-0.0260496,0.0380298,0.000556116,-0.0911509,0.11626,0.060767,-0.0319697,-0.209044,0.15299,-0.144767,0.034581,0.180146,0.110373,-0.0072911,0.048651,-0.0316037,0.00915706,-0.0857409
14,81.8642,-0.0323935,-0.076681,-0.126533,0.123134,-0.026295,0.0719966,-0.0728108,0.00213745,-0.299581,-0.0130975,-0.125026,0.00305939,0.250157,0.0213341,0.15254,0.0521234,-0.144635,-0.0718812,-0.0591138,0.116846,0.15052,-0.0892047,-0.231806,0.0640022,-0.012404,-0.00169535,0.22647,0.0336603,0.0847892,0.0921683,-0.13875,0.0122878,0.0208832,-0.119206,-0.111525,0.0150361,-0.101558,0.0923112,-0.00298231,0.0622946,0.0240641,0.219978,0.153487,0.0401906,-0.0072594,-0.0639001,0.117211,-0.101154,0.0265144,0.21976,-0.0655374,0.0706435,-0.0282809,-0.126753,0.0654236,0.137575,0.0439803,0.167885,-0.069738,0.0398177,-0.0439668,0.0238581,-0.0798418,-0.0931239,-0.16167,0.018146,-0.0853305,-0.00744181,-0.0230011,-0.0885065,-0.190768,-0.0405918,-0.0369778,-0.0967398,0.0165923,-0.0807746,-0.106196,0.0630675,0.0261694,0.023292,0.0811685,-0.170895,0.166737,0.0569454,0.00936616,0.00114067,-0.0646809,0.145907,-0.000879368,0.0672807,0.0318386,-0.141005
15,79.9234,0.0688818,0.0424845,-0.156018,0.0730143,0.0256129,-0.00584297,-0.135131,0.0848413,-0.0546118,0.00936575,0.0231095,-0.18974,-0.107245,0.0297379,0.0893638,-0.0917346,0.0206085,-0.198705,-0.0299394,0.100962,0.0126839,0.00390344,-0.0955038,-0.0683393,0.0501306,0.081138,-0.00308526,0.0844773,-0.185633,0.0489907,-0.231402,-0.0968904,-0.0140894,-0.0324751,0.071659,-0.0196776,0.00200748,-0.0634795,-0.0221714,0.0413844,0.0279882,0.118717,-0.0464175,0.178718,0.108802,0.0440496,-0.0988587,0.0241126,0.0069408,-0.00807579,-0.174005,-0.0450865,0.00945904,0.263899,0.00701533,-0.267162,-0.0911063,-0.0977502,0.122664,0.134826,0.0235425,-0.0276036,0.0463836,0.0866943,0.0352395,0.10935,0.187963,-0.0122475,0.151965,-0.0443001,0.11532,0.179984,-0.130885,-0.120702,-0.156665,0.0170184,-0.0651354,0.13769,0.156454,-0.0666552,-0.0537095,-0.0981982,0.12517,-0.0837302,0.202273,0.0569986,-0.179666,-0.022321,-0.00137342,0.000593427,-0.146063,0.0700394
16,-79.8216,0.0817496,-0.0272896,-0.0284855,-0.0408628,-0.0722143,0.211701,0.0132507,-0.215947,-0.106264,-0.0802958,-0.051924,0.0290798,-0.000163602,-0.102145,-0.0627125,0.119674,0.022117,-0.098561,-0.0150741,0.157203,-0.012003,0.0490251,0.0113085,-0.0892052,-0.086371,0.171997,0.00231745,0.0968352,-0.0698598,0.0290105,-0.0184391,-0.183523,0.188124,-0.0731562,0.197487,-0.0617926,-0.0252833,-0.115564,0.0230683,0.0232757,-0.0459379,0.0783581,0.0720301,0.0150614,-0.0451055,-0.0818739,-0.195196,-0.0750265,-0.00798307,-0.0261382,0.0984093,-0.234481,-0.0641038,-0.0568131,-0.0874083,-0.0677936,-0.15618,-0.143734,-0.0535765,0.0581732,-0.210079,-0.10181,-0.155834,-0.0088878,-0.070259,-0.0337107,-0.10695,-0.00624919,0.112364,-0.0615348,-0.0781604,-0.115454,0.0930333,-0.103437,-0.0245938,0.0647196,-0.0377326,0.00136995,-0.306701,0.00566638,-0.0826811,0.0824171,-0.155969,0.0352074,-0.0578965,-0.0308387,0.0386095,0.147381,0.210808,-0.0216979,-0.00278188,0.216145
17,77.6322,-0.0016744,-0.0129918,-0.0778821,-0.0520373,0.194376,0.0363126,0.0635557,0.120654,-0.071719,-0.196378,0.0519003,-0.0868142,0.0474947,-0.0584066,-0.146906,-0.063049,0.067128,0.0613555,0.259018,0.0298913,-0.00580557,-0.0145515,0.11195,0.174212,-0.0485644,-0.00462245,-0.0434162,0.0369725,-0.0457877,0.196581,0.193641,0.0608306,0.109668,0.0188418,-0.0569508,-0.200117,0.01152,0.113118,-0.0914171,0.00205743,-0.0264571,-0.0941686,0.0891445,0.226332,0.111714,0.169392,-0.0681664,-0.152016,0.0519513,0.19731,0.0333749,-0.196492,-0.0709372,0.111585,7.82308e-06,-0.0459672,0.100037,-0.108919,-0.0241577,-0.0486349,0.00615445,-0.016816,0.107549,-0.0874813,-0.125408,0.0261394,0.00155355,0.143119,0.0283484,-0.103492,0.00403108,-0.0934898,0.0675937,0.0373914,0.0537593,0.115471,0.127721,0.236516,0.0865073,0.020465,-0.111442,-6.51144e-05,-0.0220626,-0.112824,-0.101612,-0.0395932,-0.0817511,0.142387,-0.110732,-0.00298717,0.117591,-0.176656
18,-77.0897,0.044963,0.0833887,0.144945,0.0852974,0.0330911,0.169903,0.0487024,-0.0544667,0.0513034,0.00349614,-0.106182,0.0251924,0.0540028,0.178009,0.16416,-0.0424257,0.0869809,0.0336036,0.163331,-0.0153775,-0.213892,-0.0834166,-0.0973066,0.10732,0.0348336,0.0316437,0.075002,0.12147,0.11107,0.012527,0.0455116,-0.0173723,0.155622,0.112089,0.0730243,0.151348,0.155704,0.0312586,0.0039566,0.0547886,-0.243029,-0.00138737,0.0705852,-0.114942,-0.0163572,0.0545709,0.0228492,-0.00808498,-0.104956,-0.125022,0.0140915,-0.160895,0.0644563,-0.18829,0.0389545,-0.0269063,-0.238458,-0.0359552,0.0962526,-0.02502,-0.0668905,0.0983226,0.135646,-0.0361481,0.0159643,-0.151988,0.0190084,-0.0282716,0.108879,-0.0351021,-0.161795,0.0777235,-0.0546986,0.0998689,-0.0654221,0.035266,-0.121848,0.141081,0.291521,-0.141517,0.0756579,0.0632281,-0.0323264,0.114104,0.0176374,-0.2208,-0.0494819,0.0275739,-0.122924,0.0129305,-0.109612,-0.0227985
19,-76.9142,0.00415622,0.139119,-0.00214737,0.171446,0.213002,-0.0445007,-0.00933116,0.0621508,-0.0909457,0.0392806,-0.0355599,0.0032067,-0.0588409,0.0604834,-0.0640593,-0.0023594,0.129102,0.0654953,0.000885826,0.0610598,-0.0172402,-0.132855,-0.174631,0.0329304,0.181849,-0.0513394,-0.206896,-0.0370713,-0.0478884,0.00795025,0.0582405,0.00712024,-0.0346782,0.0300427,0.105633,-0.165667,0.092219,-0.101702,0.0533161,0.083973,-0.119247,-0.0554608,-0.0899798,-0.0500508,-0.164487,-0.215278,0.103065,-0.117875,0.263584,0.146507,0.125928,0.0643471,-0.0864677,-0.00342288,-0.0634743,-0.0394842,0.108058,0.263993,-0.0213197,0.147825,-0.0791242,-0.0280485,0.15346,0.133295,-0.0115352,-0.0869629,-0.114812,-0.0151692,0.0367889,-0.129164,0.047108,-0.059059,-0.0207673,-0.0779927,-0.089996,-0.0847663,-0.0837931,0.0723849,-0.0670526,-0.0957711,-0.0715968,0.169708,0.0418599,0.086796,0.105776,-0.026605,-0.0407572,-0.119075,-0.0382575,-0.121132,0.202714,0.160108
