Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86
10,84.7879,0.101349,-0.0249901,0.0861217,0.0151451,-0.0608262,-0.00411877,-0.0837971,-0.0601686,-0.0375498,0.246559,-0.0310304,-0.0118479,-0.000385148,-0.0465947,-0.175217,-0.128632,-0.105632,-0.097627,0.157994,0.0909093,0.0423934,-0.101703,-0.0338627,0.0532506,0.0693722,0.0478682,-0.186574,-0.0607735,-0.145492,-0.0236652,-0.0147529,-0.112427,-0.00944605,-0.167132,0.0234944,0.0971036,-0.0391742,0.000865037,0.0599811,0.00375646,0.0900422,0.187855,0.0304989,0.240194,0.0268228,-0.140413,-0.00157345,-0.00537587,0.055006,-0.035003,0.0480036,-0.00500781,0.0698689,-0.111311,0.157919,0.00695027,-0.0770137,0.0678784,-0.0737991,0.172242,0.00208051,-0.0293305,0.00309887,0.163325,0.170355,0.0975542,-0.236167,-0.098418,0.0151801,-0.193995,0.0961976,-0.0974926,0.192675,0.147394,-0.0848076,-0.0358353,0.0270302,0.0783401,0.040159,-0.173013,-0.0265794,-0.221899,-0.103772,-0.203822,-0.0995499,-0.00936305,0.194549
11,-83.1011,-0.031357,-0.0326476,0.174649,-0.126727,0.0542183,0.0125227,0.0931322,0.232283,0.261919,-0.0721316,0.143537,0.0256402,0.0910683,-0.107185,0.221431,-0.0430351,0.0942216,-0.0674983,-0.0855228,0.00728092,0.0122398,0.0797156,0.0203043,0.148537,0.157916,0.0842393,0.125384,-0.0843499,-0.0316416,-0.119864,-0.00956908,-0.0881088,0.0342486,0.173189,0.052641,0.17551,-0.0524141,-0.0705666,-0.0460473,0.145136,-0.126699,-0.116171,0.0891607,0.121976,-0.0329241,-0.0480805,-0.0439552,-0.0438462,0.000870675,0.117902,-0.158444,-0.138913,0.0525073,0.0521372,0.0882088,0.000415007,-0.0276539,-0.00675656,0.0829114,0.178793,0.0850756,-0.0890879,0.190304,0.0428506,0.173684,0.114661,0.0784678,0.212336,-0.103244,0.0891934,-0.187172,0.0927022,0.0686397,0.0432918,-0.138334,0.00945652,0.00253787,-0.043012,0.019881,-0.0223885,0.119905,-0.0272378,-0.0183821,-0.10378,-0.108906,0.18579,0.119889
12,81.4813,-0.105801,-0.171676,0.0679693,0.0811572,0.0364794,0.167408,-0.0526611,-0.124549,0.299061,0.0342707,-0.0305926,-0.0202578,0.0141112,-0.0684762,-0.060661,0.0695605,-0.0965794,-0.167357,-0.0145996,0.108379,-0.109443,-0.0578507,0.10578,0.0551282,-0.103544,-0.042061,0.0205121,0.0348849,0.0923525,0.0300431,0.113109,0.00834587,0.163253,-0.0500198,-0.0792898,-0.041721,0.127684,-0.151861,0.0702519,-0.0789915,-0.0302831,-0.0718244,-0.0607538,-0.0743331,0.09514,0.200643,-0.0481067,0.079412,-0.116009,-0.0315207,-0.0416196,-0.107611,-0.0241488,-0.0918485,0.0543528,-0.149832,0.0784163,0.0624051,-0.24127,-0.0381319,-0.0174786,0.207284,-0.0264501,0.100422,-0.0388998,0.281738,0.0566652,0.0230879,0.00709877,0.0628145,0.00538899,0.0724347,-0.136502,-0.0872951,0.109298,-0.129486,-0.002287,-0.187641,-0.12877,0.127659,-0.000718924,-0.154732,-0.183492,-0.105034,-0.136644,-0.0934388,0.141223
13,-77.0748,-0.154435,-0.0371112,0.0314898,-0.0276484,-0.0666507,-0.0510311,-0.223636,-0.0662324,-0.0862989,-0.014453,0.0429812,0.114368,-0.128746,-0.0113954,0.110631,-0.00974035,0.0444641,-0.0533227,0.107816,-0.17655,0.0336507,0.18994,-0.0492547,0.0255098,0.00346973,0.192604,0.0824924,-0.0416293,0.0274176,0.020609,-0.150807,-0.0359302,0.0822716,0.123744,0.0935489,-0.0282984,-0.0608566,0.0917635,-0.0846188,-0.11658,-0.0959311,-0.0787407,0.108519,0.0676125,0.0450048,0.0752898,-0.0561883,0.0500771,-0.145626,-0.11258,0.00165223,0.0194444,0.167026,-0.308443,-0.0143069,0.0997322,0.114623,-0.103906,0.0511839,-0.0322095,-0.0321651,0.00586933,0.134482,0.157355,0.0483135,0.167943,0.119162,-0.151557,0.0792965,-0.123831,0.0541414,0.047463,0.0918192,0.0831778,0.189598,0.0379342,0.165233,0.179781,0.103148,0.212088,-0.0324957,0.0697563,-0.221793,-0.0610175,0.0518483,0.00464321,-0.16904
14,76.7327,-0.00758324,-0.098993,-0.0286365,0.157214,0.190595,-0.274793,0.185307,0.085393,0.0445995,0.0211692,-0.0303137,0.11557,0.193153,0.0225425,-0.0958345,-0.100426,-0.00548288,0.101318,0.0925722,-0.061741,0.155177,-0.076619,-0.134409,-0.161796,-0.0237452,-0.0418889,-0.055817,0.0825422,0.135135,-0.0791274,-0.17571,-0.168974,0.0686104,0.0401529,0.0484043,-0.038256,-0.0920067,-0.00116313,0.0435259,-0.00294694,0.121996,-0.11213,0.142276,0.0147151,-0.201065,0.0621354,0.0168594,0.0419369,-0.124316,0.128794,-0.0661534,-0.0249105,0.0755137,-0.0925169,0.00583519,-0.100221,-0.0522048,-0.0820235,-0.0474494,-0.019184,-0.00333474,-0.0216852,-0.107206,0.162826,-0.0312252,-0.000697911,0.187199,0.11523,0.10178,0.00693344,0.0874137,-0.0692816,-0.0494872,0.148681,-0.0663581,-0.0663574,-0.0520877,-0.090179,-0.298657,-0.187083,-0.0362055,-0.075168,-0.179138,0.0402375,0.139171,0.0193857,-0.12895
15,-75.8591,-0.0287165,-0.0906392,-0.027223,0.0765001,-0.172455,0.0775045,0.00216631,-0.0590341,0.175295,-0.062803,-0.0858469,0.0389791,-0.107868,0.0616875,-0.166747,-0.0458108,0.0508565,0.108129,0.0393729,-0.0532681,0.0742198,0.132106,0.0928569,0.00727939,0.0710673,0.00534445,0.147479,-0.0589262,0.00790107,-0.0162774,0.0323173,0.0359304,-0.168375,0.171572,0.0868436,0.0701807,-0.101038,-0.0546662,0.0541747,0.113683,-0.0330155,-0.147647,0.00431617,0.100052,0.139857,0.254476,-0.0338034,0.0941804,0.0520123,0.122193,0.0692598,0.000565547,-0.0588145,-0.00596913,0.280043,-0.0835009,-0.251671,0.152906,0.0594404,-0.14447,-0.113518,0.0699011,0.0238085,0.13293,-0.0458037,0.0528469,-0.0539824,-0.17176,-0.103132,0.0539262,0.119875,0.00529075,0.0381176,0.224481,-0.0738778,0.181759,0.0295488,-0.106383,0.0448529,-0.0862315,-0.0965737,0.0197904,0.183725,0.162384,0.173108,-0.0907948,0.0516025
16,74.4232,0.0508473,0.00582527,-0.10331,-0.101215,0.0229856,0.00319716,-0.217879,-0.204719,0.0348224,-0.0521569,0.0437982,0.0783089,-0.0179508,-0.0558215,0.115109,-0.212198,-0.0884027,0.27913,0.0426163,0.191295,-0.129386,0.0924824,0.111049,-0.133541,-0.0107213,-0.0579607,-0.155337,0.0267603,0.00560206,-0.105806,-0.0309047,-0.108362,0.0720681,0.253431,0.0202599,0.040159,-0.0531072,0.0680132,0.0988384,-0.173378,-0.0128026,0.0324674,0.0254446,-0.00130197,0.139907,-0.110712,-0.192,-0.158482,-0.0421412,0.0607248,-0.156777,0.00776195,0.0656538,-0.170204,-0.0382701,-0.171294,-0.158747,0.108743,-0.0424656,-0.000470608,0.0751585,-0.0325339,-0.0626075,-0.0588604,-0.0465515,-0.158841,-0.0986163,-0.0224296,0.122083,0.0740385,-0.162485,0.000872105,-0.0112556,0.032147,-0.143969,-0.112925,-0.0958941,-0.0595326,0.00179359,0.242804,-0.00955346,-0.12605,0.0873,0.00808707,0.0360061,0.0548538,-0.027778
17,-74.1342,-0.0270853,-0.114163,-0.139177,0.0750934,-0.0219734,-0.087412,-0.0280737,0.0658032,0.0751619,0.0250718,-0.0106813,0.0110347,-0.0793659,-0.0842428,0.128994,0.0718955,0.0116108,-0.0277971,0.215765,-0.0213606,0.062174,0.0849415,0.064554,0.104658,-0.142229,0.070323,0.0353278,-0.193598,-0.237702,-0.1487,-0.105087,-0.0795988,0.0959263,-0.00801805,-0.120957,0.103315,0.104277,0.0619343,0.171828,0.0878548,0.122712,0.0223306,-0.0264157,-0.221037,-0.00738912,0.123454,0.17305,0.0270507,0.0735097,-0.138505,0.132133,-0.102624,0.16021,-0.00391524,0.167016,-0.0384532,-0.0870614,0.0220436,-0.187103,0.171421,0.050814,-0.0520342,0.00661368,-0.231591,-0.134616,-0.0125029,0.133919,-0.0621865,0.255327,-0.00563977,-0.0556696,-0.0337374,-0.0690885,-0.125936,-0.15494,0.14072,0.0260665,0.148682,0.0133675,-0.0533717,0.0111337,-0.00393093,-0.00832941,0.160749,0.0210722,0.0708807,0.0653264
18,71.5397,0.0669238,-0.0767467,-0.041937,0.0444467,0.0164341,0.0123037,0.0263779,0.00436105,-0.032516,0.0517439,0.00606928,0.179854,0.109681,0.207752,0.039934,-0.110302,-0.0341938,-0.0852994,0.184799,0.0696205,-0.00387248,0.188381,-0.163446,0.133825,0.0351581,0.137552,0.0636925,0.151354,-0.175041,-0.0844182,0.104772,-0.0448475,-0.14625,0.0614477,0.069224,0.0325297,0.121518,-0.058864,-0.0108533,-0.0310026,-0.118171,0.185501,-0.02502,-0.0689843,-0.0660851,-0.14373,-0.243877,0.0327842,-0.0559321,0.0300374,0.0108209,-0.100072,0.0225922,-0.0392885,-0.0154074,0.00479869,0.101114,-0.102727,-0.0983019,-0.130395,-0.105892,0.110852,-0.0313711,0.0678195,-0.163799,-0.0574364,-0.191033,0.301037,0.0254757,0.171365,-0.0160283,-0.0934458,-0.190708,0.0185248,-0.0118903,0.161162,0.1085,-0.00470487,0.126988,-0.0617379,-0.10357,0.168053,-0.105498,0.0198771,0.0227518,-0.0960252,0.14331
19,-70.7967,0.00464079,-0.0850587,-0.0387207,-0.0942792,-0.0386689,-0.00442499,-0.0530082,0.011206,0.0666896,-0.0665248,-0.0490015,0.0310822,-0.011646,-0.0457008,-0.0511399,-0.00165027,-0.0743509,-0.0754359,-0.0570463,0.087977,0.11518,0.0737244,-0.021243,0.0732174,0.011451,0.114337,-0.199767,0.230474,0.0789069,0.0953206,-0.237171,-0.0766649,0.123884,0.0122319,-0.0242712,0.104211,0.194488,-0.03439,-0.127743,0.116129,-0.0622339,0.13821,-0.019131,0.277846,-0.0860107,0.0700293,0.0866655,-0.155318,-0.0451984,0.0852855,0.296401,-0.108116,-0.107657,-0.0438232,-0.024413,-0.143634,0.105674,0.114793,0.104654,0.126442,-0.137746,0.138747,0.111293,-0.11752,-0.108312,-0.124702,0.041729,-0.0374086,0.100641,0.0785657,0.121504,0.107788,-0.0177411,0.0152162,0.0515351,-0.159143,0.102767,-0.122426,0.0644601,-0.0459405,-0.115682,0.0631997,0.122867,0.0761629,-0.0687433,0.207616,-0.106473
