Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79
10,77.2938,0.111252,0.0757882,-0.0943877,-0.100988,-0.0763281,0.111319,0.193142,-0.041696,-0.0194403,-0.0337943,0.0451618,0.0781224,0.0880118,0.111394,-0.209219,-0.0983038,0.0275001,0.0479029,0.246223,0.15752,0.157213,-0.105288,0.000406333,-0.0909444,-0.1201,0.0586081,0.129247,0.0244455,-0.0696999,-0.0305196,0.0351039,0.0514445,0.0437999,0.15594,-0.0882791,0.0422274,-0.25511,0.0927422,-0.0208139,0.0271563,-0.276238,0.170521,-0.0907093,0.068782,0.0757266,0.119001,-0.141827,-0.024703,0.131725,-0.0544301,0.0176109,-0.0581619,0.0520931,-0.226032,0.0320626,-0.13587,-0.0495677,-0.068155,0.160067,-0.0658973,-0.0471413,0.112289,0.188603,-0.0155132,0.21816,-0.189698,-0.101985,-0.0327516,-0.202545,-0.0204693,0.0298506,-0.0649445,-0.0452168,-0.0507255,-0.00758324,0.0812329,-0.103817,-0.0950724,-0.112449,0.0699119
11,-77.078,0.000410259,-0.0989185,-0.169831,0.0866842,0.0539551,0.108056,-0.0969959,-0.0143892,0.046154,0.087001,0.0824296,0.132006,0.0956831,0.0372952,-0.034566,0.0787398,0.229212,-0.0922615,0.0807392,0.182577,0.0972291,-0.0251984,-0.000303551,-0.0513755,-0.0761573,-0.0968376,0.024417,-0.258932,0.0387722,0.183929,0.0425816,-0.158052,0.0220749,0.0449518,0.111466,-0.101089,0.185682,-0.130712,-0.0969004,0.161887,-0.0106456,-0.10956,-0.0862383,-0.0263726,-0.121706,-0.19482,-0.00986401,-0.0611103,-0.0790714,0.130261,0.0194986,-0.136529,0.153884,-0.0952292,-0.190961,0.065144,0.0363254,-0.0760775,-0.0189904,-0.0365865,-0.0179713,-0.0445212,0.132738,0.131509,0.0339145,0.127307,0.0639069,-0.165201,-0.0964834,0.0393926,-0.135375,-0.0459019,-0.221049,0.0183765,0.179741,0.245927,-0.0168652,0.177561,0.0267605,-0.117431
12,75.8597,-0.0375791,-0.0929431,0.0601235,0.121553,-0.138248,0.0154954,-0.0810452,-0.0328526,-0.0219342,0.0236575,0.0546863,-0.0205644,-0.0138685,0.240527,-0.0196509,-0.168625,-0.19661,-0.0966637,0.197924,0.169939,-0.049548,-0.18302,-0.0157716,0.113566,0.0589567,-0.130716,-0.0790183,0.0614185,0.259356,-0.0334784,0.116534,-0.0111111,-0.11181,0.132319,0.0197676,-0.0163106,-0.152601,-0.00609248,-0.0211102,0.11408,-0.0685184,0.0638186,0.064885,-0.189151,0.0298563,-0.249227,-0.0141847,0.00675635,0.0961944,-0.085537,0.0695192,0.00742201,0.155645,0.197208,0.0767859,0.111735,-0.207358,-0.0644002,-0.0747191,-0.0153518,0.156873,0.0516523,-0.00288248,0.0129229,-0.01954,0.11247,-0.0345019,0.155749,0.207233,0.116273,-0.0312937,0.1084,-0.117226,0.0140237,-0.0954549,0.122705,-0.0276056,-0.187507,0.158578,0.0757717
13,-75.4291,0.149876,0.106678,0.225717,0.0106171,0.0309016,0.0161071,-0.175314,-0.0166054,0.144262,0.165334,0.0541323,-0.122789,0.0466614,0.00651402,-0.0624418,0.023548,-0.0799089,-0.205085,-0.0370903,0.113606,-0.0957592,-0.200396,-0.253105,-0.1608,0.0337558,-0.129656,0.0261696,-0.0304605,-0.00858926,-0.0709666,0.257796,0.132059,-0.0283971,-0.0488421,-0.119164,0.176775,0.0120562,-0.057671,-0.107028,-0.0812773,0.113616,0.0189664,-0.0732759,0.0876882,-0.210546,-0.0890388,0.0787202,-0.120402,0.0167468,0.0373605,-0.0953249,0.0996698,-0.100181,0.0927688,0.123311,-0.079331,-0.0679462,0.0158209,0.0845083,-0.0912315,-0.0115517,-0.161708,0.0994511,-0.110503,0.0868846,-0.186217,-0.0621896,0.0473525,0.075904,-0.150933,-0.0365968,-0.0127043,-0.0412397,0.116355,0.133437,-0.00462312,-0.0519383,0.210438,-0.204036,-0.0208594
14,73.0237,-0.219618,0.156486,0.138855,0.0585299,-0.26476,0.00454628,0.0726609,0.20245,0.187969,0.0230859,0.036015,0.0936705,-0.161003,0.0530133,-0.110693,-0.00450507,-0.082472,0.140296,-0.0189858,0.136333,-0.0918345,0.0449065,0.0788245,-0.0209495,0.0243804,0.176303,0.196457,-0.0859999,0.113135,0.0809714,-0.102683,0.0754655,0.217875,0.12987,0.117949,0.147411,0.104501,-0.0767696,-0.0230227,-0.0954419,0.0390893,-0.0976012,0.0434501,-0.154548,-0.171251,0.0454133,0.0729054,-0.056134,0.0514307,0.0649596,0.0598527,0.041075,0.0584574,-0.0957747,-0.164739,0.166407,-0.0995276,-0.00115017,-0.0864044,0.0829092,0.0742123,-0.159253,0.0503349,0.0262904,0.0250044,-0.0976761,-0.129312,0.157755,-0.107783,0.0578966,-0.0185277,-0.0482125,0.106123,-0.0128084,-0.240445,0.0326464,0.0667896,0.0641175,-0.176685,-0.0702496
15,-72.5775,-0.11699,-0.073452,-0.112243,0.0738835,0.0576774,-0.0349715,0.0164885,0.0722215,0.0688727,0.0124614,-0.0881597,-0.0392514,-0.0659567,-0.290228,0.00644929,-0.141372,-0.0230643,0.00446926,0.130837,-0.0438719,0.148223,-0.0361988,-0.0677578,-0.0559084,-0.138979,-0.00648534,-0.118379,0.0364413,-0.0696622,-0.210549,-0.0998008,-0.0121913,0.065704,-0.099086,0.133539,-0.247153,-0.0205462,-0.261293,0.209067,-0.127514,-0.10229,0.0281006,0.034134,-0.0810571,-0.135434,-0.202553,-0.140348,0.00636314,0.196592,0.0848856,0.116052,0.188267,-0.0833651,0.0208713,-0.0160779,-0.0346151,0.127386,-0.0862436,-0.034308,-0.160737,0.0736142,0.0665732,-0.0312658,-0.181974,0.0839896,0.0529601,-0.185855,0.0709882,-0.0262023,-0.0461278,0.00670691,0.0581022,0.0528322,0.103278,-0.109243,0.0920065,-0.183902,0.208069,-0.0119513,0.0242009
16,-71.2098,0.0775891,-0.195155,-0.00382459,-0.0549068,-0.122879,0.060256,-0.0626608,0.241737,-0.0917164,-0.05514,0.0381919,-0.102662,-0.128364,-0.0169069,0.0310517,-0.0379817,0.164639,0.0112144,0.0718691,0.0777076,0.0132783,0.0427111,0.0438344,-0.0666784,0.00716573,0.089555,-0.152544,-0.057149,-0.0300593,0.0376604,0.0102068,0.0638845,0.041155,0.0969613,0.0440133,-0.0564555,-0.00532452,-0.00301822,0.0296616,-0.207093,-0.0792783,0.00249497,-0.294508,-0.0775201,0.0755186,0.0543965,0.125951,-0.0146417,-0.149408,-0.118691,-0.248202,0.0401436,-0.165044,0.0771197,-0.0438019,-0.224667,0.0517626,-0.0736607,-0.141207,-0.0748899,0.246926,-0.267679,0.115785,0.0199143,0.0563009,0.125044,0.00198122,0.0489729,0.0178719,-0.0468426,0.261004,0.127781,-0.234513,-0.124955,-0.00576265,-0.0284228,0.0459575,-0.0941984,-0.0391787,-0.00179342
17,68.3727,-0.099447,0.0482265,0.281357,-0.0165549,0.0520092,-0.114749,0.192944,0.0503308,0.117584,-0.0305022,0.0409941,0.0797953,0.0293337,0.0160051,0.110429,-0.0921187,0.0294642,0.00576606,0.0908593,0.250114,0.0465787,-0.0827613,0.17159,-0.0663695,-0.0711866,0.13683,0.00397483,0.0420651,-0.17061,-0.140605,0.235743,-0.185344,0.00668388,-0.170725,0.0275993,0.0222875,0.039065,-0.0694921,0.151328,0.0614285,0.0926017,0.070579,0.121332,-0.13649,0.113048,0.033778,0.0121256,-0.0988629,-0.0358996,0.156361,-0.26966,-0.0306898,-0.0691193,-0.0344555,-0.0776899,-0.109979,-0.0208817,-0.0125322,0.0509887,0.221633,0.0045181,0.0522774,0.174585,0.0695667,-0.225433,0.032286,-0.0152714,-0.0544111,0.141651,-0.04289,0.0388529,-0.0858944,0.0162416,0.0140689,0.0466482,-0.0147344,-0.248681,-0.0433085,0.153438,-0.0712868
18,-68.3259,-0.0601452,0.0850731,0.168121,-0.263094,0.0311428,0.114494,0.0677117,-0.0974637,0.0439385,-0.00453738,-0.0817657,-0.282574,0.144226,-0.112193,-0.025576,-0.0266953,-0.0844014,0.00242134,0.14805,-0.133992,0.0488184,-0.00978276,0.140958,0.135271,-0.0108823,0.0636404,-0.195504,-0.00730517,-0.0971491,0.092922,0.0723168,0.0954542,0.14877,-0.0297074,0.042748,-0.0245299,0.0612967,-0.178376,-0.082401,-0.0520335,-0.248212,0.0271947,0.0573974,0.0180195,0.0455877,0.0963943,0.0689723,-0.0611604,-0.189223,-0.0184514,-0.0431521,0.0454513,0.0593013,-0.10641,-0.021713,0.171771,-0.253044,-0.0860902,-0.0678852,-0.0395452,-0.00806692,0.0449067,-0.154574,-0.0287521,0.0444249,-0.163155,0.0941334,0.03826,0.127615,-0.0124618,-0.0953595,0.155652,-0.0554199,-0.156626,0.102636,0.200914,0.0728377,0.11452,0.0772685,-0.201294
19,65.5856,0.0475426,0.10111,-0.135618,-0.192162,-0.1562,-0.0500444,0.0229079,-0.0894843,0.136006,-0.210692,-0.0220135,-0.0464007,0.160971,-0.0151327,-0.10669,0.0361633,-0.0227652,0.022585,-0.109667,-0.00229444,0.0722201,-0.0177769,-0.0612854,-0.00485616,0.029292,0.0376632,0.0647073,0.0745001,0.0903965,0.0916793,-0.14429,-0.153276,-0.0743437,-0.0202609,-0.17189,-0.255141,0.170782,-0.000470991,0.0259954,0.0696803,0.0765075,-0.00745386,0.0807672,0.0177896,0.00403427,-0.0848688,0.0495522,-0.105584,0.12388,-0.110703,-0.0760939,0.0858873,0.0336496,0.142451,-0.0801032,-0.0943328,0.0120564,-0.00512578,0.102329,0.002697,0.170314,-0.154576,-0.00199477,0.00614605,0.127739,-0.162222,-0.136806,0.149067,0.0631366,0.0859333,0.231747,-0.214077,0.0830955,0.123665,0.190762,0.0994815,0.0562853,-0.113313,0.169344,-0.282017
