Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52
10,59.1183,-0.178493,0.185715,-0.0915983,-0.0136532,-0.191162,0.0764002,-0.0726559,0.0428203,-0.205798,-0.00334117,0.149501,0.00703418,0.0654305,-0.0465056,-0.0209002,0.0272998,-0.190127,-0.179303,-0.21572,-0.1657,-0.0134895,0.0491091,-0.150917,-0.110874,0.0839026,-0.0882959,-0.164559,0.0601464,0.104906,-0.189581,-0.281991,-0.155573,0.0681317,0.0525138,-0.00679965,-0.120821,-0.316781,0.0466177,-0.0646139,-0.012665,0.105306,0.131119,0.0627967,-0.0994156,-0.177618,0.104405,-0.0373185,0.0757469,0.0526391,0.0480819,0.0333437,-0.367274,0.255664
11,-57.6943,-0.0607368,-0.0487453,0.161692,0.086274,-0.00599112,-0.163718,-0.0577634,0.0930945,-0.00300874,0.0817598,0.0413347,0.0963278,0.0760664,0.0810391,0.114242,0.0426125,0.153456,0.100483,-0.159883,0.280806,-0.154517,-0.440455,-0.0847704,0.0621126,0.117742,0.153864,-0.048623,0.152441,0.0294516,-0.152988,0.0528836,-0.119117,-0.175332,0.189828,-0.0804679,0.163765,-0.0280146,0.0935733,0.22626,-0.0937407,-0.0579578,0.121098,-0.109445,-0.113642,-0.21436,0.175984,-0.192491,-0.0828934,0.143077,-0.125423,0.103323,-0.0472957,-0.150853
12,55.5896,0.024917,-0.0101453,0.0127061,-0.179356,0.0439916,0.116072,-0.0261639,-0.0867204,0.150806,-0.0829444,-0.159709,-0.0315755,0.0383671,-0.0248928,0.0330018,0.0225111,0.156825,0.119655,-0.0847111,-0.0324523,-0.235171,-0.148693,-0.272877,-0.137747,-0.160476,-0.158534,0.199442,-0.138919,-0.0252291,-0.0234056,-0.0976852,-0.254054,-0.0505688,-0.00387757,-0.161313,-0.132022,0.263926,0.25829,-0.148154,-0.205305,0.013728,0.145442,0.157005,-0.0754325,-0.13241,-0.11206,-0.0130076,-0.0759311,-0.29098,0.0644645,-0.218695,-0.00267934,0.0971343
13,-53.911,0.232321,0.0507478,-0.0637288,-0.14754,0.169278,-0.225173,0.0438317,0.17953,-0.104241,0.165882,0.206905,-0.159787,-0.0558685,0.262875,-0.191106,0.129821,0.152964,-0.0595914,0.0560282,-0.121191,0.0374124,-0.16645,-0.00191694,-0.128781,0.0958345,0.127169,-0.0074268,-0.118241,-0.215323,-0.041459,-0.16499,0.0370291,0.0659566,-0.0259154,-0.162208,-0.338056,-0.0344241,-0.00157413,0.101167,0.0352006,-0.0160166,-0.137217,-0.195218,-0.00319069,-0.0274532,-0.0393128,-0.152936,0.237806,-0.138574,-0.147829,-0.05917,0.105593,0.108728
14,52.5482,0.0142987,-0.0400087,-0.120834,-0.142849,0.153198,-0.11278,0.235376,-0.160334,-0.138829,0.0448127,-0.21417,0.0306842,0.0400734,-0.191618,0.00965878,0.226279,-0.0953267,-0.18473,-0.176098,-0.159266,-0.115352,-0.024344,0.145813,-0.0663269,0.149389,0.242403,0.155389,-0.206123,-0.0153415,-0.0200599,-0.206033,0.109218,-0.0565747,-0.162471,0.102583,0.321402,-0.0550727,0.0457533,-0.110148,0.0568758,0.0700063,-0.0892523,-0.0666435,0.0629043,-0.276295,0.0451079,-0.0462708,-0.136006,-0.0817234,-0.0182787,-0.0777218,-0.018029,-0.220764
15,-49.4734,0.102937,0.215514,0.110335,-0.124808,-0.026095,-0.0728216,-0.113721,-0.211161,0.0390827,-0.116952,0.103797,-0.159412,-0.0706989,-0.145507,0.0218689,0.0626194,0.214158,-0.0132583,0.0310851,-0.0328019,-0.0702163,0.127547,-0.0520377,0.209557,0.212366,-0.192064,0.303561,0.142858,-0.0915439,0.135036,-0.00209381,-0.143666,0.0372208,0.137285,0.121961,0.175647,0.0435858,-0.175591,0.0214856,0.0731282,-0.00391257,0.020699,-0.264068,0.134754,-0.108313,-0.066909,-0.243593,0.114298,0.220233,0.119702,-0.18016,-0.0599644,0.178056
16,47.8599,-0.0703174,0.149916,-0.0157187,-0.00552166,0.0307806,-0.167924,0.0668218,-0.12161,0.110354,0.103174,-0.275716,-0.188469,0.000605342,-0.0375689,0.243108,0.0570961,-0.0468385,0.139136,-0.170256,-0.147748,-0.124579,-0.072608,-0.318925,0.0909565,0.115358,-0.039674,0.0215142,-0.0362898,-0.31977,0.0981559,-0.0518358,0.154873,-0.0239256,-0.00618893,0.0753999,-0.108501,-0.172991,-0.0590486,0.113389,0.0583111,-0.20476,0.103486,0.20717,-0.00889276,0.212915,-0.0126641,0.13418,0.213951,0.0464229,0.0410428,0.284654,-0.0154362,-0.0982254
17,45.5126,0.11625,0.188158,0.0980689,-0.0988816,0.143549,0.233612,-0.123592,0.0264151,-0.101942,-0.106996,-0.064833,0.0906008,-0.0533789,-0.00116243,0.0630475,0.261093,-0.0540041,-0.0228747,-0.0245435,0.132767,0.0300669,0.0633134,-0.0713264,0.00110949,0.111125,0.303356,0.19689,0.0240259,0.34458,-0.116713,0.0555923,0.0937528,-0.0751319,0.0443361,0.116239,-0.221575,-0.0625138,0.014016,-0.136952,-0.0612879,-0.310461,0.00617988,0.16569,0.0329503,0.0604678,-0.269465,-0.0681155,0.00624195,0.163273,-0.271604,0.0193148,0.0536145,0.0724204
18,-44.169,0.106922,0.0364117,-0.0670143,-0.121736,-0.0773417,-0.0137166,-0.0292955,0.0118711,0.156463,0.109912,0.170889,0.0499216,-0.0160935,0.0411185,-0.0255601,0.101859,0.0585548,-0.0348036,-0.156229,0.101279,-0.0673217,-0.0178344,0.134696,0.0820522,-0.161108,-0.175513,0.0627281,-0.0362044,0.130138,-0.106432,0.0129213,-0.0255226,0.32246,-0.129951,-0.203074,0.177021,-0.226812,-0.230925,0.0344631,-0.19104,-0.105344,0.112126,0.044897,0.00691249,0.13524,-0.248619,-0.003882,0.155303,-0.103338,-0.0548653,-0.0988376,-0.227287,-0.422405
19,43.0323,0.124803,-0.100451,-0.0584339,-0.00158799,-0.10598,0.117439,-0.182074,-0.152936,-0.231924,0.168864,-0.106806,0.00659693,0.0729835,-0.0445157,-0.012082,0.0138204,-0.050481,-0.0705821,-0.216247,-0.00533396,-0.250175,-0.0622088,0.249416,-0.0435451,-0.176563,0.0855101,0.223658,0.320598,-0.0692024,-0.104353,0.158096,0.0427782,0.023869,-0.0816577,-0.00364153,-0.147332,0.0216436,0.213434,0.319702,0.299545,0.0948967,0.0276735,-0.0749249,-0.0111317,0.139873,-0.163497,0.0646403,0.0292406,-0.0366968,0.156146,-0.0225362,-0.0345748,0.0899289
