Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89,Eigenvector_90,Eigenvector_91,Eigenvector_92,Eigenvector_93,Eigenvector_94,Eigenvector_95,Eigenvector_96
10,92.2198,0.152426,-0.0328049,0.0913852,0.0347424,0.119978,0.0987689,-0.109081,0.00353166,0.0946592,0.0220181,0.0802022,0.097117,0.0213148,-0.0900688,-0.0552189,-0.0792689,-0.0363836,0.0707014,-0.0152574,-0.0833841,0.123084,0.217071,0.0524544,0.00773213,-0.168532,0.0583099,-0.043633,-0.0482008,-0.209086,-0.00884329,-0.190852,0.0777952,0.0796472,0.0139621,0.0544144,0.05846,0.0474924,0.114323,-0.107252,0.00798357,-0.102139,0.0311243,-0.209151,-0.283377,0.0221591,0.00268386,-0.0507872,0.0614763,-0.0396426,-0.00187568,-0.135422,0.0178189,-0.102653,-0.152495,-0.211777,-0.162269,0.1203,-0.00250722,-0.0677976,0.139131,-0.172114,0.0293613,0.0526912,-0.0811918,0.000884668,0.154897,0.0850749,0.0209541,0.0265345,0.0395008,0.0816823,-0.0412416,-0.127576,-0.0756657,-0.134358,0.0426121,-0.0931536,-0.128865,0.0693738,0.119017,-0.0594559,0.00846304,-0.25508,-0.0238038,0.170464,0.101634,-0.0539826,-0.17164,0.0164359,-0.0791248,-0.0714011,-0.029028,0.0743565,-0.0807529,-0.0194891,-0.0733264,0.0254664
11,87.685,-0.0171561,-0.0178688,-0.0252312,-0.125581,0.122301,-0.0110536,0.0985474,-0.11673,-0.0602598,0.0456455,-0.0911943,0.000949835,-0.0619903,-0.0450246,0.0442938,0.103416,-0.20536,-0.0789635,-0.116412,-0.131349,0.140661,0.104743,-0.219547,-0.0971135,0.0733606,-0.120545,0.0254225,0.1272,-0.0320494,0.0769092,-0.089574,0.00816087,-0.113507,-0.0768947,-0.135702,0.0261994,-0.183868,-0.0285594,-0.212965,0.0700388,0.128842,0.049363,0.0819474,-0.13573,-0.0132612,0.208682,-0.0498312,-0.0163002,-0.0406734,0.0594216,0.156886,-0.0278345,0.0547249,0.045831,0.0276555,-0.0544911,-0.00937567,0.0677107,-0.166529,0.257309,0.00558947,0.119867,0.0553201,0.0574784,-0.0530143,-0.00307381,-0.0374217,-0.196328,-0.0564894,-0.128361,-0.00801475,0.052927,0.0514739,0.146849,0.0183026,0.0438586,0.0579387,-0.0802517,0.279386,0.0642762,-0.0482795,0.124406,0.0182216,-0.0525163,-0.166996,0.0731291,0.0491594,0.174198,0.0467404,-0.150268,-0.0126844,0.0606582,-0.0579162,-0.0472746,-0.0605665,-0.105411,-0.0282652
12,-87.5788,0.00537575,0.0367488,-0.0948527,0.0338916,-0.021836,0.138206,0.00570523,-0.0866247,0.0270497,0.179394,0.0931892,-0.106446,-0.0593907,0.0439612,-0.127585,0.215716,0.216995,0.0135063,-0.1969,-0.155297,-0.0191358,-0.198701,0.022443,0.0118695,0.125626,-0.112928,0.0796643,-0.0837875,-0.0598503,-0.0387397,-0.0835437,-0.0551936,0.0122304,-0.102752,0.134534,0.0234817,-0.0767005,-0.0713498,0.0456613,0.0312593,0.254647,-0.0797059,-0.115796,-0.0785579,-0.00485612,-0.0632391,-0.00681739,-0.0553996,-0.0333697,0.162876,-0.188492,0.0497458,0.00630914,0.0959064,0.176395,0.0652022,0.147556,-0.0685636,0.0583084,0.0679054,0.00493671,-0.177733,0.141583,0.0676331,0.0462199,-0.0330768,-0.0138112,-0.0122245,-0.0129079,-0.0251018,0.241777,-0.0495072,0.000385736,-0.00153677,-0.1911,-0.00705205,0.0235881,0.0160058,-0.0549427,0.111989,-0.100695,-0.0815848,-0.0484974,0.169807,-0.0331304,-0.126442,0.183858,-0.0362322,0.0774384,-0.0688743,-0.00420926,0.0379622,0.0239313,-0.167187,0.122693,-0.070059,-0.105526
13,-85.5315,0.0785608,0.081829,0.193202,-0.0567163,0.0855365,0.114814,0.0127079,-0.159367,-0.0146016,-0.0140432,0.0587072,-0.0947848,0.0804621,0.192477,-0.0107421,-0.13082,0.171989,0.121905,-0.022909,-0.0545719,-0.0624356,0.0577741,-0.0163085,-0.148241,0.1586,0.0460826,0.0402376,0.168973,0.0706195,0.0867834,-0.00177822,-0.00993596,0.0811086,0.217297,0.0242293,-0.0769633,0.057382,0.068255,0.206358,0.105875,0.00641089,0.074877,0.130128,0.0301973,0.0909125,-0.00683571,0.0245063,0.076674,-0.0403428,0.131164,0.0954365,-0.054142,-0.0682029,0.0758975,-0.07797,0.00979843,0.057636,0.0262886,-0.0698752,-0.156666,-0.0891584,0.220106,0.0804751,-0.0692595,0.0475452,0.129455,-0.0293388,-0.00519511,-0.0338529,0.0218995,0.000229858,0.0278257,-0.0395745,-0.0267468,0.0841004,-0.122239,-0.00685425,-0.0222466,-0.0329383,0.0503168,0.176444,-0.150321,0.0869734,0.156218,-0.140833,0.184781,-0.0915767,-0.00320591,-0.110285,-0.195982,-0.0855422,0.0694025,-0.026458,-0.254507,0.0485385,-0.151467,-0.135031
14,84.0674,-0.138795,0.0802067,0.026224,-0.0588829,-0.140599,-0.0992419,-0.0397691,0.1161,0.0106449,-0.0793777,-0.0728086,-0.000736883,-0.0994845,0.0119062,0.0170849,-0.206144,-0.12984,-0.155902,-0.0285554,-0.0269123,-0.0517803,-0.115132,0.0242025,-0.0513099,0.17108,0.142303,0.147295,-0.0920616,-0.00151036,-0.0265152,-0.0809819,-0.00866295,0.0349652,-0.106158,0.0473806,-0.0908058,0.0219058,0.00546215,0.112527,0.104198,0.01154,-0.0575787,0.0467544,-0.105228,0.0890772,0.0175194,0.0382039,0.184599,-0.186148,-0.0885437,-0.059282,-0.0428939,0.126485,0.1642,0.0388518,0.049417,-0.0462063,0.0278089,0.0765737,-0.0162247,-0.0819603,-0.0365381,-0.0267138,-0.191606,0.0682855,-0.117286,-0.179827,0.0115947,0.200874,-0.13054,-0.0253635,-0.034939,0.0352057,0.164123,-0.0586619,-0.140624,-0.0384871,-0.0986279,0.162363,0.27807,0.0736505,-0.0631202,-0.0366856,-0.0236764,0.203169,0.14328,0.0794023,-0.0392738,0.0523031,-0.011951,0.123207,-0.125252,0.131815,-0.109229,-0.170007,0.00330217,0.0768587
15,81.9814,0.122254,-0.142648,0.148366,-0.0946136,-0.0818536,-0.195895,0.137289,0.12257,-0.0260817,-0.0176247,-0.0353749,0.0245561,0.142548,0.141918,-0.0178554,0.129216,0.142375,-0.0464077,0.128927,-0.159901,0.0561173,0.159638,0.0561081,-0.0446967,0.0674309,-0.0884358,-0.0221773,-0.085772,0.237546,-0.0454952,0.0348169,0.159134,-0.115959,0.0506099,0.0568531,-0.10347,-0.0652862,0.0420013,-0.119304,-0.180742,0.080776,0.0774335,-0.051876,-0.152224,0.249424,-0.00736022,0.0106338,-0.0763589,0.156598,0.0363016,-0.0492122,0.135154,0.0984048,0.102669,0.0172628,0.0361513,-0.0300447,0.17484,-0.0211591,-0.0695789,-0.0697014,-0.00258755,-0.152261,-0.0207989,0.162569,-0.002518,-0.134458,0.199395,0.0344844,0.0408482,0.0317503,-0.0278475,0.0303522,-0.0999429,-0.108429,0.220716,0.0922114,-0.0612374,0.0294002,-0.0238497,0.144913,0.116558,0.0526457,-0.0150907,-0.00301639,-0.0641244,0.0648478,-0.01304,0.0421538,-0.0903891,-0.048455,-0.0857481,0.0961585,-0.0519806,-0.0460581,-0.0699147,0.0953517
16,-81.4867,-0.0445328,-0.0535162,0.101761,-0.113592,0.0675453,0.194839,-0.0125597,0.00457094,0.128783,-0.0246514,0.00754376,-0.0786465,-0.144424,-0.00377478,0.0180538,0.0510447,0.0463078,-0.13067,0.170169,0.250629,-0.0837755,0.104481,0.138536,0.0489825,0.0124609,0.0549343,0.13242,-0.178823,0.0931483,0.0255003,0.0113048,-0.203122,0.04974,0.0766038,0.0585117,0.201776,-0.167148,-0.0288467,-0.0530168,-0.0490555,-0.060611,-0.0855501,-0.0688494,0.00426891,-0.0413404,-0.0418524,0.0467127,0.0266118,-0.100042,-0.0957236,-0.0760528,-0.0656989,0.18836,0.0739246,0.0345186,0.0479777,0.133817,0.0605913,0.054231,0.132046,-0.174708,0.0754506,0.133945,-0.0712765,0.0912353,-0.0608919,-0.0012618,0.00324055,0.130491,0.0100208,-0.0240448,-0.110546,-0.0513831,-0.0345837,-0.111838,0.0953603,0.04033,-0.119106,0.0371489,-0.168074,-0.0129398,0.0488877,0.0341249,-0.0120327,-0.281724,0.141917,-0.0122419,0.141313,-0.10413,0.136232,-0.220766,0.128149,-0.0389852,-0.0396395,-0.0464285,0.0889354,0.0223964
17,81.071,-0.0767401,-0.117049,0.278779,-0.0400026,0.0936244,-0.0373136,-0.0392025,-0.202699,0.119207,0.168629,0.0854197,0.00954857,-0.192498,0.00757944,0.00214468,-0.101147,-0.0639994,-0.0364348,-0.0494171,0.085955,-0.170592,0.0381276,0.0839472,0.00511725,-0.126983,0.0317558,-0.0159254,0.072441,0.140024,-0.0802463,-0.108718,-0.14417,-0.0191883,-0.12271,0.0469157,0.097815,0.273561,-0.178464,-0.0273271,-0.0704044,0.00472445,0.198495,-0.0535502,-0.222294,-0.0132155,0.0597379,0.0711021,-0.0587664,0.080164,-0.0198981,0.153175,-0.0910681,-0.055834,0.0305526,-0.0135306,0.117185,-0.100452,0.183797,0.11457,0.000367613,0.0921836,-0.0915465,0.139396,0.0199439,-0.106552,0.00598944,-0.0856892,-0.0510235,-0.154579,0.0619157,-0.0972256,0.00468334,0.0630453,-0.0594116,-0.127964,0.051563,-0.068371,0.0726137,0.0401363,0.102068,0.190259,0.0417337,0.0940873,-0.00544256,0.00844479,-0.0735525,0.107536,-0.0841875,0.0333114,0.0996688,0.106457,-0.0646092,-0.0437468,-0.00394666,0.074262,-0.0420564,-0.0959188
18,-80.5239,-0.0437091,-0.169701,0.0115777,0.0989049,0.0729209,-0.032664,0.133889,-0.153187,0.0632955,0.0949942,0.110834,-0.0768991,0.159206,-0.0988886,0.0454247,0.0111265,-0.00770078,-0.0997711,-0.00735981,-0.0713856,-0.0647951,0.00160138,-0.104789,-0.111839,0.00870801,0.153726,-0.0396828,-0.0204117,-0.127243,-0.097621,0.00912713,-0.0530115,-0.107568,-0.138965,0.0961032,-0.0310842,-0.0146452,0.0659331,0.178414,0.130281,0.0209581,0.156233,0.186101,-0.0772651,0.0542573,-0.13999,-0.140554,-0.0767466,-0.0277207,-0.0625577,-0.139552,-0.0598618,0.0992388,-0.136287,-0.0555091,-0.0865764,0.00355842,-0.0678214,-0.0780296,0.024267,0.131065,-0.0828138,-0.169747,0.0261547,0.0750268,-0.0265941,0.140275,-0.0563302,0.137667,0.122996,-0.049957,-0.115491,-0.0136356,0.0575125,-0.0751346,0.0769723,-0.0440656,0.119648,0.0586668,-0.00188955,0.138589,-0.088686,-0.010305,-0.0471091,-0.223775,0.0210183,-0.134411,0.13572,0.0962326,0.0198636,-0.0941325,-0.275748,-0.00113082,-0.13881,0.0619682,0.230731,0.0712145
19,-79.793,-0.0650464,0.0182761,-0.0590433,-0.0259286,-0.184704,0.149057,0.0130102,-0.124325,-0.109908,-0.103928,0.188939,0.155815,-0.0434369,0.0726987,-0.0142087,-0.0418598,0.0170348,-0.0386249,-0.0560355,-0.0148129,-0.140799,-0.0743429,-0.130085,-0.149379,-0.072813,-0.122791,-0.0747331,-0.086753,0.134226,-0.0435952,-0.100259,-0.0825729,-0.0689522,-0.0232198,-0.0861211,-0.134176,0.127587,-0.0553389,-0.146183,-0.0309217,-0.022259,0.0309579,0.0465241,0.0121288,0.0285667,-0.135025,-0.0284504,-0.141135,-0.063493,-0.067134,0.00673209,0.191411,0.0436423,0.0387536,0.0580778,-0.237404,0.00724735,-0.0426622,-0.0911411,-0.0204234,-0.139698,0.0186345,0.0440999,0.0235219,0.0911302,-0.0479923,-0.176992,-0.211864,-0.122464,0.118484,-0.246561,0.00274492,-0.00786262,-0.0462788,-0.0801975,-0.0980991,0.136648,-0.0848096,0.0802848,-0.155585,-0.0277013,-0.161913,-0.179259,0.143179,0.115493,-0.0823444,-0.0802409,-0.0511193,-0.0201158,0.0530294,-0.190863,-0.0241212,0.044985,0.018235,-0.146077,0.0555828,-0.0534292
