Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38
10,-44.0895,-0.0248232,-0.117322,-0.237041,-0.0207739,0.134985,0.0462948,0.194748,0.213546,-0.308884,-0.09706,0.0575055,0.00688438,-0.0299832,-0.0278964,-0.240004,-0.0408031,-0.149149,0.286178,-0.28379,-0.124926,-0.172482,0.20625,0.0747057,-0.0310499,0.0521627,-0.0272489,0.0263653,-0.0405232,0.01295,-0.249203,-0.36465,-0.0869852,0.101183,-0.0109572,-0.230603,-0.00947606,-0.0309466,0.293211,0.133018
11,-42.6878,0.27046,0.266378,-0.0375228,-0.0231541,-0.00954822,-0.098114,0.310306,-0.03681,0.10142,0.00963682,0.232171,0.123171,0.191502,0.173523,-0.00379229,-0.0536188,0.203941,0.259328,0.0965506,-0.28365,-0.0125994,0.130981,-0.076188,-0.0158156,0.0972684,0.215201,-0.210973,-0.137018,-0.0888729,0.0462282,0.225151,0.118573,-0.142595,-0.201392,-0.141355,0.298167,-0.0901885,0.0361443,0.0490697
12,40.7785,-0.0284604,0.238301,0.237622,-0.139489,0.224169,0.0539049,-0.0670359,0.0670223,-0.0435447,-0.14504,-0.0652242,0.0876097,-0.125337,0.277125,-0.205277,0.103046,0.150476,-0.0404511,-0.180735,0.289527,0.007671,-0.229363,-0.0427332,0.170848,0.261574,-0.0078647,0.0234779,-0.194462,0.068961,-0.0998771,-0.247337,0.150111,0.00990066,-0.129651,0.0504703,0.154827,-0.290232,-0.252124,0.0569446
13,37.3498,0.00191372,-0.242912,-0.310727,0.038504,0.031684,-0.00670451,-0.027243,-0.238282,0.0864414,-0.377734,-0.269598,0.0154013,0.143686,-0.173111,0.0561893,0.265617,0.0399678,0.234556,-0.152724,0.183408,-0.0479512,-0.0509185,0.0654657,-0.0704751,0.106846,0.198406,-0.0692794,-0.284716,-0.0121428,0.230386,-0.0107568,-0.0635087,-0.187614,-0.059379,-0.0994225,-0.0197467,0.083459,-0.153996,-0.188598
14,-36.7343,0.0449097,-0.00132573,-0.0796177,0.0916331,0.280661,0.22612,-0.139985,0.236783,-0.281421,0.0799615,0.0799206,0.339269,-0.159982,0.0752777,0.163358,0.136364,0.0556232,0.0246103,0.182887,-0.190544,0.0351605,0.0488103,-0.0667762,-0.133865,0.203643,-0.0445594,0.172373,-0.131329,-0.32147,0.189121,0.0321715,-0.30879,-0.0638457,0.0578348,0.140941,-0.027174,0.100908,-0.173717,0.017656
15,34.868,0.0717801,-0.169571,0.283693,-0.117481,0.0950679,0.100214,-0.0338884,0.150072,-0.0430398,-0.070505,0.0375245,-0.112389,0.135458,0.158528,-0.134968,0.382551,-0.125928,0.00378645,-0.107468,-0.0756139,0.0546612,-0.23873,0.129013,0.041722,-0.376582,0.229574,0.0335604,0.287047,-0.0907552,0.182544,0.0796323,-0.239048,-0.128974,-0.0227996,-0.116729,0.229396,-0.0498909,0.100827,0.0975109
16,-32.78,-0.10995,-0.204811,0.0660572,-0.109226,0.1864,-0.00834003,-0.0301731,0.0959844,0.162092,-0.280466,-0.0757467,-0.138825,-0.115269,0.0362674,0.0490689,-0.142659,-0.079951,-0.25296,0.13676,-0.154787,-0.113993,0.298816,0.118384,-0.064115,-0.162221,-0.211151,-0.291371,-0.209396,-0.0580111,-0.0668399,0.153974,-0.129272,-0.0714687,-0.0785485,-0.166863,-0.0291638,-0.295713,-0.24819,0.216928
17,32.6061,-0.049068,-0.240424,0.149876,-0.274586,-0.269647,-0.0793022,0.0597754,-0.212664,-0.323546,-0.228504,0.11413,0.106405,-0.0969836,0.154249,0.0360143,0.107656,0.0924185,0.0677983,0.217071,-0.179979,0.036698,-0.0834884,0.167979,0.249972,0.147413,0.0116632,-0.13039,-0.0516864,0.139366,-0.134639,0.0989674,-0.092501,0.352313,0.121661,-0.0437253,0.00734051,0.203607,-0.110753,-0.0554527
18,-31.933,-0.238103,0.010385,-0.0980093,-0.039023,-0.0185155,0.0607326,0.107098,0.0357732,-0.0579451,-0.0663922,-0.127166,0.116426,0.117083,0.0533388,0.0289986,-0.155465,-0.0540362,0.0684206,-0.216747,-0.182787,-0.0802313,-0.151374,0.108856,-0.252025,0.249876,-0.0566428,0.23609,0.387689,0.205469,0.183562,0.308983,0.185617,0.0588696,0.0333406,-0.150336,-0.028114,-0.108449,-0.289332,0.206296
19,29.4921,0.210354,-0.247654,0.0899536,0.231014,-0.0808762,0.0737283,0.145758,0.12834,-0.117659,-0.237865,0.270155,0.137603,0.0342532,-0.188144,0.0154168,0.0741777,-0.0137949,-0.245972,-0.307718,0.00556246,0.205791,-0.0226043,-0.195527,-0.157687,-0.131681,-0.178905,0.042771,-0.113868,0.086005,-0.213947,0.114333,0.243819,-0.0406017,-0.0897281,0.114055,0.193572,0.201858,-0.162099,0.0144385
