Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34
10,43.2363,0.0226852,0.24857,0.131393,0.0542201,0.115224,0.00607968,0.0207821,-0.253728,0.115749,0.0665517,0.143183,0.113253,-0.0239777,0.166354,-0.071363,-0.0335472,-0.396097,-0.0891663,-0.231896,-0.171548,-0.0171859,-0.00228692,0.0323687,0.171944,-0.056614,-0.0572944,0.0431945,0.248832,0.411122,0.0882117,-0.322763,-0.239697,0.0108443,-0.0437826,-0.253083
11,39.6025,-0.0562792,0.191124,0.217341,0.0923444,-0.113984,0.0490202,-0.165206,0.2872,-0.0860645,-0.0179363,0.0687487,0.132885,0.4493,-0.0270002,0.270725,0.0176159,0.0772375,-0.182319,-0.220608,-0.0925966,-0.0816834,-0.0191196,0.00853993,0.0805346,-0.0375111,-0.117956,0.324896,-0.0205394,-0.123477,0.157419,-0.0284244,-0.072387,-0.312973,0.291071,0.113834
12,37.2506,-0.0883063,0.415898,0.06173,-0.00239348,0.0797867,-0.0903422,-0.229381,0.10285,0.284315,-0.217108,0.23554,0.164657,0.0590277,0.0774559,-0.102398,0.22251,-0.127025,-0.0847733,0.0970759,0.0385983,0.11701,-0.0983981,-0.11881,0.177474,0.122232,0.0429135,-0.144761,-0.0613699,-0.235784,-0.144327,0.0277342,0.449384,0.115479,-0.0832229,-0.116295
13,-35.6711,-0.0742509,-0.124558,-0.0978647,0.035189,0.0539397,0.131035,-0.010773,-0.0972146,0.233384,0.0181687,0.154276,0.144221,0.186035,0.0432836,-0.0122664,-0.203316,-0.224673,-0.106753,0.0657942,0.0521635,-0.222814,0.244229,0.0523462,-0.0101923,0.248326,0.281794,0.178507,-0.209218,0.0546966,0.0177194,0.399441,-0.135875,0.330088,0.265828,-0.0492377
14,31.6892,-0.124016,0.28077,0.0451135,-0.248808,-0.0134095,0.161526,0.0822183,-0.156161,0.0559625,0.035886,0.0581701,0.00664277,-0.0324995,-0.142317,-0.258983,-0.132705,0.327629,-0.29839,-0.151809,-0.368997,-0.186024,-0.1085,-0.0528622,-0.0564365,-0.13093,0.0453826,-0.00939813,-0.321523,-0.0582043,-0.0532536,0.0431702,-0.157658,0.0690393,-0.281826,0.151157
15,-29.1657,-0.37059,0.240681,-0.211844,0.0229946,0.183172,0.00255905,-0.0257036,-0.19336,0.270777,0.295056,-0.17071,-0.0263085,-0.0480212,0.0547789,0.0827009,-0.0503685,0.306544,0.127796,0.0915482,0.0662062,-0.15696,-0.015697,-0.0179606,0.15311,0.265912,-0.241648,-0.123194,0.236368,0.0249766,-0.0202104,0.139263,-0.0573035,-0.240954,0.168786,0.02654
16,-27.0312,-0.0636356,-0.105185,0.350587,-0.117542,0.292417,0.0822621,-0.111448,0.0556164,0.208127,-0.213752,-0.0954701,-0.00148324,0.177661,-0.0542837,0.18133,-0.240521,0.0581077,-0.103824,0.0685726,0.149227,-0.0444536,0.377297,0.00072789,-0.122881,-0.262775,0.0526024,-0.399663,0.0530009,0.0769803,-0.166729,-0.0422847,-0.0504777,-0.173434,-0.100422,-0.0621853
17,25.9638,-0.109543,-0.0501528,0.107393,-0.258939,-0.173946,0.109149,-0.158994,-0.136635,0.225781,0.141859,0.204976,-0.373585,0.0057965,-0.0855392,0.150316,0.276954,-0.0633369,0.268157,0.0187317,0.00194385,-0.111061,-0.112983,-0.0899657,0.0207787,-0.222938,0.333567,0.109891,-0.0710954,0.300233,-0.0118632,0.0263802,0.176268,-0.172236,0.0789226,0.124553
18,24.237,-0.0277296,0.0278523,0.172651,0.183931,-0.186216,-0.261868,0.143855,-0.152897,-0.0977588,0.170104,-0.0822571,-0.14515,0.17871,0.0394095,-0.296374,0.198567,-0.00648582,-0.217799,-0.315471,0.313412,-0.063069,0.0338058,0.0966435,0.00232974,-0.156787,-0.164764,-0.266228,-0.150589,0.159497,-0.0889254,0.271408,0.134009,0.0231017,0.170311,-0.0304338
19,-22.9321,0.112975,-0.201723,0.0543377,0.300214,-0.0243531,-0.0839928,0.0539096,-0.130107,0.164434,-0.105447,0.465032,-0.178783,0.17271,-0.0499384,-0.217794,0.0439003,0.128146,0.0331608,0.310188,-0.201566,0.100226,0.0708256,-0.0114927,0.136476,-0.0233829,-0.247063,-0.00901817,0.0630064,-0.048654,-0.259441,-0.0979108,-0.219061,-0.0296518,0.114898,0.250531
