Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36
10,44.8127,-0.00866955,0.00185424,-0.130384,0.00272366,-0.229995,0.0679463,0.205816,0.0290839,-0.0698744,-0.0399787,-0.124864,0.0120607,0.113901,0.0832764,-0.469359,-0.392627,-0.0346566,0.0388129,-0.250567,-0.0347411,-0.0250123,-0.237773,0.116977,-0.314132,0.251699,-0.0802439,-0.0593684,0.0713778,-0.158042,-0.0714725,0.0388226,-0.0973514,-0.110206,-0.304185,0.0336126,0.00279941,-0.0640224
11,39.5778,-0.126619,0.00129583,-0.0238285,0.360352,-0.0622305,-0.107822,0.0674146,-0.0662648,-0.306268,0.288806,0.142756,0.0465262,-0.39799,-0.335595,-0.207491,0.163206,-0.129504,0.10337,-0.180394,0.143192,0.0962292,-0.193753,0.0826205,0.0499533,-0.10744,-0.0514334,0.0329836,0.00985972,0.186827,0.0104643,0.0365723,-0.0585948,0.273774,-0.0347519,-0.0939054,0.0118963,-0.10838
12,-39.5433,-0.016044,0.244192,-0.0685931,0.26002,0.0192048,-0.0342155,-0.163474,0.349418,0.188648,-0.00339963,0.280418,0.0617121,0.0140658,-0.0256698,0.265096,-0.142682,-0.143115,-0.0099386,0.0512013,-0.0672903,-0.05754,0.111674,0.176205,-0.0160417,0.263794,-0.366957,-0.0016886,-0.0503125,0.0243224,-0.25677,-0.103205,0.117874,0.16537,-0.237759,-0.0878461,-0.208866,0.00501735
13,-34.8246,-0.085504,-0.0942058,-0.0306603,0.220122,0.0751048,0.129464,-0.30033,0.187137,0.146515,-0.0593204,0.0863348,-0.025727,-0.127143,0.203761,-0.164549,-0.290014,-0.180925,0.268038,-0.083025,0.167978,-0.0417674,0.0117967,0.0926214,0.130869,-0.0638549,0.24037,-0.0842632,0.210571,-0.205039,0.115502,0.264491,0.211864,0.00597507,0.350728,-0.0725164,-0.0585806,0.0479615
14,34.351,-0.23257,-0.0201259,-0.0827953,0.21093,-0.278857,0.0708882,0.0890957,0.0442132,0.004233,0.1868,0.0212966,0.0652998,-0.0582918,-0.0305103,0.0119416,-0.0315894,0.17026,0.087013,0.316446,-0.120973,-0.189363,0.227051,-0.20774,-0.399614,-0.0990435,0.339182,0.150972,-0.0555137,-0.131787,-0.0718507,-0.0238121,0.00514797,0.184984,-0.0440892,0.0806039,-0.0901618,0.300249
15,-33.4515,-0.0780564,0.224747,0.145048,-0.107228,0.139175,-0.0836908,-0.107967,0.0705633,-0.264208,0.152401,0.00293042,-0.305092,-0.221781,-0.0398253,-0.0448146,-0.196585,0.0126977,-0.0759528,0.0389756,0.16677,0.0979431,0.365275,-0.000849066,-0.0880111,0.119646,0.278453,-0.0462069,-0.145677,-0.113772,-0.0331562,-0.24117,-0.00703552,-0.292561,-0.0761608,-0.201554,-0.0451708,-0.28767
16,28.5536,-0.0941745,0.361887,-0.169322,-0.055299,0.11523,0.208984,-0.152482,0.210183,0.291909,-0.128469,-0.062676,-0.037916,0.164042,-0.282868,-0.255381,0.221608,0.216383,0.0887068,-0.101521,0.1724,0.0824453,0.109711,0.0369366,-0.0328552,-0.0424095,0.0600222,0.0207117,-0.070058,-0.0117528,-0.0279756,0.0566458,-0.268353,0.12728,-0.0184592,-0.169405,0.348064,0.0803818
17,-28.1197,-0.0532644,0.310203,0.439991,0.0422759,-0.277761,0.0241105,0.0318509,0.049976,-0.163153,-0.076492,-0.0283659,0.143405,0.117006,-0.0733151,-0.0918377,0.0887327,-0.124225,0.279268,-0.129593,-0.238101,0.0694137,0.163602,-0.0355916,0.19501,0.0355878,-0.0854705,0.0915453,0.121024,0.00517428,0.0367215,-0.0326913,-0.23842,-0.255177,0.168671,-0.021507,-0.234889,0.239215
18,27.4897,0.0384784,-0.0485267,-0.0343133,0.0228885,-0.169225,-0.10868,-0.131525,0.202066,0.0596108,-0.0535665,-0.0761382,-0.00905678,-0.0695455,0.176516,-0.218883,-0.0558002,0.280685,0.134016,-0.0991181,-0.0671067,-0.0958079,0.15201,-0.181104,0.206626,-0.203778,-0.129803,0.48068,-0.129672,0.262889,0.127177,0.0444336,0.238338,-0.0705642,-0.224928,0.0494589,0.00257654,-0.263404
19,25.3881,-0.132273,0.477036,-0.266486,0.024375,0.177187,0.0371251,-0.0716404,-0.0757874,-0.045191,0.0447319,-0.0498604,-0.0255181,-0.139477,-0.0598826,0.0525504,-0.166792,0.00562938,-0.0121023,0.0330041,-0.226106,0.0225511,-0.367335,-0.306223,0.20607,-0.163666,0.102258,-0.136222,0.0148885,0.0661617,-0.113685,0.03318,0.172936,-0.253113,-0.133242,0.197892,0.000667614,0.171743
