Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55
13,55.7733,0.0575672,-0.044478,-0.00868897,-0.204066,-0.0719651,-0.161429,0.194125,0.0168735,-0.151771,0.0525391,0.0272566,0.150145,-0.180917,-0.0236372,-0.0683814,-0.0598497,0.0411059,0.224644,-0.0240121,-0.197982,-0.200462,-0.0892771,0.0297135,0.0717647,-0.116194,0.0645808,0.191753,0.0744518,-0.19056,0.217516,0.0517332,0.0301215,-0.06442,-0.0162954,0.0154485,-0.0932651,0.0754522,-0.319955,0.0630576,-0.415219,-0.0434748,-0.063154,0.281074,0.066175,-0.0361861,-0.0229907,-0.0217736,0.11989,0.010561,0.100328,-0.11208,0.112314,-0.157409,-0.1681,0.0425191,-0.076808
14,55.4241,0.206411,-0.0248106,0.106065,0.0585503,0.188002,-0.0298853,-0.105344,-0.0624624,0.142242,0.0602875,0.184064,-0.0481933,-0.200981,-0.179752,0.0231777,0.10769,-0.168263,-0.216119,-0.234723,-0.0199713,0.0199032,-0.0787171,0.32244,0.20384,-0.0134487,0.0246425,0.273261,-0.0553453,0.0616733,0.00625978,0.00793724,-0.159979,0.0938592,0.00107944,-0.164503,-0.0680246,0.231311,0.127024,-0.0935063,0.069972,-0.205637,-0.0359499,0.0353794,-0.14366,-0.0337004,0.0621662,-0.00688379,0.225631,-0.118875,0.083957,-0.145243,-0.0770666,0.162848,-0.182495,-0.0225163,-0.0394887
15,-52.947,-0.033774,-0.335182,-0.333376,0.104329,-0.245832,-0.0636836,0.156221,-0.0647786,0.0546974,-0.217665,0.0952821,-0.184662,-0.00180368,-0.0725804,0.179749,-0.00107554,0.176926,0.0691464,-0.325062,0.20599,0.195064,-0.207613,0.0926059,0.0153236,-0.0712605,-0.0500417,0.117558,0.208781,-0.0814651,-0.0561147,-0.0943202,-0.0561516,0.022833,0.184641,0.0298551,0.0852166,0.00339098,-0.10595,0.0952724,0.0905384,-0.069195,0.0593797,0.0241872,-0.0168169,0.0680329,-0.0578729,0.117805,0.0481883,0.204522,-0.0547197,-0.0346493,0.113556,-0.0127911,0.103856,-0.0599062,0.0346595
16,51.8859,-0.161068,0.0996165,-0.216629,-0.195859,-0.179469,-0.129349,-0.25181,-0.146595,0.19336,-0.198429,0.0631571,-0.00788089,-0.0928189,0.0583099,0.114206,0.196674,0.176433,0.0335404,-0.0501842,-0.304194,-0.0493456,0.0516935,0.0476628,0.0404545,0.250721,0.0131145,-0.0597574,-0.0913034,0.10469,0.125875,0.0478267,0.0424987,0.118605,-0.0656729,0.130963,0.0342523,-0.0177181,0.130549,-0.0553007,-0.164134,0.152401,-0.0420125,-0.23217,-0.24416,-0.0399114,0.0938227,0.0747482,-0.0650877,0.148415,-0.0724857,-0.2014,0.0681325,-0.00853192,-0.200834,0.0307227,-0.040885
17,-51.1714,0.114634,-0.119536,-0.144227,0.120319,-0.0753256,-0.142728,-0.0533489,-0.0196197,-0.211681,0.0468842,0.224749,0.0625357,0.111348,-0.0763978,0.00611002,0.0342527,0.0602004,0.00292631,0.144858,-0.0773127,0.00547683,-0.0407646,0.0939513,0.0297183,-0.0839903,0.311022,0.164107,-0.333194,0.148738,-0.147046,0.0566621,0.313664,-0.207752,-0.0371138,0.263296,0.0124561,-0.0326999,-0.0955785,-0.156164,0.0324983,-0.0260681,0.00381702,-0.0775101,-0.00673134,0.303661,0.142053,-0.128655,0.111303,-0.0519383,-0.0763776,-0.0381471,-0.0162573,0.0970975,0.19207,-0.00569235,-0.0609957
18,49.2603,0.0952021,0.0760701,-0.177196,-0.337672,0.0868595,-0.020487,-0.0418297,0.160314,-0.128246,-0.0647346,-0.167853,-0.0412941,-0.11839,0.249738,0.0213595,0.0792254,0.0587578,-0.0197482,0.0382844,0.195954,0.0393551,-0.0212504,0.0650264,0.181544,-0.113587,0.0386233,0.124829,0.179259,0.132884,0.109368,-0.100856,-0.0267911,-0.0865909,-0.0423544,0.220845,0.128618,-0.208562,0.136258,-0.261524,0.00614205,-0.0884265,-0.00108698,-0.00863636,0.165118,-0.0982528,0.054039,-0.0752207,-0.00350396,-0.0712561,0.160888,0.127708,0.179512,0.280681,-0.0999248,-0.166133,0.175488
19,-47.9324,0.0836372,-0.301469,-0.101311,0.137809,-0.106309,0.0981575,-0.0275565,0.196468,0.0589104,-0.0189442,-0.0745115,0.0149305,-0.15944,0.224268,-0.0208912,-0.136898,-0.149438,0.0563949,-0.0773923,-0.0613424,0.0213361,0.154996,0.187472,0.10921,0.0650923,-0.105684,-0.106008,0.0176727,0.0236711,-0.0560132,0.188074,0.0793773,0.0405408,-0.0451216,0.095436,-0.310637,-0.0902763,0.192198,0.235768,-0.0411419,0.121739,-0.305562,-0.0425999,0.293334,0.117298,0.129362,0.0499688,-0.0244378,-0.0189823,0.20612,-0.130506,-0.0899295,0.0593691,0.0419842,-0.0407044,-0.112838
20,45.8621,-0.217439,0.127066,0.118059,0.110783,-0.198777,-0.0765381,-0.125324,0.306497,-0.197128,-0.00582434,-0.049355,0.0299313,-0.108779,-0.203196,0.237532,0.0351782,-0.204193,0.00653318,-0.0385633,0.0225336,0.0320776,-0.118555,0.235896,-0.0531331,0.146753,-0.184444,-0.0324933,-0.0398402,-0.0605437,0.0497837,-0.00856627,-0.22517,-0.276162,0.00612364,-0.00374515,0.233271,-0.20866,0.00609882,-0.0367929,-0.147925,-0.0124314,0.0792839,-0.0283791,-0.116781,0.168984,0.0761311,-0.0686558,-0.0573849,-0.0570221,0.232414,-0.00710069,-0.127071,-0.156996,0.0785802,-0.0697144,0.00138585
21,43.961,0.0683032,0.098021,-0.109677,-0.0215308,0.107598,0.0264055,0.103827,-0.00904769,-0.00407061,-0.284436,0.0902704,-0.0842744,-0.101068,-0.0942231,0.1329,-0.10416,-0.035969,0.0424451,0.123442,0.12374,0.108728,0.0522172,-0.215249,-0.208089,-0.0305944,0.223908,0.0225106,0.165335,0.0952468,0.0848515,0.251532,0.0836914,0.215527,-0.162829,-0.188998,-0.0181752,-0.0925945,0.106688,-0.085849,-0.120334,-0.154754,-0.134814,-0.0844708,-0.196881,0.0122095,0.116408,-0.015491,0.212451,0.0126206,0.32218,0.104671,-0.0437892,-0.183158,0.208324,0.020703,-0.104461
22,-43.2516,-0.0770472,-0.248751,-0.0779815,0.0400997,-0.174691,-0.130271,0.0138433,0.0431453,0.0235757,0.0771581,-0.0391542,-0.124748,-0.0422069,0.250273,0.0167089,0.0532028,-0.05445,-0.188319,0.156714,0.0851597,-0.102231,-0.0583753,0.0460281,-0.237416,-0.146936,-0.130413,0.117064,-0.186856,0.126438,0.0480858,0.00997034,-0.0322369,0.212169,0.082715,0.0902744,0.144086,0.127519,0.0431432,0.0749933,-0.123366,0.001028,0.0943902,0.110454,-0.0941409,-0.181783,0.0679778,-0.220772,-0.0339435,0.0366892,0.0506469,0.347516,-0.190247,0.0564698,-0.134245,0.185999,-0.283978
