Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80
15,-71.5177,-0.0130101,-0.0958531,0.0173859,0.039908,0.0306756,0.113712,-0.063741,-0.068852,-0.161792,-0.0864996,-0.0854876,0.0325464,0.0245489,0.00423901,-0.140099,-0.0290951,0.0264681,0.112057,-0.145248,-0.102972,0.0459955,0.0259077,0.0229199,-0.227239,-0.0306189,0.143438,-0.000746432,-0.0767703,-0.163305,0.138288,0.0271005,0.127041,0.085638,-0.0513279,0.168347,0.120837,0.0233033,0.1806,-0.0613313,0.120867,-0.0473297,0.119158,-0.128453,0.0862846,-0.0234898,-0.279815,-0.221543,0.00130949,-0.112079,-0.0306727,-0.291145,0.0927605,-0.192732,0.026865,-0.0482026,-0.0257902,0.0458564,0.00541863,0.193779,-0.125685,-0.0527292,0.0145939,-0.0521383,0.0945545,0.164421,0.145064,-0.0953919,0.117683,0.0580917,-0.0983181,0.204268,-0.0144845,-0.0528356,0.00191853,0.113462,-0.0268238,0.0587782,-0.10373,-0.168475,0.00994488,0.193051
16,70.5418,-0.126074,-0.0796276,0.110256,0.0350518,0.000484056,0.105287,0.0181715,-0.0382121,-0.00133139,0.0440344,0.146028,0.020578,0.0635419,0.153529,-0.0718679,0.143472,-0.0265712,0.193441,0.0894564,0.10921,-0.205529,0.00377315,-0.0747418,0.00883934,0.177287,0.0873361,0.00385963,0.166795,0.143747,-0.0521785,0.0521157,0.0493395,0.0117927,0.102141,-0.121777,-0.0295915,0.130808,0.0843907,-0.152448,0.051317,-0.175549,0.0793292,-0.161688,-0.0799475,0.187495,-0.0572854,0.0484403,0.0169708,-0.079557,-0.13045,0.105996,0.167488,0.141126,0.100591,-0.145519,-0.00646677,-0.0422991,-0.0155376,-0.0218454,-0.221044,-0.0404267,-0.0837471,-0.132923,-0.00791301,-0.115513,-0.0438745,-0.0804145,-0.106479,0.0697188,0.069626,-0.0115473,0.123185,-0.0921573,-0.0739853,0.0102875,-0.211533,0.304398,-0.0567872,-0.0217557,-0.265426,-0.102979
17,-67.1646,-0.0234098,0.152949,-0.207457,0.0524246,0.128749,-0.160512,-0.127127,-0.11557,0.0830608,0.0313823,-0.0459475,0.0786477,-0.122348,-0.151587,-0.0154422,-0.15957,-0.0462208,-0.355686,0.1183,-0.156791,-0.0553987,-0.0583137,-0.00229702,0.0175953,0.149296,0.0460169,0.00508612,0.192711,0.042227,0.180822,-0.0201481,-0.140783,-0.0898277,-0.0535412,-0.0206668,0.070601,0.0355391,0.192999,-0.0227158,0.0340877,0.0873518,0.0358585,-0.0676145,-0.218574,0.00702202,-0.184825,0.0283194,0.0442774,0.0238301,-0.148022,0.0581232,0.0539362,0.152189,-0.00567945,-0.00712252,0.0490182,-0.0435805,-0.0286579,-0.0357468,-0.192045,-0.109364,-0.107316,0.013003,0.0312528,0.179429,-0.139601,-0.0701233,0.0811789,0.257523,0.0055539,-0.0856827,-0.164598,-0.0309393,0.153115,0.0538259,0.132417,-0.0223984,0.0124121,-0.0406621,-0.0347879,-0.0358483
18,66.8404,-0.0735698,0.0856859,-0.00607782,-0.00466244,0.127678,0.0474044,0.201689,0.273311,0.00978407,-0.154575,0.0659476,0.0196407,0.111488,0.208099,0.00650603,-0.163263,-0.167502,0.0369425,-0.0510642,0.00854,0.0502396,-0.0201069,0.0291652,-0.117811,-0.106948,-0.123079,0.204569,0.142765,0.133271,0.0645652,0.107502,-0.109646,-0.0561185,0.0672446,0.175817,-0.0954631,-0.0378706,-0.0353601,0.102654,-0.15117,-0.0423606,0.0669295,0.0610507,0.103415,0.10959,-0.113268,0.114363,0.0737059,-0.0720015,0.113221,0.0484972,-0.134663,0.0343667,0.0719944,0.219748,0.119544,-0.059235,-0.161701,-0.0339772,-0.170861,-0.130475,0.0548652,-0.172449,0.120713,-0.0612927,0.0908123,0.100174,0.0128765,0.162918,-0.181649,0.0823649,0.017061,0.216735,0.150973,0.0360937,0.0523405,0.0998062,0.0627517,0.0035039,0.00459813,0.0431196
19,-66.391,-0.07509,0.163824,-0.0650263,-0.161707,0.0643247,-0.117594,-0.0707658,0.0262356,-0.133206,-0.0927911,0.00940751,-0.00801776,-0.0778412,0.0505547,0.0691701,0.0772216,-0.285617,0.049969,-0.0273046,-0.109395,0.0130286,-0.113977,-0.0632079,-0.0509279,-0.0254707,0.155869,-0.0994357,0.000564102,-0.0470267,0.0600227,-0.101928,-0.0198264,0.0236599,0.116576,-0.194473,-0.014603,-0.0581803,-0.0793132,-0.0313434,0.0620805,0.199031,0.0816402,-0.116099,-0.0922752,0.261556,0.127701,-0.0458066,-0.0262577,0.0464604,-0.0312744,-0.0654196,-0.19485,-0.164677,0.182263,0.105584,0.162899,0.264708,0.0830081,0.103246,-0.137669,-0.139463,0.132667,-0.107722,-0.173597,-0.0322034,-0.010639,-0.0396319,0.0585658,-0.204213,0.0302927,-0.174793,-0.0532487,-0.00439648,-0.162653,-0.0135885,0.0888802,0.139629,-0.0210961,0.0664669,0.0749634,0.0413362
20,66.1422,-0.0702514,0.0870551,-0.0718594,-0.00680125,0.240898,0.0409158,-0.170362,-0.139378,0.0273812,0.13206,-0.0464959,-0.0353254,0.112929,-0.0170191,-0.139371,-0.0385794,0.0407488,-0.056525,-0.0841333,-0.160273,-0.0820674,-0.142696,-0.133062,-0.00366037,-0.224814,0.0919216,0.101207,-0.090904,-0.0680033,0.00304977,-0.0769832,0.0167021,0.195945,0.0417283,-0.13929,-0.0709256,-0.078394,0.0648377,0.163934,-0.193368,0.0202071,0.0262108,-0.00204667,0.060816,0.170597,-0.0843798,0.202641,-0.0479087,0.084224,-0.0783603,0.0913085,0.238547,-0.0646684,0.0391443,-0.0407118,0.00733985,-0.156826,0.102026,-0.0691051,-0.0314128,0.227894,-0.0878725,-0.0185554,-0.104773,-0.119794,0.0195333,0.0414122,-0.0640612,0.00439784,-0.106686,0.142746,0.108223,0.155337,0.00167507,-0.229136,-0.0321964,0.0242984,-0.191117,0.00189932,0.215288,0.0374291
21,-63.1747,0.0397102,0.117356,0.0153184,0.20409,0.0710207,-0.00797208,0.092311,0.179799,-0.190488,0.0729721,-0.0603901,0.0861388,-0.0012318,0.0274035,-0.00428332,0.00605021,0.0636082,0.00311062,-0.0084196,0.0710079,-0.119227,-0.032746,0.0753974,0.231821,-0.108155,0.103222,-0.00210194,-0.0461679,-0.235451,0.22435,0.294818,0.2013,-0.18326,0.039664,-0.109443,0.0198142,0.0215331,-0.127036,-0.153676,-0.154764,0.103393,0.051527,0.0667203,-0.126106,-0.0353072,0.0727573,0.174659,0.0853869,0.067341,-0.0452091,-0.0992441,-0.0651345,0.0733456,0.017029,-0.294701,-0.0435648,0.105006,-0.0574887,-0.0171145,-0.0154589,0.101901,-0.0679848,0.0271626,0.0569002,0.0716369,0.0216811,0.179544,0.118686,-0.0795518,-0.0937615,0.0448033,-0.124369,0.0121157,0.118476,0.103915,-0.0786137,0.164444,-0.0705203,0.112969,0.0323555,0.0396667
22,-61.4787,-0.0699523,-0.101045,0.245874,0.0168655,0.0945669,0.0564096,-0.0125304,-0.0395753,-0.00417814,0.0264683,-0.128412,0.0609315,0.0189719,0.00205199,-0.11194,-0.116711,0.0613428,-0.0393972,-0.176,-0.161247,-0.109962,0.0137103,0.200111,-0.0084357,0.0425534,0.0470882,-0.101315,0.0921727,0.211122,0.0677877,-0.170537,0.00717349,0.2601,-0.0237322,-0.0664375,-0.259825,0.131049,-0.0677704,-0.0767118,0.0281471,-0.0244459,0.117973,0.00951952,-0.0075373,-0.165015,0.174423,0.144177,0.106231,0.217911,-0.0821887,0.12651,-0.0528017,-0.0308824,-0.102814,0.124295,0.0374805,0.0176828,-0.15778,0.153417,-0.130531,0.0721602,0.0301194,-0.0123704,0.0274975,0.0526621,0.0824919,0.0202675,-0.0440563,-0.0915474,-0.0766482,0.0321368,-0.281079,-0.084615,-0.0687866,0.117992,-0.172848,-0.0611184,0.167117,-0.0402439,0.0686181,-0.00190061
23,61.4056,-0.103204,-0.0918429,-0.0442298,-0.000327734,-0.133957,0.0153612,0.318217,0.158976,0.0419304,-0.0535221,-0.181355,-0.0636418,0.185931,0.0732381,-0.23948,0.0489624,-0.0851379,-0.0984657,0.206285,0.0349863,0.0806127,-0.0552414,0.034136,0.0239849,-0.172488,0.280665,-0.00447252,0.0542502,0.199175,-0.016305,-0.127315,-0.080009,0.110408,-0.203587,-0.113942,0.105205,0.0164017,-0.0518679,-0.0785836,-0.064876,0.0544021,-0.0979676,0.0725552,-0.17241,-0.0848745,-0.129796,0.0462944,0.0118015,0.101245,0.176538,-0.110169,-0.00298016,-0.0776679,0.0816119,-0.117067,0.0819488,-0.0957914,0.0488568,0.0655944,0.0688149,0.054686,0.0476306,0.144887,-0.0723083,0.00729539,0.0836347,-0.242523,0.0440416,0.0684633,-0.102126,-0.0443811,0.0434768,-0.136382,0.0244173,-0.0505122,0.0876815,0.0906219,-0.0275888,0.0372648,-0.00825195,-0.12897
24,-59.4761,-0.102888,-0.0163152,-0.170557,0.025379,0.0207815,0.0143764,-0.147697,0.0405545,0.0503157,0.0632764,-0.0920233,-0.153022,-0.0519095,0.0611257,-0.0480114,0.221735,-0.0939425,-0.0136271,-0.0733617,0.0238107,-0.0634273,-0.120007,0.14969,-0.232638,0.111214,-0.15234,0.0294053,0.272597,0.106406,-0.087577,0.106655,-0.0754526,-0.05714,0.0928069,-0.122585,0.0386984,0.0136289,-0.313092,-0.0262066,-0.00144638,0.0558616,-0.158014,0.110385,0.0446761,-0.0746961,0.023451,-0.111926,0.144536,-0.0254949,-0.0520907,0.0167699,0.164786,-0.0674516,-0.144335,0.0598692,-0.13243,0.172058,-0.00797037,0.0483151,-0.0757049,0.181222,0.013542,0.098241,-0.0643685,-0.0646802,-0.0299975,0.0241329,0.161823,0.00400409,-0.170094,0.142442,-0.00683732,-0.0852345,0.0542087,-0.019727,0.122012,-0.0456096,-0.199745,0.0423524,-0.169157,0.179699
