Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84
57,29.1152,0.170245,0.00575,-0.0750218,-0.0959635,0.104676,-0.0839449,-0.0438582,0.0613891,-0.179478,0.123076,0.0593514,-0.161906,-0.00367007,0.113219,-0.0455875,0.242519,0.083959,-0.0411186,0.244533,-0.0588796,-0.0197854,0.0138783,0.0138398,-0.0623806,0.123528,-0.0162524,0.151735,0.304792,-0.0320632,0.0524077,0.213305,-0.0274684,0.0526652,0.105694,-0.0810982,0.0677307,-0.057684,0.0887906,0.144423,-0.019999,-0.056588,-0.0852406,-0.0628945,0.00248793,0.179021,-0.14956,0.0418681,0.0482914,-0.0630685,-0.0169995,-0.191705,-0.0613077,0.128021,0.0521946,-0.161375,0.0350202,-0.109557,-0.0641422,0.0505772,0.0896223,0.0106543,-0.0998084,-0.101853,-0.0639472,-0.098471,0.0987749,0.0763972,-0.00808947,-0.0815994,0.0999606,0.081472,-0.175832,0.163045,-0.178639,0.076972,0.0676208,0.0023165,0.00456649,-0.282029,0.0233775,0.0317579,-0.100047,-0.0453031,-0.0926239,0.0159951
58,-27.642,0.161221,0.183056,-0.0868153,0.0494856,-0.0904409,-0.0590071,0.00806391,0.0745684,0.128074,0.0843941,-0.0275201,-0.0789821,0.0121564,0.186659,0.102475,0.126356,0.106008,0.131188,-0.0968407,0.022131,0.0420398,0.126172,-0.00993215,0.0815832,-0.327857,0.0373953,0.0865217,0.0225456,-0.097757,0.0930658,-0.0218891,-0.197995,-0.160013,-0.2194,0.0602547,-0.0839902,-0.0203324,-0.112448,-0.0449964,0.0472598,0.0412135,-0.0892158,0.000762162,-0.0512869,-0.239665,-0.0771985,-0.155472,0.0288149,-0.0656069,0.0896698,-0.101636,-0.0730984,0.115615,-0.00373935,0.00517613,-0.181687,-0.200548,0.0552133,-0.130512,-0.115837,0.0647667,0.0668493,0.0731192,0.00946316,-0.125182,0.093672,0.0117554,-0.0154787,0.0431884,-0.0445746,0.0741253,-0.00927664,0.0471653,0.0153934,0.102441,0.00983764,-0.0467118,-0.184313,-0.140983,0.000310611,0.0068023,0.308153,0.104402,0.0946674,0.0286245
59,26.535,-0.0154945,0.166157,0.1602,-0.124026,0.186445,-0.117752,-0.124469,0.0110905,0.0997259,-0.0196641,0.0641045,-0.0472239,0.074916,-0.0520479,0.0612861,-0.25321,-0.160592,-0.126863,-0.0850425,-0.0245062,-0.0616913,0.15024,0.0836143,0.134199,0.136318,-0.000220269,0.0458716,-0.150341,0.0120106,0.065866,0.222791,-0.113182,-0.0676284,0.107642,-0.181199,-0.142506,0.0504966,-0.136577,0.109913,0.143111,-0.102927,-0.255553,-0.109782,0.00850654,-0.0663253,0.196052,0.121059,-0.028808,0.0696247,-0.0959068,-0.124498,0.0315994,0.0049509,-0.179535,-0.0611938,0.000124636,0.0186507,-0.018575,0.0974967,-0.113187,0.045185,0.0282785,0.0557365,0.0701937,-0.0433063,-0.136957,0.0628103,-0.102085,0.0263844,0.0797904,-0.0229671,-0.121088,0.223825,-0.122711,-0.033045,0.0855467,-0.0434654,0.00230041,0.0796585,-0.0677271,0.0173207,0.104724,0.148366,0.0526636,-0.114645
60,-26.0081,-0.119034,0.0412283,-0.0924774,0.0703678,0.0235814,0.0155652,0.0658931,-0.125345,0.0161617,0.177698,0.0182668,0.10113,-0.138609,0.0117727,0.0952077,0.0807356,0.15515,-0.105035,0.0574205,-0.102752,0.204934,0.0720853,0.00802761,0.0322004,-0.100781,-0.235833,0.0282407,0.0716825,-0.184053,-0.218304,-0.0257994,-0.0618653,-0.0847602,0.182444,0.0488036,-0.230523,0.0966609,-0.0548682,0.0555017,-0.00142405,0.0773723,-0.0183279,-0.056427,-0.00555121,-0.0040027,0.330023,0.0193455,0.0174845,0.176902,-0.0483147,-0.00521687,0.0559861,0.0955469,-0.103023,-0.10647,0.00910635,0.0589853,-0.0474631,-0.000955125,0.0363924,0.0243366,-0.119589,0.134692,0.117565,0.081162,0.066738,-0.136579,0.141612,-0.00809009,-0.135918,0.170149,0.0389167,-0.0270812,0.0221122,0.0176807,-0.0694965,0.153752,0.146337,-0.0955122,-0.113016,0.0983053,0.0493877,-0.0184939,-0.282094,0.0303521
61,24.0071,0.0901115,-0.0396364,0.0558603,0.0629237,-0.111228,-0.0384046,-0.208983,0.0858261,-0.14322,0.162254,-0.0296324,-0.249878,0.0271434,-0.234341,0.0814919,-0.0596223,-0.117351,-0.0267111,-0.0162065,-0.153207,-0.0703575,-0.05214,0.0135573,-0.0180575,-0.178133,-0.117805,0.1195,0.146618,0.00571449,-0.0432332,-0.114692,0.10997,-0.0955255,-0.122149,-0.116009,-0.0355423,0.0348915,-0.0994961,0.109276,0.0788136,0.0697308,-0.052757,0.0466818,0.0924528,-0.192029,-0.0198352,0.0378235,0.051712,-0.10759,-0.147719,0.0281305,0.196672,0.045558,0.137132,0.0889781,-0.0864022,0.113142,-0.00110193,-0.130043,0.0790405,0.0410059,0.0646688,0.0884205,-0.0847586,0.205247,0.0352063,-0.0775845,0.107849,-0.18157,-0.00858146,-0.0107615,-0.0242555,0.00629056,-0.0956305,-0.125685,0.0598761,0.00440905,-0.145099,0.0345284,-0.176175,-0.0357295,-0.169512,-0.149736,0.0091304,-0.254005
62,22.2979,-0.00101744,-0.0329987,-0.0223009,0.0812107,-0.0856738,0.0724654,-0.232251,-0.0154864,0.0488963,0.178513,0.0537616,-0.0158953,0.0981571,-0.0921932,0.097778,-0.129372,0.182184,0.0194269,-0.0576658,0.052543,0.105794,0.0612648,0.0318976,-0.125019,0.0606018,0.00933276,-0.0217363,-0.0455576,0.0481558,-0.0518241,0.0840822,0.244291,0.21714,0.0581106,-0.0319544,-0.0124768,0.187927,-0.0471927,0.0593692,0.0522779,0.00547985,0.023544,-0.0188832,-0.247638,-0.0149731,-0.0451108,-0.298203,-0.0710925,0.0125562,-0.0462332,-0.0150998,-0.0282069,-0.030107,0.196757,0.0906994,-0.137804,-0.022302,-0.0390308,0.00530988,-0.14515,-0.216096,0.0558585,0.0112541,0.220105,-0.144451,-0.185861,0.0282976,0.051245,-0.018471,-0.096174,0.013187,-0.201536,-0.0353455,-0.0896188,0.217092,0.024309,0.0950935,0.186192,-0.116867,0.0290807,-0.0456348,0.00648808,-0.0833141,0.116928,-0.0326016
63,-21.6563,0.246862,0.0719294,-0.017635,0.0896534,-0.00302684,-0.275981,0.0656529,0.0148382,0.154087,-0.0605714,0.0245986,0.0987901,-0.17186,0.0657193,-0.0826583,-0.101921,-0.0181779,-0.0246352,-0.00926027,-0.0447629,-0.155755,-0.106278,-0.192006,0.00987875,0.232568,-0.0216267,-0.0559396,0.147484,0.0586076,-0.0260876,0.0563003,0.0721931,0.000412435,-0.130355,0.100789,0.110428,0.221361,0.0636035,-0.0423899,0.139249,0.0605308,-0.0849731,0.0337019,-0.0573751,-0.092577,0.00841691,-0.13033,-0.0709281,-0.150878,-0.0674627,0.0269717,-0.15994,0.0289618,-0.101838,-0.121759,0.194107,0.0434327,0.171526,-0.148705,-0.0748454,0.0757736,0.0889925,-0.0517659,0.0168434,0.092603,-0.138411,0.0503539,0.152867,0.0317788,-0.110403,0.245389,0.0374947,-0.0386949,-0.060349,0.0600803,0.0762184,0.208164,-0.071574,0.083719,-0.119182,0.0314596,-0.0979556,0.0518768,-0.0947109,0.0322383
64,-20.8451,-0.0302923,-0.0789135,-0.0135524,-0.04111,0.179257,-0.0884245,-0.0950177,0.0202063,-0.0545815,0.101629,-0.196019,-0.0184126,-0.151466,-0.0273389,-0.233005,-0.0835085,0.0647512,-0.111279,-0.141247,-0.0502147,-0.0677683,-0.0921581,0.00955885,0.0278115,0.127058,-0.207834,-0.0209032,-0.0493905,-0.295958,-0.0293798,-0.0930923,-0.0648983,0.0464529,-0.163118,0.0794693,0.1001,0.0341692,-0.0411215,0.00109864,-0.0313564,-0.0920102,-0.00581271,0.111188,0.00321981,0.128436,-0.119629,-0.039116,-0.0375761,0.216817,0.110294,-0.0652124,0.145932,-0.0550376,0.138423,-0.215327,-0.236723,-0.110355,-0.00647488,-0.161534,-0.0723888,-0.182764,-0.0964978,-0.043143,-0.0700179,0.0719408,-0.0397989,0.0503514,0.208187,0.0959799,-0.0128166,-0.134069,-0.0220636,0.103089,-0.0193924,-0.076746,0.160397,-0.0665286,-0.0128622,0.121967,0.0547267,0.0891873,0.153473,0.06262,-0.023402,0.0239439
65,19.2077,-0.125415,-0.0548108,-0.00116881,0.151298,0.134858,-0.0105624,0.0196675,0.0877331,-0.090535,0.0259695,-0.029448,0.0409662,0.037448,-0.0543771,0.138937,0.111593,0.0917503,-0.0134454,-0.0904683,-0.252623,-0.0933852,0.081921,-0.0287574,-0.0323024,0.163196,0.130351,-0.0757766,-0.146012,-0.0915808,-0.114649,-0.035799,-0.050411,0.135594,-0.134403,0.0769254,0.00505298,-0.0645076,-0.0805467,0.0226043,-0.0827583,-0.0580888,-0.1991,-0.0284336,0.0181256,0.0603055,-0.0288156,0.144483,0.129964,0.0964303,-0.0543163,0.0277992,-0.240204,0.0565848,0.131696,0.13617,-0.0831695,-0.0810536,-0.0294292,0.289239,-0.230855,0.0699517,-0.068411,-0.0432897,-0.10967,-0.0402806,0.0665221,-0.0075111,0.0549171,0.0606893,0.0208253,0.210456,0.0311178,-0.17952,-0.0440106,0.0922184,-0.101443,0.146669,-0.253171,0.0765317,-0.0394128,0.0382324,-0.0535048,-0.0587093,0.0225787,-0.215373
66,-17.1909,-0.0508574,0.0784841,-8.70877e-05,-0.252031,-0.152236,-0.0241604,0.0465906,0.0913693,0.213758,-0.0488922,-0.036571,-0.0716185,0.108638,0.0148398,0.0101259,-0.0843822,-0.190143,0.0143742,-0.0810126,-0.153765,0.246178,-0.0644294,0.00943986,-0.0902105,0.0819463,-0.186329,-0.155626,0.0113565,-0.0205264,0.0829352,-0.0390581,0.0685455,-0.0118626,-0.0896936,-0.126925,-0.144434,0.0200746,-0.100052,-0.0163626,-0.13411,0.066946,-0.0139612,0.0723585,-0.0777781,0.124665,0.0711099,0.219678,0.000350427,-0.100298,-0.113514,-0.0280035,-0.151067,-0.0851166,0.0981041,0.0359897,0.144627,-0.149517,0.126989,-0.00771781,0.0698143,-0.200029,-0.0435235,-0.0888336,-0.124448,0.03779,0.193689,0.0363225,0.112305,0.127909,-0.0463741,0.00177627,-0.138497,-0.0161742,0.191778,0.155753,0.113767,-0.029347,-0.0225338,-0.155526,-0.203137,-0.0206087,0.045364,-0.0853673,0.0394698,0.0697739
67,15.6171,-0.0637704,0.0737378,0.0440971,0.0900625,-0.0163487,0.12545,-0.0318652,-0.142848,0.083517,0.00967491,-0.153608,0.0139629,-0.0784129,0.110687,0.174434,-0.161676,0.0515082,-0.281016,0.0968312,0.0299487,-0.151051,0.0200205,0.0782841,0.000755391,-0.174605,-0.0768651,0.0838356,-0.247276,-0.0139362,0.118121,0.128574,-0.129975,-0.13168,0.0858177,0.054061,0.211652,0.187478,0.0587263,0.0648625,-0.178711,-0.0208067,-0.11849,-0.0814051,-0.0577107,0.123313,-0.11351,-0.0261079,-0.0616673,-0.0194163,-0.139777,0.0817517,-0.161383,-0.0114497,0.219403,0.133203,0.112203,0.0195568,0.101046,-0.145744,0.17667,0.0848334,-0.115752,0.0548419,0.00422101,0.0423647,0.0952545,0.0667711,-0.027963,0.0179566,-0.0208628,0.134118,0.095577,0.0580451,-0.0371124,-0.0133247,0.166592,-0.0672209,-0.00266833,0.00416326,0.112231,0.043883,0.00359771,-0.21332,0.021029,-0.00579356
68,-15.4856,-0.0400298,0.0211833,0.0711672,0.00644537,0.132746,-0.036427,0.256363,-0.044149,0.064073,8.84148e-05,0.166796,-0.0888568,-0.0188275,0.0649514,0.075178,0.026183,0.0542288,0.191152,0.0111361,-0.0821051,-0.414188,-0.179459,0.112627,0.00407382,0.0274624,-0.0289021,-0.079435,0.0653403,-0.13083,0.154856,-0.221064,0.0387553,0.0392211,0.0860135,0.0623289,0.0197027,-0.025943,0.0214071,-0.162605,-0.0277933,0.0294159,-0.195798,-0.0967441,-0.0463061,-0.0671385,-0.0962602,0.0940929,0.0338048,0.0659083,-0.0198897,-0.0445563,0.236834,-0.153271,0.0295602,0.105141,0.0244407,-0.0385695,0.0744478,0.106951,0.0404725,-0.146504,0.14937,0.0596398,0.181376,-0.0962986,-0.0280255,-0.162035,-0.0763895,-0.0463436,-0.130887,0.0474211,-0.000726059,0.12457,0.022894,0.0519604,0.0885055,-0.0284581,0.12372,-0.109433,-0.117134,0.0482198,0.0687097,-0.171082,-0.0640955,-0.0369307
69,15.36,-0.1064,0.0474159,-0.16442,0.0172904,0.124888,-0.208354,-0.0630089,-0.12424,0.0557809,0.139174,-0.108586,0.0682907,-0.096859,-0.0595938,0.0113216,0.101312,0.100342,-0.113359,-0.187449,0.00536749,0.0812769,0.00432995,-0.106344,0.136427,0.17374,0.046638,0.0282865,-0.0328321,0.0906714,0.151066,0.0348177,-0.0821616,0.0618043,0.0760983,-0.126817,0.080101,0.0188787,0.0906643,-0.191183,0.0503606,0.156056,0.0704854,0.0187202,0.0550085,-0.0534441,0.0818995,-0.0301857,0.220536,-0.114105,0.0348095,-0.025418,0.1129,0.0352276,0.0779153,0.224562,0.137695,-0.041948,0.029837,0.00691485,0.0308444,0.0519382,-0.0101345,0.0621219,-0.270273,-0.0566457,-0.0371113,-0.0552833,0.070822,-0.164898,-0.103136,-0.117299,0.092594,-0.0320228,0.0585697,0.111011,0.0804892,-0.163714,0.171222,-0.178926,0.0428702,0.146456,-0.00876867,0.143538,0.0842702,-0.236658
