Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77
10,-74.9844,-0.0462598,0.249917,-0.0433213,-0.0406492,-0.0094886,-0.128541,-0.0244299,-0.0359994,0.227512,0.0467068,-0.0452701,-0.0772504,0.0500307,-0.00896696,-0.0781286,-0.0250923,-0.0387977,-0.130412,-0.0213475,-0.0744623,-0.0763163,-0.0257054,0.0318309,-0.21913,-0.0987202,-0.0827895,-0.0977477,0.0535874,-0.00498994,-0.072611,-0.162813,-0.130118,-0.0364522,-0.309155,0.0110344,0.260326,0.262241,0.143121,0.146042,0.177486,-0.0529502,-0.0290344,0.00220642,0.0405228,0.0476172,0.00874851,0.0139099,0.00468236,0.113958,0.0193281,0.0915538,-0.153133,-0.13367,0.0709232,-0.00417057,0.121832,0.10058,0.0504038,-0.0542914,0.164692,-0.126604,-0.0887776,-0.0780544,-0.0306289,-0.0899628,0.0557942,0.27273,-0.0713449,-0.0189319,-0.0120947,-0.0219703,0.0721059,-0.305268,-0.104759,-0.044464,-0.00522574,0.0905573,-0.0413961
11,74.9104,-0.110515,-0.038047,-0.00409693,0.121738,-0.0369868,0.0830768,0.22031,0.142618,0.0961801,-0.0354749,-0.077384,-0.00873281,-0.112144,-0.0948449,0.0532576,0.112014,-0.0716133,0.0956897,-0.0246845,0.151628,0.160712,-0.117685,-0.0861259,-0.0670501,-0.0303855,0.100056,0.0700439,-0.0281935,0.171729,0.24911,-0.103475,-0.114125,-0.0346224,0.0625301,0.0748797,-0.164046,0.0327172,-0.223375,0.00273343,0.230961,0.16439,0.00672257,-0.0322566,-0.0897107,0.154784,-0.278891,0.0262991,0.0355947,-0.138276,0.0179779,-0.0172761,-0.0121848,0.0696479,0.104303,0.00322358,-0.0837,0.151034,0.215505,-0.132082,-0.152725,-0.140327,0.0393913,-0.0503899,-0.0356532,-0.0448704,0.109854,0.168942,0.0544192,0.0382209,-0.120231,0.171121,0.181712,-0.101117,0.110999,0.0759183,-0.0590701,0.0513674,-0.0410488
12,-73.9283,0.151298,-0.144266,-0.139239,-0.132102,0.192061,0.168005,-0.0580787,0.00469896,-0.0804876,0.0953421,0.0667407,-0.0777469,-0.0218538,-0.00263273,0.177152,-0.0154602,0.0929311,0.0958318,-0.0812236,-0.0962861,-0.22491,0.0517792,0.00683135,0.0546823,-0.1154,-0.268988,0.0881987,-0.171373,0.141119,-0.0800209,-0.0581203,0.0893965,0.0549467,-0.141751,0.094199,-0.0365836,-0.069234,-0.0772316,0.00522713,0.0254177,-7.85509e-05,0.14176,0.0652807,0.0220434,0.166223,0.0132853,-0.20848,-0.13809,0.0668546,0.133883,0.211319,0.0302704,-0.100997,0.00729007,-0.155429,0.119743,-0.0449509,0.0215183,0.0494557,-0.159908,-0.0171617,-0.118085,0.264378,0.00430374,-0.0471127,0.198357,0.00515843,0.170806,-0.0596193,-0.0352912,0.094424,0.116074,-0.124732,0.100814,0.105316,0.0716948,0.0791789,0.0692301
13,73.2842,0.00426453,-0.0999473,-0.113255,0.111729,0.0366013,0.122583,0.0921713,-0.051767,0.0280615,0.152364,0.0649728,0.0316373,-0.0667277,0.0289588,0.114329,0.0341606,0.0214547,-0.0918832,0.00833685,-0.00925354,-0.0667792,-0.10682,0.019179,0.107296,0.142965,0.0514638,0.0192044,0.351165,0.181317,-0.0258669,-0.111219,0.151564,-0.0738503,-0.18344,-0.108973,-0.0746281,-0.0510079,0.107549,0.00472978,0.0710308,0.117307,0.155442,0.0571306,-0.0129739,-0.00176197,0.203477,-0.236643,0.116199,0.0415226,0.0906479,0.0437405,0.103065,0.00528726,0.0653571,0.169567,-0.0848789,0.022213,0.0213457,0.00878742,0.050781,-0.15882,-0.0864832,-0.200206,-0.0688506,0.0480786,-0.179953,0.0114596,-0.240468,0.0606844,-0.0894102,-0.0490123,-0.0581753,-0.0446762,0.278642,0.0250131,0.179716,-0.201798,0.0246644
14,-72.743,-0.228035,-0.0146961,0.0678479,0.00693231,-0.139978,-0.114127,-0.120416,0.198165,-0.0504545,-0.0518206,0.185104,0.02314,-0.130823,-0.0869363,-0.12056,0.198789,0.0824357,0.0688518,-0.0522164,0.0725624,0.0969424,-0.0122087,-0.219821,0.122588,0.101656,-0.0219125,0.0136457,-0.182161,0.00385259,-0.259371,-0.0427747,0.177688,-0.0234274,-0.139414,0.0710868,0.0701272,0.00264835,-0.0210023,0.0178467,0.0119018,-0.0254992,-0.06756,-0.140219,0.119347,0.172471,0.172172,-0.0218327,0.283363,-0.0535265,-0.0567543,-0.0643097,-0.0406942,-0.216776,0.051842,-0.163813,0.015253,0.0430892,0.126736,0.0539003,0.0101081,0.0535316,0.10675,0.0409032,0.0314812,-0.0032968,-0.0920184,-0.141657,-0.224458,-0.146036,-0.100702,0.0850034,0.0612706,-0.0118917,0.0960781,0.0505913,0.0064285,0.16394,0.0620417
15,-68.2811,-0.0209678,0.248584,0.0236129,0.00793212,0.0268976,0.217397,0.0142789,-0.0529466,0.0648351,0.178562,0.0574639,0.0101331,-0.0431193,0.0993654,0.0266551,0.00811033,0.151554,-0.0613128,0.154767,0.111986,0.158808,0.158304,-0.237639,0.0446296,0.121926,-0.0492762,-0.129839,-0.034475,-0.0238631,-0.0471203,-0.18629,-0.0303879,-0.0461125,0.122085,0.171349,-0.0568609,0.0291747,0.0507035,0.021421,0.059046,-0.0224841,0.0448035,-0.0351896,-0.0288347,0.00524046,0.204232,-0.0457253,-0.147725,-0.0091019,0.209301,0.125537,-0.175398,0.0646352,0.00679248,-0.0825076,0.0839328,0.0123349,-0.0484702,0.0669877,-0.0541169,-0.0350345,0.09236,-0.164782,-0.268875,-0.189776,-0.115318,-0.114918,0.127402,0.0243427,0.0820928,0.0431988,0.0954784,0.151981,-0.0935354,0.142182,-0.248342,-0.115595,-0.0970922
16,68.0157,-0.110011,0.140516,-0.229814,0.0431509,-0.0916459,-0.0566842,-0.111292,-0.120318,-0.257014,0.100895,0.21053,-0.0502717,-0.122495,-0.119096,0.0933174,-0.0652309,-0.045882,0.117638,0.027978,0.146237,-0.0634869,-0.0805951,0.0919528,-0.0230026,-0.0453199,0.0882307,0.250854,-0.046618,-0.105592,-0.0477662,0.157678,-0.0963486,-0.10573,-0.0163218,-0.040804,0.0692533,0.0781011,-0.0888911,0.064873,0.108244,0.132694,0.180688,-0.0258898,-0.0415961,0.242784,0.0462125,0.0295835,-0.0803621,0.0342091,0.240366,-0.175605,-0.216502,0.134788,-0.0897096,0.195619,-0.032951,-0.100198,0.0731162,-0.102873,0.0696503,0.146964,-0.0467269,0.0406905,-0.0740546,-0.0521798,-0.0079376,-0.129072,-0.0532093,0.110895,0.0946015,-0.0479372,0.0491801,-0.061016,-0.0753186,-0.162014,-0.0218502,-0.00426293,0.111252
17,66.7646,0.0627374,-0.0902783,-0.0367606,0.0425546,0.226778,0.0909279,-0.107305,0.0802788,-0.00900773,-0.096667,-0.0705233,0.0884136,0.084122,0.0593883,-0.0754328,-0.0473241,0.0943762,-0.0623629,0.0678142,0.124122,-0.0248895,-0.175114,-0.124698,0.172783,0.102399,0.0237922,-0.0565402,0.0102949,0.270433,-0.0144449,0.128443,-0.178134,-0.0160932,0.0321383,0.0100933,0.0942707,-0.0500111,0.0242342,-0.0631351,0.193965,0.0836413,-0.178266,-0.122555,-0.14745,-0.115371,0.0530415,-0.0603193,-0.11866,-0.0954444,0.116436,0.069363,-0.175482,0.049527,0.036952,-0.180508,-0.0241109,-0.0109437,-0.0441578,-0.0914337,0.0189836,0.0515536,-0.143905,0.00700386,0.0515947,-0.0863151,0.0531556,-0.024635,-0.124791,-0.0247179,-0.14122,-0.267135,-0.132573,0.0314168,0.0296111,-0.316537,-0.0567495,0.288158,0.0138669
18,66.4284,0.00393802,0.164962,-0.025872,-0.132556,-0.124557,-0.00792542,0.182285,0.0433968,0.0124471,-0.0336305,-0.00932638,0.00883534,-0.0376194,-0.167967,0.00618214,-0.0249694,0.188063,0.0249697,0.291285,0.125356,-0.157217,0.133002,-0.0327492,-0.11996,0.0436721,0.223754,-0.12243,-0.0373918,0.0303293,0.187751,-0.0387915,0.0281202,-0.0643457,-0.0611818,0.0237821,0.100977,0.0874106,-0.0191559,0.0681968,0.0811573,0.0139629,0.187857,0.0852952,0.0134522,-0.0186713,0.0948104,-0.0604769,-0.167753,-0.18945,-0.102126,-0.174693,0.0960338,0.110298,0.0651626,-0.27646,-0.00732675,-0.0230371,-0.122024,0.0774952,0.118979,0.125602,-0.0945149,0.103216,0.0880286,-0.0156748,0.148484,0.0607149,-0.111029,-0.139923,0.0910642,0.0274734,-0.0275093,0.165433,0.135647,0.0620289,0.268283,-0.00450906,0.0439798
19,-65.1792,0.0643079,0.0788792,0.112268,-0.097253,-0.0209678,-0.187562,-0.0912496,-0.0786857,-0.0911734,-0.00249457,-0.11716,0.185877,0.0402387,0.0823659,0.330896,0.0381592,-0.082385,-0.093605,-0.112422,0.0625735,-0.0343102,-0.0040079,-0.107831,0.0498576,0.00956486,0.0415044,0.00513378,-0.194821,-0.0404942,-0.00446273,-0.147295,-0.171217,0.0435737,0.0771958,-0.0771937,0.0894299,-0.0796601,-0.206036,-0.0210658,-0.0133676,0.240766,0.0872761,0.0122824,-0.00112952,-0.223734,0.112133,-0.186704,0.0934604,0.0320426,0.0170727,-0.0884761,-0.186151,0.0793945,0.0325568,-0.0314237,0.00883985,-0.137317,0.0571618,0.254641,-0.00497182,-0.12628,-0.0317844,-0.0761185,0.248321,0.02902,-0.0834141,0.116029,-0.0626627,0.110369,0.0762853,0.194716,-0.12152,-0.117763,-0.00548755,0.117717,-0.0262377,0.0952303,-0.0375351
