Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81
10,78.6107,0.0245044,0.121671,0.0254771,-0.0461088,0.171901,0.216933,0.156476,-0.0868175,-0.179734,-0.107167,0.0296732,-0.14335,0.107463,0.0877981,-0.000979512,0.0533656,0.0777443,-0.0961562,-0.135864,0.139099,-0.0878038,-0.0131623,-0.12779,0.0809115,0.117293,0.110963,-0.0459136,0.0513365,0.107595,-0.162369,-0.0918198,-0.269407,0.0892773,-0.0205843,-0.0568699,0.057613,-0.0232266,0.0589188,-0.116279,-0.0385288,0.0196867,-0.140757,-0.0778404,-0.166454,-0.0692743,-0.0637456,0.128096,0.00883204,-0.196034,-0.0786092,0.00267998,-0.0357329,-0.00886603,-0.0469996,0.00670761,0.147191,0.136752,0.0340976,-0.0227621,0.0547409,-0.00462058,0.0603306,0.0318995,-0.0920843,-0.0443863,-0.0836771,0.0123734,0.174063,-0.273301,-0.0755586,-0.100067,0.0433005,-0.129103,-0.252913,0.0421529,-0.110501,-0.205762,-0.0618541,-0.144193,-0.148263,0.131283,-0.00536383
11,-78.5287,-0.256654,-0.0837204,0.0517039,0.0102271,0.0647723,-0.188915,-0.179656,-0.0929761,0.0991826,0.0506301,0.0546917,0.0644954,0.113218,0.107343,-0.0288027,-0.0593578,0.138272,0.0450744,0.0777927,-0.0246294,0.0467544,-0.07369,0.0279975,0.0836366,0.00849053,-0.0825765,-0.0928159,0.00166103,0.0683136,-0.189785,0.0228463,0.123444,0.231786,-0.0600207,0.0554248,0.0792995,0.141897,-0.0107057,0.100704,-0.0664297,0.0401703,-0.138094,0.216866,-0.0875176,0.0477896,-0.077097,0.098485,0.0771944,-0.0461628,0.1044,-0.100624,-0.10291,-0.00249515,-0.00864838,-0.200903,0.058725,-0.111702,0.18468,-0.168196,-0.0255612,-0.0277531,-0.155125,0.0265312,0.0526235,-0.0800852,-0.105014,-0.135349,0.0271007,-0.0446511,0.0290279,-0.307234,0.0328196,0.114561,0.00511626,0.0148189,0.0105792,-0.0407093,-0.280596,-0.0454761,-0.0720231,-0.248895,0.00551859
12,-76.28,-0.0342212,0.101541,-0.134244,0.171465,-0.151422,-0.160009,-0.0315493,0.00666462,0.259817,0.0369376,0.0912595,-0.134215,-0.0127491,0.00866826,-0.00991535,0.264682,0.0119955,-0.0513885,-0.140166,0.0612943,-0.0259808,0.0489436,0.00585715,-0.0558,0.0469075,0.00830358,-0.159784,0.0465309,-0.0184315,-0.0807425,-0.0186735,0.092911,0.069133,0.0565252,0.158465,0.0480859,0.0748718,0.112449,-0.222674,0.109118,-0.132842,0.0154326,-0.213508,0.0931195,0.0146811,-0.0289951,-0.0226335,-0.0670262,-0.170144,0.1505,0.0210214,0.17061,-0.0750435,0.14211,-0.0319893,-0.184424,-0.177266,0.243436,0.0904142,-0.043261,0.137168,0.0985665,-0.071261,-0.0672035,-0.0115481,-0.0556895,0.0240785,0.0141821,-0.193415,-0.0666568,0.0487778,0.197275,-0.020127,0.049558,-0.0480747,-0.0174407,-0.0158337,0.0971586,0.154205,-0.196561,-0.0432914,0.0829456
13,76.0575,0.0620626,0.0745034,0.115247,0.282285,-0.0010352,-0.0325144,-0.117449,-0.0738426,-0.0166852,0.0217673,0.0793627,-0.0187788,0.181301,-0.16288,0.0938251,-0.0167474,0.0661459,-0.0240529,-0.0160029,-0.0583908,-0.199475,0.0675388,-0.153187,0.0278097,-0.050871,0.104857,-0.130838,0.158485,0.0525589,0.112708,-0.00909363,0.100747,-0.130624,-0.0810011,-0.0296837,-0.0060019,0.0395294,0.065326,0.180816,0.0215998,-0.0851933,-0.225078,0.166551,-0.134493,-0.113022,-0.0339332,-0.0355869,-0.173387,-0.0399988,-0.0906698,0.145917,-0.218646,0.0741286,0.0884688,0.200501,0.0438963,-0.230293,0.0901151,0.0976812,0.058777,-0.151741,-0.0245953,0.106112,0.232174,0.241481,0.120041,0.16475,0.0284061,0.0430301,0.00747167,-0.0365453,0.0836205,-0.0455878,-0.0213814,-0.0177263,-0.0207087,-0.0258237,0.116256,0.0296687,-0.0415327,-0.0150435,-0.0407893
14,73.4716,0.00907553,-0.0852966,-0.00637863,0.0428026,0.0994957,-0.0173533,-0.0302641,0.00101916,-0.073091,-0.103302,-0.170269,-0.208111,0.0505968,0.0953553,0.00850773,0.085736,-0.19308,-0.202598,-0.037193,0.280171,0.0459472,-0.157601,0.0469818,-0.00132991,-0.0444808,0.235566,-0.104345,-0.020941,-0.0585225,0.00809957,0.0464042,0.107953,0.103123,-0.0355343,-0.12338,-0.241667,0.0449829,0.0279413,0.0522181,0.0217026,-0.289942,0.0516635,-0.0816997,-0.00245886,0.0218977,0.0456576,0.183396,0.0723119,-0.0164835,-0.0522796,-0.0918674,-0.107745,-0.043325,0.0795642,-0.170094,-0.00115936,0.0870544,-0.0520517,0.00192014,0.0413558,-0.083056,0.0817558,-0.0298552,0.0557328,0.122927,0.170259,0.132132,0.0514503,0.000127729,0.205279,0.145308,-0.0974911,0.0401583,0.108137,0.150843,0.0347989,0.0724533,-0.0861658,-0.0195633,-0.0300163,-0.302662,0.0535138
15,-73.1971,-0.177236,0.134671,0.0742924,-0.100185,-0.182182,-0.126721,-0.0325843,0.0774695,-0.0832942,-0.0327926,0.0466358,0.0663352,0.007163,0.0250486,0.00811398,-0.164,-0.141561,-0.0430748,-0.109028,0.186982,0.217241,0.0344027,0.00888305,-0.00213841,0.0873605,-0.0790695,-0.0251792,-0.0586755,-0.0674484,0.0669647,-0.0377418,-0.133045,-0.00434051,0.210734,-0.131924,0.212669,0.153568,0.0218592,0.162345,0.0784138,0.0465563,-0.0287618,-0.12459,0.201319,-0.0885344,-0.227638,-0.0717132,-0.0643562,0.033341,0.05299,-0.11379,-0.111626,0.0837073,0.0523326,0.0403521,-0.0441155,0.0085764,0.00853426,0.0306947,0.0198175,-0.0644858,0.0268392,-0.167414,0.173447,0.106043,0.0708782,0.143121,-0.145167,-0.162472,0.103726,0.0518747,0.142348,0.041475,-0.0516017,-0.155957,-0.0987944,-0.1909,-0.103818,-0.187095,0.169946,0.0166771,0.0806742
16,-71.3191,-0.109117,-0.0400452,0.0693475,0.0306586,0.231776,-0.119372,0.113948,-0.11613,0.144539,-0.237795,0.0988497,0.238556,6.29194e-05,-0.0794957,-0.0941047,0.125685,-0.0771266,0.0415444,0.0716781,0.0476326,0.143501,0.0884062,0.053375,0.0266132,-0.145499,0.125625,0.184941,-0.0918141,-0.103666,-0.121142,-0.00239769,-0.0669925,-0.101148,0.0539558,-0.159229,0.0866956,0.0419119,0.0641749,0.0985532,-0.241997,-0.00246711,0.131232,-0.0444691,-0.183923,-0.00433133,-0.0956863,-0.0386708,-0.164664,0.0254229,-0.0701146,-0.0948869,-0.0132725,-0.178177,0.161653,0.0878796,-0.0206532,-0.0268898,0.13327,0.177586,0.0928323,0.0642839,-0.11515,-0.0148022,0.0194491,-0.0637428,-0.120725,0.0272328,-0.0631346,-0.03379,0.0664114,0.0834343,-0.18528,-0.0604647,-0.0732633,0.0276625,0.231847,-0.0989459,0.113907,0.054257,-0.151961,-0.0507964,-0.0339895
17,70.0857,0.149277,0.0548122,0.0782178,-0.038202,0.158465,-0.00156164,0.0919416,0.0308247,-0.0931945,0.182719,-0.137364,-0.159428,-0.0786814,-0.139594,0.00458496,0.229739,-0.0923151,0.0140015,-0.0405348,-0.18344,0.0790674,-0.0468861,-0.000892171,0.191448,0.0615769,-0.0948414,-0.0196343,-0.0892032,-0.132914,-0.0101083,-0.0420985,0.0221976,-0.132653,0.205432,0.104204,0.109644,-0.0630623,-0.0467672,0.0672323,0.0823631,0.0842978,-0.188282,0.0763796,0.137408,-0.0566918,-0.0693625,0.140076,-0.0438435,-0.103223,0.242032,-0.0716244,0.0636029,-0.00997364,-0.0140667,0.0332897,-0.0481022,0.0889315,0.12549,-0.0847513,-0.0694489,-0.143182,-0.00480986,-0.0640107,0.0610255,0.0548881,-0.15204,0.24245,-0.0308912,0.0453211,0.117255,-0.202952,-0.23405,-0.104453,-0.0244791,0.200125,0.146522,0.0341526,0.0250472,0.0894104,0.00529663,-0.0171987,0.11663
18,-69.5031,-0.0686863,-0.011267,0.0273086,-0.130952,-0.092903,0.0347962,-0.00523587,-0.037556,-0.0983001,0.119298,0.0758923,0.246437,-0.104828,0.0729431,-0.053568,-0.0932725,0.0232019,0.115518,0.0809368,0.210348,0.0530798,0.2562,-0.00386178,0.134837,0.166351,0.0819909,-0.0372552,-0.175089,0.0159267,0.0431181,0.0988546,0.0641012,-0.180682,0.128397,0.10999,-0.192964,0.0640487,0.00447603,-0.0574686,-0.0352899,-0.125603,-0.0756092,0.0277474,-0.0692566,0.0582725,0.1059,0.0736665,0.21261,0.0562048,-0.012485,-0.115044,-0.0833789,0.0390521,0.158957,0.00709515,0.114953,0.0145345,0.21397,0.0100207,-0.0272568,-0.0573064,-0.0175441,0.134336,-0.271133,0.276202,-0.0228435,0.10359,-0.0105739,-0.00814882,-0.0397616,-0.0147179,0.122719,0.073029,-0.0911534,0.101674,0.0121695,0.106125,0.0326402,0.103497,-0.0838273,0.161575,0.155217
19,68.5151,0.0752116,0.143711,0.0790418,-0.00348744,-0.0267995,0.0278309,-0.12283,0.00985035,-0.12061,0.069896,0.0785171,-0.0411574,-0.114697,-0.0429406,0.108372,-0.230072,0.00582553,-0.153638,0.0958473,0.156628,0.0295258,0.115976,-0.0736491,-0.0183206,0.243995,-0.14166,0.0886091,-0.0202708,-0.200689,-0.00139244,-0.122576,-0.079345,0.0341179,-0.112601,-0.0923217,0.00578916,0.0575284,0.0581848,0.0367002,-2.58223e-05,-0.100432,-0.0462289,0.245794,0.0151441,0.0958388,0.0033289,0.0946335,-0.198479,-0.0536589,-0.118153,0.0117407,0.235234,-0.0422487,0.280037,-0.0927464,-0.0261711,-0.119474,-0.135881,-0.0390594,-0.0651451,0.125444,-0.0668666,0.00419149,0.0191756,-0.131598,-0.0685881,0.0348193,-0.0856927,-0.0808345,-0.0523905,0.0826119,-0.087315,-0.200732,0.0890269,0.129675,-0.0732787,0.0896725,-0.171472,0.223846,-0.0616514,-0.00697465,-0.137892
