Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82
10,-81.3229,-0.0522751,-0.11523,-0.10135,0.0417907,0.180441,-0.0468232,0.00463275,-0.0975793,0.0476404,-0.170892,-0.0116423,0.185116,-0.140424,-0.0862067,0.0465901,-0.044972,-0.0384693,-0.135895,0.146876,-0.0726429,-0.158807,-0.212677,-0.0125335,-0.0122845,-0.00696961,-0.189431,-0.153891,0.0288413,-0.0714854,-0.0261077,0.0578252,0.132041,-0.267711,-0.0958455,-0.0586579,-0.114118,0.00386956,0.0314259,0.285351,-0.0481347,-0.0198278,-0.145136,-0.131208,-0.0527718,-0.165891,-0.140267,0.0657912,0.0447045,0.116811,0.101175,0.0649028,-0.157669,-0.073795,0.0668921,-0.0295486,-0.255709,0.143749,0.060726,0.191875,-0.0150762,-0.0840679,-0.06011,-0.0168332,-0.140797,-0.100629,0.114146,-0.146922,-0.0233202,0.000768276,0.0460765,0.0599592,-0.140302,-0.0440663,0.0232726,0.0214949,0.117788,0.0340168,0.00565896,-0.0870741,0.0276132,-0.0557023,-0.0798727,-0.144907
11,80.0521,0.0209329,-0.151849,0.189779,-0.0822245,-0.0310082,-0.106807,-0.143409,-0.0183197,-0.0499648,-0.20726,-0.0470695,0.070618,0.117799,-0.0803852,0.0808695,0.131763,-0.130889,0.0708968,-0.0136935,0.119478,-0.00432692,0.112379,0.115297,-0.121005,-0.052786,0.178326,0.123733,0.0701212,-0.0119225,-0.101352,0.0667821,-0.0451085,-0.10022,-0.0736866,0.0881011,-0.100485,0.00960643,-0.0362361,0.0707253,0.0774435,0.245931,-0.112283,0.275731,-0.245527,0.0124124,0.0288308,0.0176281,0.0191941,0.131397,0.172632,-0.0587548,-0.206069,0.0373736,-0.0478331,0.0777289,0.0288593,-0.12639,0.165444,0.0254873,-0.00677538,-0.160241,0.0302208,-0.213562,-0.0592094,0.026451,-0.159777,0.220883,-0.0473551,0.0257558,0.087899,0.127708,0.0669658,0.172366,0.0251078,0.00263106,-0.00239672,0.0484565,0.122795,-0.124519,-0.000746497,0.0692759,-0.00369597,0.000569007
12,-77.7746,-0.037012,-0.0382305,-0.172186,-0.0743007,0.209197,0.0270559,0.0877094,0.0396794,-0.135045,-0.186262,0.0990081,-0.202573,0.164408,0.097984,-0.0668212,0.162384,-0.0793629,-0.197548,0.00608314,-0.119182,-0.11088,-0.016547,0.101304,-0.0324521,-0.0625216,0.206503,0.0347077,0.152972,-0.0102149,-0.00704762,0.0495866,0.0842358,-0.0401507,0.0933812,0.119629,0.0148882,-0.100901,0.0507106,0.0602737,0.126279,0.0285438,-0.2348,0.0370853,0.177982,0.241808,-0.180776,-0.0517903,-0.0982347,-0.165644,-0.0812002,-0.0588614,-0.0874245,-0.0888497,0.0860118,0.0516765,-0.0116216,-0.0837845,-0.126395,-0.035753,-0.0684586,0.248907,0.0157678,0.0726893,-0.128884,0.00174439,0.0949822,0.0107772,0.036458,-0.0141241,0.179654,-0.0276953,-0.00736266,0.0839912,0.0155594,-0.228426,0.150902,-0.0674143,0.00342117,0.065378,0.00767157,0.0381677,0.0411542,0.0930681
13,75.7751,-0.0272285,0.0556555,0.0638808,-0.199577,-0.0835741,0.0223323,0.166698,0.08203,-0.0427245,0.0261297,0.114524,0.12946,-0.094882,0.0913011,-0.105572,0.0709395,0.0109542,-0.095509,-0.0165805,0.0793529,0.0744501,-0.0546981,0.0579395,0.162561,-0.0683112,-0.135483,0.201351,0.00253774,-0.00773329,-0.0244575,-0.00626727,-0.197007,0.0319779,0.0779929,0.0332655,-0.025904,0.121451,0.193102,-0.182878,0.0229149,-0.261958,0.0534302,0.00421727,0.030929,-0.0604603,-0.111369,0.244379,-0.0927044,-0.110941,0.0393997,0.0914317,0.00117611,-0.144131,-0.076504,-0.161011,-0.0128564,0.021268,0.109076,0.0462867,0.104194,-0.106997,-0.0919572,-0.104059,-0.0897956,-0.0777424,0.0746707,-0.0387643,-0.0109293,0.0873295,0.333769,0.0962711,0.100342,0.18058,0.0230745,-0.0615284,-0.00998274,-0.0873056,0.168159,-0.12886,-0.0249728,0.0348645,0.186686,-0.136051
14,74.6718,0.00302098,-0.0852524,-0.147047,-0.0509323,0.0191532,-0.147951,-0.106162,-0.012087,-0.124543,0.0952245,-0.105763,0.0958932,0.0688329,0.100471,-0.0184953,0.143777,-0.105854,-0.0314733,-0.0313704,-0.0797732,-0.0211681,0.0927122,-0.0896848,-0.134781,0.0630848,0.0465586,0.221831,0.00879936,-0.0180461,0.107279,0.113229,0.0400061,0.18105,0.0762529,-0.180955,0.346331,0.0204627,0.251749,0.0993109,-0.0112511,-0.0327401,0.0236546,0.0307712,0.0425687,-0.0425127,-0.314514,0.0481405,0.11651,0.193063,0.108643,0.0911007,0.0714823,0.205876,0.127172,-0.0614198,0.0052066,0.0835225,-0.0590358,0.17494,0.111959,-0.0402737,0.0472351,0.0378469,0.0524178,-0.0707046,0.0291313,0.1434,0.079256,-0.0487146,0.0192634,0.0191731,-0.0038151,-0.107397,0.00482413,0.0288337,-0.0927203,0.252338,-0.0349818,0.0593954,0.00725313,0.0936466,0.104544,-0.00212148
15,-72.8499,0.0924511,-0.0320632,-0.169775,-0.16143,0.0681912,-0.106745,-0.0492809,0.0798808,-0.109326,-0.0650316,0.187503,0.0696515,0.111034,0.137838,0.0603983,0.0993001,0.060475,-0.0267087,-0.0890059,0.00328607,-0.126926,0.108813,0.0762273,-0.291506,0.192459,-0.152497,-0.023882,0.16067,0.086442,-0.120263,-0.1052,0.165319,0.0466376,0.0495549,-0.105277,0.0239314,0.0123418,0.0685151,-0.062968,-0.298773,-0.124839,0.0628344,-0.210617,-0.0986654,0.00484049,0.178032,-0.111107,-0.128525,0.00827257,-0.0355702,0.040987,0.0311289,0.0161549,0.0771951,0.105058,0.0731121,-0.0531008,0.0898735,-0.0771704,0.113611,0.0179292,-0.110129,-0.120252,0.0388977,0.0870544,0.035405,-0.00688267,-0.050455,-0.0453775,-0.0584356,-0.0408647,-0.0395632,0.107737,-0.0081685,0.0760052,0.0701885,-0.0434514,0.239013,-0.0854053,-0.2328,-0.0432197,-0.179648,-0.0332924
16,-62.7887,-0.293488,-0.0841221,0.0598048,-0.0340523,0.0314654,0.147499,-0.346407,0.105673,-0.0604931,0.0520715,-0.0482877,0.180058,0.0580436,-0.05896,-0.113532,0.0549948,0.0859971,-0.10678,-0.0107855,-0.00205248,-0.0372036,0.113311,0.0403962,0.0223943,-0.143516,0.101743,-0.146077,0.0456986,0.044994,0.057026,-0.052834,-0.0254112,-0.26857,-0.0440487,-0.0562989,0.113013,-0.270429,-0.0816912,-0.113336,0.0785338,-0.133679,0.0149704,0.0235766,0.0187682,-0.255025,0.0389455,-0.00318578,-0.0187465,-0.0662533,-0.0140414,-0.159875,-0.0274237,0.0254469,0.101185,-0.115328,-0.0381243,0.00495283,-0.155495,0.0305262,0.0546309,-0.00797096,-0.0372619,-0.035966,0.0919634,0.00368686,-0.0326904,-0.0776285,0.0167752,-0.044163,0.112965,-0.0716175,0.109842,-0.0110932,-0.185844,0.0325207,-0.0961894,0.0554541,0.184155,0.0902919,-0.155988,-0.179207,0.0667704,0.158028
17,62.7585,-0.0481456,-0.0440948,-0.105969,-0.00379002,-0.00143876,0.12629,-0.0945452,0.0128803,-0.255662,0.0467529,-0.208055,-0.180438,-0.149242,-0.0741593,0.204935,-0.00747698,-0.0166445,0.105928,0.0130665,0.121187,-0.0849712,-0.0223249,0.0305841,-0.0787955,-0.138221,-0.0369786,0.174103,0.119773,-0.0317354,0.202678,-0.176751,0.0447661,-0.0814244,0.0209092,0.1616,-0.0823476,0.0463648,0.0863713,0.142586,-0.137062,-0.0887438,0.0457856,-0.120158,-0.0803993,-0.0754889,-0.125422,0.0510782,-0.052461,-0.207185,-0.177313,-0.0776012,0.0460057,0.105916,-0.0893304,-0.146038,-0.0988686,0.0987183,-0.0969345,-0.189526,-0.00517043,-0.0156957,0.0149998,-0.160716,-0.0183926,-0.129731,-0.160916,0.114051,-0.00724731,-0.13318,-0.0590273,0.0264658,0.056681,0.0911318,0.163009,-0.0433479,-0.119489,-0.0307699,0.0198867,0.068217,0.173228,0.0293237,-0.176455,-0.0608478
18,68.4041,-0.0568621,0.0536066,0.0471205,0.0498976,0.116458,-0.0164388,0.119996,-0.0450679,-0.0169711,-0.0398881,0.0143124,-0.0379004,-0.120856,0.0809076,-0.215782,0.221075,-0.143051,-0.261434,-0.0595973,0.0684911,0.153961,0.163848,0.0850218,-0.0102958,-0.0335073,0.0470955,0.133401,-0.000666958,-0.0952416,-0.00259915,-0.125984,0.0403721,0.0209624,-0.0574405,0.0373272,-0.158602,-0.111,-0.0570355,0.200184,0.129661,0.0352022,0.0781233,-0.277784,-0.153405,-0.110951,0.0647571,-0.0584267,0.058357,0.0263667,-0.123524,0.146076,0.0376865,0.0554977,0.0039888,-0.00885302,0.09805,0.0157498,0.0644862,-0.183031,-0.0210122,-0.00737669,0.0660697,-0.0677433,-0.0758172,-0.122175,0.0182048,-0.0506073,-0.206581,0.23327,-0.0946994,0.027813,0.00963573,-0.103812,0.122568,0.0663873,-0.0852296,0.178611,-0.126213,0.00689134,-0.190653,-0.0815606,0.18965,0.0915376
19,-67.4797,0.04396,-0.118328,-0.0291665,-0.10486,0.0505174,0.1588,0.162881,-0.0143346,0.0662576,0.1146,-0.212261,0.135109,0.125167,-0.0850966,-0.00181635,0.0314247,0.0883331,0.118023,0.065139,0.00162904,0.0593286,0.0340652,0.125728,-0.0550602,-0.0097459,0.144679,0.087545,-0.194255,-0.111688,0.146899,0.057357,0.0496135,0.147512,0.137092,0.142661,0.0502553,-0.09149,-0.101785,0.0948445,-0.0554675,-0.110293,-0.0938507,-0.112079,0.0550367,0.00798887,0.0795753,-0.142354,0.0407398,0.00934447,0.0908176,-0.0120716,-0.12339,-0.080983,0.12783,-0.146892,-0.0752899,0.155803,0.0536217,-0.265887,-0.187812,-0.151023,0.055995,0.0205957,-0.00746986,0.198442,0.246492,-0.0559101,0.0687717,-0.060379,-0.0436295,0.10714,0.090447,0.0177055,-0.15706,-0.0621476,-0.00930595,0.0723502,0.0702169,-0.248946,-0.0977732,0.127869,-0.0427887,-0.0522666
