Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48
10,55.5623,0.0932366,0.129634,0.0128852,0.0535368,0.205438,0.006755,0.0876785,0.295624,0.104182,0.161433,-0.194501,-0.154824,-0.0645127,0.0104027,0.141919,-0.0996393,-0.141591,-0.198559,0.367244,0.213917,0.162598,0.0463732,-0.0281799,0.056022,-0.0990019,0.0499879,0.245826,-0.107456,0.0261887,0.166328,-0.0149918,-0.181558,-0.0577965,-0.0612025,-0.0441242,-0.132259,0.167438,0.174729,0.000386969,-0.148781,-0.121716,0.039699,-0.0311829,0.112686,0.123508,-0.0112881,0.31917,0.0260634,0.165608
11,-51.7947,0.137565,-0.0319092,-0.0213101,0.0973148,-0.21602,-0.22666,-0.238016,-0.294468,-0.0266157,0.118909,-0.21081,0.055942,0.145547,0.258234,0.0925992,0.171912,-0.146754,0.0238287,-0.207987,0.106273,-0.0233141,-0.0961057,-0.0465785,-0.150955,-0.119024,-0.160323,0.177818,0.0730379,0.0301623,-0.0261492,0.0114515,0.0722304,-0.084186,-0.146427,-0.0559433,0.17837,0.202705,0.0128995,0.00299539,-0.261673,-0.283344,0.146053,0.0198068,0.051924,0.0646446,0.143935,-0.0617162,0.0664288,0.184724
12,49.2734,-0.118722,0.0345441,0.140271,0.042279,0.234198,-0.233091,0.081811,-0.00800896,-0.0386964,-0.240334,0.0464314,0.0903993,-0.0612036,0.0535852,0.141015,-0.176767,-0.267655,-0.013955,-0.133869,0.139366,-0.0543968,0.020176,0.117058,0.183675,-0.149968,-0.235497,0.0267953,-0.221549,-0.158219,0.0349339,0.00892052,0.0762907,-0.176627,-0.161734,0.183102,0.172869,-0.0663735,0.0576855,-0.227391,0.136646,-0.0489514,0.00424341,-0.268686,0.224654,-0.0702453,0.0173653,-0.0697753,-0.0291371,-0.255308
13,-48.9142,-0.114479,-0.048742,-0.0228331,0.0268283,0.023492,-0.120598,-0.154159,-0.025772,0.120772,0.236359,-0.0402728,0.109632,0.0355036,-0.20161,-0.384645,0.04294,-0.0695315,-0.187026,-0.139336,0.0193055,0.199027,-0.0402235,-0.182942,0.199999,-0.00458961,0.0276864,-0.141366,0.193821,-0.0899738,0.0869369,0.265266,-0.177592,0.0840375,-0.00507015,0.0292591,-0.0519957,-0.139748,-0.168931,-0.219375,0.0335703,-0.059273,-0.123242,-0.103088,0.256596,0.0446782,0.256778,0.0881635,-0.167312,0.104538
14,48.8669,-0.133712,0.0130274,-0.119947,0.0152789,0.0676923,-0.0282259,-0.051849,-0.0176298,0.0232763,-0.00649064,-0.169665,0.321567,0.1191,-0.0795318,0.190373,-0.194813,0.21928,0.115801,-0.178458,0.0948895,-0.0731313,0.0121823,0.0680073,-0.101614,0.10814,-0.0988787,-0.0527033,0.176191,-0.0261437,-0.0801948,-0.000275107,-0.20793,-0.171758,-0.259571,-0.0218329,-0.248642,0.135405,-0.224848,0.186669,-0.00812319,0.0570273,0.103917,-0.0841461,-0.0537108,0.00580373,-0.112796,0.374301,-0.188338,-0.166477
15,-47.2321,-0.0485523,-0.142535,-0.0016151,0.107348,0.0336563,0.0785427,-0.195806,-0.0167596,0.099725,0.15237,-0.0309083,-0.0990154,0.093463,0.160115,-0.0929332,0.110862,0.0719009,-0.189223,0.0425658,0.0814514,-0.198328,0.0636341,0.0275995,0.192151,-0.114388,-0.216544,-0.249241,-0.10199,-0.0690998,-0.149854,-0.0482851,0.168286,0.286472,-0.166784,0.0715416,0.00625367,0.143801,0.200327,0.0532495,-0.230255,0.247132,-0.264287,-0.185199,-0.0798355,-0.0980107,-0.242548,0.123266,-0.11178,0.0191343
16,45.5697,0.0531264,0.0137963,0.112156,0.123906,-0.198134,0.352941,0.115166,0.0436454,-0.245473,0.129039,0.227298,0.123016,-0.106822,0.245275,-0.0399243,-0.147427,-0.0574382,-0.110864,-0.0108278,0.264936,0.0518592,-0.01795,0.221746,-0.0643532,0.0815795,-0.039193,-0.0443864,0.130327,0.234791,0.158575,-0.0363795,0.0276957,0.137992,-0.0830469,0.0716397,0.280179,-0.0206894,-0.182121,-0.0956523,0.0931827,-0.0335935,0.079219,0.0491398,0.114209,0.037445,-0.112375,0.109521,-0.282494,0.100181
17,-44.9839,0.0152005,0.146251,-0.0219611,-0.0883779,-0.0416983,-0.215252,0.0965151,-0.146733,-0.103856,0.0921207,0.265584,-0.0838242,-0.219118,0.173448,-0.0865116,0.0239254,0.27257,0.247925,0.16742,0.165233,-0.0341999,-0.0436425,-0.0308582,0.00462342,-0.107992,0.0381879,-0.00680493,-0.0557624,-0.298442,-0.101217,0.1849,0.00855427,0.0057532,-0.172853,0.126321,-0.0115944,0.0212854,-0.0789946,0.169547,0.119316,-0.244575,-0.340934,0.178449,0.0941507,0.135389,-0.0484355,0.154082,0.0748666,0.0269783
18,-42.5265,0.0312442,0.221596,-0.0435029,0.162825,-0.0785324,0.260239,-0.252272,0.0847908,0.00037804,-0.0139014,-0.248673,-0.120883,-0.253734,-0.0252037,-0.0898884,0.0485973,0.115538,-0.122484,-0.0872558,-0.245647,-0.0186998,-0.139337,0.178386,0.0650527,-0.169997,-0.124239,-0.0813932,-0.0389309,-0.185599,-0.129815,-0.0409958,0.00919213,-0.308445,0.109847,0.020287,0.0382733,0.160135,0.0386697,0.114253,0.300467,-0.00406944,0.0940443,0.143313,0.263416,-0.0955973,-0.0391902,0.00313021,-0.0826995,0.105644
19,40.9661,0.0678499,-0.111476,0.0644946,0.1361,0.156879,-0.106123,-0.105511,0.0419145,-0.106376,0.0481196,0.0431936,-0.103983,-0.0188984,-0.00581923,0.133972,0.0231067,-0.208258,0.179658,-0.0893533,-0.102205,-0.103856,0.249199,-0.246074,0.0934681,0.284853,0.0617493,-0.11808,-0.0315426,-0.201223,-0.0415125,0.109465,0.0199297,0.167882,0.153337,-0.110103,0.104526,-0.0369148,0.00577762,0.125459,0.192128,-0.26272,0.273207,-0.0713071,0.00777686,-0.107751,-0.297037,0.177239,-0.121981,0.22774
