Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74
10,74.8183,-0.173505,0.0195246,-0.149388,0.13044,-0.0290331,-0.0681765,0.0821832,0.0595908,-0.154682,-0.09886,-0.0443841,0.127684,0.00840721,-0.119053,-0.0291028,0.133785,-0.327391,-0.137554,-0.0304363,0.134837,-0.0743208,-0.109321,0.175317,0.0773319,-0.0747401,0.157986,0.106064,0.159645,-0.129346,-0.0362304,-0.231515,0.0867325,0.0654385,0.0147987,-0.132747,0.0928933,-0.0179913,-0.0708482,0.187959,-0.0118838,0.0612121,-0.134234,0.0291713,0.304796,-0.0771981,-0.108054,-0.147889,-0.152722,0.0621122,0.0840185,0.0963723,0.126831,-0.0129428,0.00766414,0.0278034,0.0497896,0.0526669,0.0705925,0.25565,-0.0964962,-0.0578709,0.0732286,-0.0463407,-0.17649,-0.0184827,-0.117099,0.0982579,-0.0581471,-0.0811543,0.0645929,0.00596432,0.0410963,0.107502,0.109594,0.0795025
11,71.3793,0.116128,-0.108981,0.140515,0.0352327,0.0184631,-0.0265334,0.0623842,-0.0512644,0.0767701,0.05044,0.00949362,0.00790725,0.136255,-0.0220921,-0.0605121,0.153234,-0.0606893,-0.0591906,0.25986,0.234454,-0.186836,-0.0357278,0.19728,0.029864,0.145753,-0.081648,-0.0386525,0.171614,0.137032,-0.0358937,0.0815859,-0.0957542,-0.0677876,-0.208744,-0.020969,-0.0705051,-0.102934,-0.10217,0.0773532,-0.0249306,0.141122,0.0665651,-0.0911965,-0.0543018,0.0805365,-0.113244,-0.122623,-0.0670167,-0.0495721,0.0177827,-0.0975985,0.0318696,0.07912,0.0307168,-0.249413,0.11604,0.0098273,-0.247544,-0.0941999,-0.0786668,0.0749598,-0.0545572,-0.0822325,0.149722,0.184367,0.0775059,-0.190592,-0.0885172,0.0765907,0.0801339,0.228273,0.201672,0.17833,0.026759,0.0553152
12,-70.1302,-0.0702784,0.00225373,-0.0669941,-0.146635,-0.18675,-0.0943667,0.0158669,-0.0740113,-0.167804,-0.0379127,0.0508862,-0.0749693,0.0186457,0.0509121,-0.122803,0.00723411,0.0370895,0.0768382,0.118772,-0.0440884,-0.133233,0.136197,-0.0396992,0.0121244,0.00794807,0.181015,-0.0263744,0.0622088,0.0787577,-0.218903,0.220804,-0.148559,0.154973,-0.0327229,-0.0533836,-0.222414,0.123442,0.0800041,0.265737,0.0984835,0.105884,0.097295,-0.0568486,-0.170324,-0.0676427,0.0807705,-0.0701471,0.0502338,-0.00787567,0.123332,0.0279923,0.0759957,-0.220198,-0.0183587,-0.0692152,0.0529016,-0.12118,0.101328,-0.130142,-0.168789,-0.0362667,0.0555311,0.131553,-0.235927,-0.103617,-0.191602,-0.01936,-0.0699205,-0.200714,0.00335826,-0.0486257,0.171301,-0.0939183,-0.0785731,-0.153166
13,-68.063,0.0932687,-0.0589521,0.15154,0.0201863,0.0679085,-0.214085,-0.136985,0.0860616,-0.142003,-0.183003,0.179442,0.0897082,0.10384,0.0561396,-0.0648271,-0.153993,0.160982,-0.168094,-0.0829335,-0.011319,-0.0607373,-0.204401,0.240802,0.137753,0.209301,0.0144874,0.0871819,-0.0550039,-0.0281158,0.0051434,0.183508,0.0319282,-0.0206156,0.0083474,-0.0311449,0.376058,-0.0950693,0.0352256,0.0179781,0.0648147,0.0143398,-0.0506027,0.0826181,0.104146,-0.0398687,0.192235,0.038701,0.136126,-0.0743337,-0.0320147,0.0521202,-0.0435284,-0.101294,0.112027,-0.181773,-0.125488,0.0539102,0.131502,-0.140557,-0.027731,-0.0174836,0.0462496,-0.099853,0.0742808,0.069446,-0.0257789,0.0831851,0.146231,-0.121801,-0.00456404,-0.144351,0.162795,0.0199463,0.00576051,-0.0615656
14,68.0005,0.123371,0.0637257,-0.0854567,0.013972,-0.195903,0.00220175,-0.0183062,0.12928,0.0443182,0.214005,0.194778,0.0968207,0.144305,0.153401,-0.072141,-0.00303381,0.154041,0.0284861,0.0614226,0.0566678,0.0291606,-0.00492085,0.0175571,0.0130073,-0.190172,-0.0937779,-0.0947903,0.124134,0.0138253,0.13782,0.0543425,0.0627605,0.119221,0.153281,0.115108,0.058911,-0.155334,0.0949328,0.0378031,0.00609101,-0.153013,0.0772395,0.0668113,0.126332,0.152322,0.0730984,-0.161759,0.00756317,0.227541,-0.0446275,-0.0929338,-0.122265,-0.00427847,0.182622,0.105188,-0.0710637,-0.160458,-0.0697122,0.156736,-0.101234,0.0446107,0.107516,0.16626,-0.123356,0.142914,-0.0313897,-0.233759,0.0895817,-0.145941,0.0797189,0.0637712,0.010549,-0.0767025,0.283891,0.013298
15,66.0769,0.0116187,-0.115769,0.196309,0.0778835,-0.131517,0.0134274,-0.136946,0.0732381,0.0669153,-0.0746953,0.124085,-0.141684,-0.258043,-0.124205,0.354869,0.0251475,-0.0798032,0.082893,-0.0306744,-0.0560778,-0.141212,0.0275664,-0.114248,-0.138503,0.0652499,0.123039,0.0530862,-0.0704444,-0.189886,-0.0420452,0.203073,0.0698876,-0.10123,-0.176295,-0.0207607,0.111232,-0.1758,0.0739854,0.0204032,0.00928515,0.0735223,-0.114591,-0.0313557,-0.0724978,0.00181673,0.00261485,-0.125849,0.110694,0.0985861,-0.0958497,0.00242954,-0.0113562,0.219207,0.0540989,-0.0188544,0.0622589,0.00454454,-0.196172,0.0459852,-0.168711,0.131284,0.081936,0.00183504,-0.138181,0.0600854,-0.280908,-0.00214936,-0.00923821,-0.0680089,0.0376311,-0.0133886,-0.202489,-0.0430015,0.00338388,0.0530107
16,-65.1828,0.126895,0.205293,0.12729,-0.0096589,-0.0557793,0.0983788,0.149416,0.0868548,-0.0479251,0.103915,0.153156,-0.154712,0.194986,0.0186957,0.0690959,0.129118,-0.220743,0.0232857,-0.15388,0.0438733,0.0813254,-0.00504422,0.0813455,0.0796834,0.0652179,-0.185019,0.0350627,-0.107596,0.0670613,0.116713,0.151501,-0.0508353,0.0662766,0.0129788,0.0779308,-0.124876,0.0712039,-0.0471151,0.0767188,0.10208,0.355264,-0.130368,0.0412803,-0.103389,-0.00379923,0.132376,-0.00192302,-0.0186694,0.111325,0.025112,0.0495631,0.00325276,-0.137944,0.0290167,0.155919,-0.118849,0.0680554,-0.0784635,0.220838,0.109955,0.2798,0.01943,-0.0273982,0.176001,-0.155686,-0.0968192,0.192519,0.0742418,-0.0231684,0.0660711,-0.0106168,0.0207017,0.0807173,-0.0233113,-0.0722866
17,63.675,0.0335689,0.0409893,0.0414445,-0.017095,0.138191,0.00962119,-0.0648138,-0.16447,-0.08696,0.108331,0.170262,0.0967171,-0.0562426,-0.156651,0.0542415,0.15216,0.00729441,0.147817,-0.120278,-0.127348,0.0505537,-0.178976,0.132574,0.00767484,-0.222911,-0.167965,-0.0366509,-0.192167,-0.184052,0.0488421,-0.00536059,-0.143599,0.0582731,0.125721,-0.0107139,0.0123414,-0.0922588,-0.0766268,0.116342,-0.0127263,0.0430712,0.11236,-0.110277,0.0509035,-0.0854284,-0.16317,-0.127276,0.0932064,-0.122083,0.0142913,-0.0643454,0.0596235,-0.234641,-0.0623208,0.0831813,0.0977902,0.124057,-0.0644436,-0.13749,-0.153412,0.0270526,-0.394013,-0.103248,-0.126725,0.0339377,-0.0383078,-0.167308,0.175671,-0.0319033,-0.110245,0.0274148,-0.0376128,-0.00840547,-0.000681685,-0.00581558
18,-62.6281,-0.0980175,0.00900915,-0.226724,-0.0410707,0.0935907,0.0554068,-0.0617001,0.00160682,0.115808,-0.0720594,0.125975,-0.192876,0.0165567,0.121383,-0.0099758,-0.029766,0.0475899,-0.0564927,-0.114513,-0.0136442,0.050849,-0.0831713,-0.10182,0.153681,0.0463219,-0.089392,-0.054186,-0.170434,0.161296,-0.00759354,-0.000487229,-0.0783939,-0.00995541,-0.0498928,-0.00570662,0.121192,-0.0332356,-0.0950577,0.0162543,0.286454,-0.233221,0.00801686,0.0258703,-0.103419,-0.249346,-0.128554,0.00354826,-0.0850527,0.170745,0.0910237,-0.245327,-0.0920426,0.0204355,-0.217788,-0.112913,0.122212,0.214733,-0.02533,0.0626978,-0.164791,0.168271,0.213524,-0.042717,-0.180452,-0.0107689,0.0672191,0.0855522,0.0205918,-0.0470482,0.0103146,0.166041,0.0884507,0.106778,0.0060622,0.0806195
19,62.2421,0.0367429,-0.176667,-0.0148715,0.196829,0.168477,0.0194079,0.0865181,0.13896,0.0986987,-0.0244774,0.056669,0.00934508,0.0594296,-0.0882802,-0.0944436,-0.184404,-0.131535,0.0251009,0.166085,-0.27072,0.182153,-0.205707,0.10234,0.0490833,-0.0311781,0.0203458,0.070027,0.109442,-0.0314285,0.0112328,0.218652,0.0404161,0.0405245,-0.000681343,0.0192354,-0.215112,-0.0332681,0.0883835,0.115906,0.113555,-0.0424747,-0.135406,-0.0707208,-0.0922862,-0.0544437,-0.20846,0.0550567,0.177621,0.223256,0.0760398,-0.0836966,0.10887,0.188704,0.186352,0.099068,0.168715,0.102818,0.0709574,-0.0400786,0.0441246,-0.109012,-0.0989303,0.185647,0.0923433,-0.07025,0.0814853,0.0658794,0.00382566,0.015634,0.0292622,-0.115568,0.115865,-0.100025,0.0470273,0.0888019
