Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89,Eigenvector_90
10,86.7912,-0.015578,-0.100127,0.0829084,-0.0225532,-0.0924269,-0.0213389,0.216945,-0.0433146,-0.0110749,-0.0765003,0.0850648,-0.00765945,-0.0870327,-0.037389,-0.00758177,0.156565,0.0190737,-0.00720006,0.0254269,-0.0485673,-0.0397606,-0.0800909,-0.0213652,-0.085733,-0.038693,-0.00639692,-0.049504,-0.0521639,-0.0796583,0.163689,-0.164198,-0.259535,0.0316367,0.0192981,-0.0966059,-0.229462,-0.108654,0.27206,0.042946,0.0852513,-0.14747,-0.131659,-0.0262628,0.021897,0.196637,0.112988,0.0599594,-0.0358808,-0.234783,0.0346501,-0.0121934,0.0549774,-0.101778,-0.0650928,-0.013265,-0.0507744,0.0046445,-0.0490014,-0.00596788,0.121624,0.0236942,-0.21394,-0.106135,-0.0115186,-0.069739,0.0444173,0.0427751,-0.134297,0.0225332,-0.206712,0.0166054,-0.00590436,0.0535683,-0.0913608,-0.0711141,-0.0412203,0.0806337,0.19628,0.128226,-0.0330973,-0.0176255,0.0059451,0.196161,-0.125178,-0.0447834,0.111178,-0.0681965,0.0772449,0.0423723,-0.0550912,-0.287097
11,84.7702,0.098075,0.0210718,-0.0708982,-0.204972,-0.172123,-0.0521785,0.0533044,0.144988,0.0538913,0.0259335,-0.20579,-0.0389792,0.0781538,-0.0416436,0.24501,0.134341,0.26514,0.164341,-0.00379125,-0.0428763,0.0665954,0.0938744,0.0434862,-0.000492784,0.00251576,0.108433,0.0601122,-0.028579,0.0627452,-0.0172475,-0.0849494,-0.0193764,-0.0528726,-0.0210441,0.19823,0.0344494,0.0603127,-0.112666,0.156473,-0.0464612,-0.0337175,-0.123867,-0.0899054,-0.124765,-0.048624,-0.100384,-0.112373,-0.0874241,-0.107142,-0.121535,-0.0676097,-0.0222023,0.0718291,-0.163987,0.0210908,0.0334586,0.0839707,-0.143879,0.0652648,0.0995094,0.0274972,-0.193494,-0.0169711,-0.0827925,0.185036,-0.00565314,-0.00684474,0.0348529,-0.0576587,0.0105819,-0.143911,0.00272951,0.119809,-0.0253427,-0.0389382,-0.104233,-0.160218,-0.057876,0.0762996,-0.0426482,0.249489,-0.0820792,0.0099014,0.192898,-0.0134271,0.00912982,0.0031118,0.0354779,0.203922,0.157662,-0.036013
12,-83.0854,-0.0535376,-0.13996,-0.0544413,-0.0186733,0.0811917,-0.0900908,0.174218,-0.0312749,-0.0949512,0.190992,-0.202781,-0.270624,-0.0355174,-0.11741,-0.147537,-0.149862,0.120016,-0.10311,-0.0912425,0.0389692,0.0327966,0.0953384,0.0610679,-0.0406018,0.136211,0.00993569,-0.0502766,0.049497,0.157827,-0.0147917,0.00566409,-0.108236,0.16447,0.0635639,-0.049588,-0.0387482,0.178628,0.0932763,0.227327,-0.0682125,0.0432279,0.243532,-0.183376,-0.0802794,-0.0117692,-0.135603,-0.0059831,-0.00150594,0.147834,0.00442397,-0.136625,0.0484672,-0.13933,-0.0735818,-0.0947017,-0.130984,0.0917538,0.0791111,0.0440947,-0.00317048,-0.155547,0.104528,0.0700065,0.0668791,0.0556832,0.0837499,-0.00705013,-0.0687652,-0.0998122,-0.0893246,-0.0882159,0.0166847,0.154116,0.0292366,-0.0118404,-0.119347,0.0328608,0.0122784,0.108457,-0.0367929,0.0268213,0.0435202,-0.0351969,-0.113629,0.0740691,0.0352044,0.0807627,0.0831015,-0.0879906,-0.227812,0.0241032
13,82.3106,0.121004,0.152576,0.11371,-0.149675,-0.0377284,0.0214371,-0.0907219,0.0555324,0.00768121,0.213329,0.170128,-0.0873709,0.121765,0.103618,0.00997692,-0.149839,0.035869,0.0883739,0.17353,-0.0114738,0.108862,0.097129,0.00773908,-0.0472562,0.0180165,-0.0922286,-0.00680015,-0.131039,-0.126928,0.0217687,0.0838501,-0.189615,-0.0866579,-0.101848,0.024763,-0.0972434,0.068784,-0.0552125,0.0187255,-0.0475242,0.156305,0.050279,-0.0683354,-0.144619,0.0301346,0.0812451,0.0579313,0.022006,-0.0822661,0.109753,-0.017532,0.185429,0.0348719,0.0953171,-0.111654,0.190829,0.0590048,-0.129173,-0.0307986,-0.0424821,-0.140406,0.199392,-0.0178288,0.00640763,0.0364007,-0.148766,0.0668439,-0.176513,0.123302,0.184633,-0.0806694,-0.133626,-0.0315633,-0.00833046,-0.0041326,0.00952397,0.0581975,0.0966994,0.178828,0.13029,-0.168628,-0.165821,-0.0928961,0.0186417,0.102943,0.0903602,0.0599143,-0.0187605,0.149911,-0.0771037,-0.159517
14,81.0896,-0.0762378,-0.0357004,0.320425,0.0218384,0.0654083,0.0366495,-0.00307149,-0.0887868,0.0476118,0.0655013,-0.0906068,-0.00841466,-0.0904289,-0.163825,0.148482,0.00582634,-0.0368348,0.167769,0.116991,0.0353477,-0.0294588,0.0245283,0.0251532,0.109513,0.0928664,-0.108257,-0.109711,-0.159216,0.00691457,0.0340636,0.0573649,-0.0756806,0.246181,0.0697794,0.0827926,0.0459255,0.0858346,0.0982765,-0.139011,-0.0205013,0.0426466,0.0848413,0.203005,0.229997,-0.0990214,-0.117945,-0.136133,-0.0966309,0.111915,0.0325815,0.0580207,0.00526945,0.141609,0.0097325,0.0687624,-0.0236135,-0.0952583,-0.121222,-0.0729082,-0.151925,-0.016746,0.131388,-0.013385,-0.0357669,0.0190992,-0.0988691,-0.224183,0.010003,0.044345,-0.132444,0.0418785,-0.0587453,0.11855,-0.204004,-0.0874813,-0.0469812,-0.0998276,-0.0286019,0.100578,0.00342432,-0.0537543,0.0607445,0.112521,0.110517,-0.108664,-0.128231,0.101524,0.170052,0.0677129,0.0548139,-0.141944
15,-80.6234,0.0603565,0.133239,0.0715898,0.0246311,-0.0881488,0.0105286,0.0723376,0.0733303,-0.0825515,0.014811,0.0584401,0.0321859,0.106195,0.144411,0.196828,-0.0400351,-0.22449,-0.178954,-0.0733043,0.00890252,0.0542117,0.0310894,0.0519665,0.122285,-0.0728715,0.147113,-0.146523,0.0767869,0.0456473,0.196606,0.151161,-0.0622743,0.0200458,-0.117011,0.0392356,0.134661,0.0410898,0.0472382,-0.0386649,-0.0989531,0.0697696,0.13094,0.00182172,-0.105025,-0.0382222,-0.0317252,0.15547,-0.0594255,0.0545199,-0.132016,-0.167302,-0.0385594,-0.103541,-0.0735966,-0.0957682,0.060467,-0.188001,0.0641339,-0.0847227,-0.132619,0.191777,0.00893125,-0.131866,-0.145724,-0.172852,0.0268446,0.104661,0.102991,-0.00459443,-0.0656229,-0.0181413,-0.0330227,0.158929,-0.0387002,0.0790459,-0.339617,0.0282407,0.0477339,-0.0568564,0.0494334,0.0558985,0.0987827,-0.00876635,0.0789309,0.0977777,0.0946032,-0.0434132,-0.0221283,-0.100816,0.111822,-0.175278
16,78.533,-0.142483,0.0649396,0.130739,-0.0265892,-0.0358042,-0.0590689,0.20634,-0.286178,-0.209474,0.117194,0.0115649,0.00286514,0.0941177,0.154686,0.122405,0.0716558,0.0586325,0.170226,-0.182301,-0.139627,-0.229947,-0.0670362,-0.0360195,0.0852661,0.0126645,0.11737,-0.0495578,-0.00131689,0.097836,0.0833089,0.0393818,0.0097893,0.011251,0.0297826,-0.0584494,0.0639034,0.0765813,-0.129584,0.12661,0.0126533,-0.0525331,0.0867938,0.210805,-0.1526,0.136293,-0.0562786,-0.000858179,0.0899719,-0.0926299,0.126392,0.046998,0.116347,0.0459452,0.0651838,0.106999,0.162945,0.00669372,0.0330283,-0.181017,-0.0586611,0.108247,0.0872187,0.00298234,0.000867273,0.198529,0.223847,0.0659822,0.0350138,0.0182987,0.145342,0.0125983,0.134049,-0.10579,0.0318513,0.0764301,0.10245,-0.084118,0.0379628,-0.0452601,-0.140599,0.0386632,0.00950846,0.0681956,-0.0692769,-0.0389531,-0.0469354,0.0591781,-0.052754,0.0323383,-0.122014,-0.0710589
17,-77.5428,-0.198702,0.0391199,-0.0918879,0.0321682,0.159485,0.12214,0.00707097,0.115606,-0.0215257,-0.00205298,-0.0940663,-0.143193,0.167921,-0.0829866,0.0274409,-0.0459474,-0.00773836,0.117973,-0.0286015,0.158083,-0.071786,-0.107705,-0.00747779,0.0291161,-0.0643396,0.0250071,0.179758,-0.0955855,-0.0267252,0.233537,0.0918793,0.106709,-0.0162326,0.079323,-0.1954,-0.0186527,0.0056569,0.0213298,0.0412904,-0.0728862,0.0561961,-0.090337,0.140188,-0.111457,-0.110942,-0.0129234,-0.0593683,-0.125597,-0.0938406,-0.17439,0.0186693,0.203575,0.00908625,0.205986,0.016239,-0.197826,-0.0170905,0.0187078,0.0360751,-0.0234123,-0.00127607,-0.110259,0.0476197,0.0611646,-0.0271699,-0.189382,0.0381095,0.0521107,-0.20966,0.0142519,0.0530013,0.00913546,-0.0785914,0.0320075,0.11216,-0.0490591,0.068469,0.28848,0.0973986,0.0754641,0.0913152,-0.00836796,-0.105785,-0.0319217,0.0988026,-0.271852,-0.0268335,-0.0219869,0.0326633,0.0413225,-0.12857
18,75.5729,-0.0674869,0.164802,0.0109122,-0.110587,0.225052,-0.0633917,-0.0120149,-0.0263099,0.130351,-0.0131203,-0.0385337,-0.0857453,-0.054282,-0.105179,0.0233428,-0.00254552,-0.0187484,-0.0437663,-0.185095,0.0337695,-0.0133335,0.0242006,-0.116031,0.00893649,0.0835954,0.0170045,-0.174407,-0.0380119,-0.0477121,0.000184181,0.181015,0.0522754,0.0757806,0.0600264,0.162533,0.030259,0.0687201,0.102446,0.0532469,0.0889519,0.0872059,-0.119542,0.138444,0.079603,-0.0312296,0.193659,0.115894,0.0133355,-0.166004,0.155424,0.159151,-0.179892,-0.0210768,0.0250896,-0.0430573,-0.101535,0.273706,-0.0288904,-0.0694511,0.0401226,-0.189167,-0.087445,-0.0755267,-0.035589,0.0483249,0.129936,0.132127,0.0739444,-0.0636422,0.0161171,-0.250636,-0.195919,0.0567108,-0.026922,0.0983955,-0.160733,-0.102153,0.0706888,-0.136035,0.0464225,-0.129181,-0.0868078,0.078952,0.00953242,0.00611074,-0.0241844,-0.00897175,-0.218988,-0.0722703,0.0698342,0.0333786
19,75.0002,0.0258384,-0.219654,0.00671107,0.00131533,-0.030948,0.262538,-0.236386,-0.0236667,0.042782,0.102167,-0.0524747,0.124401,0.123989,-0.0254072,0.0992082,0.0272491,-0.050516,0.101424,0.0732051,0.0665637,0.0474472,0.0557682,-0.213857,0.0101973,-0.14192,0.260329,0.0580216,0.263128,-0.0247473,-0.0351408,-0.0700584,-0.101199,0.158015,0.029194,-0.141882,0.064542,-0.0746442,-0.0634656,0.126704,0.0920669,0.2031,0.0465344,0.0619967,-0.0437519,-0.0601236,0.0462607,-0.00107094,0.114728,-0.118824,0.200668,0.0864877,-0.0717335,-0.119272,-0.0975654,0.147625,0.00126815,-0.113927,0.0132216,-0.0164023,0.0501768,-0.116315,-0.0328202,0.0197928,-0.160101,-0.0900805,-0.0821817,-0.00135486,-0.0719139,0.0399877,-0.0298829,-0.117562,0.0263918,0.0903291,0.0902376,-0.074801,-0.0463847,-0.0416404,0.0236401,0.128126,-0.0968472,-0.000293736,0.0101326,0.0122418,0.113029,-0.0256898,-0.136239,-0.030685,-0.0623631,-0.142991,-0.219259,-0.00472151
