Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85
10,-80.9972,0.0496886,-0.131941,-0.182601,-0.0340348,-0.0304983,0.214523,-0.283744,0.218703,0.00666013,-0.0482931,-0.254793,0.0653395,0.0681018,0.00241913,-0.117034,0.112388,0.0893331,0.155964,-0.0718862,0.0896384,0.116448,-0.0583579,-0.0198326,0.0343579,-0.0476205,0.058364,0.128419,-0.160133,0.0261616,-0.0906758,-0.0889993,0.121542,0.128371,0.0364825,-0.0806506,-0.0611773,-0.0907488,-0.0864402,-0.110846,-0.0359843,-0.0379568,-0.0337351,-0.0598755,-0.0498187,-0.103089,0.11182,0.0176806,0.0871152,-0.0140958,-0.0496941,0.326396,0.0962435,-0.0217927,0.0088824,-0.0258993,-0.0454191,-0.162734,0.103457,-0.1374,-0.00927138,-0.0137394,0.0920191,0.0432645,-0.0653985,0.132126,-0.0410411,-0.176395,-0.144367,-0.060983,0.239377,-0.00445162,-0.0503912,-0.0484151,-0.00609956,-0.019652,-0.0123451,0.0984674,-0.130592,-0.00195478,-0.106507,0.0793435,0.0924423,0.0740672,0.0423754,-0.0974901,0.16517
11,-79.5405,-0.0999749,0.0681183,0.00780157,-0.0595527,-0.0970847,-0.0237987,0.0186255,-0.13448,0.149646,-0.0682036,-0.0857812,0.00328194,-0.119433,-0.0428677,-0.267308,-0.18919,0.0622762,-0.0886,-0.0659537,0.165209,-0.061981,0.0794664,-0.0811639,-0.0994651,-0.140776,-0.0523649,0.0921409,0.0267097,-0.138317,0.134756,0.208774,-0.00128917,0.0552635,0.00121403,-0.156856,0.00575661,-0.0890798,0.186501,-0.0224716,0.0378349,-0.182979,0.0608171,0.0276853,0.0170077,-0.0173015,0.0734135,-0.110926,-0.0546566,-0.0529844,-0.0615284,-0.015141,0.0400486,-0.00110736,-0.0172873,-0.0557924,0.112074,0.0322193,0.218559,0.014268,0.149731,-0.0142132,4.69005e-06,0.141125,-0.0697302,0.0688793,-0.025684,-0.253837,0.182273,-0.045425,-0.0203866,-0.165943,0.0391822,0.119957,0.0185292,-0.0810544,0.0539849,-0.218439,-0.0723623,-0.045663,-0.0862686,0.118673,0.174204,-0.0626587,0.120553,0.267138,-0.0706079
12,78.7057,0.171584,-0.0170623,-0.0627037,-0.0696209,0.109213,0.108637,0.0998663,0.0922036,-0.0164899,-0.0918786,0.191861,-0.00110352,0.126454,-0.0180812,-0.0852941,0.156245,0.014676,0.193996,0.0134055,-4.66585e-05,0.0376184,0.00152414,-0.155594,0.0717618,0.058058,-0.175974,-0.0421058,-0.0374404,-0.0027578,0.0423198,0.0796875,0.0929217,-0.02905,-0.0843493,0.072701,0.234448,-0.159834,0.0770045,0.110856,0.00890369,-0.132996,-0.052916,0.0606836,-0.167765,0.121699,0.150786,-0.0443582,-0.0455982,0.180196,0.153577,-0.0085805,-0.147327,0.2302,-0.00251124,0.119301,0.0985623,0.169841,0.071737,0.151249,0.198024,-0.215769,0.111451,-0.0288057,0.0226789,0.0694819,0.018295,0.0295004,0.0250685,-0.151604,-0.0155097,0.145839,0.0278964,0.0312194,-0.0336207,0.130336,-0.16167,-0.0690345,-0.143567,-0.105527,0.116007,0.0172781,0.116853,0.138163,0.0134942,-0.0582269,0.041901
13,-77.1204,-0.0438659,0.152364,0.0229874,0.0709572,-0.0245999,0.0623853,-0.060173,0.0742278,-0.0348992,-0.043105,0.0094177,-0.215749,0.118591,0.077236,0.115325,-0.00580673,0.00908754,0.106801,-0.264967,0.0165403,0.0236755,-0.195357,0.0275617,-0.140026,0.0334366,0.00454143,0.00189714,0.0880184,0.0171878,0.197471,-0.0622475,-0.0819691,0.112812,0.100808,-0.277859,-0.196134,0.192948,0.148828,-0.07841,0.160232,-0.114945,-0.0436594,-0.0201273,0.0947455,0.110996,0.119124,-0.0220551,-0.0457281,-0.0456988,-0.0594076,-0.0145452,-0.0457844,0.11114,0.122504,-0.151784,-0.0567959,0.169763,-0.0331814,-0.167399,-0.0688325,-0.0145887,0.113045,-0.143927,0.00345954,0.0224653,0.0966266,0.175601,0.193634,-0.279974,-0.024397,0.0239999,1.67851e-05,-0.0206815,-0.00371747,0.0156105,0.0489097,-0.136447,-0.0631565,-0.0120863,-0.00946596,0.0413223,-0.120519,0.0437312,-0.0389096,-0.131169,0.104629
14,75.0115,0.0324354,0.0310708,0.0735742,-0.163363,-0.161839,0.0311295,0.034251,-0.0614448,0.284632,-0.180372,0.219655,-0.00509956,-0.276088,0.146863,0.12742,0.0471856,0.0132329,-0.0597306,-0.120404,0.0649318,0.199958,-0.113865,0.0163424,0.252875,-0.191233,0.0727724,0.053015,0.153624,0.0203197,-0.0400834,0.0507473,0.0605507,0.0629482,0.0910452,0.191637,-0.0124191,0.00687679,-0.178928,-0.101457,0.135732,-0.137115,0.0593708,0.0598344,-0.024526,-0.0850867,0.0101214,0.0952775,0.0313512,0.166221,0.0481651,0.249899,-0.131018,-0.120753,0.232389,0.0419442,0.0363181,0.00563363,0.0489295,-0.00534097,-0.093809,-0.0182143,0.0628235,0.0103216,0.0359186,-0.0452669,-0.0235299,-0.0413216,-0.0103944,-0.0206658,-0.117996,0.0205133,0.00915791,-0.0348003,-0.0481739,-0.000551674,0.0962988,-0.122761,0.0691933,0.0661932,0.0958089,-0.030285,-0.0652384,0.0693244,-0.094456,0.0454266,0.0331251
15,-74.3439,-0.0173887,-0.0595291,0.0164978,0.0416493,-0.149958,-0.0466729,-0.0182823,-0.0056037,-0.0501975,0.179288,-0.163737,0.168061,-0.0936336,0.188438,0.100648,-0.1187,0.0478608,0.156803,0.0865189,-0.130291,-0.039833,0.0769932,-0.0297578,0.0985534,-0.12182,0.194299,0.0662759,0.22672,-0.045612,0.0605845,0.0647613,0.155731,-0.128995,-0.178754,-0.0946296,0.106005,0.075637,0.134934,-0.0466184,0.0117434,0.108593,0.143461,0.101365,-0.193126,0.06344,-0.0682234,0.081736,-0.111163,0.0650464,-0.0536192,0.0897684,0.182111,-0.178192,0.108038,0.0379916,-0.0694192,0.20508,0.08201,0.0677903,0.0869366,-0.124343,-0.0840791,-0.238988,-0.0366119,0.211785,0.139619,0.0488841,0.0417831,-0.0959025,0.0842972,-0.0458993,0.00851406,0.0122163,0.0889002,-0.103027,-0.0782049,0.080462,-0.0373657,-0.121817,0.0598712,-0.0596616,-0.0284575,-0.0310133,-0.0899843,-0.0377533,0.0578342
16,73.4618,0.136332,0.0936124,-0.0556977,-0.132095,-0.110078,0.0528532,0.0565964,-0.262658,0.111342,0.0503699,-0.0735259,0.0552617,0.161026,0.0913795,-0.10911,-0.115504,-0.178754,0.014922,0.067205,-0.155487,-0.124765,-0.0732486,-0.0337379,-0.0663707,-0.0788244,0.0332069,-0.203993,0.0374296,-0.00765519,-0.0624598,0.0272162,0.018147,-0.0874279,0.0542742,-0.0818113,0.126937,0.00943368,0.0658156,0.119374,0.0184582,-0.0739955,-0.213863,-0.0790189,-0.0261464,-0.0194177,5.23364e-05,0.120059,0.049619,-0.0641218,-0.0427177,0.0836166,-0.038968,0.0432132,0.0598718,-0.0982186,0.130235,-0.0278242,0.125945,0.00284181,-0.0122533,-0.0647318,-0.114143,0.220585,-0.174857,0.0121714,-0.189782,0.155197,-0.148006,-0.0817273,-0.0408468,0.0733423,-0.0337586,-0.0550045,-0.233872,-0.207416,0.128813,0.114648,0.0462578,-0.110237,-0.0574044,0.137605,-0.237145,0.0875183,-0.0572492,-0.0869275,0.114288
17,-72.9578,0.179,0.00561419,0.218887,-0.161492,0.0851847,-0.121326,0.0917364,0.0287178,-0.130537,0.097947,0.149583,-0.0487289,0.168931,0.136587,0.0268017,-0.114829,0.0450447,0.0315042,-0.0885439,0.0527193,-0.0405359,0.0120333,0.199834,0.183607,-0.0723101,-0.152425,0.0131648,-0.0270289,0.0689639,-0.0197009,0.149895,0.0951594,0.0458804,0.138517,0.0192018,0.0135854,-0.122153,0.136554,-0.169725,-0.119448,0.0344446,0.0958953,-0.0678807,0.152784,-0.0824594,-0.0758855,-0.00303625,0.0938982,-0.0371659,0.129588,0.0630478,0.0358831,0.220144,0.000919943,-0.170257,-0.144595,-0.152547,0.142736,0.0263024,0.00492033,0.0192068,-0.0716878,-0.0497218,-0.116624,-0.0406528,0.176093,-0.141164,0.0415648,0.055143,0.0720583,0.0469518,0.135979,0.0508333,0.0631062,-0.114501,0.130538,0.0607112,-0.0238977,-0.145066,0.16587,-0.00423197,0.000950824,-0.21444,-0.0194312,-0.13667,0.106549
18,71.7608,-0.00585536,-0.0219435,0.0281916,0.00231308,-0.0405727,0.152427,-0.131806,-0.0702731,0.088259,-0.108895,-0.090121,0.0309283,-0.102833,0.0788112,-0.0777249,0.159876,-0.0424896,-0.0791175,-0.190794,0.0359802,0.00790662,0.00238222,0.106487,0.0203268,0.143016,0.0125699,-0.282027,-0.162485,0.0704542,0.113822,0.136083,0.0990999,-0.136581,-0.0142779,-0.0782569,0.135342,0.00913348,-0.0808918,-0.162788,0.196332,0.282515,0.0573757,0.125063,0.0502459,0.0288606,-0.0230167,-0.134553,-0.0173439,-0.0138749,0.116404,-0.0202493,0.033292,0.010374,-0.016317,0.0310662,0.0589509,-0.0181897,-0.0578083,-0.13663,-0.0225809,-0.11472,-0.0512678,0.0501925,0.191896,0.229276,0.104454,0.107082,0.0627115,0.167582,0.000934609,0.0421881,0.0158958,0.197233,-0.149884,0.0427295,0.112997,0.00152501,0.173843,-0.217092,-0.00308358,0.129036,0.0545573,-0.0775012,0.0874493,-0.0971625,-0.0698433
19,-70.3422,0.0224815,0.176041,-0.114416,-0.0216265,-0.226225,-0.132691,0.0833966,0.0674629,0.0256555,0.0165597,0.00151266,-0.0121535,-0.0691278,-0.171745,-0.120108,-0.0737281,-0.0236596,-0.056067,0.00086446,0.103643,-0.047967,-0.212007,0.0758971,0.147961,0.0918318,-0.0947685,-0.101806,-0.00463081,-0.0567305,0.0281718,-0.052752,0.142164,0.000963071,-0.0439093,-0.0739539,-0.112261,0.154375,0.0455282,0.043722,-0.0641177,0.0851814,0.109625,-0.264203,0.134569,0.104354,-0.0679155,0.0820979,0.070182,-0.0204496,-0.0790117,0.108902,-0.00489038,0.203664,0.0089775,0.268482,0.0900308,0.170926,0.0730577,-0.0713853,-0.0492588,0.0652976,-0.0578648,0.119828,0.0327115,0.0860156,0.0443397,0.0694111,-0.0690155,0.22268,0.0497373,-0.119666,0.0288463,-0.0170988,0.0650973,0.0773678,-0.130732,0.0185151,-0.0534551,-0.0763034,0.0612658,-0.0775563,0.178889,0.134468,-0.288371,0.026964,0.130655
