Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89,Eigenvector_90,Eigenvector_91,Eigenvector_92,Eigenvector_93,Eigenvector_94,Eigenvector_95
10,90.0049,0.0744029,-0.123274,-0.0736065,0.0710405,0.0330981,-0.257511,-0.118694,-0.143435,-0.233405,0.0629838,-0.208977,0.13471,0.167168,-0.165027,-0.0202398,0.0735038,-0.189122,0.0518059,-0.013332,-0.214254,-0.134707,0.0483745,-0.114707,0.0399959,0.0762909,0.0261479,0.183231,0.103944,-0.129339,-0.241384,0.0917078,-0.0297994,0.108752,-0.00946578,0.0435584,-0.0348372,0.0442923,0.0217607,0.0829375,0.0605227,0.0290156,-0.0474403,0.0323433,0.0437534,-0.00687495,-0.00819263,-0.0459021,0.00817151,-0.060952,-0.00765899,-0.00663953,-0.0561496,-0.135167,-0.0794296,0.160599,-0.0832449,-0.0341438,-0.102247,0.0046095,0.23299,0.0973483,0.0623943,-0.105127,-0.028191,-0.000834118,-0.0209094,0.0254603,-0.180457,-0.0933132,-0.0116718,-0.0565842,-0.03461,0.0575691,-0.0572945,0.0303271,-0.110966,-0.0894748,-0.131984,-0.0447561,0.0338126,0.069395,0.0627553,0.106044,0.13506,-0.0441276,-0.0321033,0.0471525,-0.124051,0.109036,-0.0460701,-0.0688714,-0.0803753,-0.193566,-0.089087,0.00333618,-0.118368
11,-89.3878,0.0171272,0.157893,0.0958459,0.128761,0.031979,0.0955241,0.0146452,-0.049662,-0.177386,-0.023791,0.0981125,0.0720232,-0.0518659,-0.0379606,0.0541359,-0.0321207,-0.0986681,-0.0279425,0.00457399,0.0489005,0.109911,-0.135965,0.0895713,0.00530153,0.0799873,-0.047397,-0.0786486,0.214294,0.0594025,-0.167592,-0.0267641,-0.140818,0.105616,0.0241282,0.0462048,-0.088517,0.00372112,-0.012087,-0.0542873,-0.0144177,-0.0530685,0.0731161,-0.0214839,0.118472,0.0796276,-0.0543798,0.0474775,0.257802,-0.0346076,-0.0200542,0.0267362,0.158775,-0.0644961,-0.191087,0.0116263,0.080235,-0.138521,-0.256297,0.0505424,-0.0148775,0.243775,-0.072836,0.0057311,0.0800154,-0.0194269,-0.0477368,0.0288216,0.0368997,0.0815611,-0.181081,0.0688537,-0.00374107,0.0611502,-0.00462185,-0.0121204,0.00189965,0.177427,-0.038035,-0.171143,0.126991,-0.09344,0.266472,-0.133503,-0.0221408,-0.0827901,-0.1234,0.0562518,0.0713384,-0.0813086,-0.117399,0.027557,0.0497734,0.25505,0.0773212,-0.0491517,-0.0271238
12,-87.8462,-0.149271,0.0254447,0.127153,0.0477237,-0.0526159,-0.0150298,0.0070605,-0.138959,0.150703,0.0882819,0.0263687,0.0766098,-0.0380207,-0.121017,-0.103585,-0.0659347,0.0418453,0.0708074,0.0189881,-0.129601,-0.162238,0.132667,-0.101647,-0.108473,-0.118133,0.0571388,0.190339,0.153404,0.0734424,-0.137564,0.0341718,-0.0448399,0.0412171,-0.0796828,0.0419647,0.0942338,0.144783,-0.0583078,0.0393342,0.105374,-0.0375113,-0.0392424,-0.157283,0.211876,-0.0610526,0.147148,0.0690262,-0.0871855,-0.089139,-0.105217,-0.0608921,-0.0796084,0.16877,4.5185e-05,0.0040158,0.219484,-0.0631651,0.0851467,0.14513,-0.178636,0.0408282,0.142364,-0.124689,0.0091995,-0.10115,0.162676,0.0250172,-0.0403804,-0.0479085,0.0758248,0.0564751,-0.0271466,-0.0868461,-0.0165065,0.0790591,-0.188385,0.0447051,0.107129,-0.0410597,-0.175549,0.107837,0.0101346,-0.0449529,-0.0716568,-0.0498059,-0.0342996,-0.143016,0.130196,-0.168828,-0.0582101,0.0516502,0.152661,0.140461,-0.0823331,-0.0347843,0.0899508
13,84.6482,-0.025607,0.00808567,0.045607,0.000674725,-0.0532056,0.050031,-0.00660748,0.0450669,-0.146519,-0.0386361,0.340204,-0.0278056,-0.201587,0.0659553,-0.0659512,0.0153343,0.0123787,-0.0443266,-0.0155197,-0.0583027,0.0303283,-0.0606403,-0.129109,0.0933331,0.142751,-0.0804667,0.020433,-0.0184598,-0.23078,0.0308095,-0.0256652,0.0718574,0.0754795,0.135243,0.0687522,0.0904291,0.07443,0.106503,0.100691,0.240066,0.211786,-0.127723,-0.0761568,-0.0757972,0.0238987,0.0505388,0.0336599,-0.0761089,-0.129821,0.127565,-0.0703879,-0.0651742,0.0597244,0.0605782,-0.0104427,-0.189572,-0.132703,-0.00268113,-0.0292319,0.0760845,0.013788,-0.105463,-0.115448,0.0122527,0.169665,0.0272319,-0.0625147,0.133648,-0.224099,-0.00861484,-0.0211054,-0.0195437,0.0704314,0.0760792,0.0246498,-0.132554,-0.0175121,0.0781743,0.0836559,0.11085,0.226024,0.0847775,-0.0598442,0.116612,-0.0069657,0.104713,-0.0524763,-0.0412215,-0.0823746,0.120767,0.0927706,-0.0539314,0.225081,-0.0405789,-0.0383688,-0.0613268
14,-84.1214,0.0191005,0.0193533,-0.122837,0.0393434,0.150834,-0.0382843,-0.0938213,-0.136545,-0.12108,0.096713,0.00033849,0.0272684,0.0436698,-0.0493444,0.1052,-0.165711,0.0868059,-0.0930066,0.00201069,0.0744713,-0.0961379,0.134918,-0.0605908,0.121863,-0.0247829,-0.170682,-0.0205497,-0.171487,0.0604541,-0.151064,-0.0351865,0.051945,0.0344582,-0.0990161,0.108079,0.0692031,-0.159554,-0.172143,0.157856,0.15221,0.0520173,0.0637164,0.189101,-0.144001,0.0337169,0.0318131,0.0772475,-0.00786773,-0.0375389,0.0227443,0.0640016,0.196289,0.0745513,0.188104,0.0949922,0.158163,-0.142785,-0.0287913,0.0717926,-0.0689079,0.133112,-0.0388603,0.157529,0.122899,-0.0242298,0.141049,-0.0459319,0.120117,-0.0821448,0.0237797,0.0938807,0.074082,0.114961,0.170733,-0.206567,-0.0370005,0.0362817,0.0604161,0.0864897,0.00396565,-0.0324766,-0.0809993,0.0317106,-0.263734,-0.119203,0.0622333,0.0164857,-0.168475,-0.0215339,-0.0292433,-0.0400543,-0.0487868,-0.0526472,-0.0246062,0.0226078,0.0464421
15,-81.5124,-0.119619,-0.0049795,-0.0629063,0.167376,0.133302,-0.0499441,-0.0676474,0.0101712,-0.0521519,0.00565478,-0.0223765,0.127459,-0.0633439,0.230481,-0.0833628,0.0519538,0.141875,0.063209,0.0852109,0.17385,-0.108662,-0.0362515,0.144193,-0.0940486,-0.120505,-0.0603111,0.10751,-0.0145639,-0.0263376,0.0672384,0.169516,0.199247,-0.0336615,-0.0757966,0.0501623,-0.108035,0.0706372,-0.0882105,-0.0616956,-0.0512437,0.268126,0.0495849,0.134313,0.0348845,0.0561288,0.0870128,-0.156056,-0.0363758,0.0566,-0.0538602,0.0329397,0.0571756,-0.0291811,-0.106693,0.182722,-0.00783313,-0.138912,0.068278,0.0389805,0.00687081,-0.133588,0.125389,0.12739,0.105313,0.207383,0.00371153,0.00109232,-0.11184,0.00630621,-0.0032111,0.053291,-0.128567,0.118652,-0.11484,-0.136525,0.057698,0.00411491,-0.0141034,-0.138408,0.00957599,0.123638,0.182148,0.133264,0.127687,0.0416584,0.139615,0.0142827,0.098738,-0.0212431,0.0238605,-0.0165797,0.192823,0.0541155,0.0721168,-0.0130371,0.132521
16,81.4306,-0.0941637,0.0275291,0.0345045,0.0771788,-0.140821,-0.0816464,-0.00195856,0.0775742,-0.18511,0.0171774,0.0225701,-0.0160154,0.0612032,-0.0213345,0.130232,0.0324416,0.310625,-0.0578475,-0.0136218,0.158693,0.105822,0.23989,0.0527166,0.0207028,0.0105034,0.114673,0.0818057,-0.0450351,0.0457595,-0.11125,0.103832,0.0542914,-0.0417959,0.0476655,0.0223235,-0.0275985,0.125078,-0.0164894,-0.00898995,-0.0468091,0.238884,-0.0325917,-0.0398895,0.121187,-0.13654,-0.229883,-0.00575239,0.163352,-0.0110916,-0.10821,0.00410904,-0.0854953,0.030893,-0.101608,-0.018326,-0.166814,-0.0271846,0.028425,-0.1579,-0.0339639,0.0438552,0.109559,-0.216751,0.0723993,-0.118832,0.0522565,0.160955,0.0815012,0.0513083,-0.102865,-0.0970989,0.166325,-0.0365089,0.193344,0.00812872,0.0221165,-0.101483,0.0333466,0.0274994,-0.032403,0.00426694,-0.0294641,-0.0349219,-0.201726,0.178004,0.112985,0.191978,0.0259413,0.0542942,-0.0697846,-0.0128864,-0.00931179,0.00321573,-0.0986771,-0.0489335,-0.0136731
17,79.1674,0.0383647,0.0676463,-0.132,0.201175,0.0767445,0.0660391,-0.0222765,-0.00177396,-0.000974767,0.0445288,-0.00658694,0.100035,0.165527,-0.00941413,0.139776,0.105879,0.0762978,0.101081,0.048151,-0.0880393,0.177778,-0.170012,0.0200472,-0.00916987,-0.138395,-0.0621129,0.208532,0.0581177,-0.0907469,0.0992592,0.0141892,-0.147694,0.0190766,0.00226084,-0.0559005,0.0429563,-0.0474576,-0.0379919,-0.0998054,-0.0773121,0.0314501,-0.151378,-0.233609,-0.143446,-0.0930007,0.111616,-0.111576,-0.171669,0.141436,-0.191871,-0.061649,-0.0460328,0.0622654,0.080974,0.119625,-0.0681805,-0.0578777,-0.174956,0.070408,0.0506769,0.124338,-0.144874,-0.0199875,-0.171379,0.0416657,-0.134753,0.0227202,0.0872866,-0.0807638,-0.0168615,0.13498,0.0660006,-0.0403851,0.0211224,-0.2049,0.0588213,-0.153145,0.0956875,0.00505687,-0.00737165,-0.0586771,-0.0192632,-0.0830984,-0.183838,0.00573008,-0.0121723,-0.085041,0.197132,0.0174581,0.0635197,-0.0291722,-0.103402,-0.0153724,-0.095391,-0.104935,0.0801626
18,-77.9796,0.0307643,0.0102133,-0.07128,-0.0611111,0.0523095,-0.123152,0.00247077,0.0861449,0.00251421,0.192792,0.100638,-0.196412,-0.0885047,0.00861697,0.157767,-0.012546,-0.038288,0.0548973,0.284866,0.090226,0.00222598,-0.130878,0.0217771,-0.0610122,0.0373104,-0.0152833,0.0621523,-0.0465378,0.0452162,0.0122542,-0.013593,-0.124019,0.0983243,-0.154926,0.0387666,0.00963475,0.0940001,0.050429,0.117631,0.18121,-0.185986,0.113031,0.110815,0.026386,-0.0567988,0.0708233,-0.186469,0.020799,-0.0752054,-0.125062,-0.01786,0.0555299,0.0407693,-0.0435114,0.0429584,-0.0761302,0.069086,0.0919148,-0.213679,-0.0715217,0.162925,0.0838519,-0.0765117,0.0858332,0.152227,-0.0914848,-0.0296337,0.00282386,-0.0533121,0.0104588,0.0455096,-0.172743,-0.0556079,-0.0341771,-0.0100235,-0.0631148,-0.1255,-0.26558,-0.0610582,0.00669098,0.0734339,-0.235029,-0.184642,-0.0876936,0.138359,0.026005,-0.0312283,0.0749931,-0.0985699,-0.085644,-0.0957987,0.00380962,-0.0058376,0.168946,-0.0381372,-0.104213
19,77.8775,0.183489,-0.00500672,-0.157547,0.0016125,0.0118484,0.00712512,0.0139728,-0.0859208,-0.0539173,0.0143455,0.0469336,0.0579321,0.0305204,0.040016,-0.186349,-0.0890315,0.0546261,-0.0145847,0.162096,-0.0427039,0.227192,-0.0483822,0.0179013,-0.0683955,0.140766,-0.0673804,-0.14795,0.155743,0.0693947,-0.171513,0.0120186,0.0174632,0.0709981,-0.031801,0.0678446,-0.0619483,0.00145438,-0.16953,-0.22935,0.108139,-0.0065127,0.20213,-0.0219431,-0.0835779,0.037968,-0.213045,-0.0746493,-0.0987538,0.238423,0.0282165,-0.173812,0.0076926,0.139515,-0.0959816,-0.120551,-0.0319019,-0.0569592,0.183066,0.0193257,0.112512,-0.0211395,0.0705445,-0.0145275,0.132919,-0.0719349,0.0266723,-0.0104275,0.0785668,-0.14649,0.117682,-0.0635994,-0.0619299,0.065252,0.013099,0.174299,-0.0979943,-0.0186141,0.044817,-0.0318629,-0.056624,0.0344814,-0.0603679,-0.0765047,0.00150805,-0.0594863,-0.122234,0.0534631,0.0859517,0.0795076,0.193482,0.0210364,0.0114184,-0.146255,-0.0533972,-0.0934395,0.195146
