Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57
25,40.131,0.176479,-0.0308321,0.0865681,0.00947693,-0.186074,-0.0950942,0.0888492,-0.179755,-0.0282006,-0.0265634,0.0882908,-0.199056,0.189569,-0.0639489,0.140789,0.0661493,0.0308113,0.153303,0.0286569,-0.049714,-0.0542284,0.0020111,-0.206259,0.0465933,-0.104241,-0.0569884,0.00474182,0.253166,0.343934,0.00190439,0.0666643,0.290903,0.0662147,0.0903069,-0.0832339,-0.0259541,0.0506685,-0.0900914,0.0279481,0.121285,0.0668576,0.0702698,0.10382,-0.0696131,-0.0761307,0.092046,0.00952464,0.115484,0.236872,0.0897464,-0.203675,0.250334,0.0208333,-0.258341,0.231182,-0.0352086,0.0138102,-0.113597
26,-39.1282,0.202106,-0.0494092,-0.16738,0.0732868,-0.0420956,-0.231859,-0.0378937,-0.172172,-0.239726,0.0657875,-0.0665647,0.106487,0.350832,0.0586276,-0.143791,-0.0813329,-0.147605,0.133027,-0.164686,-0.087261,-0.192535,0.02884,0.25395,0.10356,0.0195039,0.164407,0.135862,0.0308487,-0.0355108,-0.119763,-0.0939479,0.170142,-0.0667671,-0.0244595,-0.122847,0.144726,-0.18994,0.0584195,-0.13674,-0.0234839,-0.0941737,-0.11447,-0.0219509,-0.0458979,0.18783,-0.0519813,0.0515611,-0.105534,-0.00378801,-0.0417189,0.112127,-0.144467,0.0549816,-0.0124723,0.156401,0.205231,-0.189286,0.0290507
27,-38.224,-0.0426644,0.151769,0.0804076,0.221381,-0.237752,0.0910424,0.146752,-0.0392324,0.0745569,-0.0095431,0.0976611,0.323683,-0.221524,-0.0772285,-0.169983,-0.128978,-0.105514,-0.223659,-0.0322632,0.114019,-0.075666,0.252182,-0.102124,-0.0752195,0.116412,0.263933,-0.0644765,0.058935,0.0599629,-0.281455,0.0299769,-0.0638222,-0.120207,-0.158765,-0.0956595,-0.0296037,0.00857982,0.0390681,0.0312273,0.0725284,0.0887668,-0.231868,0.0626563,0.0706978,0.00722136,-0.0677314,0.00474425,0.102118,-0.0908965,0.0708909,-0.0577408,0.0877805,-0.126762,-0.203069,0.21612,0.0173983,-0.00915873,0.011007
28,36.5228,0.0935842,-0.113211,-0.00850378,-0.0437733,0.232522,-0.109888,-0.0669424,-0.00585415,-0.325838,0.108387,-0.0902085,0.0464,-0.0515926,-0.00881113,0.1918,0.0576878,-0.0616978,-0.205646,-0.121184,-0.044434,-0.136179,0.0605183,-0.230851,-0.089959,0.0298929,0.0341708,0.0430533,0.113147,-0.00964732,-0.0749411,0.0644426,-0.0771309,0.117572,0.0200725,0.0361026,0.0760624,-0.222686,0.122231,-0.287535,-0.0778386,0.0628973,-0.217537,-0.150038,0.106934,0.0547388,0.156074,-0.0549534,0.0207104,-0.00377866,0.139001,0.00327463,0.150055,-0.0104817,-0.154408,-0.263265,-0.32976,0.135815,-0.054041
29,-35.503,-0.140899,0.0681483,0.190168,0.0613345,0.0112975,-0.0539737,-0.240444,-0.180242,0.0424124,0.185347,-0.0791093,-0.118798,-0.0770683,0.0555106,0.145261,-0.186142,0.0413971,-0.0925347,-0.0375296,-0.125705,-0.190822,-0.0731038,-0.0785399,-0.12733,-0.188595,0.0642029,0.0613775,-0.173732,-0.175654,0.0967883,-0.046196,0.0656041,0.0211593,0.000784466,-0.127217,0.105423,-0.213051,0.0400483,0.0926827,-0.154327,-0.100447,-0.108267,0.0905435,-0.174265,-0.414649,-0.172577,-0.0964448,0.168979,0.026609,0.00427679,0.0082438,0.0644065,-0.146919,-0.0186265,0.0376783,0.244209,0.0771771,-0.0896055
30,34.2829,-0.0969252,0.0285854,0.214625,-0.100375,-0.0024656,-0.148414,0.024284,0.0479198,0.0584039,0.0445517,0.0799036,0.0126301,-0.245203,0.0467545,-0.0341175,-0.161562,0.0538263,0.164714,-0.269032,-0.011246,-0.0575108,-0.121473,0.0872716,0.0909107,-0.202642,-0.0517983,0.201832,0.107837,0.116873,-0.193245,0.141481,-0.037904,0.247425,-0.164815,0.254413,0.0937299,-0.0348864,-0.0564288,0.140543,-0.0787406,0.0056523,0.0480069,-0.118868,0.00202158,0.308586,-0.0204288,0.205583,0.111486,-0.06388,-0.028453,-0.0586157,0.0992174,0.066503,-0.106803,-0.135199,0.253772,0.136592,0.0881955
31,-34.0676,-0.026884,-0.165114,-0.126515,-0.150483,-0.0387148,-0.0153921,-0.10993,0.129215,0.0971945,-0.103806,0.332521,0.0358844,-0.133509,0.472396,0.183703,-0.242642,-0.0468876,0.106978,0.069093,0.0571367,-0.0821976,-0.0762783,-0.0113415,0.039913,0.0246924,0.0308448,-0.133345,-0.206058,0.00685517,-0.0427541,0.076736,0.0684061,-0.0473368,0.0140819,-0.244809,0.269235,0.103004,-0.0281893,-0.100215,0.142258,-0.0539688,-0.0749338,-0.1017,0.110626,0.0813968,0.0749247,-0.259078,-0.0493825,0.0736563,-0.00865352,-0.0239807,0.100759,0.0731026,-0.0474612,0.065918,0.00260586,0.0598878,0.0756734
32,31.6606,-0.0581481,-0.0586598,0.132281,-0.0722278,0.036115,-0.107157,-0.182391,0.00582404,-0.100175,-0.19198,0.179924,-0.10327,0.214177,0.191869,-0.275697,-0.0456653,-0.0287982,-0.0515657,-0.0560981,-0.02382,0.134609,0.0217857,-0.14658,0.0146476,0.0675807,0.0871958,-0.0124639,-0.0831832,0.0788843,-0.0189954,0.161221,-0.0672995,0.11913,-0.0529097,0.0847876,-0.128335,-0.194595,0.0761943,0.155293,0.0179954,-0.12873,0.101016,0.381907,0.0566179,0.0387382,0.206653,-0.0522751,-0.134859,-0.291218,-0.0296703,0.154594,0.0857983,-0.185025,0.0190855,0.0850191,-0.0513096,0.0951156,-0.222801
33,-31.3856,-0.244303,-0.288725,-0.266659,0.0332383,0.0964823,0.129086,-0.0831469,0.0896293,0.244204,-0.181856,-0.212451,-0.0712219,-0.000997676,-0.0720058,0.00829293,0.0108205,0.0356678,-0.259456,-0.0833918,-0.0814201,-0.129064,0.193909,-0.137811,-0.0649732,0.0424089,0.0509792,0.143121,0.0377218,0.228898,0.034318,-0.0892651,0.137835,0.0962099,-0.0228541,0.0623966,0.082057,-0.0108357,0.0420621,0.047831,0.0791222,0.0377849,0.0548216,-0.059255,0.131999,0.0296314,0.146998,-8.47776e-05,-0.054158,0.108412,0.0666345,0.170125,0.150457,-0.0272997,0.0488669,-0.0336089,0.34308,-0.239814,-0.0130498
34,28.8797,-0.137398,0.194565,0.141496,0.026253,0.0301275,-0.0808627,-0.15144,0.0277719,-0.110006,-0.0149172,0.0305955,-0.00198065,-0.00622442,-0.116998,0.211521,-0.00353689,0.0534704,0.0455585,-0.0635162,-0.0531945,0.16791,-0.18839,-0.129932,0.130818,0.171778,0.137404,0.145189,0.136238,-0.0862003,-0.080686,0.165812,0.0918265,-0.111975,0.141598,-0.200605,-0.0587152,0.139936,0.15505,0.00404823,0.00938432,0.260881,-0.0355961,-0.131926,-0.0193352,-0.143155,0.310134,0.0265867,-0.0987974,-0.288682,-0.126392,-2.87775e-05,0.071677,0.0824571,0.0992208,0.0523335,0.163123,-0.193456,0.223978
35,-28.4705,0.00592954,0.0988349,-0.133897,0.0192596,-0.159463,0.155247,-0.242826,0.206936,-0.0788626,-0.0931176,0.114316,0.142139,-0.109481,0.00429963,0.0205581,0.0493897,0.0980028,-0.0507984,0.016799,0.0646278,-0.0440884,0.21501,0.130031,0.0701488,-0.2574,0.00612121,0.189001,0.249846,-0.0473956,-0.0738134,-0.167193,0.0761578,0.119779,0.120291,-0.102159,0.0655006,0.122216,0.277511,-0.147514,0.0544931,-0.256768,0.178165,0.0859432,-0.196553,-0.126453,0.0399275,0.115337,-0.166693,-0.118284,0.0487451,-0.163634,-0.0253048,0.046998,-0.00928616,-0.0866973,-0.0136613,0.163068,-0.148526
