Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54
10,-58.9369,0.0886338,0.0664815,-0.0133657,0.0286716,0.134737,0.0344322,0.180739,0.126601,-0.135901,0.172424,-0.0282148,-0.0955128,0.0364737,-0.0521291,-0.00990163,0.200801,-0.235231,0.0438962,0.0480172,0.083415,0.114348,0.314,-0.060447,-0.116352,0.270531,0.157412,-0.101686,0.123954,0.0392611,-0.280583,0.233055,0.00574506,-0.283007,0.0621028,0.00870254,0.21429,0.109812,-0.0874907,0.146133,0.0969588,-0.0434995,0.0949752,0.295347,-0.107557,-0.0206219,0.0746245,-0.0260226,0.0147376,0.0845383,-0.062974,-0.133483,0.0991768,-0.0102464,-0.111115,0.119162
11,-58.1051,-0.10428,0.0609159,-0.12165,0.146681,-0.0267351,-0.159211,-0.0234619,-0.0333628,-0.225641,-0.23346,0.0409301,0.0559548,-0.0103962,0.131554,0.261497,0.0634255,0.0117504,-0.192148,0.115304,-0.122575,-0.138887,0.02775,0.17129,0.140777,0.0175907,0.00318253,-0.298382,0.0542498,0.166777,0.0144866,-0.0243554,0.103901,0.0935047,0.116853,0.139565,0.25033,0.128549,-0.0480803,0.17156,0.0970819,-0.137252,-0.189127,-0.190505,-0.25905,-0.166758,-0.242733,0.0367694,-0.181965,0.0453502,0.0817687,-0.0340419,0.033689,0.038771,-0.0320218,0.00558958
12,55.2587,0.113466,-0.0160463,-0.0776829,-0.0927424,0.248564,-0.19207,0.153332,-0.10404,-0.079024,0.0796177,0.165362,0.122992,-0.0833167,0.0925204,0.036327,0.189805,0.0380983,0.011427,0.355117,0.0743993,0.177531,0.243624,0.237608,0.118646,-0.0211554,0.103635,0.00494219,0.0445329,0.0958953,0.182325,-0.0755409,-0.103398,0.0349756,-0.196988,-0.0501707,-0.265087,-0.087503,0.105261,0.0625987,-0.188326,-0.00786035,0.125678,-0.00700247,0.302168,-0.142631,-0.205569,0.0383977,-0.029346,0.0768372,-0.0239413,-0.0283751,-0.0197251,-0.0170719,0.00582024,0.116512
13,-53.8198,0.276247,0.120657,-0.0483068,0.113732,-0.125592,0.033804,-0.230892,-0.0225187,-0.0160119,-0.0574389,0.118835,-0.0587402,0.0673226,0.106627,0.225408,-0.057933,0.0549563,0.0479198,-0.0775522,0.143993,0.179165,-0.0552742,-0.0307691,0.0505477,0.174231,0.0188887,-0.188025,0.163076,-0.0627021,-0.170269,-0.0310224,0.167681,0.0735049,0.07641,-0.127187,-0.0152551,-0.182752,-0.192798,0.0854397,-0.268637,0.0567536,0.106755,-0.126851,0.134854,0.215432,0.033838,0.248581,0.177991,0.0966143,0.29548,0.00162661,0.147892,0.00137317,0.0833721,0.11605
14,-52.6869,0.191161,0.0342451,-0.0213608,-0.00474556,0.155925,0.265343,-0.0401434,-0.0039294,-0.144006,0.125616,-0.187292,-0.0221668,-0.0118329,-0.122629,0.09482,-0.0426679,0.449244,0.0295011,-0.199992,0.0736529,0.323103,0.0425508,-0.0106849,0.00463102,0.111589,-0.0456763,0.0620509,-0.161985,0.11291,0.0648167,0.0225065,-0.0666696,-0.104583,-0.0430964,0.193065,0.157319,0.0899946,0.070875,0.0534249,0.0460876,-0.193315,-0.156166,-0.0504386,0.129352,-0.227042,-0.0956653,0.0583744,0.0554124,-0.138544,0.120683,-0.0191551,-0.0303012,-0.118764,0.147225,-0.185592
15,49.8639,-0.08298,0.101733,-0.0585371,-0.0958115,0.140849,0.0103428,0.065627,-0.112762,0.0340041,0.207275,-0.136425,0.251587,0.0150769,-0.0727937,0.10258,0.0782257,-0.0701499,0.110369,-0.118579,-0.0340019,-0.11662,-0.116725,0.10677,0.0400837,0.159838,-0.0886845,-0.0336715,-0.0201784,-0.0496365,-0.0857622,-0.0774442,0.304361,0.0244838,-0.151582,-0.146687,-0.263393,0.141155,0.0985114,-0.0847128,0.186829,-0.0631478,0.00720176,0.0801554,-0.145162,0.0229894,0.0689245,0.0973969,-0.140531,0.225968,0.37172,-0.139333,-0.223552,-0.228305,0.077573,0.00633484
16,49.3547,0.112613,0.0710333,0.191958,-0.0186981,0.17846,0.298615,-0.0755082,-0.0438762,0.0605036,-0.0519812,0.276366,0.0514362,0.0877532,0.104437,0.0516015,-0.143884,-0.0503156,0.182561,0.0906612,0.107591,-0.0657565,0.0707786,0.190258,-0.191046,0.179137,-0.0023229,-0.00367969,0.00085499,-0.0645913,-0.129962,-0.416798,-0.0215924,0.136496,-0.023245,0.197383,0.121922,-0.027138,0.0563417,0.00785489,0.054487,0.150732,-0.175145,0.00810501,0.0608161,0.094767,0.00799714,-0.189099,-0.162383,0.0924864,-0.0808357,-0.100308,-0.00780228,-0.0290322,-0.238872,-0.180673
17,-48.274,-0.100864,0.0175069,-0.260262,-0.072726,0.00236294,-0.0621406,-0.228544,0.14466,-0.173372,0.0298578,0.197042,0.160564,0.0393215,0.109966,-0.00930923,-0.0373172,0.00869867,0.0977132,-0.0593864,-0.0526845,0.0252142,-0.0124718,0.0316576,0.316494,-0.0505638,-0.187839,0.0834568,0.00379312,0.143816,-0.0842175,-0.114399,-0.247027,-0.206257,-0.0490331,-0.0182136,0.115571,0.0653801,-0.188185,-0.155628,0.120816,0.0230012,0.100689,0.166496,0.00511345,0.187234,-0.0729274,0.244758,0.154985,0.182167,-0.214114,0.0101395,-0.128773,-0.112349,-0.0476111,-0.231825
18,47.9555,0.0735877,0.0986193,-0.273597,-0.104808,-0.147854,-0.110928,0.00730256,0.0254375,7.70161e-05,-0.121236,0.151279,-0.22133,-0.118991,-0.112412,0.0532414,0.0158511,0.184238,0.0783119,0.100894,-0.0876929,-0.215923,-0.151493,0.142347,-0.222804,-0.0208276,0.134894,0.0833623,-0.245153,-0.145292,-0.100765,-0.145523,-0.114142,-0.116484,-0.019782,-0.0317051,0.0710442,-0.286529,-0.0343009,0.166771,0.0446041,-0.0599636,0.0691543,0.311611,-0.0289674,-0.111668,0.0340545,0.0723381,-0.129104,-0.0302926,0.0898399,-0.21025,-0.0585657,0.0685886,0.250722,0.001154
19,-45.1562,0.0488954,-0.232585,0.0169522,-0.0987603,-0.0771575,-0.121759,-0.0384159,0.00879348,-0.10632,0.0418,-0.0292583,-0.152748,-0.124801,0.1327,-0.030273,-0.101221,0.146246,0.242551,0.0970588,0.0157207,0.144682,-0.0254069,-0.157753,0.0333946,-0.0989229,0.0821772,-0.0756656,0.205655,-0.00499064,0.180268,-0.0085095,0.15603,-0.00598809,-0.11962,-0.169399,0.150267,0.139277,0.113183,0.0348512,0.0899826,0.383375,-0.307607,0.245535,-0.0835659,0.0497238,-0.114839,-0.160186,0.0039311,0.227189,0.0824275,0.0134758,0.0723998,0.0321835,0.216956,-0.0361631
20,42.8739,0.114368,-0.0360428,-0.0613075,-0.0955955,-0.133542,0.067095,0.143805,-0.0708269,0.148553,-0.12218,0.0966829,0.210581,-0.1488,0.155495,-0.208566,0.0312836,0.0992296,0.222677,0.0809086,-0.105422,-0.0169856,-0.105107,-0.136947,0.0825673,0.350982,-0.0139243,-0.157204,-0.151295,0.005966,0.111251,0.114399,0.0649914,-0.0743619,0.24424,0.0706169,-0.048371,-0.095258,0.285889,0.237473,-0.0685763,-0.0889409,0.0354465,-0.103287,-0.174185,0.0663208,-0.00166323,0.00743441,0.17724,0.105126,-0.248512,0.00863262,-0.0368288,-0.205502,0.0284094,-0.0275931
21,41.3379,0.10891,0.0550572,-0.197465,0.120877,0.0841269,0.153648,0.262274,0.239417,0.101406,0.00556002,-0.121532,-0.013588,-0.105482,-0.0300785,0.172058,-0.0556808,-0.139306,0.171168,0.137267,0.289095,-0.160649,-0.0432108,0.00131191,0.211014,-0.176584,0.0226981,0.260154,0.13752,0.204997,-0.0974083,0.098543,0.1147,0.0970896,-0.0609849,0.0116881,0.0440415,-0.189877,0.143636,0.0926095,-0.086612,-0.0822704,-0.132061,0.0082757,-0.102545,0.192548,0.00343351,0.117747,-0.152639,-0.133076,-0.0458302,0.170502,0.0536862,-0.035977,0.0813771,-0.178901
22,-40.0463,-0.23051,0.00997919,-0.107625,0.0435621,-0.0711327,-0.120069,-0.0725044,0.0586497,0.273325,0.165381,0.246034,0.0454671,0.0605593,0.0317555,-0.0237868,0.0326831,-0.108828,0.0184679,-0.270717,0.180385,0.155644,0.0255638,-0.0230184,-0.0909602,-0.00750258,-0.157934,-0.00153747,0.0880063,0.137072,0.214026,0.0157944,0.272497,0.0934114,-0.0306764,-0.0451884,0.234145,-0.0661746,0.100878,0.0878356,-0.028728,-0.117185,0.199456,-0.0282881,0.118256,-0.166431,0.0160944,-0.0548448,-0.139803,0.0331927,-0.133489,-0.323476,0.104714,0.113623,0.142559,-0.185497
23,-39.8336,-0.0677385,-0.0602424,0.25692,0.000374612,0.148351,0.266172,0.0421746,-0.0690474,-0.187931,-0.123597,0.0555923,-0.100906,-0.17482,0.0329535,-0.128733,0.0257579,-0.0777497,0.101275,-0.15284,0.0286675,-0.104281,0.0778651,-0.0803155,0.129508,-0.210246,0.00843391,-0.0208701,0.194387,-0.129511,0.0168272,-0.196248,0.050452,-0.02534,0.0391892,-0.363123,0.0653453,-0.240589,-0.127147,0.0888055,-0.0621245,-0.202074,0.0289089,-0.0137722,-0.122049,-0.381248,-0.0253768,0.0824259,0.129243,0.0521884,-0.0347627,-0.0223482,-0.0958499,-0.163048,-0.0269164,-0.0330265
24,38.0482,0.191591,0.244279,-0.00290535,0.142495,0.00646558,0.00430342,-0.155789,-0.121194,-0.0965711,0.010028,-0.0472631,0.0616092,-0.143196,-0.101085,0.0895858,-0.0165314,-0.0125236,-0.0413259,0.0817003,-0.164253,0.102512,-0.157967,-0.0293459,0.0327688,-0.273312,-0.057203,-0.123586,0.169991,0.0355667,-0.0841922,0.224988,-0.0197993,0.122177,0.0129741,0.0347411,0.13716,-0.162022,0.109635,-0.0737314,0.05412,-0.133453,-0.0227407,0.0687137,0.215746,0.102372,0.165395,-0.351021,-0.0365664,0.139263,-0.18954,-0.173799,-0.275941,-0.196645,0.0169722,0.145006
