Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76
10,75.6235,0.0620238,-0.0162931,0.0716475,0.0150562,0.246485,0.150135,-0.00816992,0.0241579,-0.16062,0.143402,-0.012547,-0.0949847,0.0902196,0.115276,0.154289,0.0850383,0.220158,-0.242358,0.0192619,-0.0417359,-0.0498546,0.0612573,-0.0768637,0.0326873,0.0820009,-0.150552,-0.089545,-0.0565308,-0.0216075,0.0576925,-0.127215,0.118058,-0.0498233,0.0665221,-0.0424535,0.153623,0.0453006,-0.0960488,-0.0471411,-0.242492,-0.191262,-0.0433338,-0.0850256,0.00187513,0.0792805,0.123683,0.0642713,0.0685197,0.0793375,-0.0760844,-0.0757657,0.0204262,-0.125483,0.0160279,0.0366569,0.296315,0.0665803,-0.122041,-0.0797177,-0.097475,0.035388,0.318385,-0.00137545,-0.169477,0.0822579,-0.0485344,0.124417,0.076855,-0.217383,0.085854,0.0969555,0.0207781,0.0223067,0.176511,0.0026848,-0.0587258,-0.0284833
11,-74.9731,-0.0707897,-0.0547074,-0.0796832,-0.0592032,0.0182358,-0.102761,0.0462494,-0.144654,-0.0386453,-0.111588,-0.0773168,0.106405,-0.28249,0.0257035,0.0100921,0.10295,-0.0586178,-0.189668,-0.142363,0.0374551,-0.00990745,0.133385,-0.167544,-0.0200696,0.144108,-0.104497,-0.22432,-0.0142906,0.124366,-0.100872,0.0823689,0.0311884,-0.0858356,0.202879,-0.10402,0.0283424,-0.103379,-0.129079,0.0595213,0.0217554,-0.0141542,0.0340589,0.0454426,0.24936,-0.0681573,0.199251,0.0258823,0.153841,-0.0581145,0.0424952,0.0840435,0.0937115,-0.165961,0.156026,0.0597256,-0.0705477,-1.03811e-05,-0.0780166,-0.0684258,0.00829965,-0.0796463,0.0428079,0.0420932,0.112477,-0.0840368,-0.0114069,0.0879033,0.120073,0.287261,-0.186373,0.167582,-0.15869,0.143225,-0.122481,-0.0515598,0.139009,0.0683406
12,-72.8779,0.187172,0.026989,0.0392194,-0.0248575,0.0722323,-0.126228,-0.0142518,-0.182996,0.0323242,0.137548,0.0470855,0.272086,-0.191006,0.0658788,0.0120692,-0.0413662,0.0769685,0.19174,-0.0312141,0.132191,-0.215423,0.0224352,-0.0427315,-0.0238934,-0.0142187,-0.161135,-0.132166,0.105032,0.0251545,0.0038235,-0.102406,-0.117558,0.093832,0.0874488,-0.178045,0.00443879,0.165257,0.0463146,-0.136633,0.061131,-0.147119,-0.0205233,-0.0341227,0.0364862,0.0974189,-0.139637,0.0951503,-0.217329,0.0499186,0.07799,0.111887,-0.00925772,0.224889,0.206089,-0.0330634,-0.0536166,-0.259403,-0.143332,0.00601786,-0.0260625,0.0196525,-0.00859621,0.0775626,0.0193403,-0.075756,0.0117216,0.151945,-0.116848,-0.126517,0.168198,-0.0574648,0.0611885,0.113105,0.0630072,0.14726,0.0841289,0.123839
13,71.3992,0.057178,0.120177,-0.185095,-0.121921,0.00430549,-0.0883356,-0.242276,0.10549,-0.00625386,-0.179883,0.119339,0.0777385,0.0557516,0.0471103,-0.178003,-0.0980615,0.0865703,-0.108816,-0.185174,0.102526,0.134036,0.0264365,-0.0543747,0.0613518,0.0514489,-0.045835,-0.112891,-0.0129838,0.101439,0.117525,0.103045,-0.0794715,0.0586417,-0.144002,0.102082,0.200936,-0.122336,-0.0116262,0.108896,-0.0454793,-0.0576965,-0.175537,-0.102372,-0.0320341,0.0250239,-0.0269075,0.0226861,-0.0475007,0.172981,0.14237,0.296551,-0.169593,0.0827687,-0.0139736,-0.107682,0.113804,-0.00734506,0.143954,-0.00735638,0.024445,-0.0559999,0.0248986,0.152452,-0.16828,0.0336115,0.0910268,0.11872,-0.0093799,-0.132579,-0.225046,-0.100149,-0.0992901,-0.152786,-0.101972,-0.0931176,-0.0516492,0.148981
14,-70.1214,0.0381767,0.0718503,0.065245,-0.173895,0.109347,-0.161114,0.186779,-0.190067,0.260767,0.0301535,-0.159542,-0.0171975,0.050157,0.00715211,0.0395163,-0.0454705,-0.0414882,-0.0319879,0.115189,-0.14767,-0.105877,-0.111192,-0.108387,-0.155418,0.0734435,0.150362,-0.159286,0.0610667,0.0540835,-0.00925869,0.00607071,-0.281275,-0.00755373,-0.191008,0.292592,-0.0687855,-0.00461967,-0.0218389,0.0322434,-0.0889482,0.0114946,0.0799048,0.0601428,0.0638032,-0.246419,-0.125295,0.124258,0.0178072,-0.0274585,-0.140949,0.0741421,-0.222986,0.0362549,-0.082616,-0.00934643,0.0290992,0.0714977,-0.0638261,-0.104921,-0.0958971,0.217457,0.101565,0.0356522,-0.0691462,-0.0485656,0.0570073,0.186472,0.0540192,0.0849924,-0.0393253,0.0181023,-0.027341,-0.0516475,0.157242,-0.0531874,0.0409527,-0.0825987
15,69.1861,0.0174552,0.19831,0.130543,0.0501912,0.0216749,-0.0229919,0.0173211,0.0623652,0.059971,-0.0565585,0.214392,-0.030634,0.0728549,-0.0189221,0.0952417,-0.168305,0.148087,-0.110049,0.00790308,0.194078,0.102327,-0.010245,-0.0401959,0.0184441,0.198791,0.13544,0.0279168,-0.167121,-0.0556294,-0.113681,-0.0838404,-0.0721682,-0.148563,0.0243153,0.216962,-0.0478665,0.137366,0.137069,-0.123262,0.0192887,0.0511088,-0.215611,-0.147363,-0.0268109,-0.0857841,-0.0327788,0.0229144,-0.151679,-0.0530275,-0.010104,-0.0320021,0.135597,-0.304894,0.128398,0.191361,-0.0766781,-0.141817,0.0139524,0.149414,-0.134034,-0.0437501,-0.0215552,0.222975,-0.0545835,-0.182415,-0.0557549,-0.000482948,0.0703998,0.0986858,-0.0925887,-0.0531054,0.0612519,0.0550892,-0.0262624,0.202869,0.0454384,-0.0887242
16,68.6947,0.00968774,-0.0503477,-0.0503504,0.10705,0.0578564,-0.0417816,-0.119086,0.126803,-0.206367,0.0647957,0.0451546,-0.0997842,-0.240236,0.0703937,-0.0608147,-0.234496,0.0552831,0.175113,0.116253,-0.143763,0.0830285,0.118195,0.0126646,-0.271036,0.141086,0.0924439,-0.0073987,0.0298176,-0.105757,0.132212,0.0733446,0.158522,0.257848,-0.0517683,0.0647362,-0.026949,0.018826,0.0343746,0.0599252,-0.085098,-0.113445,0.102899,0.120214,0.202826,0.131868,-0.0169786,-0.158051,-0.0855082,-0.140335,-0.0862908,-0.0170213,0.0173129,-0.052243,-0.124941,-0.115912,-0.059351,-0.0103893,-0.128589,0.04931,-0.282831,-0.0464616,-0.0590725,0.25187,-0.00287757,-0.0763295,-0.00753106,-0.00367232,0.07645,0.0119919,-0.0480869,-0.00722793,-0.138564,-0.0930882,0.12435,-0.0594571,0.0940877,0.0174603
17,-67.5111,-0.0783159,0.120961,-0.149751,-0.204339,0.0895929,0.186146,-0.0896413,-0.168598,-0.115589,-0.231477,0.0189072,0.0603212,0.0591741,-0.0512223,0.156933,-0.174275,-0.0124885,-0.0246058,0.148966,0.136912,0.0446591,-0.117012,-0.0957666,-0.147427,-0.117972,0.00138052,0.132416,-0.0629661,0.0351117,0.0674364,-0.0787279,0.0379902,0.064226,0.0898379,0.0253087,0.024687,-0.198251,-0.111379,0.0499869,0.187054,-0.00545868,-0.0448384,0.230086,0.0430138,-0.021886,0.0151658,0.0584333,-0.116902,-0.00876027,0.03065,-0.238242,-0.0557166,0.0680565,0.0363677,-0.0831184,0.0585911,0.113274,-0.0162364,0.162814,0.119697,-0.000814658,0.120459,-0.06357,0.110878,-0.0794894,-0.0841178,0.118941,0.143763,-0.1044,-0.00588462,-0.0056787,0.123108,-0.12131,0.0262194,0.161935,0.330151,0.0505383
18,-65.111,-0.293718,0.0495766,-0.0467762,0.0691168,0.0234713,-0.0739484,0.0111506,0.152626,0.209226,-0.00382746,0.226274,0.0468802,-0.273231,-0.117607,-0.134981,0.191742,-0.153439,0.0745773,-0.0511743,-0.0906509,0.0633828,-0.0319414,-0.266391,-0.0999363,0.00398602,0.0399399,0.0502262,0.0115905,0.0746587,-0.175883,-0.212289,0.113881,-0.0132223,-0.193726,-0.0332805,0.0583634,0.16775,-0.0619812,-0.0668976,0.0489337,0.0057005,0.0791442,0.0409208,-0.0905562,0.0068854,0.174873,0.261615,-0.137,-0.0743264,0.0238192,-0.0977622,0.0868622,0.0772492,0.0460948,0.0339847,0.195443,-0.0199794,-0.0855406,0.0837174,0.00148467,0.0387485,0.15555,0.0500736,-0.0435744,0.067838,0.106709,-0.0956224,0.00608577,-0.0715596,-0.0554061,-0.0551905,-0.00163382,-0.198001,-0.00633763,-0.0481207,-0.00252347,-0.03068
19,62.8179,0.0250892,0.156007,0.0102252,-0.107967,-0.136161,-0.0322155,-0.245509,0.175164,0.0336411,0.0369127,-0.150977,-0.0413376,0.18158,-0.0617161,-0.194737,0.0281945,0.0520629,-0.0192691,0.00410899,-0.0199884,-0.145149,-0.062395,-0.215032,0.110401,0.02678,-0.120718,0.0173784,0.0918548,0.0411263,-0.198257,-0.0990255,-0.0502516,0.0842427,0.0453765,0.0595194,0.0164674,-0.0128348,0.0738739,-0.0567314,-0.124172,0.0250082,0.0364275,0.119401,-0.00135591,0.0986834,0.126151,-0.174951,-0.0780413,-0.0263957,-0.0867029,-0.14987,0.0125929,0.189122,0.203593,0.125789,-0.0865279,0.10336,0.0100781,-0.229591,0.010351,-0.118545,-0.119441,-0.0216181,-0.2354,-0.22271,-0.151014,-0.0787733,0.0428795,0.00359075,0.00335465,-0.0186228,-0.0967846,0.0516633,0.111742,-0.133569,0.230463,-0.121433
